Programme=[Retail],Distributor View=[Manufacturing],View By=[ASIN],Countries=[IN],Businesses=[CAMBIUM RETAIL PRIVATE LIMITED - PC - MH - CRPL;Cambium Retail Pvt. Lt. - Mumbai - cb;Cambium Retail Pvt. Ltd.-MH],Locale=[en_IN],Currency=[INR],Reporting Range=[Custom],Viewing Range=[01/02/26 - 28/02/26],Report Updated=[07/04/26],,
x,Model,ASIN,Product Title,Brand,Store Code,Ordered Revenue,Ordered Units,Shipped Revenue,Shipped COGS,Shipped Units,Customer Returns
FBA77113,K1,B01ISNU3X4,"TONOR Dynamic Karaoke Microphone for Singing with 4.5m XLR Cable, Metal Handheld Mic Compatible with Karaoke Machine/Speaker/Amp/Mixer for Karaoke Singing, Speech, Wedding, Stage and Outdoor Activity",TONOR,IN,"₹ 1,31,232.52",86,₹ 0.00,₹ 0.00,85,21
FBA79696,TD310+,B0CQX3VB1R,"TONOR Dynamic USB/Type-C Microphone for PC, RGB Podcast Computer Gaming Microphone with Arm Stand for Recording, Live, Streaming, YouTube, Vocals, Studio, Karaoke Microphone, Quick Mute Button, Black",TONOR,IN,"₹ 1,26,627.84",79,₹ 0.00,₹ 0.00,79,24
FBA79113,TC310,B0BTCXQQ6M,"TONOR Gaming Mic, USB Microphone for PC Computer, Cardioid Condenser Mic with Adjustable RGB Modes & Brightness, Quick Mute, Gain Control, for Streaming, Podcasting, Recording, PS4/5 Desktop TC310",TONOR,IN,"₹ 65,143.32",31,₹ 0.00,₹ 0.00,31,14
FBA79111,TD510,B0BRKFP94K,"TONOR TD510 Dynamic Microphone, USB/XLR PC Microphone for Podcast, Recording, Live Streaming & Gaming, XLR Cardioid Studio Mic Music Voice-Over with Quick Mute, Headphone Output, Volume Control",TONOR,IN,"₹ 57,612.66",17,₹ 0.00,₹ 0.00,16,2
FBA77111,TC30,B08CVP2HXP,"TONOR USB Microphone, Condenser Computer PC Mic with Tripod Stand, Metal,Pop Filter, Shock Mount for Gaming,Streaming,Podcasting,YouTube, Voice Over,Skype, Twitch,Compatible with Laptop Desktop, TC30",TONOR,IN,"₹ 47,733.10",25,₹ 0.00,₹ 0.00,23,2
FBA79116,TC-777 PRO,B0BYHHSLPC,"TONOR TC777 Pro Gaming USB Microphone for PC, RGB Condenser Computer Mic with Tripod Stand, Quick Mute, Gain Control, for Gaming, Streaming, Podcasting, Recording, Cardioid Mic Kit for Laptop/PS4/PS5",TONOR,IN,"₹ 45,315.20",28,₹ 0.00,₹ 0.00,28,8
FBA77117,S20,B078WNW4YW,"TONOR Wireless Microphone Isolation Shield, Mic Sound Absorbing Foam Reflector for Any Condenser Recording Equipment Studio (Black)",TONOR,IN,"₹ 41,848.26",19,₹ 0.00,₹ 0.00,20,2
FBA77101,TC-777,B07WLWN2ZT,"TONOR USB Gaming Microphone, Computer Condenser PC Mic with Tripod Stand & Pop for Streaming, Podcasting, Vocal Recording, Compatible with iMac PC Laptop Desktop Windows Computer, TC-777",TONOR,IN,"₹ 31,594.92",18,₹ 0.00,₹ 0.00,18,11
FBA77106,T20,B082W4B7SX,"TONOR Microphone Arm Stand, TONOR Adjustable Suspension Boom Scissor Mic Stand with Pop , 3/8"" to 5/8"" Adapter, Mic Clip, Upgraded Heavy Duty Clamp for Blue Yeti Nano Snowball Ice and Other Mics(T20)",TONOR,IN,"₹ 31,088.94",15,₹ 0.00,₹ 0.00,14,
FBA79114,TC310+,B0CCV74CL7,"TONOR TC310+ RGB Condenser Mic with Boom Arm Quick Mute, RGB Lighting, Pop Filter, Shock Mount,Gaming USB Microphone Set for PC Gain Control for Streaming Podcasting Recording Discord Twitch YouTube",TONOR,IN,"₹ 25,093.26",9,₹ 0.00,₹ 0.00,10,
FBA79697,TD310,B0CQX4K9P5,"TONOR USB Dynamic Microphone for Podcast Gaming Mic with RGB for Recording, Live Streaming, YouTube, Singing, Studio, Tiktok Microfono with Quick Mute& Stand Compatible with PC/Cellphone TypeC",TONOR,IN,"₹ 24,816.04",17,₹ 0.00,₹ 0.00,25,26
FBA77110,TM20,B08NDB5NWP,"TONOR USB Conference Microphone, 360 Omnidirectional PC Computer Condenser Mic with Mute Button for Online Meeting/Class, Zoom Call, Skype Chatting, Plug & Play (TM20,Red)",TONOR,IN,"₹ 22,873.76",9,₹ 0.00,₹ 0.00,9,1
FBA77114,TC-2030,B07TSN2H9D,"TONOR Cardioid Condenser Microphone, USB Computer Mic Kit with 24mm Diaphragm/Spider Shock Mount for Podcasting, Gaming, Streaming, YouTube, Voice Over, Studio/Home Recording, TC-2030",TONOR,IN,"₹ 10,675.42",3,₹ 0.00,₹ 0.00,3,2
FBA79112,T90,B0BRKDLXCD,"RGB Boom Arm, TONOR Adjustable Mic Stand with RGB Light for HyperX QuadCast/Blue Yeti/Shure SM7B/Rode NT1, Rotatable Suspension Boom Scissor Stand for Gaming Streaming Podcasting YouTube Recording T90",TONOR,IN,"₹ 10,421.19",3,₹ 0.00,₹ 0.00,1,
FBA79577,TM310,B0CSCT63BL,"TONOR TM310 USB Conference Microphone for Laptop, Adjustable Computer PC Mic with Mute Button & LED Indicator for Video Call Meeting, Mic for Desktop Zoom Skype YouTube, Plug-Play for MacOS Windows",TONOR,IN,"₹ 6,777.13",3,₹ 0.00,₹ 0.00,3,
FBA79260,G11,B07GVGMW59,"TONOR G11 Conference USB Microphone, Omnidirectional Condenser PC Mic for Video Conference, Recording, Skype, Online Class, Court Reporter, Plug & Play Compatible with Mac OS X Windows PC Computer",TONOR,IN,"₹ 6,734.75",3,₹ 0.00,₹ 0.00,3,
FBA79576,TC30S+,B0BRCR2QQ7,"TONOR USB Gaming Microphone, RGB Streaming Microfono Set, PC Podcast Recording Computer Mic for PS4/5, Discord, Twitch, Cardioid Condenser Mic with Adjustable Boom Arm Stand TC30S+",TONOR,IN,"₹ 5,083.06",2,₹ 0.00,₹ 0.00,1,
FBA77105,T30,B089FVQD3Z,"Microphone Stand Extension Arm, TONOR Studio Suspension Scissor Boom Arm with Pop Filter, 3/8"" to 5/8"" Adapter, Mic Clip, Upgraded Heavy Duty Clamp for Blue Yeti Snowball Ice and Other Mics(T30)",TONOR,IN,"₹ 2,456.78",1,₹ 0.00,₹ 0.00,2,2
FBA79574,TC30S,B0B4WTHLX5,"TONOR RGB USB Microphone, Cardioid Condenser Computer PC Mic with Tripod Stand, Pop Filter, Shock Mount for Gaming, Streaming, Podcasting, YouTube, Twitch, Compatible with Laptop Desktop,TC30 with RGB",TONOR,IN,"₹ 2,117.80",1,₹ 0.00,₹ 0.00,2,
