SKU,(Child) ASIN,(Parent) ASIN,Brand,Model,Units Ordered,Ordered Product Sales,Sessions,Page Views,Buy Box Percentage,Seller Account,Month,WindowStart,WindowEnd
FBA79478,B0DB5W4TCP,B0DB5W4TCP,White Mulberry,WM-HA1M-BK,0,0.0,1295,1698,15.82,CAMBIUMRETAIL,2026-06,2026-06-01,2026-06-30
FBA79613,B0DP2VVRND,B0DP2VVRND,White Mulberry,MS1ML,0,0.0,488,735,2.46,CAMBIUMRETAIL,2026-06,2026-06-01,2026-06-30
FBA79476,B0DB5VG39T,B0DB5VG39T,White Mulberry,WM-GS1M-BK,4,9786.44,6133,8355,2.41,VIOMI,2026-06,2026-06-01,2026-06-30
FBA79477,B0DB5VVPSB,B0DB5VVPSB,White Mulberry,WM-GS2M-BK,3,11585.59,1931,2475,18.44,VIOMI,2026-06,2026-06-01,2026-06-30
FBA79478,B0DB5W4TCP,B0DB5W4TCP,White Mulberry,WM-HA1M-BK,2,2962.71,1295,1698,16.86,VIOMI,2026-06,2026-06-01,2026-06-30
FBA79479,B0DB5YTQZV,B0DB5YTQZV,White Mulberry,WM-HA2M-BK,0,0.0,2733,3632,2.18,VIOMI,2026-06,2026-06-01,2026-06-30
FBA79613,B0DP2VVRND,B0DP2VVRND,White Mulberry,MS1ML,33,55744.07,1444,2168,41.16,VIOMI,2026-06,2026-06-01,2026-06-30
FBA79612,B0DP2WC5VW,B0DP2WC5VW,White Mulberry,WM1ML,47,138460.17,3917,5306,50.81,VIOMI,2026-06,2026-06-01,2026-06-30
FBA79615,B0DP2Z5DQ9,B0DP2Z5DQ9,White Mulberry,VLMS1ML,33,73533.05,1817,2484,99.86,VIOMI,2026-06,2026-06-01,2026-06-30
FBA79614,B0DP313R77,B0DP313R77,White Mulberry,MS2ML,0,0.0,89,101,97.03,VIOMI,2026-06,2026-06-01,2026-06-30
FBA79616,B0DP3194QN,B0DP3194QN,White Mulberry,HD1ML,0,0.0,76,94,77.01,VIOMI,2026-06,2026-06-01,2026-06-30
FBA79617,B0DP32F346,B0DP32F346,White Mulberry,HDWF1ML,1,2783.9,2728,3610,6.07,VIOMI,2026-06,2026-06-01,2026-06-30
FBA79790,B0FHVWHQHR,B0FHVWHQHR,White Mulberry,TVLF1ML,19,11738.14,366,515,99.57,VIOMI,2026-06,2026-06-01,2026-06-30
FBK79788,B0FN4D3C89,B0FN4D3C89,White Mulberry,TVCT1ML,71,24722.03,1252,1862,99.59,VIOMI,2026-06,2026-06-01,2026-06-30
FBK79789,B0FN4DSQ6P,B0FN4DSQ6P,White Mulberry,TVMF1ML,273,132973.73,2405,3911,99.91,VIOMI,2026-06,2026-06-01,2026-06-30
FBK79784,B0FN4FHH5Y,B0FN4FHH5Y,White Mulberry,POS2M,3,13980.51,82,99,100.0,VIOMI,2026-06,2026-06-01,2026-06-30
FBK79786,B0FN4FPJ83,B0FN4FPJ83,White Mulberry,POSS-01,20,27105.08,167,264,99.59,VIOMI,2026-06,2026-06-01,2026-06-30
FBK79787,B0FN4GQ9HT,B0FN4GQ9HT,White Mulberry,TVCF1ML,33,19151.69,736,963,99.89,VIOMI,2026-06,2026-06-01,2026-06-30
FBK79785,B0FN4HDBN5,B0FN4HDBN5,White Mulberry,POS2MK,0,0.0,0,0,0.0,VIOMI,2026-06,2026-06-01,2026-06-30
FBK79791,B0FN4HDM6Z,B0FN4HDM6Z,White Mulberry,TVFM1ML,9,16009.32,963,1220,99.82,VIOMI,2026-06,2026-06-01,2026-06-30
FBK79792,B0FN4JG97R,B0FN4JG97R,White Mulberry,HDMSP1ML,4,14819.49,238,286,100.0,VIOMI,2026-06,2026-06-01,2026-06-30
FBK79793,B0FN81FD8M,B0FN81FD8M,White Mulberry,HDGS1ML,4,27115.25,239,284,100.0,VIOMI,2026-06,2026-06-01,2026-06-30
FBA76417,B0BFVMDJ2K,B0BFVMDJ2K,White Mulberry,WM-LOD-WH,40,275941.53,6449,9115,99.46,WHITEMULBERRY,2026-06,2026-06-01,2026-06-30
