asin,sku,quantity,item_price_per_unit,shipping_price,gift_wrap_price,shipment_date,fulfillment_center,amazon_order_id,currency,seller_account,gross_sales
B0CPFS24ML,FBA79167,1,7287.28,0.0,0.0,2026-09-05T18:35:49+00:00,HYD3,171-7944055-9147544,INR,WHITEMULBERRY,7287.28
B0CPFS24ML,FBA79167,1,7287.28,16.1,0.0,2026-09-05T16:50:52+00:00,BLR7,407-1975784-8234743,INR,WHITEMULBERRY,7287.28
B0CPFS24ML,FBA79167,1,7287.29,0.0,0.0,2026-09-05T16:50:48+00:00,BLR7,404-6353932-8160322,INR,WHITEMULBERRY,7287.29
B0CPFS24ML,FBA79167,1,7287.28,66.94,0.0,2026-09-05T14:25:44+00:00,MAA4,406-2636776-4920348,INR,WHITEMULBERRY,7287.28
B0CPFS24ML,FBA79167,1,7287.28,0.0,0.0,2026-09-05T12:52:49+00:00,MAA4,171-6935388-1704369,INR,WHITEMULBERRY,7287.28
B0CPFS24ML,FBA79167,1,7287.29,33.9,0.0,2026-09-05T09:24:47+00:00,CCX1,402-9667584-9511516,INR,WHITEMULBERRY,7287.29
B0CPFS24ML,FBA79167,1,7287.29,33.9,0.0,2026-09-05T07:46:48+00:00,DEL4,408-3685904-9111538,INR,WHITEMULBERRY,7287.29
B0CPFS24ML,FBA79167,1,7287.29,0.0,0.0,2026-09-05T07:34:50+00:00,DEL4,405-0209912-4849939,INR,WHITEMULBERRY,7287.29
B0CPFS24ML,FBA79167,1,7287.28,0.0,0.0,2026-09-05T06:52:47+00:00,HYD3,171-3837120-7900340,INR,WHITEMULBERRY,7287.28
B0CPFS24ML,FBA79167,1,7287.29,33.9,0.0,2026-09-05T05:30:47+00:00,HYD3,406-8541214-0325155,INR,WHITEMULBERRY,7287.29
B0CPFS24ML,FBA79167,1,7287.28,33.9,0.0,2026-09-05T04:42:47+00:00,BLR7,406-2350426-0100305,INR,WHITEMULBERRY,7287.28
B0CPFS24ML,FBA79167,1,7287.28,0.0,0.0,2026-09-04T23:02:44+00:00,BOM5,404-7644041-3436324,INR,WHITEMULBERRY,7287.28
B0CPFS24ML,FBA79167,1,7287.29,33.9,0.0,2026-09-04T20:41:49+00:00,DEL4,407-3160230-5643526,INR,WHITEMULBERRY,7287.29
B0CPFS24ML,FBA79167,1,7287.28,0.0,0.0,2026-09-04T16:32:47+00:00,HYD3,404-6422236-6145168,INR,WHITEMULBERRY,7287.28
B0BFWD6SNF,FBA76415,1,7033.06,0.0,0.0,2026-09-04T13:35:49+00:00,BLX1,404-9116829-5714715,INR,WHITEMULBERRY,7033.06
B0BFW59TRG,FBA76416,1,7033.06,0.0,0.0,2026-09-04T10:36:57+00:00,SHTI,171-2606896-2529165,INR,WHITEMULBERRY,7033.06
B0DP32F346,FBA79617,1,2626.28,0.0,0.0,2026-09-03T18:22:48+00:00,BOM7,171-5289939-0067545,INR,WHITEMULBERRY,2626.28
B0CPFS24ML,FBA79167,1,7287.28,0.0,0.0,2026-09-03T18:03:55+00:00,DEL4,405-8796920-7285168,INR,WHITEMULBERRY,7287.28
B0BFVNS8HS,FBA76418,1,7033.06,0.0,0.0,2026-09-03T14:51:50+00:00,BLX1,406-2703824-4943563,INR,WHITEMULBERRY,7033.06
