SKU,(Child) ASIN,(Parent) ASIN,Brand,Model,Units Ordered,Units Ordered B2B,Ordered Product Sales,Ordered Product Sales B2B,Sessions,Page Views,Buy Box Percentage,Seller Account,Month,WindowStart,WindowEnd
FBA77111,B08CVP2HXP,B08CVP2HXP,Tonor,TC30,1,0,1761.02,0.0,588,808,0.79,CAMBIUMRETAIL,Aug26,2026-08-01,2026-08-31
FBA77113,B01ISNU3X4,B01ISNU3X4,Tonor,K1,22,0,33033.05,0.0,6308,9685,20.21,VIOMI,Aug26,2026-08-01,2026-08-31
FBA77113,B01ISNU3X4,B0HC2Q45LL,Tonor,K1,21,0,33795.76,0.0,228,336,9.25,VIOMI,Aug26,2026-08-01,2026-08-31
FBA77117,B078WNW4YW,B078WNW4YW,Tonor,S20,0,0,0.0,0.0,637,867,4.77,VIOMI,Aug26,2026-08-01,2026-08-31
FBK77102,B07GVGMW59,B07GVGMW59,Tonor,G11,13,0,27108.47,0.0,2397,3292,12.45,VIOMI,Aug26,2026-08-01,2026-08-31
FBK77102,B07GVGMW59,B0HC2LK245,Tonor,G11,5,0,11436.44,0.0,70,97,18.39,VIOMI,Aug26,2026-08-01,2026-08-31
FBA77101,B07WLWN2ZT,B07WLWN2ZT,Tonor,TC-777,1,0,1694.07,0.0,3077,4340,6.63,VIOMI,Aug26,2026-08-01,2026-08-31
FBA77101,B07WLWN2ZT,B0HC2QFC9B,Tonor,TC-777,0,0,0.0,0.0,122,177,0.0,VIOMI,Aug26,2026-08-01,2026-08-31
FBA77105,B089FVQD3Z,B089FVQD3Z,Tonor,T30,0,0,0.0,0.0,53,87,18.99,VIOMI,Aug26,2026-08-01,2026-08-31
FBA77105,B089FVQD3Z,B0D7C895F7,Tonor,T30,0,0,0.0,0.0,2,2,0.0,VIOMI,Aug26,2026-08-01,2026-08-31
FBA77104,B089SJGQBH,B089SJGQBH,Tonor,TC20,0,0,0.0,0.0,275,351,100.0,VIOMI,Aug26,2026-08-01,2026-08-31
FBA77104,B089SJGQBH,B0HC2XY45T,Tonor,TC20,3,0,12455.08,0.0,11,14,100.0,VIOMI,Aug26,2026-08-01,2026-08-31
FBA77111,B08CVP2HXP,B08CVP2HXP,Tonor,TC30,1,0,1863.56,0.0,2039,2960,4.72,VIOMI,Aug26,2026-08-01,2026-08-31
FBA77111,B08CVP2HXP,B0HC2QFC9B,Tonor,TC30,4,0,7454.24,0.0,70,95,5.49,VIOMI,Aug26,2026-08-01,2026-08-31
FBA77110,B08NDB5NWP,B08NDB5NWP,Tonor,TM20,14,1,35581.36,2541.53,1154,1570,32.38,VIOMI,Aug26,2026-08-01,2026-08-31
FBA77115,B08V1JS3NY,B08V1JS3NY,Tonor,TC40,1,0,2711.02,0.0,258,373,19.36,VIOMI,Aug26,2026-08-01,2026-08-31
FBA77115,B08V1JS3NY,B0HC2XY45T,Tonor,TC40,1,0,2795.76,0.0,10,12,41.67,VIOMI,Aug26,2026-08-01,2026-08-31
FBA77103,B09Z5Q194D,B09Z5Q194D,Tonor,ORCA001,0,0,0.0,0.0,72,91,79.76,VIOMI,Aug26,2026-08-01,2026-08-31
FBA79574,B0B4WTHLX5,B0B4WTHLX5,Tonor,TC30S,4,0,6141.53,0.0,380,515,85.18,VIOMI,Aug26,2026-08-01,2026-08-31
FBA77116,B0BBL47VR5,B0BBL47VR5,Tonor,TC40S,1,0,2965.25,0.0,113,147,6.57,VIOMI,Aug26,2026-08-01,2026-08-31
FBA77116,B0BBL47VR5,B0D57LLCR8,Tonor,TC40S,0,0,0.0,0.0,2,2,0.0,VIOMI,Aug26,2026-08-01,2026-08-31
FBA79576,B0BRCR2QQ7,B0BRCR2QQ7,Tonor,TC30S+,1,0,2372.03,0.0,364,506,16.89,VIOMI,Aug26,2026-08-01,2026-08-31
FBA79111,B0BRKFP94K,B0BRKFP94K,Tonor,TD510,1,0,3304.24,0.0,1054,1298,8.43,VIOMI,Aug26,2026-08-01,2026-08-31
FBA79111,B0BRKFP94K,B0HC2Q45LL,Tonor,TD510,2,0,3388.98,0.0,44,56,29.63,VIOMI,Aug26,2026-08-01,2026-08-31
FBA79113,B0BTCXQQ6M,B0BTCXQQ6M,Tonor,TC310,5,0,10504.24,0.0,472,625,32.82,VIOMI,Aug26,2026-08-01,2026-08-31
FBK77102,B0BVHZ5MKZ,B0BVHZ5MKZ,Tonor,G11,0,0,0.0,0.0,18,20,100.0,VIOMI,Aug26,2026-08-01,2026-08-31
FBA79116,B0BYHHSLPC,B0BYHHSLPC,Tonor,TC-777 PRO,1,0,1778.81,0.0,3082,4614,4.93,VIOMI,Aug26,2026-08-01,2026-08-31
FBA79116,B0BYHHSLPC,B0HC2QFC9B,Tonor,TC-777 PRO,1,0,1778.81,0.0,96,129,0.0,VIOMI,Aug26,2026-08-01,2026-08-31
FBA79114,B0CCV74CL7,B0CCV74CL7,Tonor,TC310+,5,0,12283.9,0.0,1790,2721,21.18,VIOMI,Aug26,2026-08-01,2026-08-31
FBA79114,B0CCV74CL7,B0HC2XY45T,Tonor,TC310+,2,0,4913.56,0.0,60,82,21.33,VIOMI,Aug26,2026-08-01,2026-08-31
FBA79585,B0CFKHCQ8W,B0CFKHCQ8W,Tonor,T20LP,8,1,14230.51,1778.81,493,667,87.05,VIOMI,Aug26,2026-08-01,2026-08-31
FBA79696,B0CQX3VB1R,B0CQX3VB1R,Tonor,TD310+,9,0,14061.02,0.0,1416,1983,24.65,VIOMI,Aug26,2026-08-01,2026-08-31
FBA79696,B0CQX3VB1R,B0HC2Q45LL,Tonor,TD310+,1,0,0.0,0.0,52,63,22.58,VIOMI,Aug26,2026-08-01,2026-08-31
