"sku","fnsku","asin","product-name","condition","your-price","mfn-listing-exists","mfn-fulfillable-quantity","afn-listing-exists","afn-warehouse-quantity","afn-fulfillable-quantity","afn-unsellable-quantity","afn-reserved-quantity","afn-total-quantity","per-unit-volume","afn-inbound-working-quantity","afn-inbound-shipped-quantity","afn-inbound-receiving-quantity","afn-researching-quantity","afn-reserved-future-supply","afn-future-supply-buyable","store"
"FBA79662","X00270AW07","B0DQ4YWSMC","White Mulberry |120X60CM Table Top|Motorized Sit Stand Desk|Multi-Purpose Electric Height Adjustable Ergonomic Desk - Office Work study Table|3 Year Warranty|Digital screen Advance Memory Preset-White","New","16429.00","No",,"Yes","53","52","0","1","68","12960.04","0","15","0","0","0","0",
"FBA79663","X00274RP5N","B0DQPFL835","White Mulberry L-Shape Corner Desk |DIY Assembly| Monitor Raising Shelf & Headphone Holder| Engineered Wood & Sturdy Steel Leg|Perfect for Office Home Gaming Study Desk|L(130+130)*45*77cm|Carbon Fibre","New","9283.00","No",,"Yes","0","0","0","0","0","500499.94","0","0","0","0","0","0",
"FBA79667","X0027512Z1","B0DQPK7MFH","White Mulberry L-Shape Corner Desk with Shelf|DIY Assembly| Monitor Raising Shelf |Engineered Wood & Sturdy Steel Leg|Perfect for Computer Table Office Home Gaming Study Desk|L(130+130)*45*77cm|White","New","7115.00","No",,"Yes","4","1","0","3","4","500499.94","0","0","0","0","0","0",
"FBA79668","X002753DUN","B0CPT2YJX2","White Mulberry L-Shape Corner Desk with Shelf|DIY Assembly| Monitor Raising Shelf |Engineered Wood & Sturdy Steel Leg|Perfect for Computer Table Office Home Gaming Study Desk|L(130+130)*45*77cm|Black","New","9285.00","No",,"Yes","0","0","0","0","0","129600.05","0","0","0","0","0","0",
"FBA79669","X002753CKJ","B0DQPLMQQ7","White Mulberry L-Shape Corner Desk with Shelf|DIY Assembly| Monitor Raising Shelf | Engineered Wood & Sturdy Steel Leg|Perfect for Computer Table Office Home Gaming Study Desk|L(130+130)*45 * 77cm|CF","New","7699.00","No",,"Yes","1","0","1","0","1","776160.01","0","0","0","0","0","0",
"FBA79670","X0027514Z9","B0DQPGLK2T","White Mulberry L-Shape Corner Desk with Shelf|DIY Assembly| Monitor Raising Shelf | Engineered Wood & Sturdy Steel Leg|Perfect for Computer Table Office Home Gaming Study Desk|L(130+130)*45*77cm|Grey","New","8797.00","No",,"Yes","0","0","0","0","0","776160.01","0","0","0","0","0","0",
"FBI76419","X001P8SYCF","B07MH7L6G8","Coleshome Computer Desk 47"" Modern Sturdy Office Desk Study Writing Desk For Home Office, Black","New","7460.00","No",,"Yes","1","0","1","0","1","86214.47","0","0","0","0","0","0",
"FBK76387","X00242V9DH","B0BF4S7V8C","White Mulberry Alloy Steel Manual Height Adjustable Desk | Ergonomic Design | Ecofriendly Desk | Sit Stand Desk for Office, Home & Study Table| 1200Mm X 600Mm | White","New","12999.00","No",,"Yes","5","5","0","0","5","115712.99","0","0","0","0","0","0",
"FBK76764","X00242TZTH","B0BMV1WPHL","White Mulberry Ergonomic Sit Stand Desk | Standing Desk for Office, Home & Study | Everyday Ergonomic Desk | 1200mm x 600mm | Carbon Fibre","New","12719.00","No",,"Yes","1","1","0","0","1","115712.99","0","0","0","0","0","0",
"FBK79406","X002FOHNS9","B0DCK3N2JJ","NexLev Ionic Cordless Hair Straightener Brush | 60min Runtime | upto 200° Heating | Portable & Type C Rechargeable | Keratin Bristles |Straight, Frizz Free & Shiny Hair | Compact Comb Design | HSB-04","New","2543.00","No",,"Yes","196","196","0","0","196","865.56","0","0","0","0","0","0",
"FBKM79784","X002GA2HK1","B0FN4FHH5Y","White Mulberry Dual Screen POS Machine Stand for 17""-32"" Monitors(9kg) w/Card Reader, Printer & Barcode Scanner Holders| VESA 75x75/100x100 Compatible| Adjustable Tilt, Swivel & Rotation| Grommet Base","New","5499.00","Yes","0","No","0","0","0","0","0","16746.92","0","0","0","0","0","0",
