,,Programme=[Retail],Distributor View=[Manufacturing],View By=[ASIN],Countries=[IN],Businesses=[CAMBIUM RETAIL PRIVATE LIMITED - PC - MH - CRPL;Cambium Retail Pvt. Lt. - Mumbai - cb;Cambium Retail Pvt. Ltd.-MH],Locale=[en_IN],Currency=[INR],Reporting Range=[Custom],Viewing Range=[01/04/26 - 30/04/26],Report Updated=[03/05/26]
SKU,Model,ASIN,Product Title,Brand,Store Code,Ordered Revenue,Ordered Units,Shipped Revenue,Shipped COGS,Shipped Units,Customer Returns
FBA79348,HD-02,B0D81DLSFT,Nexlev Hair Dryer for Man & Women | 1200W Foldable Hair Dryer | Cool Shot Function | 3 Heat & 2 Speed Settings | Overheat Protection | Portable Blow Dryer for Women | Black & Copper,nexlev,IN,₹ 0.00,0,,,,
FBA79267,T-02,B0D2LD6BYJ,"NexLev 6-in-1 trimmer | Sensitive Bikini Trimmer for Women | Skin Safe with Rounded Tips & Foil Shaver| Hair Removal for Intimate Areas, Face, Arms, Legs & Body | 90 min Runtime |2H Quick Charge |T-02",nexlev,IN,₹ 0.00,0,,,,
