Programme=[Retail],Distributor View=[Manufacturing],View By=[ASIN],Countries=[IN],Businesses=[CAMBIUM RETAIL PRIVATE LIMITED - PC - MH - CRPL;Cambium Retail Pvt. Lt. - Mumbai - cb;Cambium Retail Pvt. Ltd.-MH],Locale=[en_IN],Currency=[INR],Reporting Range=[Custom],Viewing Range=[01/02/26 - 28/02/26],Report Updated=[07/04/26],,
SKU,Model,ASIN,Product Title,Brand,Store Code,Ordered Revenue,Ordered Units,Shipped Revenue,Shipped COGS,Shipped Units,Customer Returns
FBA79476,WM-GS1M-BK,B0DB5VG39T,White Mulberry |DIY| Economical Gas Spring Monitor Arm | Desk Mounted Monitor Stand for 15-32 Inch Monitors |9Kg Screen Capacity|VESA 75X75&100X100| Adjustable Metal Desk Monitor Mount-(Single Screen),White Mulberry,IN,"₹ 1,89,516.75",85,₹ 0.00,₹ 0.00,88,20
FBA79617,HDWF1ML,B0DP32F346,White Mulberry |DIY| Woodcraft - Premium Wooden Arm | Desk Mounted Monitor arm 15-32 Inch Monitor|9Kg Screen Capacity|Spring Assisted Premium Wooden Metal Desk Mount-(Single Screen),White Mulberry,IN,"₹ 81,177.84",31,₹ 0.00,₹ 0.00,31,3
FBA79612,WM1ML,B0DP2WC5VW,White Mulberry |DIY| Wall Mounted Monitor Stand Mount | Supports 15-32 Inch Screens| 9 Kg Screen Load | VESA 75X75 & 100X100 | Spring Assisted Wall Mounted Monitor Mount | Black - (Single Screen),White Mulberry,IN,"₹ 64,005.94",26,₹ 0.00,₹ 0.00,25,10
FBA79613,MS1ML,B0DP2VVRND,White Mulberry |DIY| Height Adjustable Monitor Stand Mount | Supports 17-32 Inch Screens| 10 Kg Screen Load | VESA 75X75 & 100X100 | Freestanding Monitor Mount | Black - (Single Screen),White Mulberry,IN,"₹ 50,567.77",30,₹ 0.00,₹ 0.00,31,15
FBA79616,HD1ML,B0DP3194QN,White Mulberry |DIY| Heavy-Duty Mechanical Spring Monitor Arm | Desk Mounted Monitor Stand for 17-45 Inch Monitor |16Kg Screen Capacity|VESA 75X75&100X100|Adjustable Desk Mount-(Single Screen),White Mulberry,IN,"₹ 22,536.43",7,₹ 0.00,₹ 0.00,7,
FBA79479,WM-HA2M-BK,B0DB5YTQZV,White Mulberry |DIY| Height Adjustable Monitor Arm | Desk Mounted Monitor Stand for 17-32 Inch Monitor | 10Kg Screen Load | VESA 75X75 & 100X100 | Adjustable Metal Desk Mount - (Dual Screen),White Mulberry,IN,"₹ 5,083.05",2,₹ 0.00,₹ 0.00,1,1
FBA79614,MS2ML,B0DP313R77,White Mulberry |DIY| Height Adjustable Monitor Stand Mount | Supports 17-27 Inch Screens| 10 Kg Screen Load | VESA 75X75 & 100X100 | Freestanding Monitor Mount | Black - (Dual Screen),White Mulberry,IN,"₹ 4,405.08",2,₹ 0.00,₹ 0.00,2,
