SKU,Model,(Parent) ASIN,(Child) ASIN,Title,Sessions - Total,Sessions - Total - B2B,Session Percentage - Total,Session Percentage - Total - B2B,Page Views - Total,Page Views - Total - B2B,Page Views Percentage - Total,Page Views Percentage - Total - B2B,Featured Offer Percentage,Featured Offer Percentage - B2B,Units Ordered,Units Ordered - B2B,Unit Session Percentage,Unit Session Percentage - B2B,Ordered Product Sales,Ordered Product Sales - B2B,Total Order Items,Total Order Items - B2B
FBA79265,CR-01,B0D2LHNS9B,B0D2LHNS9B,"NexLev Foot Callus Remover | Electric Scrubber & Shaver for Dead, Hard & Cracked Skin | Professional Pedicure at Home | Waterproof | Type C | 3 Crystal Quartz Heads | For Men and Women| CR-01",415,6,0.07%,0.07%,587,6,0.08%,0.06%,79.05%,66.67%,15,0,3.61%,0.00%,"₹ 8,393.22",₹ 0.00,15,0
FBA79591,KM-01,B0F29SZCVF,B0F29SZCVF,"NexLev Knee Massager for Joint Pain Relief |Controlled Vibration & Heating for Arthritis, Knee, Shoulder or Elbow pain | 15 modes |2 Extension Belt |Graphene Heating pad for Consistent Heating | KM-01",484,14,0.09%,0.17%,648,21,0.09%,0.20%,86.59%,85.71%,14,0,2.89%,0.00%,"₹ 16,037.29",₹ 0.00,13,0
FBA79573,EA-02,B0DKK15YNJ,B0DKK15YNJ,NexLev Oil Applicator Comb|Red Led Light Therapy |Boost Hair Growth| Reduce Dandruff | Relieve Stress |High Vibration Corded Electric Scalp/Head Massager | 6 ML Oil Tank | 2 Hr Run-Time| Type-C|EA-02,"2,235",53,0.40%,0.66%,"2,929",71,0.41%,0.67%,24.10%,7.14%,10,1,0.45%,1.89%,"₹ 21,305.08","₹ 2,424.00",10,1
FBA79589,SS-02,B0DNJP9T35,B0DNJP9T35,"NexLev Spin Scrubber|6 Scrubbing Heads| For Kitchen, Bathroom, Tub, Glass | Complete cleaning tool for Home, Office & Car| 90 min runtime | 2600 mAh | Cordless Type C | 2 Modes|Adjustable Handle|SS-02","1,307",16,0.23%,0.20%,"1,764",18,0.24%,0.17%,80.62%,72.73%,10,0,0.77%,0.00%,"₹ 17,513.56",₹ 0.00,10,0
FBA79698,SS-01,B0DTK4FY1G,B0DTK4FY1G,"NexLev Spin Scrubber with Soap Spray | 6 heads| For Kitchen, Tub, Glass, Complete cleaning tool for Home, Office & Car| 90 min runtime | 4500 mAh | Cordless Type C | Adjustable Handle|SS-01, White","1,244",8,0.22%,0.10%,"1,568",9,0.22%,0.09%,95.36%,100.00%,10,0,0.80%,0.00%,"₹ 20,555.08",₹ 0.00,10,0
FBA79375,ET-03-BL,B0D2P6KF4N,B0D2P6KF4N,Nexlev Sonic Electric Toothbrush| Powerful Sonic technology|Super soft DuPont Bristles| 2 Replaceable Brush Heads with Cover| IPX7 Waterproof| AA Battery|Gentle Oral Care|Smart Smile ET-03 SkyBlue,393,3,0.07%,0.04%,499,4,0.07%,0.04%,99.78%,100.00%,8,1,2.04%,33.33%,"₹ 2,014.41",₹ 299.00,8,1
FBA79381,ETR-06,B0D9KCNVNM,B0D9KCNVNM,Nexlev Oscillating Electric Toothbrush | 8000 Strokes/min | 25 Days Battery Life |Type C|3 modes| 2 Minute Timer |Quad Change Reminder| IPX7 Waterproof | For adults| 1 year warranty| SparklePro ETR-06,491,12,0.09%,0.15%,664,14,0.09%,0.13%,84.73%,100.00%,7,0,1.43%,0.00%,"₹ 7,112.71",₹ 0.00,7,0
FBA79346,ETC-04-WH,B0D25LNDSY,B0D25LNDSY,Nexlev Rechargeable Electric Toothbrush| 120 Days Life | 35K strokes/min| Type C| 5 Modes for Daily Use| 2 Min timer with 30sec Quadpacer | 4 Brushheads| IPX7 Waterproof| For Men & Women | ETC-04 White,243,5,0.04%,0.06%,378,5,0.05%,0.05%,75.36%,25.00%,6,0,2.47%,0.00%,"₹ 4,028.81",₹ 0.00,6,0
FBA79443,LE-03,B0D9KFQG8Q,B0D9KFQG8Q,"Nexlev Skin Scrubber |Red & Blue LED Therapy| Blackhead Remover| Pore Cleaner| Skin Lifting & tightening, wrinkle remover| 2 Silicone Cleaning Heads| Facial Cleansing|Type C Charging| Elixir Pro LE-03",744,15,0.13%,0.19%,830,15,0.11%,0.14%,91.41%,75.00%,6,0,0.81%,0.00%,"₹ 7,199.15",₹ 0.00,6,0
FBA79607,LR-02 Set of 2 blades,B0F2N11VTN,B0F2N11VTN,NexLev Replacement Stainless Steel Blades (Set of 2) | Compatible with NexLev Lint Remover LR-02 | Sharp & Durable Blades for Effective Fabric Defuzzing | Easy to Replace | Smooth & Safe Performance,355,13,0.06%,0.16%,388,14,0.05%,0.13%,100.00%,100.00%,6,1,1.69%,7.69%,"₹ 2,415.25",₹ 475.00,6,1
