"sku","fnsku","asin","product-name","condition","your-price","mfn-listing-exists","mfn-fulfillable-quantity","afn-listing-exists","afn-warehouse-quantity","afn-fulfillable-quantity","afn-unsellable-quantity","afn-reserved-quantity","afn-total-quantity","per-unit-volume","afn-inbound-working-quantity","afn-inbound-shipped-quantity","afn-inbound-receiving-quantity","afn-researching-quantity","afn-reserved-future-supply","afn-future-supply-buyable","store"
"FBA80082","X002KPAQUF","B0GQGZVGLL","Nexlev Skin Lift Device LE-04 + Skin Scrubber LE-03 Combo | 7 Color LED, Microcurrent & Hot Compress | Red & Blue Light | Blackhead Remover, Pore Cleaner & Face Tightening Kit","New","5899.00","No",,"Yes","0","0","0","0","5","8400.01","5","0","0","0","0","0",
"FBA80111","X002KRBN91","B0GYSS16FJ","nexlev Replacement Dust Box| Compatible Cordless Mite Remover (MR-01)","New","299.00","No",,"Yes","0","0","0","0","0","479.98","0","0","0","0","0","0",
"FBA80112","X002KRGGWF","B0GYSMR9G2","nexlev Replacement Dust Box| Compatible Cordless Mite Remover (MR-02)","New","299.00","No",,"Yes","0","0","0","0","0","2999.98","0","0","0","0","0","0",
"FBA80113","X002KRBKI5","B0GYS6CJD9","nexlev Replacement Mop Cloth for Steam Cleaner SC-01(Pack of 2)","New","199.00","No",,"Yes","0","0","0","0","0","1349.97","0","0","0","0","0","0",
"FBA80127","X002KZT1O7","B0GZKXXBC3","nexlev Mite Remover & Vacuum Cleaner","New","3499.00","No",,"Yes","0","0","0","0","0","10400.05","0","0","0","0","0","0",
"FBK78979","X0022V5DOV","B0CDPQXPC1","NexLev Handheld Garment Steamer |1500 Watts | 35 g/min | 300 ML| Vertical & Horizontal Ironing for Silk Velvet|Damage Free Steam for all Cloth Types|25sec quick heat | 3 Brushes |GS-01","New","2511.00","No",,"Yes","0","0","0","0","0","9294.58","0","0","0","0","0","0",
"FBK79271","X00271JY6J","B0DQ8W1RBV","Nexlev Ionic Volumizer|3 In 1 Hot Air Brush To Straight Dry & Volumize|1200 Watts|Reduce Frizz|Ceramic Tourmaline Coated Large Barrel|Salon Like Soft Curl At Home|3 Speed & 2 Heat Settings|V-01 RG","New","2119.00","No",,"Yes","6","1","5","0","6","3952.56","0","0","0","0","0","0",
"FBK79347","X0022WWBZT","B0D842173P","Nexlev Electric Toothbrush| 40000 vibrations/min|USB Type C| 5 Modes| 2 Min timer| 30 sec Quad Interval| 4 Replaceable Brushheads With Cover| IPX7 Waterproof| For Adults|Sparkle Pro ETC-05 Sunset Pink","New","688.00","No",,"Yes","36","36","0","0","36","1061.23","0","0","0","0","0","0",
"FBK79591","X0029O6KFH","B0F29SZCVF","NexLev Knee Massager for Joint Pain Relief |Controlled Vibration & Heating for Arthritis, Knee, Shoulder or Elbow pain | 15 modes |2 Extension Belt |Graphene Heating pad for Consistent Heating | KM-01","New","1536.00","No",,"Yes","2","1","0","1","42","4062.52","40","0","0","0","0","0",
"FBK79598","X002DL47FV","B0FM3KVSHW","NexLev Neck & Back Massager | Deep Tissue Shiatsu Roller | Cervical Pain Relief | 3 Speeds | 8 Kneading Nodes | Quick Pain Relief | Auto Shut Off | 1 year Warranty | BM-02","New","1859.00","No",,"Yes","0","0","0","0","0","15205.88","0","0","0","0","0","0",
"FBK79714","X002G011AX","B0F2N1HTBT","NexLev Replacement Mop Cloth Pads (Set of 2) | Compatible with NexLev 10-in-1 Steam Cleaner & Mop SC-04 | Reusable Microfiber Pads for Floor Deep Cleaning | Washable & Durable | For All Floor Types","New","475.00","No",,"Yes","0","0","0","0","0","2129.66","0","0","0","0","0","0",
"FBK80015","X002IVBZ1F","B0GKNGWLJ2","NexLev Cordless Spin Mop|50 Min Runtime|2 Extra Mop Pads | Type C | For Home Kitchen & Office Use | Water Spray Function|Self Propelling|Mopping for All Floor Types|LED for Corners and Underbed|SPM-01","New","3900.00","No",,"Yes","52","51","0","1","52","10877.73","0","0","0","0","0","0",
"FBK80024","X002IPBERB","B0GLHC8CB3","NexLev Spin Scrubber|6 Scrubbing Heads| For Kitchen, Bathroom, Tub, Glass | Complete cleaning tool for Home, Office & Car| 90 min runtime | 2600 mAh | Cordless Type C | 2 Modes|Adjustable Handle|SS-02","New","1699.00","No",,"Yes","32","28","1","3","162","5985.54","130","0","0","0","0","0",
"FBP79350","X0024F173L","B0D67727VG","NexLev LED Therapy Oil Applicator | Reduce Dandruff | Improve Hair Growth | EMS for Scalp Improvement | Red & Blue Light | High Frequency Massage for Better Absorption | 10 ML | Waterproof | EA-01","New","1111.00","No",,"Yes","137","136","0","1","177","509.64","40","0","0","0","0","0",
