amazon-order-id,merchant-order-id,purchase-date,last-updated-date,order-status,fulfillment-channel,sales-channel,order-channel,ship-service-level,product-name,sku,asin,item-status,quantity,currency,item-price,item-tax,shipping-price,shipping-tax,gift-wrap-price,gift-wrap-tax,item-promotion-discount,ship-promotion-discount,ship-city,ship-state,ship-postal-code,ship-country,promotion-ids,is-business-order,purchase-order-number,price-designation,fulfilled-by,is-iba,order-item-id,is-prime
171-1940452-5299528,171-1940452-5299528,2026-08-31T17:54:43+00:00,2026-09-01T09:17:05+00:00,Shipped,Amazon,Amazon.in,,Expedited,"NexLev Steam Cleaner For Home | For Complete Home Kitchen Bathroom Car Sofa & Office | Steam Cleaner With 9 Accessories | 300 ML | Window Pane, Sink,",FBA78981,B0CDPP45BM,Shipped,1,INR,3998.0,,40.0,,,,,40.0,KOLKATA,WEST BENGAL,700039,IN,,false,,,,false,67152490629042,false
405-1283411-2547528,405-1283411-2547528,2026-08-31T17:54:16+00:00,2026-09-01T03:34:04+00:00,Shipped,Amazon,Amazon.in,,Expedited,Nexlev Oscillating Electric Toothbrush | 8000 Strokes/min | 25 Days Battery Life |Type C|3 modes| 2 Minute Timer |Quad Change Reminder| IPX7 Waterproo,FBA79381,B0D9KCNVNM,Shipped,1,INR,999.0,,,,,,19.98,,Pune,MAHARASHTRA,411045,IN,PLM-c3d47d60-a6d1-49b0-b32c-8e43d215fc3e,false,,,,false,67152399317082,false
171-3574623-2113966,171-3574623-2113966,2026-08-31T17:52:53+00:00,2026-08-31T17:55:40+00:00,Cancelled,Amazon,Amazon.in,,Expedited,NexLev Steam Cleaner | Complete Home Kitchen Floor Bathroom Car & Office | Steam Cleaner for Home With 9 Accessories | 450 ML | Window Pane Sink Grime,FBA79652,B0F43P6D23,Cancelled,0,,,,,,,,,,KOLKATA,WEST BENGAL,700039,IN,,false,,,,false,67151757720282,false
403-9726403-3072347,403-9726403-3072347,2026-08-31T17:52:08+00:00,2026-09-01T16:33:04+00:00,Shipped,Amazon,Amazon.in,,Expedited,"NexLev Smart Electric Toothbrush for Adults |2-Min Timer with Quadpacer |2 Replaceable Heads | AAA Battery |3 Modes (Daily, Normal & Sesitive) |Upto 6",FBA79374,B0D2P7WLJB,Shipped,1,INR,299.0,,,,,,,,HOWRAH,WEST BENGAL,711102,IN,,false,,,,false,67152546765962,false
408-8029272-1498736,408-8029272-1498736,2026-08-31T17:51:51+00:00,2026-08-31T17:52:42+00:00,Cancelled,Amazon,Amazon.in,,Expedited,Nexlev Oscillating Electric Toothbrush | 8000 Strokes/min | 25 Days Battery Life |Type C|3 modes| 2 Minute Timer |Quad Change Reminder| IPX7 Waterproo,FBA79381,B0D9KCNVNM,Cancelled,0,,,,,,,,,,Pune,MAHARASHTRA,411045,IN,,false,,,,false,67152475665882,false
407-6481249-5644326,407-6481249-5644326,2026-08-31T17:51:31+00:00,2026-08-31T22:51:36+00:00,Cancelled,Amazon,Amazon.in,,Expedited,Nexlev Hair Straightener Brush For Woman | Ionic Hair Straightener For Woman Brush | Ceramic Plates | 60mm Wide | Thermo Protect | 130-210°C Adjustab,FBA79405,B0D9KFP4MG,Cancelled,0,,,,,,,,,,BHOPAL,MADHYA PRADESH,462003,IN,,false,,,,false,67151753670122,false
408-3055714-6504324,408-3055714-6504324,2026-08-31T17:42:23+00:00,2026-08-31T18:43:52+00:00,Cancelled,Amazon,Amazon.in,,Expedited,"nexlev Sofa Cleaning Machine | 4-Step Vacuum Cleaner for Sofa and Bed, Allergens & Pet Hair with Double Beat, UV Light, Dehumidification & HEPA Filtra",FBA79263,B0CYSLCRQS,Cancelled,0,,,,,,,,,,VADODARA,GUJARAT,390025,IN,,false,,,,false,67152114257682,false
404-8738783-7860305,404-8738783-7860305,2026-08-31T17:27:10+00:00,2026-09-01T15:46:54+00:00,Shipped,Amazon,Amazon.in,,Expedited,"nexlev Sofa Cleaning Machine | 4-Step Vacuum Cleaner for Sofa and Bed, Allergens & Pet Hair with Double Beat, UV Light, Dehumidification & HEPA Filtra",FBA79263,B0CYSLCRQS,Shipped,1,INR,0.0,,,,,,,,VISAKHAPATNAM,ANDHRA PRADESH,530013,IN,,false,,,,false,67148856804282,false
404-5182247-2820318,404-5182247-2820318,2026-08-31T17:20:43+00:00,2026-09-01T08:04:12+00:00,Shipped,Amazon,Amazon.in,,Expedited,"nexlev Sofa Cleaning Machine | 4-Step Vacuum Cleaner for Sofa and Bed, Allergens & Pet Hair with Double Beat, UV Light, Dehumidification & HEPA Filtra",FBA79263,B0CYSLCRQS,Shipped,1,INR,2998.0,,40.0,,,,,40.0,Haldwani,UTTARAKHAND,263139,IN,,false,,,,false,67151412973122,false
407-4372890-0045153,407-4372890-0045153,2026-08-31T17:10:30+00:00,2026-08-31T18:15:26+00:00,Shipped,Amazon,Amazon.in,,Expedited,"NexLev Smart Electric Toothbrush for Adults |2-Min Timer with Quadpacer |2 Replaceable Heads | AAA Battery |3 Modes (Daily, Normal & Sesitive) |Upto 6",FBA79373,B0D2P5TGWK,Shipped,1,INR,0.0,,,,,,,,Gurugram,HARYANA,122012,IN,,false,,,,false,67151488359522,false
