ASIN,SKU,Brand,Model,category_l0,category_l1,category_l2,Qty,Sale,ShippedUnits,ShippedRevenue,CustomerReturns,Channel,Month,WindowStart,WindowEnd
B0B4DPX2J2,FBA75673,Audio Array,AM-C1,Microphone Condenser,USB Microphone Kit - Boomarm,,680,1547324.77,680,0.0,145,1p Sales,2026-07,2026-07-01,2026-07-31
B0B4DS678Q,FBA75676,Audio Array,AM-C4,Microphone Condenser,USB Microphone Kit - Tripod,,6,9722.87,6,0.0,1,1p Sales,2026-07,2026-07-01,2026-07-31
B0B4G19R58,FBA75674,Audio Array,AM-C2,Microphone Condenser,XLR Microphone Kit - Boomarm,,46,146562.75,48,0.0,8,1p Sales,2026-07,2026-07-01,2026-07-31
B0B4G1HPL5,FBA75692,Audio Array,AM-C11,Microphone Dynamic,USB/XLR Dynamic Mic,,9,35839.8,9,0.0,2,1p Sales,2026-07,2026-07-01,2026-07-31
B0B4G1PXWV,FBA75680,Audio Array,AM-C6,Microphone Condenser,USB Microphone Kit - Tripod,,4,6645.77,4,0.0,1,1p Sales,2026-07,2026-07-01,2026-07-31
B0B4G59Y8W,FBA75689,Audio Array,AM-W13,Microphone Wireless Handheld,Wireless Microphone,,14,24648.3,14,0.0,2,1p Sales,2026-07,2026-07-01,2026-07-31
B0B4G5JG4P,FBA75691,Audio Array,AM-W14,Microphone Wireless Handheld,Wireless Microphone,,34,179556.91,33,0.0,2,1p Sales,2026-07,2026-07-01,2026-07-31
B0B4G5ZLTB,FBA75687,Audio Array,AM-W11,Microphone Wireless Lapel,Wireless Microphone,,2,3727.12,1,0.0,1,1p Sales,2026-07,2026-07-01,2026-07-31
B0B4G763WS,FBA75688,Audio Array,AM-W12,Microphone Wireless Handheld,Wireless Microphone,,25,83749.94,26,0.0,2,1p Sales,2026-07,2026-07-01,2026-07-31
B0B4G7VWXD,FBA75684,Audio Array,AA-04,Microphone Accessories,Accessories,,36,51461.14,35,0.0,2,1p Sales,2026-07,2026-07-01,2026-07-31
B0B4G89VQJ,FBA75686,Audio Array,AM-W10,Microphone Wireless Lapel,Wireless Microphone,,0,0.0,1,0.0,0,1p Sales,2026-07,2026-07-01,2026-07-31
B0B4G8PH2P,FBA75678,Audio Array,AA-01,Microphone Accessories,Accessories,,11,19778.83,11,0.0,2,1p Sales,2026-07,2026-07-01,2026-07-31
B0B4G8ZB64,FBA75675,Audio Array,AM-C3,Microphone Dynamic,Vocal Microphone,,27,23616.07,27,0.0,2,1p Sales,2026-07,2026-07-01,2026-07-31
