cohort,lag_months,cum_return_pct,units_shipped,age_months,mature,account
2025-08,0,14.92842535787321,489,12,True,AUDIOARRAY
2025-09,0,7.774798927613941,373,11,True,AUDIOARRAY
2025-10,0,7.345971563981042,422,10,True,AUDIOARRAY
2025-11,0,10.37037037037037,540,9,True,AUDIOARRAY
2025-12,0,9.330143540669857,1254,8,True,AUDIOARRAY
2026-01,0,7.960199004975125,1407,7,True,AUDIOARRAY
2026-02,0,6.345009914077991,1513,6,True,AUDIOARRAY
2026-03,0,10.923423423423422,888,5,True,AUDIOARRAY
2026-04,0,9.587020648967552,678,4,True,AUDIOARRAY
2026-05,0,8.079625292740047,854,3,True,AUDIOARRAY
2026-06,0,12.226066897347174,867,2,True,AUDIOARRAY
2026-07,0,13.405405405405405,925,1,False,AUDIOARRAY
2026-08,0,13.686911890504705,1169,0,False,AUDIOARRAY
2025-08,1,17.177914110429448,489,12,True,AUDIOARRAY
2025-09,1,12.868632707774799,373,11,True,AUDIOARRAY
2025-10,1,13.033175355450238,422,10,True,AUDIOARRAY
2025-11,1,14.25925925925926,540,9,True,AUDIOARRAY
2025-12,1,13.237639553429027,1254,8,True,AUDIOARRAY
2026-01,1,11.727078891257996,1407,7,True,AUDIOARRAY
2026-02,1,10.641110376734964,1513,6,True,AUDIOARRAY
2026-03,1,15.99099099099099,888,5,True,AUDIOARRAY
2026-04,1,14.749262536873156,678,4,True,AUDIOARRAY
2026-05,1,16.74473067915691,854,3,True,AUDIOARRAY
2026-06,1,17.185697808535178,867,2,True,AUDIOARRAY
2026-07,1,19.56756756756757,925,1,False,AUDIOARRAY
2026-08,1,19.24721984602224,1169,0,False,AUDIOARRAY
2025-08,2,17.177914110429448,489,12,True,AUDIOARRAY
2025-09,2,13.404825737265416,373,11,True,AUDIOARRAY
2025-10,2,13.033175355450238,422,10,True,AUDIOARRAY
2025-11,2,14.25925925925926,540,9,True,AUDIOARRAY
2025-12,2,13.237639553429027,1254,8,True,AUDIOARRAY
2026-01,2,11.727078891257996,1407,7,True,AUDIOARRAY
2026-02,2,10.641110376734964,1513,6,True,AUDIOARRAY
2026-03,2,15.99099099099099,888,5,True,AUDIOARRAY
2026-04,2,14.896755162241886,678,4,True,AUDIOARRAY
2026-05,2,16.74473067915691,854,3,True,AUDIOARRAY
2026-06,2,17.185697808535178,867,2,True,AUDIOARRAY
2026-07,2,19.56756756756757,925,1,False,AUDIOARRAY
2026-08,2,19.24721984602224,1169,0,False,AUDIOARRAY
