brand,model,sku,asin,category_l0,category_l1,return_units,returns_3p,returns_1p,return_value,sellable_units,unsellable_units,sellable_pct,units_sold_30d,return_pct,top_reason,last_return_at,source_files
Audio Array,AM-C28,FBA76862,B0BPLWW72Y,Microphone Conference,Conference Microphone,19,6,13,16611.0,4,2,66.7,533,3.6,UNDELIVERABLE_REFUSED,2026-09-01T10:07:39+00:00,Audio Array; 1P
Audio Array,AI-04 Red,FBA76864,B0BPLZ5CGV,Audio Interface,Audio Interface,130,17,113,281525.0,17,0,100.0,1609,8.1,UNDELIVERABLE_REFUSED,2026-09-05T05:00:00+00:00,Audio Array; 1P
Audio Array,AI-03,FBA76863,B0BPM2T7BQ,Audio Interface,Audio Interface,9,2,7,19619.0,2,0,100.0,78,11.5,UNDELIVERABLE_REFUSED,2026-08-27T12:39:29+00:00,Audio Array; 1P
Audio Array,AM-C29,FBA77011,B0BPMN89NG,Microphone Condenser,USB Microphone Kit - Tripod,3,3,0,10562.0,2,1,66.7,8,37.5,UNDELIVERABLE_REFUSED,2026-08-14T08:54:49+00:00,Audio Array
Audio Array,AA-06,FBA76597,B0BQ7H7418,Microphone Accessories,Accessories,9,3,6,5385.0,3,0,100.0,120,7.5,UNDELIVERABLE_REFUSED,2026-09-03T10:50:12+00:00,Audio Array; 1P
Tonor,TC310,FBA79113,B0BTCXQQ6M,Condenser Microphone,Tripod - RGB,2,2,0,2412.0,2,0,100.0,28,7.1,UNDELIVERABLE_REFUSED,2026-09-06T04:51:12+00:00,viomi
Audio Array,AM-C30,FBA78203,B0C4YTNJG7,Microphone Condenser,RGB USB Microphone Kit - Tripod,1,1,0,3196.0,1,0,100.0,2,50.0,UNDELIVERABLE_REFUSED,2026-08-19T09:17:10+00:00,Audio Array
Audio Array,AM-C32,FBA78205,B0C539RBGL,Microphone Condenser,RGB USB Microphone Kit - Tripod,2,2,0,5242.0,1,1,50.0,6,33.3,DEFECTIVE,2026-09-01T04:07:12+00:00,Audio Array
Audio Array,AM-C33,FBA78420,B0C5957W3P,Microphone Lapel,Lavalier Microphone,1,1,0,461.0,1,0,100.0,4,25.0,DEFECTIVE,2026-08-30T11:46:49+00:00,Audio Array
Audio Array,AM-C36,FBA78423,B0C598Q6PT,Microphone Lapel,Lavalier Microphone,1,1,0,454.0,0,1,0.0,2,50.0,DEFECTIVE,2026-08-22T03:43:28+00:00,viomi
Audio Array,AM-C39,FBA78960,B0CBCB82MT,Microphone Condenser,XLR Microphone Kit - Tripod,19,5,14,13948.0,1,4,20.0,112,17.0,DEFECTIVE,2026-08-06T09:40:21+00:00,Audio Array; 1P
Tonor,TC310+,FBA79114,B0CCV74CL7,Condenser Microphone,Boom Arm Kit - USB - RGB,10,4,6,16890.0,3,1,75.0,102,9.8,UNDELIVERABLE_REFUSED,2026-07-03T10:34:59+00:00,viomi; 1P
Nexlev,GS-02,FBA78980,B0CDPMX152,Home & Kitchen,Fabric Care,54,54,0,68040.0,40,14,74.1,577,9.4,UNDELIVERABLE_REFUSED,2026-09-08T07:35:22+00:00,Nexlev; viomi
Nexlev,SC-01,FBA78981,B0CDPP45BM,Home & Kitchen,Cleaning & Vacumming,188,188,0,335768.0,120,68,63.8,1507,12.5,UNDELIVERABLE_REFUSED,2026-09-08T04:45:57+00:00,Nexlev; viomi
Nexlev,NP-02,FBA78995,B0CDQ55W2M,Home & Kitchen,Travel Accessories,1,1,0,418.0,0,1,0.0,2,50.0,QUALITY_UNACCEPTABLE,2026-08-30T07:00:28+00:00,Nexlev
Audio Array,AA-21,FBA78975,B0CF5TCQKL,Monitor Speakers Accessories,Monitor Speaker Stand Pair,28,11,17,48239.0,8,3,72.7,368,7.6,UNDELIVERABLE_REFUSED,2026-09-01T11:34:24+00:00,Audio Array; 1P
Tonor,T20LP,FBA79585,B0CFKHCQ8W,Accessories,Low Profile Boom Arm,6,6,0,5070.0,4,2,66.7,36,16.7,UNDELIVERABLE_REFUSED,2026-09-05T12:46:12+00:00,viomi
Audio Array,AM-C3a,FBA79016,B0CH4R1V6S,Microphone Dynamic,Vocal Microphone,5,2,3,2608.0,1,1,50.0,24,20.8,DEFECTIVE,2026-08-13T08:36:50+00:00,Audio Array; 1P
Audio Array,AM-C43,FBA79011,B0CH4RNWJX,Microphone Condenser,XLR Microphone Kit - Boomarm,25,3,22,32601.0,2,1,66.7,245,10.2,UNDELIVERABLE_REFUSED,2026-08-10T06:26:02+00:00,Audio Array; 1P
Audio Array,AI-06,FBA79008,B0CH4RT4P8,Audio Interface,Audio Interface,6,1,5,17605.0,1,0,100.0,26,23.1,DEFECTIVE,2026-09-04T11:14:24+00:00,Audio Array; 1P
