account,month,sku,asin,units,principal,tax,promo,referral,fulfilment,closing,other_fees
AUDIOARRAY,2026-08,FBK79708,B0FJS7JZ4V,1,1016.1,182.9,-23.98,-194.11,-135.7,-61.36,0.0
AUDIOARRAY,2026-08,FBA79107,B0CM9P5CCK,1,1439.83,259.17,-73.97999999999999,-225.95,-69.62,-61.36,0.0
AUDIOARRAY,2026-08,FBA80003,B0GW92TTMS,2,8980.51,1616.49,0.0,-1375.49,-271.4,-122.72,0.0
AUDIOARRAY,2026-08,FBA79008,B0CH4RT4P8,1,2280.5,410.5,0.0,-349.29,-90.86,-61.36,0.0
AUDIOARRAY,2026-08,FBA75692,B0B4G1HPL5,3,7794.92,1403.08,-131.98,-1181.96,-311.52,-122.72,0.0
AUDIOARRAY,2026-08,FBA79833,B0FJ8PZ9H7,1,11524.58,2074.42,0.0,-1765.15,-252.52,-61.36,0.0
AUDIOARRAY,2026-08,FBA79845,B0FN7B3KWS,2,18303.38,3294.62,-471.96,-2747.34,-946.04,-122.72,0.0
AUDIOARRAY,2026-08,FBA80009,B0GW8R2RYM,1,1355.08,243.92,-40.0,-207.55,-90.86,-61.36,0.0
AUDIOARRAY,2026-08,FBA79355,B0D3M86SH1,3,8124.58,1462.42,-131.76,-1232.48,-523.92,-122.72,0.0
AUDIOARRAY,2026-08,FBA80141,B0FJS57732,16,35750.0,6435.000000000002,-561.9000000000001,-5439.01,-2127.5400000000004,-920.4000000000001,0.0
AUDIOARRAY,2026-08,FBA79064,B0CJR76Y7G,1,689.83,124.17,-40.0,0.0,-69.62,-31.86,0.0
AUDIOARRAY,2026-08,FBA79975,B0GXP7LJ75,2,5591.52,1006.48,-40.0,-622.86,-139.24,-122.72,0.0
AUDIOARRAY,2026-08,FBA79905,B0FTVSH458,1,4914.4,884.6,-115.98,-737.65,-213.57999999999998,-61.36,0.0
AUDIOARRAY,2026-08,FBA79109,B0CM9HYVDM,1,1007.62,181.38,0.0,-154.33,-90.86,-61.36,0.0
AUDIOARRAY,2026-08,FBA79846,B0FN7C25VS,1,3274.58,589.42,-40.0,-501.55,-213.57999999999998,-61.36,0.0
AUDIOARRAY,2026-08,FBA79449,B0DFMNGFTD,3,10676.28,1921.72,-125.98,-1618.87,-407.09999999999997,-122.72,0.0
AUDIOARRAY,2026-08,FBA79380,B0D3M1B4Z8,1,2965.25,533.75,0.0,-454.17,-135.7,-61.36,-59.0
AUDIOARRAY,2026-08,FBA79958,B0G3Q59X8C,1,1270.34,228.66,-40.0,-194.57,-69.62,-61.36,0.0
AUDIOARRAY,2026-08,FBA79821,B0FJ2JJZL3,1,17795.76,3203.24,-419.98,-2671.15,-523.92,-61.36,0.0
AUDIOARRAY,2026-08,FBM80141,,1,2414.41,434.59,-56.98,-362.4,0.0,-89.68,0.0
AUDIOARRAY,2026-08,FBA79957,B0G3Q517Y2,1,2541.52,457.48,-66.31,-381.49,-69.62,-61.36,0.0
AUDIOARRAY,2026-08,FBA80106,B0H2FCK54H,1,8897.46,1601.54,-209.98,-2063.97,-523.92,-61.36,0.0
AUDIOARRAY,2026-08,__AFFORDABILITY__,,0,0.0,0.0,0.0,0.0,0.0,0.0,-7271.670000000001
