asin,brand,model,sku,account,referral_rs,referral_pct,variable_closing_rs,per_item_rs,fba_fees_rs,total_fees_rs,total_fees_pct,referral_rs_gross,total_fees_rs_gross,gst_rate,price_used_rs,price_source,buybox_price_rs,buybox_seller_id,buybox_belongs_to_us,currency,fetched_at
B0FS7T8151,Nexlev,MF-01,FBA79810,NEXLEV,0.0,0.0,0.0,27.0,59.0,86.0,16.93,0.0,101.48,0.18,508.0,listing,508.0,AVYXL4PPA4XRV,True,INR,2026-07-16T11:04:23+00:00
B0FSF1N457,Nexlev,MC-01,FBA79811,NEXLEV,0.0,0.0,0.0,27.0,59.0,86.0,14.01,0.0,101.48,0.18,614.0,listing,559.0,AVYXL4PPA4XRV,True,INR,2026-07-16T11:04:23+00:00
B0FS6TB7CP,Nexlev,PB-01,FBA79812,NEXLEV,116.82,4.5,0.0,52.0,110.0,278.82,10.74,137.85,329.01,0.18,2596.0,listing,2399.0,AVYXL4PPA4XRV,True,INR,2026-07-16T11:04:23+00:00
B0FT8R24QM,Nexlev,LR-03,FBA79819,NEXLEV,0.0,0.0,0.0,18.0,59.0,77.0,16.52,0.0,90.86,0.18,466.0,listing,399.0,AVYXL4PPA4XRV,True,INR,2026-07-16T11:04:23+00:00
B0FPGDVVCX,Nexlev,CFM-03,FBA79849,NEXLEV,441.98,7.5,0.0,52.0,115.0,608.98,10.33,521.54,718.6,0.18,5893.0,listing,5893.0,AVYXL4PPA4XRV,True,INR,2026-07-16T11:04:23+00:00
B0DQ8W1RBV,Nexlev,V-01 RG,FBK79271,NEXLEV,140.89,9.5,0.0,52.0,77.0,269.89,18.2,166.25,318.47,0.18,1483.0,listing,1483.0,AVYXL4PPA4XRV,True,INR,2026-07-16T11:04:23+00:00
B0D845B2DG,Nexlev,LR-02,FBA79280,NEXLEV,70.56,4.5,0.0,52.0,77.0,199.56,12.73,83.26,235.48,0.18,1568.0,listing,1499.0,AVYXL4PPA4XRV,True,INR,2026-07-16T11:04:23+00:00
B0F2N1HTBT,Nexlev,SC-04 Set of 2 Mops,FBA79714,NEXLEV,0.0,0.0,0.0,18.0,77.0,95.0,20.0,0.0,112.1,0.18,475.0,listing,,,False,INR,2026-07-16T11:04:23+00:00
B0FMF1D9NV,Nexlev,SC-04 Spare Set,FBA79843,NEXLEV,0.0,0.0,0.0,26.0,77.0,103.0,37.45,0.0,121.54,0.18,275.0,listing,275.0,AVYXL4PPA4XRV,True,INR,2026-07-16T11:04:23+00:00
B0F2MZ8CG9,Nexlev,SM-01 Set of 2 Mops,FBA79716,NEXLEV,0.0,0.0,0.0,22.0,110.0,132.0,33.08,0.0,155.76,0.18,399.0,listing,,,False,INR,2026-07-16T11:04:23+00:00
B0F2MZ9BJS,Nexlev,SPM-01 Set of 2 Mops,FBA79717,NEXLEV,0.0,0.0,0.0,26.0,59.0,85.0,28.43,0.0,100.3,0.18,299.0,listing,,,False,INR,2026-07-16T11:04:23+00:00
B0F2N37819,Nexlev,LR-01 Set of 2 blades,FBA79606,NEXLEV,0.0,0.0,0.0,18.0,59.0,77.0,20.53,0.0,90.86,0.18,375.0,listing,375.0,AVYXL4PPA4XRV,True,INR,2026-07-16T11:04:23+00:00
B0F2N11VTN,Nexlev,LR-02 Set of 2 blades,FBA79607,NEXLEV,0.0,0.0,0.0,22.0,59.0,81.0,17.05,0.0,95.58,0.18,475.0,listing,475.0,AVYXL4PPA4XRV,True,INR,2026-07-16T11:04:23+00:00
B0DGTGKPJR,Nexlev,MR-01 HEPA Filter,FBA79436,NEXLEV,0.0,0.0,0.0,26.0,59.0,85.0,41.67,0.0,100.3,0.18,204.0,listing,,,False,INR,2026-07-16T11:04:23+00:00
B0F2N4N83Y,Nexlev,MR-02 HEPA Filter,FBA79721,NEXLEV,0.0,0.0,0.0,26.0,77.0,103.0,58.86,0.0,121.54,0.18,175.0,listing,175.0,AVYXL4PPA4XRV,True,INR,2026-07-16T11:04:23+00:00
B0F2N31GNX,Nexlev,SS-02 Set of Spares,FBA79657,NEXLEV,0.0,0.0,0.0,27.0,77.0,104.0,11.89,0.0,122.72,0.18,875.0,listing,875.0,AVYXL4PPA4XRV,True,INR,2026-07-16T11:04:23+00:00
B0F678L8YT,Nexlev,SC-01 Set of Spares,FBA79771,NEXLEV,0.0,0.0,0.0,18.0,77.0,95.0,23.81,0.0,112.1,0.18,399.0,listing,399.0,AVYXL4PPA4XRV,True,INR,2026-07-16T11:04:23+00:00
B0F67BSF2R,Nexlev,SC-02 Set of Spares,FBA79772,NEXLEV,0.0,0.0,0.0,18.0,59.0,77.0,19.3,0.0,90.86,0.18,399.0,listing,,,False,INR,2026-07-16T11:04:23+00:00
B0F74DJYG6,Nexlev,VC-01 HEPA,FBA79773,NEXLEV,0.0,0.0,0.0,26.0,77.0,103.0,41.53,0.0,121.54,0.18,248.0,listing,299.0,AVYXL4PPA4XRV,True,INR,2026-07-16T11:04:23+00:00
B0F678RRCX,Nexlev,VC-02 HEPA,FBA79774,NEXLEV,0.0,0.0,0.0,26.0,59.0,85.0,34.14,0.0,100.3,0.18,249.0,listing,,,False,INR,2026-07-16T11:04:23+00:00
B0F67775SH,Nexlev,VC-03 HEPA,FBA79775,NEXLEV,0.0,0.0,0.0,26.0,59.0,85.0,34.14,0.0,100.3,0.18,249.0,listing,,,False,INR,2026-07-16T11:04:23+00:00
B0F679QJH4,Nexlev,VC-04 HEPA,FBA79776,NEXLEV,0.0,0.0,0.0,26.0,59.0,85.0,34.14,0.0,100.3,0.18,249.0,listing,,,False,INR,2026-07-16T11:04:23+00:00
B0F6795PDP,Nexlev,AP-01 HEPA,FBA79777,NEXLEV,269.93,7.5,0.0,52.0,314.55,636.48,17.68,318.52,751.05,0.18,3599.0,listing,3599.0,AVYXL4PPA4XRV,True,INR,2026-07-16T11:04:23+00:00
B0F67BW7SF,Nexlev,AP-03 HEPA,FBA79778,NEXLEV,82.43,7.5,0.0,52.0,77.0,211.43,19.24,97.27,249.49,0.18,1099.0,listing,1099.0,AVYXL4PPA4XRV,True,INR,2026-07-16T11:04:23+00:00
B0FYNKYJFN,Nexlev,SC-05 SC-05 - Set of Spares,FBA79912,NEXLEV,0.0,0.0,0.0,22.0,59.0,81.0,20.3,0.0,95.58,0.18,399.0,listing,,,False,INR,2026-07-16T11:04:23+00:00
B0FYNLPK1B,Nexlev,"VC-05 VC-05 -Set of Spares(Crevice, Brush & Hose)",FBA79913,NEXLEV,0.0,0.0,0.0,22.0,59.0,81.0,20.3,0.0,95.58,0.18,399.0,listing,399.0,AVYXL4PPA4XRV,True,INR,2026-07-16T11:04:23+00:00
B0FYNR2XCB,Nexlev,ST-01 ST-01 Bowl,FBA79914,NEXLEV,0.0,0.0,0.0,27.0,77.0,104.0,13.0,0.0,122.72,0.18,800.0,listing,,,False,INR,2026-07-16T11:04:23+00:00
B0FYNT1TW7,Nexlev,ST-01 ST-01 Set of Hooks,FBA79915,NEXLEV,67.5,4.5,0.0,52.0,77.0,196.5,13.1,79.65,231.87,0.18,1500.0,listing,,,False,INR,2026-07-16T11:04:23+00:00
B0GN85NZQN,Nexlev,DH-01,FBM79991,NEXLEV,450.42,8.5,0.0,52.0,115.0,617.42,11.65,531.5,728.56,0.18,5299.0,listing,5499.0,AVYXL4PPA4XRV,True,INR,2026-07-16T11:04:23+00:00
B0GN85NZQN,Nexlev,DH-01,FBA79991,NEXLEV,467.42,8.5,0.0,52.0,115.0,634.42,11.54,551.56,748.62,0.18,5499.0,listing,5499.0,AVYXL4PPA4XRV,True,INR,2026-07-16T11:04:23+00:00
B0GGHZWMVW,Nexlev,SP-01,FBA79971,NEXLEV,1019.92,8.5,0.0,52.0,300.13,1372.05,11.43,1203.51,1619.02,0.18,11999.0,listing,11999.0,AVYXL4PPA4XRV,True,INR,2026-07-16T11:04:23+00:00
B0GN8N96R5,Nexlev,AP-04,FBA79988,NEXLEV,549.53,8.5,0.0,52.0,176.0,777.53,12.03,648.45,917.49,0.18,6465.0,listing,6199.0,AVYXL4PPA4XRV,True,INR,2026-07-16T11:04:23+00:00
B0GN94YDY2,Nexlev,ST-02,FBA79992,NEXLEV,915.76,8.0,0.0,52.0,271.53,1239.29,10.83,1080.6,1462.36,0.18,11447.0,listing,10999.0,AVYXL4PPA4XRV,True,INR,2026-07-16T11:04:23+00:00
B0GN8WW6BC,Nexlev,ST-03,FBA79993,NEXLEV,1144.72,8.0,0.0,52.0,314.36,1511.08,10.56,1350.77,1783.07,0.18,14309.0,listing,13999.0,AVYXL4PPA4XRV,True,INR,2026-07-16T11:04:23+00:00
B0GM1CZC7Y,Nexlev,MR-03,FBA79984,NEXLEV,467.42,8.5,0.0,52.0,228.0,747.42,13.59,551.56,881.96,0.18,5499.0,listing,5499.0,AVYXL4PPA4XRV,True,INR,2026-07-16T11:04:23+00:00
B0GN86G345,Nexlev,CAP-05,FBA79989,NEXLEV,304.63,12.5,0.0,52.0,59.0,415.63,17.05,359.46,490.44,0.18,2437.0,listing,2437.0,AVYXL4PPA4XRV,True,INR,2026-07-16T11:04:23+00:00
B0G1YKMFWT,Nexlev,LE-06,FBP79569,NEXLEV,127.43,7.5,0.0,52.0,59.0,238.43,14.03,150.37,281.35,0.18,1699.0,listing,,,False,INR,2026-07-16T11:04:23+00:00
B0GYS6CJD9,Nexlev,SC-01_Mop_Cloth,FBA80113,NEXLEV,0.0,0.0,0.0,26.0,59.0,85.0,42.71,0.0,100.3,0.18,199.0,listing,,,False,INR,2026-07-16T11:04:23+00:00
B0GQCB4PJC,Nexlev,nan,FBA80079,NEXLEV,1937.38,12.5,0.0,52.0,228.03,2217.41,14.31,2286.11,2616.54,0.18,15499.0,listing,,,False,INR,2026-07-16T11:04:23+00:00
B0GQGK4GJ7,Nexlev,nan,FBA80081,NEXLEV,382.43,7.5,0.0,52.0,148.0,582.43,11.42,451.27,687.27,0.18,5099.0,listing,,,False,INR,2026-07-16T11:04:23+00:00
B0GQGXR9D7,Nexlev,nan,FBA80080,NEXLEV,1189.92,8.5,0.0,52.0,115.0,1356.92,9.69,1404.11,1601.17,0.18,13999.0,listing,,,False,INR,2026-07-16T11:04:23+00:00
B0GQGZVGLL,Nexlev,nan,FBA80082,NEXLEV,442.43,7.5,0.0,52.0,115.0,609.43,10.33,522.07,719.13,0.18,5899.0,listing,,,False,INR,2026-07-16T11:04:23+00:00
B0GQC12GDP,Nexlev,nan,FBA80078,NEXLEV,1874.88,12.5,0.0,52.0,228.03,2154.92,14.37,2212.36,2542.8,0.18,14999.0,listing,,,False,INR,2026-07-16T11:04:23+00:00
