asin,brand,model,sku,account,referral_rs,referral_pct,variable_closing_rs,per_item_rs,fba_fees_rs,total_fees_rs,total_fees_pct,referral_rs_gross,total_fees_rs_gross,gst_rate,price_used_rs,price_source,buybox_price_rs,buybox_seller_id,buybox_belongs_to_us,currency,fetched_at
B0D86ZC9YT,Nexlev,HD-01,FBA79278,NEXLEV,139.94,9.5,0.0,52.0,77.0,268.94,18.26,165.13,317.35,0.18,1473.0,listing,1473.0,AVYXL4PPA4XRV,True,INR,2026-07-16T11:04:23+00:00
B0D8445KJN,Nexlev,LR-01,FBA79279,NEXLEV,132.38,12.5,0.0,52.0,59.0,243.38,22.98,156.21,287.19,0.18,1059.0,listing,899.0,A15YBOSC0EMOS0,False,INR,2026-07-16T11:04:23+00:00
B0D63FKYZ5,Nexlev,HM-01,FBA79332,NEXLEV,79.43,7.5,0.0,52.0,59.0,190.43,17.98,93.73,224.71,0.18,1059.0,listing,,,False,INR,2026-07-16T11:04:23+00:00
B0D63DTKQB,Nexlev,HM-02,FBA79333,NEXLEV,218.23,14.5,0.0,52.0,59.0,329.23,21.88,257.51,388.49,0.18,1505.0,listing,,,False,INR,2026-07-16T11:04:23+00:00
B0D25LNDSY,Nexlev,ETC-04-WH,FBA79346,NEXLEV,0.0,0.0,0.0,27.0,59.0,86.0,10.83,0.0,101.48,0.18,794.0,listing,794.0,AVYXL4PPA4XRV,True,INR,2026-07-16T11:04:23+00:00
B0D842173P,Nexlev,ETC-05-PI,FBK79347,NEXLEV,0.0,0.0,0.0,27.0,59.0,86.0,10.83,0.0,101.48,0.18,794.0,listing,794.0,AVYXL4PPA4XRV,True,INR,2026-07-16T11:04:23+00:00
B0D81DLSFT,Nexlev,HD-02,FBA79348,NEXLEV,0.0,0.0,0.0,27.0,77.0,104.0,10.41,0.0,122.72,0.18,999.0,listing,999.0,AVYXL4PPA4XRV,True,INR,2026-07-16T11:04:23+00:00
B0D86Y2V7V,Nexlev,HD-02,FBA79461,NEXLEV,0.0,0.0,0.0,27.0,77.0,104.0,12.25,0.0,122.72,0.18,849.0,listing,,,False,INR,2026-07-16T11:04:23+00:00
B0D9KDQCCM,Nexlev,SW-01,FBA79349,NEXLEV,0.0,0.0,0.0,27.0,77.0,104.0,10.41,0.0,122.72,0.18,999.0,listing,999.0,AVYXL4PPA4XRV,True,INR,2026-07-16T11:04:23+00:00
B0F5X2C11Z,Nexlev,SW-01,FBA79779,NEXLEV,50.04,4.5,0.0,52.0,5624.0,5726.04,514.93,59.05,6756.73,0.18,1112.0,listing,,,False,INR,2026-07-16T11:04:23+00:00
B0D67727VG,Nexlev,EA-01,FBP79350,NEXLEV,83.4,7.5,0.0,52.0,59.0,194.4,17.48,98.41,229.39,0.18,1112.0,listing,1099.0,AVYXL4PPA4XRV,True,INR,2026-07-16T11:04:23+00:00
B0D637B562,Nexlev,WF-02-BL,FBA79352,NEXLEV,152.25,12.5,0.0,52.0,115.0,319.25,26.21,179.66,376.72,0.18,1218.0,listing,,,False,INR,2026-07-16T11:04:23+00:00
B0D2P5TGWK,Nexlev,ET-01-BK,FBA79373,NEXLEV,0.0,0.0,0.0,22.0,59.0,81.0,25.55,0.0,95.58,0.18,317.0,listing,299.0,AVYXL4PPA4XRV,True,INR,2026-07-16T11:04:23+00:00
B0D2P7WLJB,Nexlev,ET-02-GN,FBA79374,NEXLEV,0.0,0.0,0.0,22.0,59.0,81.0,25.55,0.0,95.58,0.18,317.0,listing,299.0,AVYXL4PPA4XRV,True,INR,2026-07-16T11:04:23+00:00
B0D2P6KF4N,Nexlev,ET-03-BL,FBA79375,NEXLEV,0.0,0.0,0.0,22.0,59.0,81.0,25.55,0.0,95.58,0.18,317.0,listing,,,False,INR,2026-07-16T11:04:23+00:00
B0D9KCNVNM,Nexlev,ETR-06,FBA79381,NEXLEV,91.35,7.5,0.0,52.0,59.0,202.35,16.61,107.79,238.77,0.18,1218.0,listing,1218.0,AVYXL4PPA4XRV,True,INR,2026-07-16T11:04:23+00:00
B0D9KFZYG8,Nexlev,FS-01,FBA79404,NEXLEV,122.43,7.0,0.0,52.0,115.0,289.43,16.55,144.47,341.53,0.18,1749.0,listing,1715.0,A15YBOSC0EMOS0,False,INR,2026-07-16T11:04:23+00:00
B0DCK3N2JJ,Nexlev,HSB-04,FBA79406,NEXLEV,250.71,9.5,0.0,52.0,59.0,361.71,13.71,295.84,426.82,0.18,2639.0,listing,2639.0,AVYXL4PPA4XRV,True,INR,2026-07-16T11:04:23+00:00
B0DCK7ZH5P,Nexlev,MR-02,FBA79439,NEXLEV,159.75,4.5,0.0,52.0,148.0,359.75,10.13,188.51,424.51,0.18,3550.0,listing,3369.0,AVYXL4PPA4XRV,True,INR,2026-07-16T11:04:23+00:00
B0DCGHKRXX,Nexlev,LE-02,FBA79440,NEXLEV,191.24,9.5,0.0,52.0,77.0,320.24,15.91,225.66,377.88,0.18,2013.0,listing,1899.0,AVYXL4PPA4XRV,True,INR,2026-07-16T11:04:23+00:00
B0D9KFQG8Q,Nexlev,LE-03,FBA79443,NEXLEV,126.07,7.0,0.0,52.0,59.0,237.07,13.16,148.76,279.74,0.18,1801.0,listing,1699.0,AVYXL4PPA4XRV,True,INR,2026-07-16T11:04:23+00:00
B0D9KCKY9F,Nexlev,SS-01,FBA79451,NEXLEV,128.75,4.5,0.0,52.0,115.0,295.75,10.34,151.93,348.99,0.18,2861.0,listing,,,False,INR,2026-07-16T11:04:23+00:00
B0DCGHVN81,Nexlev,VC-01,FBA79452,NEXLEV,97.74,4.5,0.0,52.0,181.0,330.74,15.23,115.33,390.27,0.18,2172.0,listing,,,False,INR,2026-07-16T11:04:23+00:00
B0DCK56Q85,Nexlev,VC-02,FBA79463,NEXLEV,116.82,4.5,0.0,52.0,115.0,283.82,10.93,137.85,334.91,0.18,2596.0,listing,2499.0,AVYXL4PPA4XRV,True,INR,2026-07-16T11:04:23+00:00
