brand,sku,asin,model,category_l1,category_l2,product_name,latest_fob,nlc,dp,mrp,bau_deal_sp,bau_sp_mop,gross_margin,gross_margin_pct,net_margin,net_margin_pct,total_stock,soh,am_soh,am_intransit
White Mulberry,FBA79175,B0CPT2YJX2,WM-SMD09-WH,Manual Sit-stand,,Manual Sit-stand,24.91,3889.070549999999,3475.82,0,8499.0,9008.94,3726.72,43.85,322.42,3.79,15,15,0,0
White Mulberry,FBA79176,B0CPT25SD8,WM-MD09-BK,Manual Sit-stand,,Manual Sit-stand,54.4,7713.68832,6787.02,0,15001.0,15901.06,5925.69,39.5,-105.73,-0.7,0,0,0,0
White Mulberry,FBA79658,B0DQ1PKNSP,WM-MDL-WH,Manual Sit-stand,,Manual Sit-stand,49.62,7057.667024999999,6231.07,28999,15001.0,15901.06,6481.64,43.21,1125.74,7.5,0,0,0,0
White Mulberry,FBA79659,B0DQ1NV8D2,WM-MDL-BK,Manual Sit-stand,,Manual Sit-stand,49.62,7057.667024999999,6231.07,28999,15001.0,15901.06,6481.64,43.21,1297.74,8.65,1,1,0,0
White Mulberry,FBA76383,B0BF4TKQKN,WM-SEH04P-BK,Motorised Sit-stand,,Motorised Sit-stand,83.0,11699.4420225,10164.78,34999,15001.0,15901.06,2547.93,16.99,-3283.3,-21.89,0,0,0,0
White Mulberry,FBA76388,B0BF4VRJJ1,WM-SEH04P-WH,Motorised Sit-stand,,Motorised Sit-stand,83.0,11699.4420225,10164.78,0,15999.0,16958.94,3393.69,21.21,-2716.98,-16.98,0,0,0,0
White Mulberry,FBA79433,B0DC3JRBW1,WM-SE08-WD,Motorised Sit-stand,,Motorised Sit-stand,64.0,10816.47,9416.5,0,15999.0,16958.94,4141.97,25.89,-2822.06,-17.64,0,0,0,0
White Mulberry,FBA79177,B0CPT34B2L,WM-SE08-BK,Motorised Sit-stand,,Motorised Sit-stand,64.0,9182.052,8031.4,27999,15999.0,16958.94,5527.07,34.55,-118.21,-0.74,0,0,0,0
White Mulberry,FBA79178,B0CPT2NY5M,WM-SE08-WH,Motorised Sit-stand,,Motorised Sit-stand,64.0,9177.7509,8027.76,27999,15999.0,16958.94,5530.72,34.57,-114.22,-0.71,12,0,0,0
White Mulberry,FBA79179,B0CPT3Q25C,WM-SE08-CF,Motorised Sit-stand,,Motorised Sit-stand,58.86,8481.769199999999,7437.94,27999,15999.0,16958.94,6120.53,38.26,531.27,3.32,18,0,0,0
White Mulberry,FBA79660,B0DQ4ZK2WQ,WM-MODL-BBW,Motorised Sit-stand,,Motorised Sit-stand,58.86,8021.5515,7047.92,34999,15999.0,16958.94,6510.55,40.69,1058.11,6.61,0,0,0,0
White Mulberry,FBA79661,B0DQ51R95T,WM-MODL-BK,Motorised Sit-stand,,Motorised Sit-stand,58.86,8021.5515,7047.92,34999,15999.0,16958.94,6510.55,40.69,958.11,5.99,1,0,0,0
White Mulberry,FBA79662,B0DQ4YWSMC,WM-MODL-WH,Motorised Sit-stand,,Motorised Sit-stand,58.86,8021.5515,7047.92,34999,15999.0,16958.94,6510.55,40.69,1058.11,6.61,33,12,0,0
White Mulberry,FBA79164,B0CPFN27Z2,WM-USE06-BK,USB Drawer Desk,,USB Drawer Desk,88.4,12481.6329,10827.66,33999,22999.0,24378.94,8663.02,37.67,893.77,3.89,3,0,0,0
