week,Model,inventory_ampm,inventory_1p,inventory_amazon,inventory_total_amazon,pipeline_orders,inv_units_model
13,AM-W44,0.0,0.0,0.0,0.0,0.0,0.0
13,AM-W45,531.0,36.0,45.0,612.0,0.0,612.0
13,AM-W46,14.0,4.0,2.0,20.0,0.0,20.0
13,AM-W47 WIRED,647.0,86.0,70.0,803.0,0.0,803.0
13,AM-W47 WIRELESS,0.0,72.0,28.0,100.0,0.0,100.0
13,AM-W47 WIRLESS,348.0,0.0,0.0,348.0,0.0,348.0
13,AM-W48,0.0,0.0,0.0,0.0,0.0,0.0
13,AP-01,24.0,0.0,30.0,54.0,0.0,54.0
13,AP-02,2.0,0.0,0.0,2.0,0.0,2.0
13,AP-03,487.0,0.0,261.0,748.0,0.0,748.0
13,AP-04,0.0,0.0,0.0,0.0,500.0,0.0
13,AR11338,0.0,0.0,4.0,4.0,0.0,4.0
13,AR11360,0.0,0.0,4.0,4.0,0.0,4.0
13,AR11484,0.0,0.0,4.0,4.0,0.0,4.0
13,AR11499,0.0,0.0,1.0,1.0,0.0,1.0
13,AR11500,0.0,0.0,5.0,5.0,0.0,5.0
13,AR11558,0.0,0.0,2.0,2.0,0.0,2.0
13,AR11568,0.0,0.0,3.0,3.0,0.0,3.0
13,AR11575,0.0,0.0,5.0,5.0,0.0,5.0
13,AR11582,0.0,0.0,6.0,6.0,0.0,6.0
13,AR11596,0.0,0.0,4.0,4.0,0.0,4.0
13,AR11610,0.0,0.0,9.0,9.0,0.0,9.0
13,AR11620,0.0,0.0,2.0,2.0,0.0,2.0
13,AR11621,0.0,0.0,2.0,2.0,0.0,2.0
13,AR11622,0.0,0.0,6.0,6.0,0.0,6.0
13,AR11623,0.0,0.0,3.0,3.0,0.0,3.0
13,AR11624,0.0,0.0,1.0,1.0,0.0,1.0
13,AR11625,0.0,0.0,3.0,3.0,0.0,3.0
13,AR11626,0.0,0.0,2.0,2.0,0.0,2.0
13,AR11635,0.0,0.0,2.0,2.0,0.0,2.0
13,AR11636,0.0,0.0,7.0,7.0,0.0,7.0
13,AR11637,0.0,0.0,4.0,4.0,0.0,4.0
13,AR11639,0.0,0.0,0.0,0.0,0.0,0.0
13,AR11640,0.0,0.0,0.0,0.0,0.0,0.0
13,AR11660,0.0,0.0,2.0,2.0,0.0,2.0
13,AR11661,0.0,0.0,7.0,7.0,0.0,7.0
13,AR11662,0.0,0.0,3.0,3.0,0.0,3.0
13,AR11663,0.0,0.0,3.0,3.0,0.0,3.0
13,AR11664,0.0,0.0,3.0,3.0,0.0,3.0
13,AR11665,0.0,0.0,7.0,7.0,0.0,7.0
13,AR11666,0.0,0.0,10.0,10.0,0.0,10.0
13,AR11669,0.0,0.0,5.0,5.0,0.0,5.0
13,AR11671,0.0,0.0,2.0,2.0,0.0,2.0
13,AR11672,0.0,0.0,4.0,4.0,0.0,4.0
13,AR11674,0.0,0.0,3.0,3.0,0.0,3.0
13,AR11676,0.0,0.0,4.0,4.0,0.0,4.0
13,AR11677,0.0,0.0,2.0,2.0,0.0,2.0
13,AR11688,0.0,0.0,2.0,2.0,0.0,2.0
13,AR11689,0.0,0.0,9.0,9.0,0.0,9.0
13,AR11690,0.0,0.0,3.0,3.0,0.0,3.0
13,AR11691,0.0,0.0,3.0,3.0,0.0,3.0
13,AR11693,0.0,0.0,5.0,5.0,0.0,5.0
13,AR11694,0.0,0.0,3.0,3.0,0.0,3.0
13,AR11706,0.0,0.0,4.0,4.0,0.0,4.0
13,AR11707,0.0,0.0,3.0,3.0,0.0,3.0
13,AR11708,0.0,0.0,3.0,3.0,0.0,3.0
13,AR11713,0.0,0.0,2.0,2.0,0.0,2.0
13,AR11714,0.0,0.0,4.0,4.0,0.0,4.0
13,AR11718,0.0,0.0,3.0,3.0,0.0,3.0
13,AR11754,0.0,0.0,3.0,3.0,0.0,3.0
13,AR11756,0.0,0.0,7.0,7.0,0.0,7.0
13,AR11757,0.0,0.0,3.0,3.0,0.0,3.0
13,AR11759,0.0,0.0,7.0,7.0,0.0,7.0
13,AR11770,0.0,0.0,3.0,3.0,0.0,3.0
13,AR11771,0.0,0.0,7.0,7.0,0.0,7.0
