cohort,lag_months,cum_return_pct,units_shipped,age_months,mature,account
2025-10,4,14.94057724957555,4712,10,True,NEXLEV
2025-11,4,16.496685364609892,3922,9,True,NEXLEV
2025-12,4,17.37099644128114,4496,8,True,NEXLEV
2026-01,4,14.644179350061703,4862,7,True,NEXLEV
2026-02,4,12.395775430794886,3598,6,True,NEXLEV
2026-03,4,17.863268806665033,4081,5,True,NEXLEV
2026-04,4,15.062344139650873,4010,4,True,NEXLEV
2026-05,4,16.473189607517966,3618,3,True,NEXLEV
2026-06,4,17.189977798921664,3153,2,True,NEXLEV
2026-07,4,15.831435079726653,4390,1,False,NEXLEV
2026-08,4,15.371580731057854,4131,0,False,NEXLEV
2025-08,5,16.279830009807124,3059,12,True,NEXLEV
2025-09,5,14.393638170974155,5030,11,True,NEXLEV
2025-10,5,14.94057724957555,4712,10,True,NEXLEV
2025-11,5,16.496685364609892,3922,9,True,NEXLEV
2025-12,5,17.37099644128114,4496,8,True,NEXLEV
2026-01,5,14.644179350061703,4862,7,True,NEXLEV
2026-02,5,12.395775430794886,3598,6,True,NEXLEV
2026-03,5,17.863268806665033,4081,5,True,NEXLEV
2026-04,5,15.062344139650873,4010,4,True,NEXLEV
2026-05,5,16.473189607517966,3618,3,True,NEXLEV
2026-06,5,17.189977798921664,3153,2,True,NEXLEV
2026-07,5,15.831435079726653,4390,1,False,NEXLEV
2026-08,5,15.371580731057854,4131,0,False,NEXLEV
2025-08,6,16.279830009807124,3059,12,True,NEXLEV
2025-09,6,14.393638170974155,5030,11,True,NEXLEV
2025-10,6,14.961799660441427,4712,10,True,NEXLEV
2025-11,6,16.496685364609892,3922,9,True,NEXLEV
2025-12,6,17.37099644128114,4496,8,True,NEXLEV
2026-01,6,14.644179350061703,4862,7,True,NEXLEV
2026-02,6,12.395775430794886,3598,6,True,NEXLEV
2026-03,6,17.863268806665033,4081,5,True,NEXLEV
2026-04,6,15.062344139650873,4010,4,True,NEXLEV
2026-05,6,16.473189607517966,3618,3,True,NEXLEV
2026-06,6,17.189977798921664,3153,2,True,NEXLEV
2026-07,6,15.831435079726653,4390,1,False,NEXLEV
2026-08,6,15.371580731057854,4131,0,False,NEXLEV
2025-08,7,16.279830009807124,3059,12,True,NEXLEV
2025-09,7,14.393638170974155,5030,11,True,NEXLEV
2025-10,7,14.961799660441427,4712,10,True,NEXLEV
2025-11,7,16.496685364609892,3922,9,True,NEXLEV
2025-12,7,17.37099644128114,4496,8,True,NEXLEV
2026-01,7,14.644179350061703,4862,7,True,NEXLEV
2026-02,7,12.395775430794886,3598,6,True,NEXLEV
2026-03,7,17.863268806665033,4081,5,True,NEXLEV
2026-04,7,15.062344139650873,4010,4,True,NEXLEV
2026-05,7,16.473189607517966,3618,3,True,NEXLEV
2026-06,7,17.189977798921664,3153,2,True,NEXLEV
2026-07,7,15.831435079726653,4390,1,False,NEXLEV
2026-08,7,15.371580731057854,4131,0,False,NEXLEV
2025-08,8,16.279830009807124,3059,12,True,NEXLEV
2025-09,8,14.41351888667992,5030,11,True,NEXLEV
2025-10,8,14.961799660441427,4712,10,True,NEXLEV
2025-11,8,16.496685364609892,3922,9,True,NEXLEV
2025-12,8,17.37099644128114,4496,8,True,NEXLEV
2026-01,8,14.644179350061703,4862,7,True,NEXLEV
2026-02,8,12.395775430794886,3598,6,True,NEXLEV
2026-03,8,17.863268806665033,4081,5,True,NEXLEV
2026-04,8,15.062344139650873,4010,4,True,NEXLEV
2026-05,8,16.473189607517966,3618,3,True,NEXLEV
2026-06,8,17.189977798921664,3153,2,True,NEXLEV
2026-07,8,15.831435079726653,4390,1,False,NEXLEV
2026-08,8,15.371580731057854,4131,0,False,NEXLEV
