week,brand,model,sku,asin,channel,type,category_l0,category_l1,category_l2,inventory_units,inventory_value,nlc
Week 10,Nexlev,CM-01-BL,FBA79464,B0DFCDKMWR,Blinkit,Marketplace,HPC,Electric Massagers,Electric Heating Pads,29.0,16240.0,560.0
Week 10,Nexlev,CM-01-BL,FBA79464,B0DFCDKMWR,YNT,Dispatch Partner,HPC,Electric Massagers,Electric Heating Pads,18.0,10080.0,560.0
Week 10,Nexlev,CM-02-PR,FBA79472,B0DFCDZWND,1p,1P,HPC,Electric Massagers,Electric Heating Pads,1.0,560.0,560.0
Week 10,Nexlev,CM-02-PR,FBA79472,B0DFCDZWND,AMPM,Warehouse,HPC,Electric Massagers,Electric Heating Pads,1350.0,756000.0,560.0
Week 10,Nexlev,CM-02-PR,FBA79472,B0DFCDZWND,Amazon,Marketplace,HPC,Electric Massagers,Electric Heating Pads,160.0,89600.0,560.0
Week 10,Nexlev,CM-02-PR,FBA79472,B0DFCDZWND,B2B - AMPM,Warehouse,HPC,Electric Massagers,Electric Heating Pads,27.0,15120.0,560.0
Week 10,Nexlev,CR-01,FBA79265,B0D2LHNS9B,1p,1P,HPC,Skin Care,Callus Remover,8.0,4264.0,533.0
Week 10,Nexlev,CR-01,FBA79265,B0D2LHNS9B,AMPM,Warehouse,HPC,Skin Care,Callus Remover,303.0,161499.0,533.0
Week 10,Nexlev,CR-01,FBA79265,B0D2LHNS9B,Amazon,Marketplace,HPC,Skin Care,Callus Remover,109.0,58097.0,533.0
Week 10,Nexlev,CR-01,FBA79265,B0D2LHNS9B,B2B - AMPM,Warehouse,HPC,Skin Care,Callus Remover,120.0,63960.0,533.0
Week 10,Nexlev,CR-01,FBA79265,B0D2LHNS9B,Blinkit,Marketplace,HPC,Skin Care,Callus Remover,2.0,1066.0,533.0
Week 10,Nexlev,CR-01,FBA79265,B0D2LHNS9B,YNT,Dispatch Partner,HPC,Skin Care,Callus Remover,54.0,28782.0,533.0
Week 10,Nexlev,DF-01-BK,FBA79174,B0CW1JJP9S,AMPM,Warehouse,HPC,Oral Care,Dental Flosser,0.0,0.0,1073.0
Week 10,Nexlev,DF-01-BK,FBA79174,B0CW1JJP9S,Amazon,Marketplace,HPC,Oral Care,Dental Flosser,7.0,7511.0,1073.0
Week 10,Nexlev,DH-01,FBA79991,B0GN85NZQN,AMPM,Warehouse,Home & Kitchen,"Heating, Cooling & Air Quality",Dehumidifiers,148.0,0.0,0.0
Week 10,Nexlev,DH-01,FBA79991,B0GN85NZQN,Amazon,Marketplace,Home & Kitchen,"Heating, Cooling & Air Quality",Dehumidifiers,45.0,0.0,0.0
Week 10,Nexlev,EA-01,FBP79350,B0D67727VG,1p,1P,HPC,Hair Care,Hair Oil Applicator,1.0,710.0,710.0
Week 10,Nexlev,EA-01,FBP79350,B0D67727VG,AMPM,Warehouse,HPC,Hair Care,Hair Oil Applicator,722.0,512620.0,710.0
Week 10,Nexlev,EA-01,FBP79350,B0D67727VG,Amazon,Marketplace,HPC,Hair Care,Hair Oil Applicator,237.0,168270.0,710.0
Week 10,Nexlev,EA-01,FBP79350,B0D67727VG,B2B - AMPM,Warehouse,HPC,Hair Care,Hair Oil Applicator,60.0,42600.0,710.0
Week 10,Nexlev,EA-01,FBP79350,B0D67727VG,Blinkit,Marketplace,HPC,Hair Care,Hair Oil Applicator,57.0,40470.0,710.0
Week 10,Nexlev,EA-01,FBP79350,B0D67727VG,YNT,Dispatch Partner,HPC,Hair Care,Hair Oil Applicator,79.0,56090.0,710.0
Week 10,Nexlev,EA-02,FBA79573,B0DKK15YNJ,1p,1P,HPC,Hair Care,Hair Oil Applicator,0.0,0.0,1345.0
Week 10,Nexlev,EA-02,FBA79573,B0DKK15YNJ,AMPM,Warehouse,HPC,Hair Care,Hair Oil Applicator,313.0,420985.0,1345.0
Week 10,Nexlev,EA-02,FBA79573,B0DKK15YNJ,Amazon,Marketplace,HPC,Hair Care,Hair Oil Applicator,153.0,205785.0,1345.0
Week 10,Nexlev,EA-02,FBA79573,B0DKK15YNJ,B2B - AMPM,Warehouse,HPC,Hair Care,Hair Oil Applicator,10.0,13450.0,1345.0
Week 10,Nexlev,EA-02,FBA79573,B0DKK15YNJ,Blinkit,Marketplace,HPC,Hair Care,Hair Oil Applicator,9.0,12105.0,1345.0
Week 10,Nexlev,EM-01,FBA79594,B0DM6MG4ZH,AMPM,Warehouse,HPC,Electric Massagers,Eye Massager,1.0,714.0,714.0
Week 10,Nexlev,EM-02,FBA79595,B0DMSHZXG2,AMPM,Warehouse,HPC,Electric Massagers,Eye Massager - Pro,20.0,28440.0,1422.0
Week 10,Nexlev,EM-02,FBA79595,B0DMSHZXG2,Amazon,Marketplace,HPC,Electric Massagers,Eye Massager - Pro,0.0,0.0,1422.0
Week 10,Nexlev,ET-01-BK,FBA79233,B0CS69T7HF,1p,1P,HPC,Oral Care,Electric Toothbrush,0.0,0.0,282.0
Week 10,Nexlev,ET-01-BK,FBA79233,B0CS69T7HF,AMPM,Warehouse,HPC,Oral Care,Electric Toothbrush,720.0,203040.0,282.0
Week 10,Nexlev,ET-01-BK,FBA79233,B0CS69T7HF,B2B - AMPM,Warehouse,HPC,Oral Care,Electric Toothbrush,300.0,84600.0,282.0
Week 10,Nexlev,ET-01-BK,FBA79373,B0D2P5TGWK,Amazon,Marketplace,HPC,Oral Care,Electric Toothbrush,270.0,79650.0,295.0
Week 10,Nexlev,ET-01-BK,FBA79373,B0D2P5TGWK,YNT,Dispatch Partner,HPC,Oral Care,Electric Toothbrush,28.0,8260.0,295.0
Week 10,Nexlev,ET-02-GN,FBA79234,B0CSG2JZ19,AMPM,Warehouse,HPC,Oral Care,Electric Toothbrush,88.0,24816.0,282.0
Week 10,Nexlev,ET-02-GN,FBA79234,B0CSG2JZ19,B2B - AMPM,Warehouse,HPC,Oral Care,Electric Toothbrush,50.0,14100.0,282.0
Week 10,Nexlev,ET-02-GN,FBA79374,B0D2P7WLJB,Amazon,Marketplace,HPC,Oral Care,Electric Toothbrush,168.0,49560.0,295.0
Week 10,Nexlev,ET-02-GN,FBA79374,B0D2P7WLJB,YNT,Dispatch Partner,HPC,Oral Care,Electric Toothbrush,14.0,4130.0,295.0
Week 10,Nexlev,ET-03-BL,FBA79258,B0CSG3FC4G,AMPM,Warehouse,HPC,Oral Care,Electric Toothbrush,34.0,6562.0,193.0
Week 10,Nexlev,ET-03-BL,FBA79258,B0CSG3FC4G,YNT,Dispatch Partner,HPC,Oral Care,Electric Toothbrush,7.0,1351.0,193.0
Week 10,Nexlev,ET-03-BL,FBA79375,B0D2P6KF4N,Amazon,Marketplace,HPC,Oral Care,Electric Toothbrush - Sonic,0.0,0.0,193.0
