asin,sku,brand,model,buybox_price,amazon_1p_price,merchant_low_price,buybox_seller_name,buybox_seller_id,offer_count,error,fetched_at
B0D86Y2V7V,FBA79461,Nexlev,HD-02,849.0,849.0,,Other 3P (AVYXL4PPA4XRV),AVYXL4PPA4XRV,1.0,,2026-08-03T10:44:11.848967+00:00
B0D9KDQCCM,FBA79349,Nexlev,SW-01,999.0,999.0,,Other 3P (AVYXL4PPA4XRV),AVYXL4PPA4XRV,2.0,,2026-08-03T10:44:11.848967+00:00
B0F5X2C11Z,FBA79779,Nexlev,SW-01,,,,,,,,2026-08-03T10:44:11.848967+00:00
B0D67727VG,FBP79350,Nexlev,EA-01,1099.0,1099.0,,Other 3P (AVYXL4PPA4XRV),AVYXL4PPA4XRV,2.0,,2026-08-03T10:44:11.848967+00:00
B0D9KB2RTT,FBAM79351,Nexlev,LE-01,,,,,,,HTTP 429,2026-08-03T10:44:11.848967+00:00
B0D9KB2RTT,FBA79351,Nexlev,LE-01,,,,,,,HTTP 429,2026-08-03T10:44:11.848967+00:00
B0D637B562,FBA79352,Nexlev,WF-02-BL,,,,,,,,2026-08-03T10:44:11.848967+00:00
B0D2P5TGWK,FBA79373,Nexlev,ET-01-BK,,,,,,,,2026-08-03T10:44:11.848967+00:00
B0D2P7WLJB,FBA79374,Nexlev,ET-02-GN,311.0,311.0,,Other 3P (A15YBOSC0EMOS0),A15YBOSC0EMOS0,2.0,,2026-08-03T10:44:11.848967+00:00
B0D2P6KF4N,FBA79375,Nexlev,ET-03-BL,,,,,,,,2026-08-03T10:44:11.848967+00:00
B0D9KCNVNM,FBA79381,Nexlev,ETR-06,,,,,,,HTTP 429,2026-08-03T10:44:11.848967+00:00
B0D9KFZYG8,FBA79404,Nexlev,FS-01,1799.0,1799.0,,Other 3P (A15YBOSC0EMOS0),A15YBOSC0EMOS0,2.0,,2026-08-03T10:44:11.848967+00:00
B0D9KFP4MG,FBA79405,Nexlev,HSB-03,1799.0,1799.0,,Other 3P (AVYXL4PPA4XRV),AVYXL4PPA4XRV,2.0,,2026-08-03T10:44:11.848967+00:00
B0DCK3N2JJ,FBA79406,Nexlev,HSB-04,2639.0,2639.0,,Other 3P (AVYXL4PPA4XRV),AVYXL4PPA4XRV,2.0,,2026-08-03T10:44:11.848967+00:00
B0DCK7ZH5P,FBA79439,Nexlev,MR-02,3399.0,3399.0,,Other 3P (AVYXL4PPA4XRV),AVYXL4PPA4XRV,2.0,,2026-08-03T10:44:11.848967+00:00
B0DCGHKRXX,FBA79440,Nexlev,LE-02,1899.0,1899.0,,Other 3P (A15YBOSC0EMOS0),A15YBOSC0EMOS0,2.0,,2026-08-03T10:44:11.848967+00:00
B0D9KFQG8Q,FBA79443,Nexlev,LE-03,1801.0,1801.0,,Other 3P (AVYXL4PPA4XRV),AVYXL4PPA4XRV,1.0,,2026-08-03T10:44:11.848967+00:00
B0D9KCKY9F,FBA79451,Nexlev,SS-01,,,,,,,,2026-08-03T10:44:11.848967+00:00
B0DCGHVN81,FBA79452,Nexlev,VC-01,2099.0,2099.0,,Other 3P (AVYXL4PPA4XRV),AVYXL4PPA4XRV,2.0,,2026-08-03T10:44:11.848967+00:00
B0DCK56Q85,FBA79463,Nexlev,VC-02,2596.0,2596.0,,Other 3P (AVYXL4PPA4XRV),AVYXL4PPA4XRV,2.0,,2026-08-03T10:44:11.848967+00:00
B0DFCDKMWR,FBA79464,Nexlev,CM-01-BL,1589.0,1589.0,,Other 3P (AVYXL4PPA4XRV),AVYXL4PPA4XRV,1.0,,2026-08-03T10:44:11.848967+00:00
B0DFM4JZV9,FBA79466,Nexlev,TI-01,,,,,,,,2026-08-03T10:44:11.848967+00:00
B0DK9LYT4P,FBA79467,Nexlev,TM-01,1059.0,1059.0,,Other 3P (AVYXL4PPA4XRV),AVYXL4PPA4XRV,1.0,,2026-08-03T10:44:11.848967+00:00
B0DCK7J87D,FBA79468,Nexlev,SPM-01,,,,,,,,2026-08-03T10:44:11.848967+00:00
B0GKNGWLJ2,FBK80015,Nexlev,SPM-01,3799.0,3799.0,,Other 3P (AVYXL4PPA4XRV),AVYXL4PPA4XRV,1.0,,2026-08-03T10:44:11.848967+00:00
B0DCK4DR1B,FBA79469,Nexlev,LE-04,1499.0,1499.0,,Other 3P (AVYXL4PPA4XRV),AVYXL4PPA4XRV,1.0,,2026-08-03T10:44:11.848967+00:00
B0DFCDZWND,FBA79472,Nexlev,CM-02-PR,1367.0,1367.0,,Other 3P (AVYXL4PPA4XRV),AVYXL4PPA4XRV,2.0,,2026-08-03T10:44:11.848967+00:00
B0DJFH6RTL,FBA79473,Nexlev,TI-02,1699.0,1699.0,,Other 3P (AVYXL4PPA4XRV),AVYXL4PPA4XRV,1.0,,2026-08-03T10:44:11.848967+00:00
B0DJFH4K8B,FBA79474,Nexlev,TIC-03,,,,,,,HTTP 429,2026-08-03T10:44:11.848967+00:00
B0DJFJZMC6,FBA79475,Nexlev,TIC-04,,,,,,,,2026-08-03T10:44:11.848967+00:00
B0DDC3GVZW,FBA79480,Nexlev,VC-03,1499.0,1499.0,,Other 3P (AVYXL4PPA4XRV),AVYXL4PPA4XRV,2.0,,2026-08-03T10:44:11.848967+00:00
B0DFMRG2K4,FBA79481,Nexlev,TM-02,1663.0,1663.0,,Other 3P (A15YBOSC0EMOS0),A15YBOSC0EMOS0,1.0,,2026-08-03T10:44:11.848967+00:00
B0DK9NRBWJ,FBA79483,Nexlev,TM-03,1907.0,1907.0,,Other 3P (AVYXL4PPA4XRV),AVYXL4PPA4XRV,1.0,,2026-08-03T10:44:11.848967+00:00
B0DNJF1BLS,FBA79484,Nexlev,CF-01,,,,,,,,2026-08-03T10:44:11.848967+00:00
