asin,brand,avg_rating,rating_count
B07WLWN2ZT,Tonor,4.1,32678
B08CVP2HXP,Tonor,4.1,21751
B01ISNU3X4,Tonor,4.2,15809
B0C8JDHLX9,Tonor,4.4,13243
B0BRKDLXCD,Tonor,4.4,13240
B089FVQD3Z,Tonor,4.4,13240
B082W4B7SX,Tonor,4.4,13237
B07JMYG6LF,Tonor,4.5,10073
B07MH7L6G8,White Mulberry,4.5,6748
B07GVGMW59,Tonor,4.2,4028
B089SJGQBH,Tonor,4.5,3446
B078WNW4YW,Tonor,4.2,2846
B0CCV74CL7,Tonor,4.5,2327
B07TSN2H9D,Tonor,4.5,2327
B08NDB5NWP,Tonor,4.2,1966
B0CFKHCQ8W,Tonor,4.4,1442
B0CCVBQRFX,Tonor,4.6,1413
B0BRCR2QQ7,Tonor,4.4,1161
B083LPYPS9,Tonor,4.3,1107
B0BRKFP94K,Tonor,4.5,922
B0B4WTHLX5,Tonor,4.4,916
B0BYHHSLPC,Tonor,4.3,880
B0DNJS23HS,Nexlev,3.9,822
B0F43P6D23,Nexlev,3.9,822
B0CDPP45BM,Nexlev,3.9,822
B0BTCXQQ6M,Tonor,4.4,813
B0F678L8YT,Nexlev,3.9,811
B0FMF1D9NV,Nexlev,3.9,807
B0BFW59TRG,White Mulberry,4.2,806
B0BFWD6SNF,White Mulberry,4.2,806
B0BFVMDJ2K,White Mulberry,4.2,806
B0BFVNS8HS,White Mulberry,4.2,806
B0F2N1HTBT,Nexlev,3.9,768
B0CYSLCRQS,Nexlev,3.8,731
B0DCK7ZH5P,Nexlev,3.8,731
B0GM1CZC7Y,Nexlev,3.8,731
B0CPFS24ML,White Mulberry,4.6,674
B0BG8CJXHH,Tonor,4.4,608
B0BBL47VR5,Tonor,4.5,552
B0CSCT63BL,Tonor,4.3,528
B0CH9JR3HL,Tonor,4.0,523
B0CFKZ72N7,Tonor,4.4,488
B08V1JS3NY,Tonor,4.5,430
B0DC3JRBW1,White Mulberry,4.5,377
B0DCGHVN81,Nexlev,3.7,363
B0DDC3GVZW,Nexlev,3.7,363
B0DCK56Q85,Nexlev,3.7,329
B0DQCWRG3H,Nexlev,4.0,325
B0D83Q7L8W,Nexlev,4.0,323
