asin,sku,brand,model,price_audioarray,price_nexlev,price_viomi,price_whitemulberry,amazon_1p_price,buybox_price,buybox_seller_id,buybox_belongs_to_us,currency,fetched_at
B0FJ1ZB4G9,FBA79707,Nexlev,ETC-08-BL,,,,,,,,False,INR,2026-08-10T05:33:59+00:00
B0FJ8SFNRH,FBA79809,Nexlev,KE-03,,,,,,,,False,INR,2026-08-10T05:33:59+00:00
B0FS7T8151,FBA79810,Nexlev,MF-01,,,,,,,,False,INR,2026-08-10T05:33:59+00:00
B0FSF1N457,FBA79811,Nexlev,MC-01,,,,,,,,False,INR,2026-08-10T05:33:59+00:00
B0FS6TB7CP,FBA79812,Nexlev,PB-01,,,,,,,,False,INR,2026-08-10T05:33:59+00:00
B0FT8R24QM,FBA79819,Nexlev,LR-03,,,,,,,,False,INR,2026-08-10T05:33:59+00:00
B0FPGDVVCX,FBA79849,Nexlev,CFM-03,,,,,,,,False,INR,2026-08-10T05:33:59+00:00
B0DQ8W1RBV,FBK79271,Nexlev,V-01 RG,,,,,,,,False,INR,2026-08-10T05:33:59+00:00
B0D845B2DG,FBA79280,Nexlev,LR-02,,,,,,,,False,INR,2026-08-10T05:33:59+00:00
B0F2N1HTBT,FBA79714,Nexlev,SC-04 Set of 2 Mops,,,,,,,,False,INR,2026-08-10T05:33:59+00:00
B0FMF1D9NV,FBA79843,Nexlev,SC-04 Spare Set,,,,,,,,False,INR,2026-08-10T05:33:59+00:00
B0F2MZ8CG9,FBA79716,Nexlev,SM-01 Set of 2 Mops,,,,,,,,False,INR,2026-08-10T05:33:59+00:00
B0F2MZ9BJS,FBA79717,Nexlev,SPM-01 Set of 2 Mops,,,,,,,,False,INR,2026-08-10T05:33:59+00:00
B0F2N37819,FBA79606,Nexlev,LR-01 Set of 2 blades,,,,,,,,False,INR,2026-08-10T05:33:59+00:00
B0F2N11VTN,FBA79607,Nexlev,LR-02 Set of 2 blades,,,,,,,,False,INR,2026-08-10T05:33:59+00:00
B0DGTGKPJR,FBA79436,Nexlev,MR-01 HEPA Filter,,,,,,,,False,INR,2026-08-10T05:33:59+00:00
B0F2N4N83Y,FBA79721,Nexlev,MR-02 HEPA Filter,,,,,,,,False,INR,2026-08-10T05:33:59+00:00
B0F2N31GNX,FBA79657,Nexlev,SS-02 Set of Spares,,,,,,,,False,INR,2026-08-10T05:33:59+00:00
B0F678L8YT,FBA79771,Nexlev,SC-01 Set of Spares,,,,,,,,False,INR,2026-08-10T05:33:59+00:00
B0F67BSF2R,FBA79772,Nexlev,SC-02 Set of Spares,,,,,,,,False,INR,2026-08-10T05:33:59+00:00
B0F74DJYG6,FBA79773,Nexlev,VC-01 HEPA,,,,,,,,False,INR,2026-08-10T05:33:59+00:00
B0F678RRCX,FBA79774,Nexlev,VC-02 HEPA,,,,,,,,False,INR,2026-08-10T05:33:59+00:00
B0F67775SH,FBA79775,Nexlev,VC-03 HEPA,,,,,,,,False,INR,2026-08-10T05:33:59+00:00
B0F679QJH4,FBA79776,Nexlev,VC-04 HEPA,,,,,,,,False,INR,2026-08-10T05:33:59+00:00
B0F6795PDP,FBA79777,Nexlev,AP-01 HEPA,,,,,,,,False,INR,2026-08-10T05:33:59+00:00
B0F67BW7SF,FBA79778,Nexlev,AP-03 HEPA,,,,,,,,False,INR,2026-08-10T05:33:59+00:00
B0FYNKYJFN,FBA79912,Nexlev,SC-05 SC-05 - Set of Spares,,,,,,,,False,INR,2026-08-10T05:33:59+00:00
B0FYNLPK1B,FBA79913,Nexlev,"VC-05 VC-05 -Set of Spares(Crevice, Brush & Hose)",,,,,,,,False,INR,2026-08-10T05:33:59+00:00
B0FYNR2XCB,FBA79914,Nexlev,ST-01 ST-01 Bowl,,,,,,,,False,INR,2026-08-10T05:33:59+00:00
B0FYNT1TW7,FBA79915,Nexlev,ST-01 ST-01 Set of Hooks,,,,,,,,False,INR,2026-08-10T05:33:59+00:00
B0GN85NZQN,FBM79991,Nexlev,DH-01,,,,,,,,False,INR,2026-08-10T05:33:59+00:00
B0BPLZ5CGV,FBA76864,Audio Array,AI-04 Red,,,,,,,,False,INR,2026-08-10T05:33:59+00:00
B0B4DPX2J2,FBA75673,Audio Array,AM-C1,,,,,,,,False,INR,2026-08-10T05:33:59+00:00
B0DXFPM4N2,FBA79482,Audio Array,AM-S1,,,,,,,,False,INR,2026-08-10T05:33:59+00:00
B0D3M1B4Z8,FBA79380,Audio Array,AM-C46,,,,,,,,False,INR,2026-08-10T05:33:59+00:00
B0CKHVHVQ1,FBA79005,Audio Array,AM-W45,,,,,,,,False,INR,2026-08-10T05:33:59+00:00
B0FG88HVQ8,FBA79813,Audio Array,AH-50,,,,,,,,False,INR,2026-08-10T05:33:59+00:00
B0FPR962YS,FBA79816,Audio Array,AM-W22,,,,,,,,False,INR,2026-08-10T05:33:59+00:00
B0GKPXQ8G3,FBA80016,Audio Array,AM-W22,,,,,,,,False,INR,2026-08-10T05:33:59+00:00
