week,brand,model,sessions,units,gmv,buybox_pct,conversion_pct
5,audio array,AM-W36,4100,1.0,4956.77966101695,0.024249999999999997,0.0002
5,audio array,AM-W45,304,0.0,0.0,0.0457,0.0
5,audio array,AM-W46,181,0.0,0.0,0.1307,0.0
5,audio array,AM-W47 WIRED,40,1.0,1100.8474576271187,1.0,0.025
5,audio array,AM-W47 WIRELESS,16,0.0,0.0,0.8824,0.0
5,audio array,GB-01 (AM-C43 +AI-10),744,0.0,0.0,0.6675,0.0
5,audio array,GB-02 (AM-C43 + AI-11),299,1.0,3304.237288135593,0.554,0.0033
5,audio array,GB-03 (AI-12 + AM-C43),202,0.0,0.0,0.7465,0.0
5,audio array,GB-04 (AM-C45 + AI-06),9,0.0,0.0,0.6667,0.0
5,audio array,GB-05 (AM-C43 + AI-06),135,0.0,0.0,0.0,0.0
5,audio array,KB-01 (AM-W32 + AI-12),64,0.0,0.0,0.4697,0.0
5,audio array,PB-01 (AM-C11 + AI-04),734,0.0,0.0,0.3702,0.0
5,audio array,PB-02 (AI-04 RED + AM-C11 + AA-05),23,0.0,0.0,0.0,0.0
5,audio array,PB-03 (AI-04 RED + AM-C11 X 2),0,0.0,0.0,0.0,0.0
5,audio array,PB-04 (AI-04 RED + AM-C44 X 2),887,1.0,11355.084745762713,0.6306,0.0011
5,audio array,PB-05 (AA-05 + AM-C11 + AI-04),43,0.0,0.0,1.0,0.0
5,audio array,PB-06 (AA-05 + AM-C44 + AI-04),95,0.0,0.0,0.0,0.0
5,audio array,PB-07 (AA-05 + AM-C45 + AI-04),16,0.0,0.0,0.5625,0.0
5,audio array,PB-09 (AM-C45 + AI-06 + AA-05),7,0.0,0.0,0.0,0.0
5,audio array,PB-10 (AM-C2+AI-04+AH-60-BL),1552,3.0,26181.35593220339,0.775,0.0019
5,audio array,PB-11 (AM-C44+AA-05+AH-45-BK),5,0.0,0.0,0.4,0.0
5,audio array,PB-12 (AM-C11+AA-05+AI-04+AH-60-RD),112,0.0,0.0,0.1163,0.0
5,audio array,SB-01,1157,5.0,5377.1186440677975,0.5327,0.0043
5,audio array,"UB-01 (AI-04, AM-S1, AA-21, AM-C2)",1458,0.0,0.0,0.5161,0.0
5,audio array,UB-02 (AM-S1 + AA-21),718,1.0,9999.152542372882,0.698,0.0014
5,audio array,UB-03 (AM-S1 + AA-22),775,6.0,47877.1186440678,0.9988,0.0077
5,nexlev,AP-01,120,0.0,0.0,0.5,0.0
5,nexlev,AP-01 HEPA,28,0.0,0.0,1.0,0.0
5,nexlev,AP-03,0,0.0,0.0,0.0,0.0
5,nexlev,BM-02,66,0.0,0.0,0.5,0.0
5,nexlev,BR-01,1411,38.0,45944.91525423729,0.8844000000000001,0.0269
5,nexlev,CF-01,104,1.0,1270.3389830508474,0.4576,0.0096
5,nexlev,CFM-02,108,0.0,0.0,0.9796,0.0
5,nexlev,CM-01-BL,298,4.0,4425.423728813559,0.373,0.0134
5,nexlev,CM-02-PR,696,5.0,4766.1016949152545,0.4988,0.0072
5,nexlev,CR-01,133,5.0004,3153.389830508475,0.44289999999999996,0.0376
5,nexlev,EA-01,1584,29.0,27512.71186440678,0.49945,0.0183
5,nexlev,EA-02,488,3.0,6907.627118644068,0.56335,0.0061
5,nexlev,EM-02,50,1.0,1694.0677966101696,0.9825,0.02
5,nexlev,ET-01-BK_N,1488,29.0,7268.644067796611,0.5296000000000001,0.0195
5,nexlev,ET-02-GN_N,327,20.0,4925.423728813559,0.9976,0.0612
5,nexlev,ET-03-BL_N,46,0.0,0.0,1.0,0.0
5,nexlev,ETC-04-WH,88,0.0,0.0,0.5,0.0
5,nexlev,ETC-05-PI,5,0.0,0.0,0.4,0.0
5,nexlev,ETC-07-WH,144,6.0,4062.71186440678,1.0,0.0417
5,nexlev,ETC-08-BL,63,1.0,626.271186440678,0.5,0.0159
5,nexlev,ETR-06,174,4.0,4064.406779661017,0.5,0.023
5,nexlev,FS-01,2410,9.0,13339.830508474577,0.5,0.0037
5,nexlev,GS-02,6112,66.0,115540.6779661017,0.5571,0.0108
5,nexlev,GS-04,42,1.0,1863.5593220338983,0.9388,0.0238
5,nexlev,GS-05,6818,29.0,45472.88135593221,0.49975,0.0043
5,nexlev,HB-01,13,1.0,2965.2542372881358,1.0,0.0769
5,nexlev,HD-01,54,0.0,0.0,0.0,0.0
5,nexlev,HM-01,74,0.0,0.0,0.0662,0.0
5,nexlev,HM-02,261,3.0,2371.1864406779664,1.0,0.0115
5,nexlev,HS-01,44,0.0,0.0,0.1607,0.0
5,nexlev,HS-02,98,0.0,0.0,0.53555,0.0
5,nexlev,HSB-03,3426,27.0,43483.898305084746,0.49745,0.0079
5,nexlev,HSB-04,4360,25.0,42694.06779661017,0.49385,0.0057
5,nexlev,HU-01,308,1.0004,18.64406779661017,0.25283333333333335,0.0032
5,nexlev,HU-02,200,2.0,3557.627118644068,0.48485,0.01
5,nexlev,KE-01,1544,9.0,10375.42372881356,0.5,0.0058
5,nexlev,KE-02,1590,9.0,9485.593220338984,0.5,0.0057
5,nexlev,KE-03,16,0.0,0.0,0.5,0.0
5,nexlev,KM-01,276,5.0003,6347.457627118644,0.44637499999999997,0.0181
5,nexlev,LE-02,8244,5.0,8470.338983050848,0.49885,0.0006
5,nexlev,LE-03,264,0.0,0.0,0.4784,0.0
5,nexlev,LE-04,218,2.0,2616.9491525423728,0.09649999999999999,0.0092
5,nexlev,LR-01,185,4.0,2943.220338983051,0.9954,0.0216
5,nexlev,LR-01 SET OF 2 BLADES,72,0.0,0.0,1.0,0.0
5,nexlev,LR-02,950,27.0,33232.20338983051,0.4992,0.0284
5,nexlev,LR-02 SET OF 2 BLADES,63,2.0,805.0847457627119,1.0,0.0317
5,nexlev,LR-03,1580,89.0,23937.288135593222,0.5,0.0563
5,nexlev,MC-01,2446,7.0,3553.389830508475,0.5,0.0029
5,nexlev,MF-01,31,0.0,0.0,1.0,0.0
5,nexlev,MG-01,8,0.0,0.0,1.0,0.0
5,nexlev,MGC-03,9,1.0,1668.6440677966102,1.0,0.1111
5,nexlev,MGS-02,6,0.0,0.0,1.0,0.0
5,nexlev,MM-01,71,0.0,0.0,0.9888,0.0
5,nexlev,MR-01,52405,47.0051,103407.62711864407,0.32583333333333336,0.0009
5,nexlev,MR-02,11446,16.0,46376.27118644068,0.55375,0.0014
5,nexlev,NP-01,10,0.0,0.0,0.5,0.0
5,nexlev,NP-02,6,0.0,0.0,1.0,0.0
5,nexlev,NP-03,8,0.0,0.0,0.5,0.0
5,nexlev,NP-06,13,0.0,0.0,1.0,0.0
5,nexlev,NP-07,20,0.0,0.0,0.5,0.0
5,nexlev,PB-01,870,7.0,11181.35593220339,0.5,0.008
5,nexlev,PM-02,3,0.0,0.0,1.0,0.0
5,nexlev,SC-01,11834,38.0,104208.4745762712,0.49905,0.0032
5,nexlev,SC-02,0,0.0,0.0,0.0,0.0
5,nexlev,SC-03,1410,3.0,18302.54237288136,0.49875,0.0021
5,nexlev,SC-04,10608,29.0,132283.05084745763,0.4985,0.0027
5,nexlev,SC-05,14124,51.0,120382.20338983051,0.49874999999999997,0.0036
5,nexlev,SC-05 SC-05 - SET OF SPARES,3,0.0,0.0,1.0,0.0
5,nexlev,SM-01,2852,6.0,20333.898305084746,0.49115000000000003,0.0021
5,nexlev,SPM-01,56,0.0,0.0,0.9831,0.0
5,nexlev,SPM-01 SET OF 2 MOPS,9,0.0,0.0,1.0,0.0
5,nexlev,SPM-01(NEW),350,0.0014,66.94915254237289,0.4858,0.0
5,nexlev,SS-01(NEW),446,1.0,2117.7966101694915,0.49585,0.0022
5,nexlev,SS-02,424,4.0,7222.033898305085,0.5,0.0094
5,nexlev,SS-02 SET OF SPARES,10,0.0,0.0,1.0,0.0
5,nexlev,ST-01,7780,15.0,73716.10169491525,0.49945,0.0019
5,nexlev,SW-01,2804,48.0,43140.67796610169,0.5,0.0171
5,nexlev,T-01,246,0.0,0.0,0.0196,0.0
5,nexlev,T-02,136,0.0,0.0,0.0253,0.0
5,nexlev,TI-01,20,0.0,0.0,0.5,0.0
5,nexlev,TI-02,86,0.0,0.0,0.5,0.0
5,nexlev,TIC-04,43,0.0,0.0,1.0,0.0
5,nexlev,TM-01,80,0.0,0.0,0.24,0.0
5,nexlev,TM-02,250,3.0,5107.627118644068,0.34155,0.012
