asin,sku,am_soh,am_intransit
B01MF9EJPG,FBA75707,0,0
B0979PJSCV,FBA75708,0,0
B08FW1Q676,FBA75976,0,0
B0DJFJZMC6,FBA79475,0,0
B0DK9QNKK8,FBA79485,0,0
B0BRKDLXCD,FBA79112,0,0
B0CCV74CL7,FBA79114,0,0
B0GTZLGPFR,FBA80013,0,0
B0GTZ9X8Q2,FBA80014,0,0
B0C9RYFN4R,FBA79325,0,0
B0DM66B2DW,FBA79591,0,0
B0FJ2HZCVN,FBA79823,0,0
B0CYHMB8LR,FBA79457,0,0
B0GXY7YJWP,FBA80104,0,0
B0H25S24K1,FBA80144,0,0
B07GVGMW59,FBA79260,0,0
B0D63DTKQB,FBA79333,0,0
B0GYSS16FJ,FBA80111,0,0
B0GYSMR9G2,FBA80112,0,0
B0GYS6CJD9,FBA80113,0,0
B0GZKXXBC3,FBA80127,0,0
B0CDPQXPC1,FBK78979,0,0
B0GY827J9C,FBA80074,0,0
B0FM3KVSHW,FBK79598,0,0
B0F2N1HTBT,FBK79714,0,0
B0F74DJYG6,FBA79773,0,0
B0FMF1D9NV,FBA79843,0,0
B0F2N4N83Y,FBA79721,0,0
B0F678L8YT,FBA79771,0,0
B0CBCB9S14,FBA78961,0,0
