asin,sku,brand,model,seller_rank,seller_id,seller_name,is_buybox_winner,price,landed_price,shipping,is_fba,is_prime,feedback_rating,fetched_at
B0D9KFZYG8,FBA79404,Nexlev,FS-01,2,AVYXL4PPA4XRV,Other 3P (AVYXL4PPA4XRV),False,1799.0,,0.0,True,True,88.0,2026-08-03T10:44:11.848967+00:00
B0D9KFP4MG,FBA79405,Nexlev,HSB-03,1,AVYXL4PPA4XRV,Other 3P (AVYXL4PPA4XRV),True,1799.0,,0.0,True,True,88.0,2026-08-03T10:44:11.848967+00:00
B0D9KFP4MG,FBA79405,Nexlev,HSB-03,2,A15YBOSC0EMOS0,Other 3P (A15YBOSC0EMOS0),False,1999.0,,0.0,True,True,97.0,2026-08-03T10:44:11.848967+00:00
B0DCK3N2JJ,FBA79406,Nexlev,HSB-04,1,AVYXL4PPA4XRV,Other 3P (AVYXL4PPA4XRV),True,2639.0,,0.0,True,True,88.0,2026-08-03T10:44:11.848967+00:00
B0DCK3N2JJ,FBA79406,Nexlev,HSB-04,2,A15YBOSC0EMOS0,Other 3P (A15YBOSC0EMOS0),False,2807.0,,0.0,True,True,97.0,2026-08-03T10:44:11.848967+00:00
B0DCK7ZH5P,FBA79439,Nexlev,MR-02,1,AVYXL4PPA4XRV,Other 3P (AVYXL4PPA4XRV),True,3399.0,,0.0,True,True,88.0,2026-08-03T10:44:11.848967+00:00
B0DCK7ZH5P,FBA79439,Nexlev,MR-02,2,A15YBOSC0EMOS0,Other 3P (A15YBOSC0EMOS0),False,3535.0,,0.0,True,True,97.0,2026-08-03T10:44:11.848967+00:00
B0DCGHKRXX,FBA79440,Nexlev,LE-02,1,A15YBOSC0EMOS0,Other 3P (A15YBOSC0EMOS0),True,1899.0,,0.0,True,True,97.0,2026-08-03T10:44:11.848967+00:00
B0DCGHKRXX,FBA79440,Nexlev,LE-02,2,AVYXL4PPA4XRV,Other 3P (AVYXL4PPA4XRV),True,2013.0,,0.0,True,True,88.0,2026-08-03T10:44:11.848967+00:00
B0D9KFQG8Q,FBA79443,Nexlev,LE-03,1,AVYXL4PPA4XRV,Other 3P (AVYXL4PPA4XRV),True,1801.0,,0.0,True,True,88.0,2026-08-03T10:44:11.848967+00:00
B0DCGHVN81,FBA79452,Nexlev,VC-01,1,AVYXL4PPA4XRV,Other 3P (AVYXL4PPA4XRV),True,2099.0,,0.0,True,True,88.0,2026-08-03T10:44:11.848967+00:00
B0DCGHVN81,FBA79452,Nexlev,VC-01,2,A15YBOSC0EMOS0,Other 3P (A15YBOSC0EMOS0),False,2199.0,,0.0,True,True,97.0,2026-08-03T10:44:11.848967+00:00
B0DCK56Q85,FBA79463,Nexlev,VC-02,1,AVYXL4PPA4XRV,Other 3P (AVYXL4PPA4XRV),True,2596.0,,0.0,True,True,88.0,2026-08-03T10:44:11.848967+00:00
B0DCK56Q85,FBA79463,Nexlev,VC-02,2,A15YBOSC0EMOS0,Other 3P (A15YBOSC0EMOS0),False,2599.0,,0.0,True,True,97.0,2026-08-03T10:44:11.848967+00:00
B0DFCDKMWR,FBA79464,Nexlev,CM-01-BL,1,AVYXL4PPA4XRV,Other 3P (AVYXL4PPA4XRV),True,1589.0,,0.0,True,True,88.0,2026-08-03T10:44:11.848967+00:00
B0DK9LYT4P,FBA79467,Nexlev,TM-01,1,AVYXL4PPA4XRV,Other 3P (AVYXL4PPA4XRV),True,1059.0,,0.0,True,True,88.0,2026-08-03T10:44:11.848967+00:00
B0GKNGWLJ2,FBK80015,Nexlev,SPM-01,1,AVYXL4PPA4XRV,Other 3P (AVYXL4PPA4XRV),True,3799.0,,0.0,True,True,88.0,2026-08-03T10:44:11.848967+00:00
B0DCK4DR1B,FBA79469,Nexlev,LE-04,1,AVYXL4PPA4XRV,Other 3P (AVYXL4PPA4XRV),True,1499.0,,0.0,True,True,88.0,2026-08-03T10:44:11.848967+00:00
B0DFCDZWND,FBA79472,Nexlev,CM-02-PR,1,AVYXL4PPA4XRV,Other 3P (AVYXL4PPA4XRV),True,1367.0,,0.0,True,True,88.0,2026-08-03T10:44:11.848967+00:00
