SKU,Model,(Parent) ASIN,(Child) ASIN,Title,Sessions - Total,Sessions - Total - B2B,Session Percentage - Total,Session Percentage - Total - B2B,Page Views - Total,Page Views - Total - B2B,Page Views Percentage - Total,Page Views Percentage - Total - B2B,Featured Offer Percentage,Featured Offer Percentage - B2B,Units Ordered,Units Ordered - B2B,Unit Session Percentage,Unit Session Percentage - B2B,Ordered Product Sales,Ordered Product Sales - B2B,Total Order Items,Total Order Items - B2B
FBA79483,TM-03,B0DK9NRBWJ,B0DK9NRBWJ,NexLev Intimate Trimmer for Men|Ceramic Blade|120 Min Runtime|Type C Charge | IPX7 Waterproof | 7000RPM Copper Motor| Cordless|LED Light| Travel Lock| Wet/Dry Groin & Body Shaver | Intimate Pro TM-03,110,0,0.02%,0.00%,171,0,0.03%,0.00%,100.00%,0.00%,2,0,1.82%,0.00%,"₹ 1,777.97",₹ 0.00,2,0
FBA79565,VC-04,B0DKJZDY72,B0DKJZDY72,nexlev Cordless Vacuum Cleaner & Blower |BLDC Copper Motor |HEPA with Stainless Steel Cover | for Home Office & Car Cleaning|4 Attachments | Blower for Dust & Inflatables | Portable & Compact | VC-04,219,6,0.05%,0.08%,271,6,0.05%,0.06%,84.23%,100.00%,2,0,0.91%,0.00%,"₹ 4,235.59",₹ 0.00,2,0
FBA79676,HB-01,B0DV91JGF1,B0DV91JGF1,NexLev Orthopaedic Heat and Massage Belt | Massager for Lower Back Shoulder Cramps and Neck Pain Relief | 3 massage Modes | 2 intensities | Heat for Soothing Sore Muscles | 30 min Auto Shut off |HB-01,57,1,0.01%,0.01%,82,1,0.01%,0.01%,100.00%,0.00%,2,0,3.51%,0.00%,"₹ 1,778.81",₹ 0.00,2,0
FBA79687,MGC-03,B0DV9CY3XR,B0DV9CY3XR,NexLev Massage Gun | Body Shoulder Neck Feet Calf & Back Massager | Cold Therapy for Muscle Recovery | 60° Heat Therapy for Relaxation | 6 Attachments | 6 Mode | Portable & Compact Design | MGC-03,60,3,0.01%,0.04%,81,3,0.01%,0.03%,100.00%,100.00%,2,0,3.33%,0.00%,"₹ 1,694.07",₹ 0.00,2,0
FBA79689,CFM-02,B0DVSZ2VVJ,B0DVSZ2VVJ,"NexLev Calf Massager Pro|Complete Feet Calf Knee and Thigh Massage|Hand like Massage with Air Compression and Heat Therapy|Pain Relief,Muscle Recovery & Enhanced Blood Circulation|3 Intensities|CFM-02",901,32,0.19%,0.45%,"1,026",34,0.17%,0.36%,99.79%,100.00%,2,0,0.22%,0.00%,"₹ 10,167.80",₹ 0.00,2,0
FBA79607,LR-02 Set of 2 blades,B0F2N11VTN,B0F2N11VTN,NexLev Replacement Stainless Steel Blades (Set of 2) | Compatible with NexLev Lint Remover LR-02 | Sharp & Durable Blades for Effective Fabric Defuzzing | Easy to Replace | Smooth & Safe Performance,45,0,0.01%,0.00%,62,0,0.01%,0.00%,100.00%,0.00%,2,0,4.44%,0.00%,₹ 805.08,₹ 0.00,2,0
FBA79346,ETC-04-WH,B0D25LNDSY,B0D25LNDSY,Nexlev Rechargeable Electric Toothbrush| 120 Days Life | 35K strokes/min| Type C| 5 Modes for Daily Use| 2 Min timer with 30sec Quadpacer | 4 Brushheads| IPX7 Waterproof| For Men & Women | ETC-04 White,173,3,0.04%,0.04%,239,6,0.04%,0.06%,51.58%,100.00%,1,0,0.58%,0.00%,₹ 634.75,₹ 0.00,1,0
FBA79347,ETC-05-PI,B0D842173P,B0D842173P,Nexlev Electric Toothbrush| 40000 vibrations/min|USB Type C| 5 Modes| 2 Min timer| 30 sec Quad Interval| 4 Replaceable Brushheads With Cover| IPX7 Waterproof| For Adults|Sparkle Pro ETC-05 Sunset Pink,24,0,0.01%,0.00%,40,0,0.01%,0.00%,100.00%,0.00%,1,0,4.17%,0.00%,₹ 634.75,₹ 0.00,1,0
FBA79467,TM-01,B0DK9LYT4P,B0DK9LYT4P,NexLev Beard Trimmer| 90min Run Time| 40 Length Settings| 0.5mm Precision| Washable Stainless Steel Blades| Copper Motor| USB Type-C| IPX7 Waterproof| Travel Lock| 2 Beard Comb| 1 Year Warranty |TM-01,114,1,0.02%,0.01%,151,2,0.03%,0.02%,89.78%,0.00%,1,0,0.88%,0.00%,₹ 623.73,₹ 0.00,1,0
FBA79596,MG-01,B0DMT19RWC,B0DMT19RWC,"NexLev Massage Gun |Full Body- Neck, Shoulders, Back, Arms & Feet Pain Relief|Handheld Deep Tissue Massager| 4 Heads| 99 Gears Levels| 3 Modes| 3800 RPM| 1800mAh Battery|Type-C Interface|MG-01",38,0,0.01%,0.00%,60,0,0.01%,0.00%,100.00%,0.00%,1,0,2.63%,0.00%,"₹ 1,524.58",₹ 0.00,1,0
