Programme=[Retail],Distributor View=[Manufacturing],View By=[ASIN],Countries=[IN],Businesses=[CAMBIUM RETAIL PRIVATE LIMITED - PC - MH - CRPL;Cambium Retail - Autio Array - Amazon Now;Cambium Retail Private Limited - Master - PC - MH;Cambium Retail Pvt. Lt. - Mumbai - cb;Cambium Retail Pvt. Ltd.-MH],Locale=[en_IN],Currency=[INR],Reporting Range=[Custom],Viewing Range=[01/07/26 - 31/07/26],Brands=[WHN0J],Report Updated=[01/08/26]
ASIN,Product Title,Brand,Store Code,Ordered Revenue,Ordered Units,Shipped Revenue,Shipped COGS,Shipped Units,Customer Returns,
B0DB5VG39T,White Mulberry Monitor Arm | Economical Gas Spring Metal Desk Mount | Single Screen 15-32 Inch 9kg VESA 75x75 & 100x100 | Full Motion Monitor Arm Desk Mount | Tilt Swivel Rotate Cable Management,White Mulberry,IN,"₹6,15,180.76",271,₹0.00,₹0.00,263,26,
B0DP2VVRND,White Mulberry Monitor Stand for Table | Freestanding Height Adjustable Moniter Stand Black Monitor Mount for 17-32 Inch Screens |10kg Load | VESA 75x75/100x100 |,White Mulberry,IN,"₹4,14,518.72",247,₹0.00,₹0.00,233,30,
B0DP32F346,White Mulberry Monitor Arm | Wooden Metal Single Screen Desk Mount for 15-32 Inch Monitors | Monitor Arm Desk Mount | Gas Spring Adjustable Arms | 9Kg Capacity | VESA 75x75 & 100x100,White Mulberry,IN,"₹2,29,816.60",88,₹0.00,₹0.00,83,13,
B0DB5YTQZV,White Mulberry Dual Monitor Arm | Height Adjustable Monitor Arm Desk Mount | Steel Dual Screen Mount for 17-32 Inch Monitors 10kg Load VESA 75x75 100x100 | Adjustable Ergonomic Desk Setup,White Mulberry,IN,"₹1,78,093.80",106,₹0.00,₹0.00,101,10,
B0DB5VVPSB,"White Mulberry Dual Monitor Arm for 15–32 Inch Screens, Gas Spring Monitor Stand for Desk, Height Adjustable Full Motion Dual Monitor Mount, VESA 75x75/100x100, 9kg Per Arm, C-Clamp & Grommet Base",White Mulberry,IN,"₹96,803.42",27,₹0.00,₹0.00,25,3,
B0DP3194QN,White Mulberry Monitor Arm | Mechanical Spring Desk Mount for 17–45 Inch Single Screen | 16Kg Capacity | VESA 75x75 & 100x100 | Adjustable Monitor Arm Desk Mount,White Mulberry,IN,"₹38,548.31",13,₹0.00,₹0.00,13,5,
B0DB5W4TCP,"White Mulberry Single Monitor Arm Desk Mount for 15–32 Inch Monitors, Height Adjustable Monitor Stand, 10 kg Capacity, 360° Rotation, VESA 75x75/100x100, Cable Management",White Mulberry,IN,"₹26,212.74",19,₹0.00,₹0.00,19,1,
B0DP2WC5VW,White Mulberry |DIY| Wall Mounted Monitor Stand Mount | Supports 15-32 Inch Screens| 9 Kg Screen Load | VESA 75X75 & 100X100 | Spring Assisted Wall Mounted Monitor Mount | Black - (Single Screen),White Mulberry,IN,₹288.13,0,₹0.00,₹0.00,1,1,
