SKU,(Child) ASIN,(Parent) ASIN,Brand,Model,Units Ordered,Ordered Product Sales,Sessions,Page Views,Buy Box Percentage,Seller Account,Month,WindowStart,WindowEnd
FBA79478,B0DB5W4TCP,B0DB5W4TCP,White Mulberry,WM-HA1M-BK,0,0.0,1393,1889,0.46,CAMBIUMRETAIL,2026-07,2026-07-01,2026-07-31
FBA79613,B0DP2VVRND,B0DP2VVRND,White Mulberry,MS1ML,2,3388.14,955,1386,8.77,CAMBIUMRETAIL,2026-07,2026-07-01,2026-07-31
FBA79476,B0DB5VG39T,B0DB5VG39T,White Mulberry,WM-GS1M-BK,39,90222.03,11460,16422,13.15,VIOMI,2026-07,2026-07-01,2026-07-31
FBA79477,B0DB5VVPSB,B0DB5VVPSB,White Mulberry,WM-GS2M-BK,39,138068.64,4027,5656,52.37,VIOMI,2026-07,2026-07-01,2026-07-31
FBA79478,B0DB5W4TCP,B0DB5W4TCP,White Mulberry,WM-HA1M-BK,4,5925.42,1511,2045,13.15,VIOMI,2026-07,2026-07-01,2026-07-31
FBA79479,B0DB5YTQZV,B0DB5YTQZV,White Mulberry,WM-HA2M-BK,20,40929.66,4803,6788,18.48,VIOMI,2026-07,2026-07-01,2026-07-31
FBA79613,B0DP2VVRND,B0DP2VVRND,White Mulberry,MS1ML,39,64798.31,5457,8109,27.67,VIOMI,2026-07,2026-07-01,2026-07-31
FBA79612,B0DP2WC5VW,B0DP2WC5VW,White Mulberry,WM1ML,34,94781.36,2135,2887,94.32,VIOMI,2026-07,2026-07-01,2026-07-31
FBA79615,B0DP2Z5DQ9,B0DP2Z5DQ9,White Mulberry,VLMS1ML,29,65740.68,1690,2108,99.6,VIOMI,2026-07,2026-07-01,2026-07-31
FBA79614,B0DP313R77,B0DP313R77,White Mulberry,MS2ML,4,8735.59,116,162,98.09,VIOMI,2026-07,2026-07-01,2026-07-31
FBA79616,B0DP3194QN,B0DP3194QN,White Mulberry,HD1ML,2,6286.44,328,507,24.42,VIOMI,2026-07,2026-07-01,2026-07-31
FBA79617,B0DP32F346,B0DP32F346,White Mulberry,HDWF1ML,2,5303.39,4276,5906,3.32,VIOMI,2026-07,2026-07-01,2026-07-31
FBA79790,B0FHVWHQHR,B0FHVWHQHR,White Mulberry,TVLF1ML,46,27150.85,605,931,100.0,VIOMI,2026-07,2026-07-01,2026-07-31
FBK79788,B0FN4D3C89,B0FN4D3C89,White Mulberry,TVCT1ML,20,7627.12,591,819,99.74,VIOMI,2026-07,2026-07-01,2026-07-31
FBK79789,B0FN4DSQ6P,B0FN4DSQ6P,White Mulberry,TVMF1ML,346,171337.29,3698,6112,99.91,VIOMI,2026-07,2026-07-01,2026-07-31
FBK79784,B0FN4FHH5Y,B0FN4FHH5Y,White Mulberry,POS2M,0,0.0,123,155,100.0,VIOMI,2026-07,2026-07-01,2026-07-31
FBK79786,B0FN4FPJ83,B0FN4FPJ83,White Mulberry,POSS-01,25,39162.71,286,451,100.0,VIOMI,2026-07,2026-07-01,2026-07-31
FBK79787,B0FN4GQ9HT,B0FN4GQ9HT,White Mulberry,TVCF1ML,64,35117.8,1564,2293,99.95,VIOMI,2026-07,2026-07-01,2026-07-31
FBK79791,B0FN4HDM6Z,B0FN4HDM6Z,White Mulberry,TVFM1ML,29,45450.0,1578,2202,99.9,VIOMI,2026-07,2026-07-01,2026-07-31
FBK79792,B0FN4JG97R,B0FN4JG97R,White Mulberry,HDMSP1ML,11,47601.69,1014,1204,99.74,VIOMI,2026-07,2026-07-01,2026-07-31
FBK79793,B0FN81FD8M,B0FN81FD8M,White Mulberry,HDGS1ML,2,13832.2,76,101,100.0,VIOMI,2026-07,2026-07-01,2026-07-31
FBA76417,B0BFVMDJ2K,B0BFVMDJ2K,White Mulberry,WM-LOD-WH,42,266757.21,6944,9892,94.3,WHITEMULBERRY,2026-07,2026-07-01,2026-07-31
FBA76418,B0BFVNS8HS,B0BFVNS8HS,White Mulberry,WM-LOD-IN,13,90048.31,2010,2533,82.76,WHITEMULBERRY,2026-07,2026-07-01,2026-07-31
FBA76416,B0BFW59TRG,B0BFW59TRG,White Mulberry,WM-LOD-BK,17,111061.04,2165,2950,83.54,WHITEMULBERRY,2026-07,2026-07-01,2026-07-31
FBA76415,B0BFWD6SNF,B0BFWD6SNF,White Mulberry,WM-LOD-CF,45,305150.03,5815,8409,84.93,WHITEMULBERRY,2026-07,2026-07-01,2026-07-31
FBA79167,B0CPFS24ML,B0CPFS24ML,White Mulberry,WM-GD07-CB,155,1054796.62,25213,36538,99.88,WHITEMULBERRY,2026-07,2026-07-01,2026-07-31
FBA79178,B0CPT2NY5M,B0CPT2NY5M,White Mulberry,WM-SE08-WH,2,24252.54,102,139,46.51,WHITEMULBERRY,2026-07,2026-07-01,2026-07-31
FBA79175,B0CPT2YJX2,B0CPT2YJX2,White Mulberry,WM-SMD09-WH,1,6438.98,245,276,87.41,WHITEMULBERRY,2026-07,2026-07-01,2026-07-31
FBA79179,B0CPT3Q25C,B0CPT3Q25C,White Mulberry,WM-SE08-CF,8,100003.39,2515,3431,95.42,WHITEMULBERRY,2026-07,2026-07-01,2026-07-31
FBA79617,B0DP32F346,B0DP32F346,White Mulberry,HDWF1ML,0,0.0,2760,3770,0.09,WHITEMULBERRY,2026-07,2026-07-01,2026-07-31
FBA79662,B0DQ4YWSMC,B0DQ4YWSMC,White Mulberry,WM-MODL-WH,2,23727.12,745,990,99.77,WHITEMULBERRY,2026-07,2026-07-01,2026-07-31
FBA79661,B0DQ51R95T,B0DQ51R95T,White Mulberry,WM-MODL-BK,2,20337.29,643,951,99.89,WHITEMULBERRY,2026-07,2026-07-01,2026-07-31
