SKU,Model,(Parent) ASIN,(Child) ASIN,Title,Sessions - Total,Sessions - Total - B2B,Session Percentage - Total,Session Percentage - Total - B2B,Page Views - Total,Page Views - Total - B2B,Page Views Percentage - Total,Page Views Percentage - Total - B2B,Featured Offer Percentage,Featured Offer Percentage - B2B,Units Ordered,Units Ordered - B2B,Unit Session Percentage,Unit Session Percentage - B2B,Ordered Product Sales,Ordered Product Sales - B2B,Total Order Items,Total Order Items - B2B
FBA79617,HDWF1ML,B0DP32F346,B0DP32F346,White Mulberry |DIY| Woodcraft - Premium Wooden Arm | Desk Mounted Monitor arm 15-32 Inch Monitor|9Kg Screen Capacity|Spring Assisted Premium Wooden Metal Desk Mount-(Single Screen),"2,299",175,0.22%,0.90%,"3,148",245,0.22%,0.91%,12.86%,4.57%,11,4,0.48%,2.29%,"₹ 30,209.32","₹ 12,980.00",7,1
FBK79792,HDMSP1ML,B0FN4JG97R,B0FN4JG97R,"White Mulberry Single Screen Pole Mounted Heavy-Duty Mechanical Spring Monitor Arm for 17-40 Inch |2-22kgs| Flat & Curved Screens, Universal Desk Mount with Swivel, Tilt, Rotation",714,53,0.07%,0.27%,976,74,0.07%,0.27%,99.88%,100.00%,7,2,0.98%,3.77%,"₹ 23,216.10","₹ 10,898.00",7,2
FBA79167,WM-GD07-CB,B0CPFS24ML,B0CPFS24ML,"White Mulberry Gaming Desk, Computer Desk with Carbon Fiber Surface, Z Shaped Gaming Table, Computer Table, Workstation, Home Office Desk with Cup Holder and Headphone Holder | (110 * 60 * 75 CM)","60,285","1,376",5.69%,7.08%,"87,679","2,040",6.16%,7.57%,0.68%,0.11%,4,0,0.01%,0.00%,"₹ 27,793.22",₹ 0.00,4,0
FBK79785,POS2MK,B0FN4HDBN5,B0FN4HDBN5,"White Mulberry Single Screen POS Machine Stand w/Keyboard Tray, Card Reader, Printer, Barcode Scanner Holder| Fits 17""-32"" Monitors (9kg), VESA 75x75/100x100| Height Adjustable Pole, Cable Management",63,10,0.01%,0.05%,75,11,0.01%,0.04%,100.00%,100.00%,1,0,1.59%,0.00%,"₹ 5,507.63",₹ 0.00,1,0
FBK79784,POS2M,B0FN4FHH5Y,B0FN4FHH5Y,"White Mulberry Dual Screen POS Machine Stand for 17""-32"" Monitors(9kg) w/Card Reader, Printer & Barcode Scanner Holders| VESA 75x75/100x100 Compatible| Adjustable Tilt, Swivel & Rotation| Grommet Base",54,10,0.01%,0.05%,70,10,0.00%,0.04%,82.56%,18.75%,0,0,0.00%,0.00%,₹ 0.00,₹ 0.00,0,0
FBA79167,WM-GD07-CB,B0CPFS24ML,B0CPFS24ML,"White Mulberry Gaming Desk, Computer Desk with Carbon Fiber Surface, Z Shaped Gaming Table, Computer Table, Workstation, Home Office Desk with Cup Holder and Headphone Holder | (110 * 60 * 75 CM)","60,285","1,376",38.69%,35.40%,"87,679","2,040",39.88%,37.05%,99.19%,99.89%,387,8,0.64%,0.58%,"₹ 24,21,821.23","₹ 61,148.05",384,8
FBA76415,WM-LOD-CF,B0BFWD6SNF,B0BFWD6SNF,White Mulberry L-Shape Corner Desk |DIY Assembly| Monitor Raising Shelf | Engineered Wood & Sturdy Steel Leg|Perfect for Office Home Gaming Study Desk Computer Table|L(130+130)*45 * 77cm|Carbon Fibre,"7,401",312,4.75%,8.03%,"10,682",475,4.86%,8.63%,75.52%,100.00%,52,7,0.70%,2.24%,"₹ 3,65,933.05","₹ 58,753.00",50,5
FBA76417,WM-LOD-WH,B0BFVMDJ2K,B0BFVMDJ2K,White Mulberry L-Shape Corner Desk |DIY Assembly| Monitor Raising Shelf | Engineered Wood & Sturdy Steel Leg|Perfect for Office Home Gaming Study Desk Computer Table|L(130+130)*45 * 77cm|White,"4,890",247,3.14%,6.35%,"6,679",343,3.04%,6.23%,49.52%,100.00%,32,4,0.65%,1.62%,"₹ 2,27,828.81","₹ 34,996.00",32,4
FBA76418,WM-LOD-IN,B0BFVNS8HS,B0BFVNS8HS,White Mulberry L-Shape Corner Desk |DIY Assembly| Monitor Raising Shelf | Engineered Wood & Sturdy Steel Leg|Perfect for Office Home Gaming Study Desk Computer Table|L(130+130)*45 * 77cm|Industrial,"3,528",217,2.26%,5.58%,"4,913",272,2.23%,4.94%,69.74%,100.00%,26,3,0.74%,1.38%,"₹ 1,76,023.73","₹ 24,257.00",26,3
FBA76416,WM-LOD-BK,B0BFW59TRG,B0BFW59TRG,"White Mulberry L-Shape Corner Desk | Monitor Raising Shelf | Made of P2 Grade Melamine Particle Board & Sturdy Steel Leg | Suitable for Office, Home, Gaming, Streaming | Black |L(130+130)*B45*H77cm","1,820",79,1.17%,2.03%,"2,376",102,1.08%,1.85%,87.43%,100.00%,13,0,0.71%,0.00%,"₹ 90,938.14",₹ 0.00,13,0
FBA79179,WM-SE08-CF,B0CPT3Q25C,B0CPT3Q25C,White Mulberry Wooden Motorized Electronic Height Adjustable | Ergonomic Spacious Design Desk | Motor&Memory Preset Controller|Sit Stand Desk for Office Home & Study Table| 1200mmx600mm | Carbon Fibre,"1,767",109,1.13%,2.80%,"2,365",139,1.08%,2.52%,86.44%,100.00%,11,2,0.62%,1.83%,"₹ 1,44,948.31","₹ 31,998.00",11,2
FBA79658,WM-MDL-WH,B0DQ1PKNSP,B0DQ1PKNSP,White Mulberry |120X60CM Table Top|Manual Sit Stand Desk|Multi-Purpose Manual Height Adjustable Ergonomic Desk - Office Work Study Table|3 Year Warranty| 80 Kg Weight Carrying Capacity - White,865,36,0.56%,0.93%,"1,219",44,0.55%,0.80%,82.56%,100.00%,7,0,0.81%,0.00%,"₹ 88,988.98",₹ 0.00,7,0
FBA79662,WM-MODL-WH,B0DQ4YWSMC,B0DQ4YWSMC,White Mulberry |120X60CM Table Top|Motorized Sit Stand Desk|Multi-Purpose Electric Height Adjustable Ergonomic Desk - Office Work study Table|3 Year Warranty|Digital screen Advance Memory Preset-White,945,56,0.61%,1.44%,"1,224",73,0.56%,1.33%,76.72%,100.00%,5,1,0.53%,1.79%,"₹ 67,792.37","₹ 15,999.00",5,1
FBA79164,WM-USE06-BK,B0CPFN27Z2,B0CPFN27Z2,"White Mulberry Steel Motorized Height Adjustable Desk with USB Charging,Drawer|Spacious Ergonomic Design|Preset Height Controller|Sit Stand Desk for Office,Home Study,Workstation Table|120X60Cm|Black",783,31,0.50%,0.80%,"1,033",39,0.47%,0.71%,32.75%,100.00%,3,0,0.38%,0.00%,"₹ 58,472.03",₹ 0.00,3,0
FBA79178,WM-SE08-WH,B0CPT2NY5M,B0CPT2NY5M,"White Mulberry Wooden Motorized Electronic Height Adjustable | Ergonomic Spacious Design Desk | Motor&Memory Preset Controller|Sit Stand Desk for Office, Home & Study Table| 1200mmx600mm | White",588,53,0.38%,1.36%,760,69,0.35%,1.25%,92.84%,100.00%,3,0,0.51%,0.00%,"₹ 40,000.85",₹ 0.00,3,0
FBA79659,WM-MDL-BK,B0DQ1NV8D2,B0DQ1NV8D2,White Mulberry |120X60CM Table Top|Manual Sit Stand Desk|Multi-Purpose Manual Height Adjustable Ergonomic Desk - Office Work Study Table|3 Year Warranty| 80 Kg Weight Carrying Capacity - Black,938,38,0.60%,0.98%,"1,182",52,0.54%,0.94%,70.04%,93.94%,3,0,0.32%,0.00%,"₹ 37,500.85",₹ 0.00,3,0
FBK76387,WM-MH05P-WH,B0BF4S7V8C,B0BF4S7V8C,"White Mulberry Alloy Steel Manual Height Adjustable Desk | Ergonomic Design | Ecofriendly Desk | Sit Stand Desk for Office, Home & Study Table| 1200Mm X 600Mm | White","1,167",49,0.75%,1.26%,"1,434",54,0.65%,0.98%,25.98%,100.00%,1,0,0.09%,0.00%,"₹ 12,712.71",₹ 0.00,1,0
FBA79165,WM-USE06-WH,B0CPFPT6DZ,B0CPFPT6DZ,"White Mulberry Motorized Height Adjustable Desk with USB Charging,Drawer|Spacious Ergonomic Design|Preset Height Controller|Sit Stand Desk for Office,Home Study,Workstation Table|1200X600mm|White",148,8,0.09%,0.21%,201,13,0.09%,0.24%,31.40%,100.00%,1,0,0.68%,0.00%,"₹ 19,490.68",₹ 0.00,1,0
FBA79177,WM-SE08-BK,B0CPT34B2L,B0CPT34B2L,"White Mulberry Wooden Motorized Electronic Height Adjustable | Ergonomic Spacious Design Desk | Motor&Memory Preset Controller|Sit Stand Desk for Office, Home & Study Table| 1200mmx600mm | Black",762,31,0.49%,0.80%,911,37,0.41%,0.67%,41.31%,100.00%,1,0,0.13%,0.00%,"₹ 13,388.98",₹ 0.00,1,0
FBA79661,WM-MODL-BK,B0DQ51R95T,B0DQ51R95T,White Mulberry |120X60CM Table Top|Motorized Sit Stand Desk|Multi-Purpose Electric Height Adjustable Ergonomic Desk - Office Work study Table|3 Year Warranty|Digital screen Advance Memory Preset-Black,493,45,0.32%,1.16%,593,59,0.27%,1.07%,26.22%,98.11%,1,0,0.20%,0.00%,"₹ 13,558.47",₹ 0.00,1,0
FBA79669,WM-LWS-CF,B0DQPLMQQ7,B0DQPLMQQ7,White Mulberry L-Shape Corner Desk with Shelf|DIY Assembly| Monitor Raising Shelf | Engineered Wood & Sturdy Steel Leg|Perfect for Computer Table Office Home Gaming Study Desk|L(130+130)*45 * 77cm|CF,22,8,0.01%,0.21%,36,10,0.02%,0.18%,83.33%,100.00%,1,0,4.55%,0.00%,"₹ 6,524.58",₹ 0.00,1,0
FBA76382,WM-MH05P-BK,B0BF4T7SWK,B0BF4T7SWK,"White Mulberry Alloy Steel Manual Height Adjustable Desk | Ergonomic Design | Ecofriendly Desk | Sit Stand Desk for Office, Home & Study Table| 1200Mm X 600Mm | Black",410,47,0.26%,1.21%,539,64,0.25%,1.16%,41.36%,100.00%,0,0,0.00%,0.00%,₹ 0.00,₹ 0.00,0,0
FBA76765,WM-SEH04P-CF,B0BMQQQ7YD,B0BMQQQ7YD,"White Mulberry Motorized Height Adjustable Sit-Stand Desk | Electronic Height Adjustable | Motor & Memory Preset Controller | Office, Workstation or Home | Carbon Fibre | 120 * 60*H(75-118) cm",34,5,0.02%,0.13%,46,6,0.02%,0.11%,97.62%,100.00%,0,0,0.00%,0.00%,₹ 0.00,₹ 0.00,0,0
FBK76764,WM-MH05P-CF,B0BMV1WPHL,B0BMV1WPHL,"White Mulberry Ergonomic Sit Stand Desk | Standing Desk for Office, Home & Study | Everyday Ergonomic Desk | 1200mm x 600mm | Carbon Fibre",27,1,0.02%,0.03%,38,1,0.02%,0.02%,40.00%,0.00%,0,0,0.00%,0.00%,₹ 0.00,₹ 0.00,0,0
FBA79175,WM-SMD09-WH,B0CPT2YJX2,B0CPT2YJX2,White Mulberry L-Shape Corner Desk with Shelf|DIY Assembly| Monitor Raising Shelf |Engineered Wood & Sturdy Steel Leg|Perfect for Computer Table Office Home Gaming Study Desk|L(130+130)*45*77cm|Black,27,9,0.02%,0.23%,34,14,0.02%,0.25%,80.77%,100.00%,0,0,0.00%,0.00%,₹ 0.00,₹ 0.00,0,0
FBA79616,HD1ML,B0DP3194QN,B0DP3194QN,White Mulberry |DIY| Heavy-Duty Mechanical Spring Monitor Arm | Desk Mounted Monitor Stand for 17-45 Inch Monitor |16Kg Screen Capacity|VESA 75X75&100X100|Adjustable Desk Mount-(Single Screen),39,0,0.03%,0.00%,52,0,0.02%,0.00%,0.00%,0.00%,0,0,0.00%,0.00%,₹ 0.00,₹ 0.00,0,0
FBA79660,WM-MODL-BBW,B0DQ4ZK2WQ,B0DQ4ZK2WQ,White Mulberry |120X60CM Table Top|Motorized Sit Stand Desk|Multi-Purpose Electric Height Adjustable Ergonomic Desk - Office Work study Table|3 Year Warranty|Digital screen Advance Memory Preset-Brown,150,15,0.10%,0.39%,181,18,0.08%,0.33%,56.77%,100.00%,0,0,0.00%,0.00%,₹ 0.00,₹ 0.00,0,0
FBA79667,WM-LODN-WH,B0DQPK7MFH,B0DQPK7MFH,White Mulberry L-Shape Corner Desk with Shelf|DIY Assembly| Monitor Raising Shelf |Engineered Wood & Sturdy Steel Leg|Perfect for Computer Table Office Home Gaming Study Desk|L(130+130)*45*77cm|White,595,52,0.38%,1.34%,669,62,0.30%,1.13%,37.99%,100.00%,0,0,0.00%,0.00%,₹ 0.00,₹ 0.00,0,0
FBK79784,POS2M,B0FN4FHH5Y,B0FN4FHH5Y,"White Mulberry Dual Screen POS Machine Stand for 17""-32"" Monitors(9kg) w/Card Reader, Printer & Barcode Scanner Holders| VESA 75x75/100x100 Compatible| Adjustable Tilt, Swivel & Rotation| Grommet Base",14,2,0.01%,0.05%,25,2,0.01%,0.04%,34.88%,92.31%,0,0,0.00%,0.00%,₹ 0.00,₹ 0.00,0,0
