asin,sku,quantity,item_price_per_unit,shipping_price,gift_wrap_price,shipment_date,fulfillment_center,amazon_order_id,currency,seller_account,gross_sales
B0F43P6D23,FBA79652,1,3050.0,33.9,0.0,2026-06-27T08:05:45+00:00,MAA4,406-9846008-7288335,INR,NEXLEV,3050.0
B0FPGDVVCX,FBA79849,1,4829.66,33.9,0.0,2026-06-27T07:46:41+00:00,DED4,408-0718382-7604369,INR,NEXLEV,4829.66
B0F43P6D23,FBA79652,1,3050.0,0.0,0.0,2026-06-27T07:25:45+00:00,DED4,407-7238691-1051527,INR,NEXLEV,3050.0
B0DVC8NYY2,FBA79682,1,0.0,0.0,0.0,2026-06-27T07:23:42+00:00,HYD3,404-3787205-4500344,INR,NEXLEV,0.0
B0GGHZWMVW,FBA79971,1,10168.64,33.9,0.0,2026-06-27T07:18:46+00:00,BOM5,405-4659166-6060345,INR,NEXLEV,10168.64
B0F43P6D23,FBA79652,1,0.0,0.0,0.0,2026-06-27T07:13:40+00:00,BLR7,404-5334807-2384323,INR,NEXLEV,0.0
B0DCK7ZH5P,FBA79439,1,2880.5,33.9,0.0,2026-06-27T07:03:49+00:00,HYD8,171-4922112-8372317,INR,NEXLEV,2880.5
B0F43P6D23,FBA79652,1,3050.0,0.0,0.0,2026-06-27T06:50:46+00:00,CJB1,403-3830896-2645151,INR,NEXLEV,3050.0
B0DCGHVN81,FBA79452,1,0.0,0.0,0.0,2026-06-27T06:43:42+00:00,HYD3,404-7863543-5576367,INR,NEXLEV,0.0
B0DM6BB3VT,FBA79590,1,2856.19,38.1,0.0,2026-06-27T06:05:44+00:00,BOM7,402-6484757-5424355,INR,NEXLEV,2856.19
B0GM1CZC7Y,FBA79984,1,4660.17,33.9,0.0,2026-06-27T05:50:45+00:00,BLR7,171-8084385-8517168,INR,NEXLEV,4660.17
B0DKK15YNJ,FBA79573,1,0.0,0.0,0.0,2026-06-27T05:43:35+00:00,BOM5,NLshop-10985/26-27,INR,NEXLEV,0.0
B0DCK7ZH5P,FBA79439,1,2880.51,0.0,0.0,2026-06-27T05:34:44+00:00,DEL4,407-5331184-8155553,INR,NEXLEV,2880.51
B0FPGDVVCX,FBA79849,1,4829.66,0.0,0.0,2026-06-27T05:29:52+00:00,BOM7,404-6873318-8386750,INR,NEXLEV,4829.66
B0DCK7ZH5P,FBA79439,1,2880.51,33.9,0.0,2026-06-27T05:03:40+00:00,AMD2,403-5604331-6730709,INR,NEXLEV,2880.51
B0F43P6D23,FBA79652,1,3050.0,0.0,0.0,2026-06-27T04:33:46+00:00,DED4,407-7048224-9664320,INR,NEXLEV,3050.0
B0GM1CZC7Y,FBA79984,1,4660.16,83.9,0.0,2026-06-27T04:18:44+00:00,DEL5,404-9539785-4376339,INR,NEXLEV,4660.16
B0F43P6D23,FBA79652,1,3050.0,33.9,0.0,2026-06-27T04:01:46+00:00,CJB1,405-4209586-8950719,INR,NEXLEV,3050.0
B0F43P6D23,FBA79652,1,3050.0,0.0,0.0,2026-06-27T03:59:46+00:00,CJB1,404-9056891-5441125,INR,NEXLEV,3050.0
B0F43P6D23,FBA79652,1,3050.0,0.0,0.0,2026-06-27T03:58:50+00:00,HYD8,403-1055981-0205169,INR,NEXLEV,3050.0
B0CDPP45BM,FBA78981,1,3812.71,0.0,0.0,2026-06-27T03:51:44+00:00,AMD2,404-5902250-7637113,INR,NEXLEV,3812.71
B0F43P6D23,FBA79652,1,3050.0,33.9,0.0,2026-06-27T03:46:46+00:00,CJB1,407-6449492-1435502,INR,NEXLEV,3050.0
B0F43P6D23,FBA79652,1,3050.0,0.0,0.0,2026-06-27T03:33:51+00:00,CJB1,408-2564586-3237911,INR,NEXLEV,3050.0
B0GN8WW6BC,FBA79993,1,11863.56,0.0,0.0,2026-06-27T03:30:43+00:00,BOM5,406-7054001-3910731,INR,NEXLEV,11863.56
B0DM6BB3VT,FBA79590,1,2856.19,0.0,0.0,2026-06-26T23:14:49+00:00,BLR8,407-0024860-3001934,INR,NEXLEV,2856.19
B0DVSZ2VVJ,FBA79689,1,5713.33,0.0,0.0,2026-06-26T22:58:44+00:00,MAA4,408-4695039-2107537,INR,NEXLEV,5713.33
B0DM6BB3VT,FBA79590,1,2856.19,38.1,0.0,2026-06-26T22:27:48+00:00,BLR7,403-9005426-8723534,INR,NEXLEV,2856.19
B0CYSLCRQS,FBA79263,1,2541.53,0.0,0.0,2026-06-26T22:15:46+00:00,DED4,171-7168957-0118738,INR,NEXLEV,2541.53
B0DNJS23HS,FBA79567,1,5083.9,0.0,0.0,2026-06-26T22:13:45+00:00,HYD3,407-2984709-7026750,INR,NEXLEV,5083.9
B0FS6TB7CP,FBA79812,1,0.0,0.0,0.0,2026-06-26T22:09:40+00:00,DEL5,404-8578956-9428316,INR,NEXLEV,0.0
B0DVC7VJP1,FBA79679,1,5295.76,0.0,0.0,2026-06-26T22:00:48+00:00,BOM5,171-8939889-0915513,INR,NEXLEV,5295.76
B0DVC7VJP1,FBA79679,1,5295.76,33.9,0.0,2026-06-26T21:42:47+00:00,CCX1,406-7638289-3281111,INR,NEXLEV,5295.76
B0DM6BB3VT,FBA79590,1,2856.19,0.0,0.0,2026-06-26T21:29:57+00:00,BLR7,405-9669371-6540326,INR,NEXLEV,2856.19
B0FSF1N457,FBA79811,1,507.63,33.9,0.0,2026-06-26T21:22:44+00:00,HYD8,407-9753896-7506745,INR,NEXLEV,507.63
B0DCK7ZH5P,FBA79439,1,2880.51,33.9,0.0,2026-06-26T21:19:45+00:00,DED4,171-7688645-5507550,INR,NEXLEV,2880.51
B0DNJS23HS,FBA79567,1,5083.9,0.0,0.0,2026-06-26T21:10:44+00:00,DEL5,171-3928320-8317928,INR,NEXLEV,5083.9
B0DNJS23HS,FBA79567,1,5083.9,0.0,0.0,2026-06-26T20:17:46+00:00,MAA4,407-6016665-7167525,INR,NEXLEV,5083.9
B0DV9CY3XR,FBA79687,1,2018.1,38.1,0.0,2026-06-26T20:06:44+00:00,CCX1,405-0735951-7971536,INR,NEXLEV,2018.1
B0DNJS23HS,FBA79567,1,5083.9,0.0,0.0,2026-06-26T20:01:10+00:00,HYD8,402-7515160-6817912,INR,NEXLEV,5083.9
B0DCK7ZH5P,FBA79439,1,2880.5,0.0,0.0,2026-06-26T19:46:44+00:00,PNQ3,171-6328570-9201151,INR,NEXLEV,2880.5
B0DVC7VJP1,FBA79679,1,5295.76,33.9,0.0,2026-06-26T19:44:45+00:00,MAA4,402-6738883-7645121,INR,NEXLEV,5295.76
B0GM1CZC7Y,FBA79984,1,4660.16,0.0,0.0,2026-06-26T19:43:42+00:00,MAA4,403-2708017-3313103,INR,NEXLEV,4660.16
B0D83Q7L8W,FBA79271,1,1185.59,33.9,0.0,2026-06-26T19:38:47+00:00,MAA4,408-1889058-1202739,INR,NEXLEV,1185.59
B0DNJS23HS,FBA79567,1,5083.9,33.9,0.0,2026-06-26T19:17:48+00:00,BLR8,407-7435975-3233939,INR,NEXLEV,5083.9
B0DK9LYT4P,FBA79467,1,0.0,0.0,0.0,2026-06-26T19:04:38+00:00,BLR8,NLshop-10982/26-27,INR,NEXLEV,0.0
B0GM1CZC7Y,FBA79984,1,4660.16,16.1,0.0,2026-06-26T18:46:44+00:00,BLR8,404-8342239-7345967,INR,NEXLEV,4660.16
B0DFCG2VGS,FBA79488,1,1516.1,33.9,0.0,2026-06-26T18:45:43+00:00,CCX1,402-2293655-2865164,INR,NEXLEV,1516.1
B0GYS6CJD9,FBA80113,1,168.64,0.0,0.0,2026-06-26T18:42:44+00:00,CCX1,406-9539886-8809966,INR,NEXLEV,168.64
B0GLHC8CB3,FBK80024,1,1439.83,0.0,0.0,2026-06-26T18:25:51+00:00,DED4,406-7538396-8308359,INR,NEXLEV,1439.83
B0CDPP45BM,FBA78981,1,3812.72,0.0,0.0,2026-06-26T18:24:45+00:00,DEL5,408-6885594-9285154,INR,NEXLEV,3812.72
B0DJFH4K8B,FBA79474,1,1635.17,33.9,0.0,2026-06-26T18:11:42+00:00,AMD2,402-8220480-3868349,INR,NEXLEV,1635.17
B0D81DLSFT,FBA79348,1,0.0,0.0,0.0,2026-06-26T18:03:37+00:00,AMD2,NLshop-10981/26-27,INR,NEXLEV,0.0
B0DVC7VJP1,FBA79679,1,5295.76,66.95,0.0,2026-06-26T17:55:41+00:00,MAA4,406-5943904-9945134,INR,NEXLEV,5295.76
B0DCK7ZH5P,FBA79439,1,2880.5,16.1,0.0,2026-06-26T17:29:45+00:00,BLR8,404-5847961-1581927,INR,NEXLEV,2880.5
B0FSF1N457,FBA79811,1,507.62,16.1,0.0,2026-06-26T17:26:44+00:00,BOM5,406-3867892-2564332,INR,NEXLEV,507.62
B0GGHZWMVW,FBA79971,1,10168.64,0.0,0.0,2026-06-26T17:15:41+00:00,BOM5,405-1163264-5646743,INR,NEXLEV,10168.64
B0F43P6D23,FBA79652,1,3050.0,0.0,0.0,2026-06-26T17:13:48+00:00,DED4,407-2001129-1828301,INR,NEXLEV,3050.0
B0F43P6D23,FBA79652,1,0.0,0.0,0.0,2026-06-26T17:08:43+00:00,BLR7,404-8240964-8721959,INR,NEXLEV,0.0
B0F43P6D23,FBA79652,1,3050.0,33.9,0.0,2026-06-26T16:02:43+00:00,PNQ3,408-3659838-9752367,INR,NEXLEV,3050.0
B0CDPP45BM,FBA78981,1,3812.72,0.0,0.0,2026-06-26T15:46:48+00:00,BOM5,405-9052391-8593108,INR,NEXLEV,3812.72
B0F43P6D23,FBA79652,1,3050.0,0.0,0.0,2026-06-26T15:22:44+00:00,PNQ3,404-4423491-1525962,INR,NEXLEV,3050.0
B0DCK7ZH5P,FBA79439,1,2880.51,0.0,0.0,2026-06-26T15:21:44+00:00,DEL5,403-7913481-1322708,INR,NEXLEV,2880.51
B0DQCWRG3H,FBA79493,1,1736.44,0.0,0.0,2026-06-26T15:19:46+00:00,DED4,408-2104545-8167535,INR,NEXLEV,1736.44
B0CYSLCRQS,FBA79263,1,2541.52,66.94,0.0,2026-06-26T15:11:46+00:00,BLR8,171-7712354-6900316,INR,NEXLEV,2541.52
B0DCK3N2JJ,FBA79406,1,2287.29,0.0,0.0,2026-06-26T15:01:43+00:00,MAA4,402-0450944-8247502,INR,NEXLEV,2287.29
B0DM6BB3VT,FBA79590,1,2856.2,94.28,0.0,2026-06-26T14:57:44+00:00,BOM7,403-4337708-1881920,INR,NEXLEV,2856.2
B0F43P6D23,FBA79652,1,3050.0,0.0,0.0,2026-06-26T14:57:42+00:00,BOM5,405-9919863-0798727,INR,NEXLEV,3050.0
B0F43P6D23,FBA79652,1,3050.0,33.9,0.0,2026-06-26T14:49:45+00:00,DED4,408-3209415-7918700,INR,NEXLEV,3050.0
B0CYSLCRQS,FBA79263,1,2541.52,66.94,0.0,2026-06-26T14:30:48+00:00,LKO1,407-7831475-1961911,INR,NEXLEV,2541.52
B0DCK7ZH5P,FBA79439,1,2880.51,0.0,0.0,2026-06-26T14:18:57+00:00,DEL4,403-4445509-3040335,INR,NEXLEV,2880.51
B0DM6BB3VT,FBA79590,1,2856.2,18.1,0.0,2026-06-26T14:04:46+00:00,BLR8,404-1447858-6893929,INR,NEXLEV,2856.2
B0F43P6D23,FBA79652,1,3050.0,16.1,0.0,2026-06-26T14:02:47+00:00,BLR7,403-1092730-9261159,INR,NEXLEV,3050.0
B0F43P6D23,FBA79652,1,3050.0,0.0,0.0,2026-06-26T14:02:42+00:00,DED4,404-2002915-1233118,INR,NEXLEV,3050.0
B0CYSLCRQS,FBA79263,1,2541.52,0.0,0.0,2026-06-26T13:47:44+00:00,PNQ3,407-7155555-5804331,INR,NEXLEV,2541.52
B0D83Q7L8W,FBA79271,1,1185.59,66.95,0.0,2026-06-26T12:51:43+00:00,MAA4,405-3620988-6781113,INR,NEXLEV,1185.59
B0GGHZWMVW,FBA79971,1,10168.64,0.0,0.0,2026-06-26T12:39:42+00:00,MAA4,402-1784285-8269160,INR,NEXLEV,10168.64
B0DCK7ZH5P,FBA79439,1,2880.5,66.94,0.0,2026-06-26T12:30:44+00:00,AMD2,405-6600871-5352337,INR,NEXLEV,2880.5
B0DCK7ZH5P,FBA79439,1,2880.5,16.1,0.0,2026-06-26T12:06:49+00:00,BLR8,406-0432713-8508345,INR,NEXLEV,2880.5
B0DK9LYT4P,FBA79467,1,0.0,0.0,0.0,2026-06-26T12:05:34+00:00,BLR8,NLshop-10980/26-27,INR,NEXLEV,0.0
B0DCGHVN81,FBA79452,1,1863.56,0.0,0.0,2026-06-26T12:01:43+00:00,HYD8,405-1678745-2359533,INR,NEXLEV,1863.56
B0DNJS23HS,FBA79567,1,5083.9,0.0,0.0,2026-06-26T11:52:43+00:00,BOM5,405-6520249-6139519,INR,NEXLEV,5083.9
B0CDPP45BM,FBA78981,1,3812.72,16.1,0.0,2026-06-26T11:47:46+00:00,HYD8,404-5210798-5523531,INR,NEXLEV,3812.72
B0GGHZWMVW,FBA79971,1,10168.64,33.9,0.0,2026-06-26T11:47:44+00:00,AMD2,402-3262690-5825120,INR,NEXLEV,10168.64
B0DCGHVN81,FBA79452,1,1863.56,0.0,0.0,2026-06-26T11:30:46+00:00,DEL4,404-0265142-4225148,INR,NEXLEV,1863.56
