SKU,(Child) ASIN,(Parent) ASIN,Brand,Model,Units Ordered,Ordered Product Sales,Sessions,Page Views,Buy Box Percentage,Seller Account,Month,WindowStart,WindowEnd
FBA76418,B0BFVNS8HS,B0HFJX66Z2,White Mulberry,WM-LOD-IN,4,28132.2,0,0,0.0,WHITEMULBERRY,Aug26,2026-08-01,2026-08-31
FBA76416,B0BFW59TRG,B0BFW59TRG,White Mulberry,WM-LOD-BK,0,0.0,865,1185,57.65,WHITEMULBERRY,Aug26,2026-08-01,2026-08-31
FBA76416,B0BFW59TRG,B0HFJX66Z2,White Mulberry,WM-LOD-BK,1,7033.05,0,0,0.0,WHITEMULBERRY,Aug26,2026-08-01,2026-08-31
FBA76415,B0BFWD6SNF,B0BFWD6SNF,White Mulberry,WM-LOD-CF,19,129973.48,4375,6427,56.99,WHITEMULBERRY,Aug26,2026-08-01,2026-08-31
FBA76415,B0BFWD6SNF,B0HFJX66Z2,White Mulberry,WM-LOD-CF,19,126383.92,0,0,0.0,WHITEMULBERRY,Aug26,2026-08-01,2026-08-31
FBA79167,B0CPFS24ML,B0CPFS24ML,White Mulberry,WM-GD07-CB,144,988517.0,22667,32877,98.91,WHITEMULBERRY,Aug26,2026-08-01,2026-08-31
FBA79178,B0CPT2NY5M,B0CPT2NY5M,White Mulberry,WM-SE08-WH,3,34573.73,418,626,61.69,WHITEMULBERRY,Aug26,2026-08-01,2026-08-31
FBA79178,B0CPT2NY5M,B0FG8FQ3Q1,White Mulberry,WM-SE08-WH,1,11524.58,0,0,0.0,WHITEMULBERRY,Aug26,2026-08-01,2026-08-31
FBA79179,B0CPT3Q25C,B0CPT3Q25C,White Mulberry,WM-SE08-CF,1,12712.71,795,1099,62.34,WHITEMULBERRY,Aug26,2026-08-01,2026-08-31
FBA79179,B0CPT3Q25C,B0FG8FQ3Q1,White Mulberry,WM-SE08-CF,1,12092.37,0,0,0.0,WHITEMULBERRY,Aug26,2026-08-01,2026-08-31
FBA79617,B0DP32F346,B0DP32F346,White Mulberry,HDWF1ML,0,0.0,3700,5165,2.12,WHITEMULBERRY,Aug26,2026-08-01,2026-08-31
FBA79662,B0DQ4YWSMC,B0DQ4YWSMC,White Mulberry,WM-MODL-WH,0,0.0,0,0,0.0,WHITEMULBERRY,Aug26,2026-08-01,2026-08-31
