Model,(Parent) ASIN,(Child) ASIN,Title,Sessions - Total,Sessions - Total - B2B,Session Percentage - Total,Session Percentage - Total - B2B,Page Views - Total,Page Views - Total - B2B,Page Views Percentage - Total,Page Views Percentage - Total - B2B,Featured Offer Percentage,Featured Offer Percentage - B2B,Units Ordered,Units Ordered - B2B,Unit Session Percentage,Unit Session Percentage - B2B,Ordered Product Sales,Total Order Items
TI-02,B0DJFH6RTL,B0DJFH6RTL,"NexLev Portable Tyre Inflator for Car, Bike, Cycle|150 PSI Pressure| 120 Watt Air Pump|12V Car Plug| Digital Display| Auto Shut-Off| Emergency LED Light| 3m Cord| 3 Air Nozzles| Compact| AER TI-02",40,0,0.03%,0.00%,54,0,0.03%,0.00%,100.00%,0.00%,1,0,2.50%,0.00%,"₹ 1,499.00",1
TIC-04,B0DJFJZMC6,B0DJFJZMC6,"Nexlev Cordless & Corded Tyre Inflator|150 PSI| 6000 mAh Powerbank|LED Light | Type C Port |Digital Display| 5 Pre-Set Modes|Auto Shut-Off |Multiple Nozzles for Cars, Bikes, Cycle| AER Pro Max TIC-04",62,2,0.04%,0.09%,75,2,0.04%,0.07%,100.00%,100.00%,1,0,1.61%,0.00%,₹ 0.00,1
TM-03,B0DK9NRBWJ,B0DK9NRBWJ,NexLev Intimate Trimmer for Men|Ceramic Blade|120 Min Runtime|Type C Charge | IPX7 Waterproof | 7000RPM Copper Motor| Cordless|LED Light| Travel Lock| Wet/Dry Groin & Body Shaver | Intimate Pro TM-03,34,1,0.02%,0.04%,56,1,0.03%,0.03%,56.25%,0.00%,1,0,2.94%,0.00%,"₹ 1,133.00",1
VC-04,B0DKJZDY72,B0DKJZDY72,nexlev Cordless Vacuum Cleaner & Blower |BLDC Copper Motor |HEPA with Stainless Steel Cover | for Home Office & Car Cleaning|4 Attachments | Blower for Dust & Inflatables | Portable & Compact | VC-04,99,2,0.06%,0.09%,118,2,0.06%,0.07%,96.23%,100.00%,1,0,1.01%,0.00%,"₹ 2,499.00",1
BM-02,B0DNJJKBKG,B0DNJJKBKG,NexLev Neck & Back Massager | Deep Tissue Shiatsu Roller | Cervical Pain Relief | 3 Speeds | 8 Kneading Nodes | Quick Pain Relief | Auto Shut Off | 1 year Warranty | BM-02,56,1,0.04%,0.04%,73,1,0.04%,0.03%,98.44%,100.00%,1,0,1.79%,0.00%,"₹ 1,839.00",1
VC-06,B0DRD8J8R5,B0DRD8J8R5,nexlev Handheld Vacuum Cleaner| 600 W | 17.5 Kpa Suction | 5 M Cord | Lightweight | Washable Hepa Filter and Dust Container| 4 Attachments | Compact Size | Home & Office Use| VC-06,418,12,0.27%,0.53%,492,13,0.25%,0.44%,90.97%,87.50%,1,0,0.24%,0.00%,"₹ 1,329.00",1
V-02,B0DT6Y7KJM,B0DT6Y7KJM,"NexLev Ionic 4 in 1 Hot Air Brush + Straightener | 2 Step Styler Volumizer | Blow Dryer, Styler, Straightener & Waves | 360° Airflow | Tangle Free Bristle |Ceramic Tourmaline Coated Barrel | 1200W | V-02",200,1,0.13%,0.04%,285,1,0.15%,0.03%,6.98%,0.00%,1,0,0.50%,0.00%,"₹ 1,999.00",1
MGS-02,B0DV94R4QD,B0DV94R4QD,NexLev Massage Gun | Body Massager |6 Speed for Body Relaxation and Muscle Recovery | 4 Attachment| Compact & Portable Design | For Neck Shoulder Back Foot Calf | 1H Use Time |For Men & Women |MGS-02,9,0,0.01%,0.00%,13,0,0.01%,0.00%,100.00%,0.00%,1,0,11.11%,0.00%,₹ 826.00,1
NP-06,B0DVCBR11D,B0DVCBR11D,"nexlev Travel Neck Pillow | Orthopedic Premium Memory Foam | for Airplane, Car, Train, Office use & Cervical Pain | Machine Washable | 360 Support | Carry Pouch for Storage | NP-06",10,2,0.01%,0.09%,13,3,0.01%,0.10%,100.00%,0.00%,1,0,10.00%,0.00%,₹ 879.00,1
CFM-02,B0DVSZ2VVJ,B0DVSZ2VVJ,"NexLev Calf Massager Pro|Complete Feet Calf Knee and Thigh Massage|Hand like Massage with Air Compression and Heat Therapy|Pain Relief,Muscle Recovery & Enhanced Blood Circulation|3 Intensities|CFM-02",306,10,0.20%,0.45%,346,10,0.18%,0.34%,98.76%,100.00%,1,0,0.33%,0.00%,"₹ 5,999.00",1
SPM-01 Set of 2 Mops,B0F2MZ9BJS,B0F2MZ9BJS,NexLev Replacement Mop Pads (Set of 2) | Compatible with NexLev Cordless Spin Mop SPM-01 | Soft Microfiber Cleaning Pads | Washable & Reusable | for All Floor Types | Easy to Attach & Remove,27,0,0.02%,0.00%,28,0,0.01%,0.00%,100.00%,0.00%,1,0,3.70%,0.00%,₹ 299.00,1
LR-01 Set of 2 blades,B0F2N37819,B0F2N37819,NexLev Replacement Stainless Steel Blades (Set of 2) | Compatible with NexLev Lint Remover LR-01 | Sharp & Durable Blades for Effective Fabric Defuzzing | Easy to Replace | Smooth & Safe Performance,168,5,0.11%,0.22%,189,6,0.10%,0.20%,100.00%,100.00%,1,0,0.60%,0.00%,₹ 375.00,1
VC-02 HEPA,B0F678RRCX,B0F678RRCX,nexlev Replacement HEPA Filter | Compatible Cordless Vacuum Cleaner VC-02 | Captures 99.97% Dust & Allergens | Washable & Durable Filter Maintain,20,0,0.01%,0.00%,23,0,0.01%,0.00%,100.00%,0.00%,1,0,5.00%,0.00%,₹ 249.00,1
SC-02 Set of Spares,B0F67BSF2R,B0F67BSF2R,"NexLev Replacement Accessory Kit for Steam Cleaner SC-02 | Multipurpose Cleaning Attachments for Home, Kitchen, Bathroom & Car",145,4,0.09%,0.18%,157,4,0.08%,0.14%,100.00%,100.00%,1,0,0.69%,0.00%,₹ 399.00,1
ETC-08-BL,B0FJ1ZB4G9,B0FJ1ZB4G9,Nexlev Electric Toothbrush| 40000 vibrations/min|USB Type C| 5 Modes| 2 Min timer| 30 sec Quad Interval| 4 Replaceable Brush Heads With Cover| IPX7 Waterproof| For Adults| ETC-08 MidNight Blue,44,0,0.03%,0.00%,64,0,0.03%,0.00%,92.86%,0.00%,1,0,2.27%,0.00%,₹ 739.00,1
EM-02,B0FM3LBN87,B0FM3LBN87,"NexLev Air Compression Eye Massager|Heat Function|Vibration|In-Built Music| 5 Modes| 180° Foldable|Improve Sleep|Relieves Headache & Migraine|Reduce Eye Strain, Dark Circle, Eye Bags|Type-C| EM-02",36,2,0.02%,0.09%,39,3,0.02%,0.10%,100.00%,100.00%,1,1,2.78%,50.00%,"₹ 1,999.00",1
SC-05 SC-05 - Set of Spares,B0FYNKYJFN,B0FYNKYJFN,"NexLev Replacement Accessory Kit for Steam Cleaner SC-05 | Multipurpose Cleaning Attachments for Home, Kitchen, Bathroom & Car",8,0,0.01%,0.00%,10,0,0.01%,0.00%,100.00%,0.00%,1,0,12.50%,0.00%,₹ 399.00,1
LE-08,B0G1YPGRH6,B0G1YPGRH6,"NexLev Face Massager | 3D Roller with EMS and Micro Currents | Shape, Slim and Tone your Jaw & Body | 3 Intensity Levels | Skin Firming and Wrinkle Remover | 15 Min Auto Shut Off | Type C | LE-08",48,1,0.03%,0.04%,56,1,0.03%,0.03%,100.00%,100.00%,1,0,2.08%,0.00%,"₹ 1,499.00",1
NP-02,B0CDQ55W2M,B0CDQ55W2M,"nexlev Travel Neck Pillow | Orthopedic Premium Memory Foam | for Airplane, Car, Train, Office use & Cervical Pain | Machine Washable | 360 Support | Carry Pouch for Storage | NP-02",11,0,0.01%,0.00%,17,0,0.01%,0.00%,100.00%,0.00%,0,0,0.00%,0.00%,₹ 0.00,0
NP-05,B0CDQ5NBH8,B0CDQ5NBH8,nexlev Premium Memory Foam Neck Pillow with 360-Degree Head Support | Lightweight Comfortable Travel Pillow with Storage Bag for Sleeping | Traveling Flight Car Train Bus and Home Use NP-05 (Pink),2,0,0.00%,0.00%,2,0,0.00%,0.00%,0.00%,0.00%,0,0,0.00%,0.00%,₹ 0.00,0
NP-03,B0CDQ6G4TC,B0CDQ6G4TC,"nexlev Travel Neck Pillow | Orthopedic Premium Memory Foam | for Airplane, Car, Train, Office use & Cervical Pain | Machine Washable | 360 Support | Carry Pouch for Storage | NP-03",4,0,0.00%,0.00%,6,0,0.00%,0.00%,100.00%,0.00%,0,0,0.00%,0.00%,₹ 0.00,0
ETC-04-WH,B0D25LNDSY,B0D25LNDSY,Nexlev Electric Toothbrush|40000 vibrations/minute| USB Type C| 5 Modes| 2 Min timer| 30 sec Quad Interval| 4 Replaceable Brush Heads With Cover| IPX7 Waterproof| For Adults|Sparkle Pro ETC-04 White,35,0,0.02%,0.00%,40,0,0.02%,0.00%,7.89%,0.00%,0,0,0.00%,0.00%,₹ 0.00,0
T-02,B0D2LD6BYJ,B0D2LD6BYJ,"NexLev 6-in-1 trimmer | Sensitive Bikini Trimmer for Women | Skin Safe with Rounded Tips & Foil Shaver| Hair Removal for Intimate Areas, Face, Arms, Legs & Body | 90 min Runtime |2H Quick Charge |T-02",196,2,0.13%,0.09%,272,2,0.14%,0.07%,3.32%,0.00%,0,0,0.00%,0.00%,₹ 0.00,0
HS-01,B0D2LFMY48,B0D2LFMY48,"Nexlev Hair Styling Straightener & Curler| 2 in 1 Hair Styler| 200°C in 30 Seconds| Long Ceramic Floating Plates| Rounded Body for Curls| Plate Lock| Portable HS-01, Hair Straightener Tong - Black",231,0,0.15%,0.00%,253,0,0.13%,0.00%,91.80%,0.00%,0,0,0.00%,0.00%,₹ 0.00,0
HS-02,B0D2LKB4BJ,B0D2LKB4BJ,"Nexlev Hair Styling Straightener & Curler| 2 in 1 Hair Styler| 200°C in 30 Seconds| Long Ceramic Floating Plates| Rounded Body for Curls| Plate lock| Portable |HS-02, Hair Straightener Tong - Purple",252,0,0.16%,0.00%,293,0,0.15%,0.00%,21.61%,0.00%,0,0,0.00%,0.00%,₹ 0.00,0
HD-02,B0D81DLSFT,B0D81DLSFT,"nexlev Hair Dryer For Women| Foldable| 1500 Watts| Cool Shot| 3 Heat & 2 Speed Settings| Overheat Protection| Concentrator Nozzle| Salon-Style Blow Dry| Just Style (Hd-02 Women), Black & Copper",99,2,0.06%,0.09%,122,2,0.06%,0.07%,0.85%,0.00%,0,0,0.00%,0.00%,₹ 0.00,0
ETC-05-PI,B0D842173P,B0D842173P,Nexlev Electric Toothbrush| 40000 vibrations/min|USB Type C| 5 Modes| 2 Min timer| 30 sec Quad Interval| 4 Replaceable Brushheads With Cover| IPX7 Waterproof| For Adults|Sparkle Pro ETC-05 Sunset Pink,12,0,0.01%,0.00%,14,0,0.01%,0.00%,7.14%,0.00%,0,0,0.00%,0.00%,₹ 0.00,0
HD-01,B0D86ZC9YT,B0D86ZC9YT,Nexlev Just Style Pro Hair Dryer |2100 W for Quick & Easy Blowdry | Double Heat Protection Technology | 3 Heat Settings & Cool Shot Function For Salon-Like Styling at Home (HD-01),127,3,0.08%,0.13%,148,3,0.08%,0.10%,2.90%,0.00%,0,0,0.00%,0.00%,₹ 0.00,0
LE-03,B0D9KFQG8Q,B0D9KFQG8Q,"Nexlev Skin Scrubber |Red & Blue LED Therapy| Blackhead Remover| Pore Cleaner| Skin Lifting & tightening, wrinkle remover| 2 Silicone Cleaning Heads| Facial Cleansing|Type C Charging| Elixir Pro LE-03",148,2,0.10%,0.09%,160,2,0.08%,0.07%,98.69%,100.00%,0,0,0.00%,0.00%,₹ 0.00,0
LE-04,B0DCK4DR1B,B0DCK4DR1B,Nexlev Skin Lift Device | 7 Color LED | Face & Neck Skin Lifting| 3 Massage Modes| Face Sculpting Tool |Micro-currents to reduce Wrinkles| Hot Compress | Rechargeable| Type-C| 180 Min Use| Glow+ LE-04,228,6,0.15%,0.27%,293,7,0.15%,0.24%,6.23%,0.00%,0,0,0.00%,0.00%,₹ 0.00,0
VC-03,B0DDC3GVZW,B0DDC3GVZW,nexlev Cordless Electric Car Vacuum Cleaner VacuSafe| Seat-Belt Cutter| Window Breaker Hammer| LED Torch|4000 mAh| High Power Suction | Copper Motor| Type-C Emergency Car Escape Tool| Portable| VC-03,103,1,0.07%,0.04%,116,1,0.06%,0.03%,100.00%,0.00%,0,0,0.00%,0.00%,₹ 0.00,0
TI-01,B0DFM4JZV9,B0DFM4JZV9,"Nexlev Tyre Inflator for Car | Touch Control |150 PSI |12V DC| 4 Nozzles | Digital Tyre Pressure Gauge| Carry Bag | Suitable for Bike, Bicycle or Any Inflatable | Emergency LED Light | TI-01",33,0,0.02%,0.00%,45,0,0.02%,0.00%,100.00%,0.00%,0,0,0.00%,0.00%,₹ 0.00,0
TM-02,B0DFMRG2K4,B0DFMRG2K4,"NexLev All in One Body Trimmer for Men | Suitable for Beard, Body, Balls, Pubic Hair, Private Parts | 90 Min Runtime |Type C | IPX 7 Waterproof | No Nicks No Cuts | 2 Safety Combs| Extra Blade | TM-02",114,3,0.07%,0.13%,138,4,0.07%,0.14%,19.08%,100.00%,0,0,0.00%,0.00%,₹ 0.00,0
MR-01 HEPA Filter,B0DGTGKPJR,B0DGTGKPJR,"nexlev Replacement HEPA Filter | Compatible Corded Mite Remover (MR-01) | Captures 99.99% Dust, Mites & Allergens | Washable & Durable Filter Maintain",0,0,0.00%,0.00%,0,0,0.00%,0.00%,0.00%,0.00%,0,0,0.00%,0.00%,₹ 0.00,0
TM-04,B0DK9QNKK8,B0DK9QNKK8,"NexLev 2 in 1 Nose, Ear & Body Trimmer for Men| Ceramic Blade| 7000 RPM Copper Motor| Type C Charge| 90 Min Runtime| IPX7 Waterproof| Cordless| Overcharge Protection|TM-04",33,1,0.02%,0.04%,45,4,0.02%,0.14%,7.69%,0.00%,0,0,0.00%,0.00%,₹ 0.00,0
MG-01,B0DMT19RWC,B0DMT19RWC,"NexLev Massage Gun |Full Body- Neck, Shoulders, Back, Arms & Feet Pain Relief|Handheld Deep Tissue Massager| 4 Heads| 99 Gears Levels| 3 Modes| 3800 RPM| 1800mAh Battery|Type-C Interface|MG-01",14,0,0.01%,0.00%,19,0,0.01%,0.00%,100.00%,0.00%,0,0,0.00%,0.00%,₹ 0.00,0
CF-01,B0DNJF1BLS,B0DNJF1BLS,nexlev Drip Coffee Maker |Filter Coffee for Home & Office | 4-6 Cups | Warming Plate|Borosilicate Carafe | Reusable & Washable Filter | Anti Drip | 750 ml | Cone Filter | Water Level Indicator |CF-01,135,5,0.09%,0.22%,180,7,0.09%,0.24%,90.79%,50.00%,0,0,0.00%,0.00%,₹ 0.00,0
MM-01,B0DV8TR64D,B0DV8TR64D,NexLev Full Body Massage Chair Mat | Deep Tissue Massage with 22 Air Compression Bags | Remote Control | Heat Therapy | Spa at Home | Foldable & Compact Design | Ideal for Back & Shoulder Pain MM-01,206,5,0.13%,0.22%,213,5,0.11%,0.17%,97.00%,100.00%,0,0,0.00%,0.00%,₹ 0.00,0
HB-01,B0DV91JGF1,B0DV91JGF1,NexLev Orthopaedic Heat and Massage Belt | Massager for Lower Back Shoulder Cramps and Neck Pain Relief | 3 massage Modes | 2 intensities | Heat for Soothing Sore Muscles | 30 min Auto Shut off |HB-01,3,0,0.00%,0.00%,7,0,0.00%,0.00%,100.00%,0.00%,0,0,0.00%,0.00%,₹ 0.00,0
PM-02,B0DV931G48,B0DV931G48,"NexLev Cordless Body Massager | Neck, Shoulder, Back, Legs & Thigh Pain Relief | 10 Intensity and 12 Modes | 6 Attachments | Deep Tissue Kneading for Complete Pain Relief | Charging Indicator | PM-02",14,0,0.01%,0.00%,15,0,0.01%,0.00%,100.00%,0.00%,0,0,0.00%,0.00%,₹ 0.00,0
MGC-03,B0DV9CY3XR,B0DV9CY3XR,NexLev Massage Gun | Body Shoulder Neck Feet Calf & Back Massager | Cold Therapy for Muscle Recovery | 60° Heat Therapy for Relaxation | 6 Attachments | 6 Mode | Portable & Compact Design | MGC-03,23,0,0.01%,0.00%,26,0,0.01%,0.00%,100.00%,0.00%,0,0,0.00%,0.00%,₹ 0.00,0
TM-05,B0DVC91Q7J,B0DVC91Q7J,NexLev Body & Intimate Trimmer for Men | Pubic Hair - Private Part Trimmer and Body Groomer |Vacuum for Mess Free Trimming | Ceramic Blades | Curved Edge for Safety | IPX7 Waterproof | TypeC |TM-05,73,4,0.05%,0.18%,92,5,0.05%,0.17%,97.65%,100.00%,0,0,0.00%,0.00%,₹ 0.00,0
AP-01,B0DVC9PRSD,B0DVC9PRSD,NexLev Professional Air Purifier for 650 sq ft Area| 8500 Hrs Filter Life|True HEPA 13 Filter |Captures 99.99% Virus and PM 2.5 Particle|For Home & Office|Remote Control & WiFi |Sleep & Auto Mode|A6,540,28,0.35%,1.25%,636,32,0.32%,1.09%,3.02%,22.22%,0,0,0.00%,0.00%,₹ 0.00,0
NP-07,B0DVCDD5VC,B0DVCDD5VC,"nexlev Travel Neck Pillow | Orthopedic Premium Memory Foam | for Airplane, Car, Train, Office use & Cervical Pain | Machine Washable | 360 Support | Carry Pouch for Storage | NP-07",12,0,0.01%,0.00%,16,0,0.01%,0.00%,100.00%,0.00%,0,0,0.00%,0.00%,₹ 0.00,0
LR-02 Set of 2 blades,B0F2N11VTN,B0F2N11VTN,NexLev Replacement Stainless Steel Blades (Set of 2) | Compatible with NexLev Lint Remover LR-02 | Sharp & Durable Blades for Effective Fabric Defuzzing | Easy to Replace | Smooth & Safe Performance,170,5,0.11%,0.22%,196,5,0.10%,0.17%,100.00%,100.00%,0,0,0.00%,0.00%,₹ 0.00,0
SC-04 Set of 2 Mops,B0F2N1HTBT,B0F2N1HTBT,NexLev Replacement Mop Cloth Pads (Set of 2) | Compatible with NexLev 10-in-1 Steam Cleaner & Mop SC-04 | Reusable Microfiber Pads for Floor Deep Cleaning | Washable & Durable | For All Floor Types,43,4,0.03%,0.18%,50,4,0.03%,0.14%,5.77%,100.00%,0,0,0.00%,0.00%,₹ 0.00,0
SS-02 Set of Spares,B0F2N31GNX,B0F2N31GNX,NexLev Replacement Accessory Kit for Spin Scrubber SS-02 | Multipurpose Cleaning Heads for Home & Car,5,0,0.00%,0.00%,5,0,0.00%,0.00%,100.00%,0.00%,0,0,0.00%,0.00%,₹ 0.00,0
AP-01 HEPA,B0F6795PDP,B0F6795PDP,Nexlev Professional Air Purifier HEPA Filter for Model A6,426,37,0.27%,1.65%,474,38,0.24%,1.29%,99.77%,100.00%,0,0,0.00%,0.00%,₹ 0.00,0
SC-02,B0FCCHV183,B0FCCHV183,Nexlev Steam Cleaner SC-02 & Accessories Variation,2,0,0.00%,0.00%,2,0,0.00%,0.00%,0.00%,0.00%,0,0,0.00%,0.00%,₹ 0.00,0
KE-03,B0FJ8SFNRH,B0FJ8SFNRH,"NexLev Grand Electric Water Kettle | 1.8 L | 1500 Watts | Stainless Steel | For Home, Office | Auto Cut Off | For Boiling Water, making Tea & Coffee, Instant Noodles, Soup | Cool Touch Handle |KE-03",11,1,0.01%,0.04%,13,3,0.01%,0.10%,100.00%,100.00%,0,0,0.00%,0.00%,₹ 0.00,0
SC-04 Spare Set,B0FMF1D9NV,B0FMF1D9NV,NexLev Accessory Kit for 10-in-1 Steam Cleaner & Mop SC-04 | Multipurpose Attachments for Deep Cleaning,169,3,0.11%,0.13%,184,3,0.09%,0.10%,100.00%,100.00%,0,0,0.00%,0.00%,₹ 0.00,0
CFM-03,B0FPGDVVCX,B0FPGDVVCX,NexLev Calf Massager | Daily Use Leg Massager for Sore Muscle | Hand Like Massage with Air Compression | Improve Blood Circulation & Relieve Pain | 2500 mAh | Large Belt | Type C |CFM-03|Pack of 2,146,5,0.09%,0.22%,195,5,0.10%,0.17%,89.57%,100.00%,0,0,0.00%,0.00%,₹ 0.00,0
MF-01,B0FS7T8151,B0FS7T8151,NexLev Rechargeable Milk Frother & Coffee Whisker | 3 Speed | Stainless Steel Dual Spring Tech | Perfect for Coffee Lattes Milk Hot Chocolate Omlete & Cream | Handheld Beater for Foam |MF-01,38,0,0.02%,0.00%,47,0,0.02%,0.00%,100.00%,0.00%,0,0,0.00%,0.00%,₹ 0.00,0
AP-01,B0FZB1SSRV,B0FZB1SSRV,Nexlev AP-01 & AP-03 Air Purifier & Accessories Variation,1,0,0.00%,0.00%,1,0,0.00%,0.00%,0.00%,0.00%,0,0,0.00%,0.00%,₹ 0.00,0
LE-06,B0G1YKMFWT,B0G1YKMFWT,Nexlev Red Light Therapy Wand for Face and Neck| EMS Skincare Massager | Microcurrent| Glass Skin Therapy| Wrinkle Reduction| Anti-Aging Skin Tightening Machine| Face Sculpting Tool| LE-06,5,0,0.00%,0.00%,7,0,0.00%,0.00%,100.00%,0.00%,0,0,0.00%,0.00%,₹ 0.00,0
SC-01,B0CDPP45BM,B0CDPP45BM,"NexLev Steam Cleaner | For Complete Home Kitchen Bathroom Car Sofa & Office Cleaning Machine | 9 Accessories |300 ML | Window Pane, Sink, Chimney Grease, Water Stain Cleaner| 4 Mtr Cord | 1000W |SC-01","10,843",162,4.37%,3.74%,"14,711",232,4.55%,3.88%,63.52%,47.86%,66,1,0.61%,0.62%,"₹ 2,30,934.00",66
V-03,B0DQCWRG3H,B0DQCWRG3H,NexLev Ionic 3 in 1 Hot Air Brush|1.5 Inch Barrel |Volumizer Blow Dryer & Styler|Ceramic Tourmaline Coated for Heat Protection|1200W|Dual Bristle for Tangle Free Styling|Salon Like Styles at Home|V-03,"1,931",7,0.78%,0.16%,"2,858",9,0.88%,0.15%,69.33%,40.00%,38,0,1.97%,0.00%,"₹ 71,964.00",38
SC-05,B0F43P6D23,B0F43P6D23,NexLev Steam Cleaner | Complete Home Kitchen Floor Bathroom Car & Office Cleaning machine | 9 Accessories | 450 ML | Window Pane Sink Grime Chimney Grease Water Stain Cleaner| 4 M Cord |1050W |SC-05,"6,200",120,2.50%,2.77%,"8,151",162,2.52%,2.71%,58.35%,55.29%,34,2,0.55%,1.67%,"₹ 94,368.00",34
CFM-01,B0DM6BB3VT,B0DM6BB3VT,NexLev Calf Massager | Daily Use Leg Massager for Sore Muscle |1 Piece | Hand Like Massage with Air Compression | Improve Blood Circulation & Relieve Pain | 2500 mAh | Large Belt | Type C |CFM-01,"1,432",35,0.58%,0.81%,"1,994",42,0.62%,0.70%,86.71%,95.24%,33,0,2.30%,0.00%,"₹ 90,167.00",32
HU-01,B0DVC968P1,B0DVC968P1,"NexLev Cool Mist Humidifier | 3.5L| For Office, Indoor Plants, Baby Nursery | Quiet Operation | Works 44Hrs on Low Setting | 360° Nozzle | Auto Shut-Off | Adjustable Knob | Leak Proof | HU-01",932,23,0.38%,0.53%,"1,479",32,0.46%,0.54%,29.06%,37.50%,30,1,3.22%,4.35%,"₹ 46,636.00",30
AP-03,B0DVC58QPZ,B0DVC58QPZ,NexLev Smart Air Purifier | Home Room & Office Use upto 220 sq ft |True HEPA 13 Filter | Eliminate 99.99% Virus Dust Smoke Odor Pollen Allergens & Pollutants | Long Filter Life |3 Year Warranty |AP220,"3,986",187,1.61%,4.31%,"5,494",271,1.70%,4.54%,42.84%,39.24%,30,2,0.75%,1.07%,"₹ 1,05,324.00",28
HU-02,B0DVC8NYY2,B0DVC8NYY2,"NexLev Cool Mist Humidifier | 2.2L| For Office, Indoor Plants, Baby Nursery | Quiet Operation | Works 30Hrs on Low Setting | 360° Nozzle | Auto Shut-Off | Adjustable Knob | Leak Proof | HU-02","1,554",26,0.63%,0.60%,"2,268",44,0.70%,0.74%,43.10%,36.36%,27,0,1.74%,0.00%,"₹ 43,027.00",27
FS-01,B0D9KFZYG8,B0D9KFZYG8,"NexLev Steamer For Cold & Cough| Face Steam,Inhaler & Vaporizer | Perfect for Facial & Aromatherapy | Nano Ionic Steam | Uv Sterilization | Aroma Diffuser|30 Sec Heating|Avoid Burns & Spillage | FS-01","1,053",12,0.42%,0.28%,"1,428",16,0.44%,0.27%,61.50%,62.50%,21,0,1.99%,0.00%,"₹ 34,279.00",21
MR-02,B0DCK7ZH5P,B0DCK7ZH5P,"NexLev Mattress, Sofa, Carpet & Car Seat Vacuum Cleaner|For Dust Mites Allergens & Pet Hair|Cordless Design|1500*3 mAh |UV Sterilization, Double Beat Technology|Type C| HEPA captures 99.99% Dust|MR-02","9,044",129,3.64%,2.98%,"10,768",141,3.33%,2.36%,72.17%,77.50%,20,0,0.22%,0.00%,"₹ 65,980.00",20
EA-01,B0D67727VG,B0D67727VG,NexLev LED Therapy Oil Applicator | Reduce Dandruff | Improve Hair Growth | EMS for Scalp Improvement | Red & Blue Light | High Frequency Massage for Better Absorption | 10 ML | Waterproof | EA-01,998,19,0.40%,0.44%,"1,402",32,0.43%,0.54%,68.62%,60.00%,19,0,1.90%,0.00%,"₹ 17,584.00",19
VC-01,B0DCGHVN81,B0DCGHVN81,NexLev 2 in 1 Handheld & Stick Vacuum Cleaner | 17500 PA Suction | Dry Vacuuming for Home & Office | Washable HEPA Filter | 4 Adjustable Heads | Bagless| Deep Cleaning for Sofa Bed Window & more|VC-01,"3,720",45,1.50%,1.04%,"4,641",61,1.43%,1.02%,53.05%,50.00%,17,0,0.46%,0.00%,"₹ 33,983.00",17
GS-02,B0CDPMX152,B0CDPMX152,NexLev Handheld Garment Steamer | 1500 Watts | 300 ML| Standing & Horizontal Iron Press | Damage Free Steaming for all Cloth Types | 25s Quick Heat |Upto 5 Clothes in One Fill | Travel Friendly |GS-02,"5,907",48,2.38%,1.11%,"7,919",78,2.45%,1.31%,41.18%,55.81%,15,1,0.25%,2.08%,"₹ 30,735.00",15
SC-02,B0CYSMBCB8,B0CYSMBCB8,NexLev Steam Cleaner | For Complete Home Kitchen Bathroom Window Car & Office Cleaning | 9 Accessories | 450 ML | Window Pane Sink Grime Chimney Grease Water Stain Cleaner| 4 Meter Cord | 1000W |SC-02,"1,542",32,0.62%,0.74%,"2,092",39,0.65%,0.65%,74.62%,53.85%,18,0,1.17%,0.00%,"₹ 39,029.00",15
BR-01,B0DKJXRXKM,B0DKJXRXKM,NexLev Blackhead & Whitehead Remover Tool | Rechargeable |1Hr Use| Acne & Pimple Pore Cleaner | 6 Heads | Electric Derma Suction Machine | Hydra Facial Cleanser Device for Face |For Men & Women |BR-01,698,11,0.28%,0.25%,966,13,0.30%,0.22%,87.53%,100.00%,12,0,1.72%,0.00%,"₹ 17,589.00",12
MR-01,B0CYSLCRQS,B0CYSLCRQS,"nexlev Mattress, Sofa & Carpet Vacuum Cleaner | for Dust Mites, Allergens & Pet Hair | 4 Step Cleansing with Double Beat, UV Light, Dehumidification & Vacuum | HEPA captures 99.99% Dust|MR-01","52,737",544,21.25%,12.55%,"60,391",647,18.67%,10.83%,5.29%,5.25%,11,0,0.02%,0.00%,"₹ 23,392.00",11
KE-01,B0DFCG2VGS,B0DFCG2VGS,"Nexlev Multi Purpose Electric Food Kettle|1.8L Stainless Steel Pot| 600W|Boil, Steam, Fry, Saute| Double Layered Body|2 Heat Settings|Multi Function for Water, Milk, Egg, Soup, Noodles|KE-01","1,288",17,0.52%,0.39%,"1,865",24,0.58%,0.40%,44.97%,30.77%,9,0,0.70%,0.00%,"₹ 13,761.00",9
GS-05,B0D383WQPB,B0D383WQPB,NexLev Foldable Garment Steamer for Home & Travel | Convenient Vertical Steaming | 1200W | 120 ml | Lightweight & Compact | 30s Fast Heating | Iron for all Cloth Types | 2 M cord | Anti Spill | GS-05,"2,077",48,0.84%,1.11%,"2,854",74,0.88%,1.24%,19.51%,24.14%,8,0,0.39%,0.00%,"₹ 15,212.00",8
CR-01,B0D2LHNS9B,B0D2LHNS9B,"NexLev Foot Callus Remover | Electric Scrubber & Shaver for Dead, Hard & Cracked Skin | Professional Pedicure at Home | Waterproof | Type C | 3 Crystal Quartz Heads | For Men and Women| CR-01",129,0,0.05%,0.00%,181,0,0.06%,0.00%,85.26%,0.00%,7,0,5.43%,0.00%,"₹ 4,134.00",7
