Model,(Parent) ASIN,(Child) ASIN,Title,Sessions - Total,Sessions - Total - B2B,Session Percentage - Total,Session Percentage - Total - B2B,Page Views - Total,Page Views - Total - B2B,Page Views Percentage - Total,Page Views Percentage - Total - B2B,Featured Offer Percentage,Featured Offer Percentage - B2B,Units Ordered,Units Ordered - B2B,Unit Session Percentage,Unit Session Percentage - B2B,Ordered Product Sales,Total Order Items
SC-04,B0DNJS23HS,B0DNJS23HS,NexLev 10 in 1 Steam Cleaner & Mop|2 Steam Modes| Mopping & Deep Cleaning Home Car Sofa Bathroom Kitchen & Office |For All Surfaces|350ML|Chemical Free Cleaning | Detachable & Foldable|SC-04,"6,032",61,3.88%,2.72%,"7,949",80,4.06%,2.72%,62.32%,51.35%,24,0,0.40%,0.00%,"₹ 1,39,176.00",23
MR-01,B0CYSLCRQS,B0CYSLCRQS,"nexlev Mattress, Sofa & Carpet Vacuum Cleaner | for Dust Mites, Allergens & Pet Hair | 4 Step Cleansing with Double Beat, UV Light, Dehumidification & Vacuum | HEPA captures 99.99% Dust|MR-01","52,737",544,33.93%,24.22%,"60,391",647,30.83%,21.98%,39.28%,37.03%,22,0,0.04%,0.00%,"₹ 54,331.00",22
SW-01,B0D9KDQCCM,B0D9KDQCCM,Nexlev Portable Sewing Machine| 2 Speed Settings| Cordless| Battery operated| USB Type C cord for Plug-in| Quick Fix DIY|Portable & Compact| for all Fabrics| 1 Year Warranty| White,485,10,0.31%,0.45%,717,12,0.37%,0.41%,100.00%,100.00%,22,0,4.54%,0.00%,"₹ 20,979.00",22
AP-03 HEPA,B0F67BW7SF,B0F67BW7SF,NexLev Smart Air Purifier HEPA Filter for Model AP220,"1,238",85,0.80%,3.78%,"1,755",115,0.90%,3.91%,100.00%,100.00%,23,2,1.86%,2.35%,"₹ 24,178.00",21
VC-01,B0DCGHVN81,B0DCGHVN81,NexLev 2 in 1 Handheld & Stick Vacuum Cleaner | 17500 PA Suction | Dry Vacuuming for Home & Office | Washable HEPA Filter | 4 Adjustable Heads | Bagless| Deep Cleaning for Sofa Bed Window & more|VC-01,"3,720",45,2.39%,2.00%,"4,641",61,2.37%,2.07%,46.78%,50.00%,20,0,0.54%,0.00%,"₹ 34,782.00",20
EA-02,B0DKK15YNJ,B0DKK15YNJ,NexLev Oil Applicator Comb|Red Led Light Therapy |Boost Hair Growth| Reduce Dandruff | Relieve Stress |High Vibration Corded Electric Scalp/Head Massager | 6 ML Oil Tank | 2 Hr Run-Time| Type-C|EA-02,"1,217",29,0.78%,1.29%,"1,603",37,0.82%,1.26%,98.93%,100.00%,25,0,2.05%,0.00%,"₹ 61,732.00",20
HU-02,B0DVC8NYY2,B0DVC8NYY2,"NexLev Cool Mist Humidifier | 2.2L| For Office, Indoor Plants, Baby Nursery | Quiet Operation | Works 30Hrs on Low Setting | 360° Nozzle | Auto Shut-Off | Adjustable Knob | Leak Proof | HU-02","1,554",26,1.00%,1.16%,"2,268",44,1.16%,1.49%,56.55%,63.64%,20,0,1.29%,0.00%,"₹ 36,531.00",20
LR-02,B0D845B2DG,B0D845B2DG,"NexLev Lint Remover | for Woolen Sweaters Shirts Socks Jackets Suede Leggings Curtains & Carpets | Pill, Rue & Burr Remover | 120 Min Use |TypeC | Lint Brush for Coat| SS Blade | Safety Lock | LR-02",544,13,0.35%,0.58%,705,17,0.36%,0.58%,96.14%,100.00%,19,1,3.49%,7.69%,"₹ 26,582.00",19
BR-01,B0DKJXRXKM,B0DKJXRXKM,NexLev Blackhead & Whitehead Remover Tool | Rechargeable |1Hr Use| Acne & Pimple Pore Cleaner | 6 Heads | Electric Derma Suction Machine | Hydra Facial Cleanser Device for Face |For Men & Women |BR-01,914,18,0.59%,0.80%,"1,243",24,0.63%,0.82%,82.02%,54.55%,19,0,2.08%,0.00%,"₹ 29,431.00",18
KM-01,B0DM66B2DW,B0DM66B2DW,"NexLev Knee Massager for Joint Pain Relief |Controlled Vibration & Heating for Arthritis, Knee, Shoulder or Elbow pain | 15 modes |2 Extension Belt |Graphene Heating pad for Consistent Heating | KM-01",634,17,0.41%,0.76%,947,26,0.48%,0.88%,59.09%,56.25%,19,2,3.00%,11.76%,"₹ 25,949.00",18
KM-01,B0F29SZCVF,B0F29SZCVF,"NexLev Knee Massager for Joint Pain Relief |Controlled Vibration & Heating for Arthritis, Knee, Shoulder or Elbow pain | 15 modes |2 Extension Belt |Graphene Heating pad for Consistent Heating | KM-01",203,11,0.13%,0.49%,294,18,0.15%,0.61%,89.52%,100.00%,18,1,8.87%,9.09%,"₹ 23,064.00",18
ET-01-BK_N,B0D2P5TGWK,B0D2P5TGWK,NexLev Smart Electric Toothbrush for Adults | 2-Min Timer with Quadpacer | 2 Replaceable Heads | AAA Battery | 3 Cleaning Modes | Upto 60 Days | Waterproof | Travel Case | Soft Bristles | ET-01 Black,410,8,0.26%,0.36%,587,9,0.30%,0.31%,92.23%,100.00%,19,0,4.63%,0.00%,"₹ 5,472.00",17
FS-01,B0D9KFZYG8,B0D9KFZYG8,"NexLev Steamer For Cold & Cough| Face Steam,Inhaler & Vaporizer | Perfect for Facial & Aromatherapy | Nano Ionic Steam | Uv Sterilization | Aroma Diffuser|30 Sec Heating|Avoid Burns & Spillage | FS-01","1,053",12,0.68%,0.53%,"1,428",16,0.73%,0.54%,35.81%,37.50%,15,0,1.42%,0.00%,"₹ 24,985.00",15
HSB-04,B0DCK3N2JJ,B0DCK3N2JJ,"NexLev Ionic Cordless Hair Straightener Brush | 60min Runtime | upto 200° Heating | Portable & Type C Rechargeable | Keratin Bristles |Straight, Frizz Free & Shiny Hair | Compact Comb Design | HSB-04","10,817",40,6.96%,1.78%,"12,867",58,6.57%,1.97%,96.04%,93.55%,15,0,0.14%,0.00%,"₹ 28,488.00",15
MR-02,B0DCK7ZH5P,B0DCK7ZH5P,"NexLev Mattress, Sofa, Carpet & Car Seat Vacuum Cleaner|For Dust Mites Allergens & Pet Hair|Cordless Design|1500*3 mAh |UV Sterilization, Double Beat Technology|Type C| HEPA captures 99.99% Dust|MR-02","9,044",129,5.82%,5.74%,"10,768",141,5.50%,4.79%,27.78%,22.50%,15,0,0.17%,0.00%,"₹ 48,285.00",15
V-01 RG,B0DQ8W1RBV,B0DQ8W1RBV,"NexLev Ionic Hot Air Brush | 3 in 1 Blow Dryer, Straightener, Volumizer & Styler | 360° Airflow Vents | Ceramic Tourmaline Coated Brushing Head | Tangle Free Bristle |3 Speed & 2 Heat Settings|V-01RG",673,4,0.43%,0.18%,"1,034",8,0.53%,0.27%,96.89%,0.00%,16,0,2.38%,0.00%,"₹ 23,839.00",15
VC-02,B0DCK56Q85,B0DCK56Q85,"NexLev Cordless Vacuum Cleaner|HEPA with Stainless Steel Cover|6000 mAh|Copper Motor| Rechargeable Type C|Ideal for Home, Office & Car Use|Compact & Portable|Dust & Pet Hair Remover|3 Attachment|VC-02",491,5,0.32%,0.22%,729,7,0.37%,0.24%,98.12%,100.00%,14,0,2.85%,0.00%,"₹ 34,206.00",14
WF-02-BL,B0D637B562,B0D637B562,Nexlev Splash Pet Water Fountain with LED Light | 2.0L Capacity | Ultra Quiet Cat Drinking Fountain with Filter | Automatic Pet Water Fountain for Cats and Small Dogs | Blue (WF-02-BL),139,2,0.09%,0.09%,190,2,0.10%,0.07%,100.00%,100.00%,14,0,10.07%,0.00%,"₹ 17,486.00",13
EA-01,B0D67727VG,B0D67727VG,NexLev LED Therapy Oil Applicator | Reduce Dandruff | Improve Hair Growth | EMS for Scalp Improvement | Red & Blue Light | High Frequency Massage for Better Absorption | 10 ML | Waterproof | EA-01,998,19,0.64%,0.85%,"1,402",32,0.72%,1.09%,30.53%,33.33%,13,0,1.30%,0.00%,"₹ 13,338.00",13
HSB-03,B0D9KFP4MG,B0D9KFP4MG,NexLev Ionic Hair Straightener Brush |Frizz-Free Straightening upto 12 H |Ceramic Tourmaline Coated| 60mm Wide Brush | 130-210° |Keratin Bristles| Thermo Protect Technology |No Scalp Burn|1500W|HSB-03,821,4,0.53%,0.18%,"1,119",5,0.57%,0.17%,94.39%,0.00%,13,0,1.58%,0.00%,"₹ 20,839.00",13
V-03,B0DQCWRG3H,B0DQCWRG3H,NexLev Ionic 3 in 1 Hot Air Brush|1.5 Inch Barrel |Volumizer Blow Dryer & Styler|Ceramic Tourmaline Coated for Heat Protection|1200W|Dual Bristle for Tangle Free Styling|Salon Like Styles at Home|V-03,"1,931",7,1.24%,0.31%,"2,858",9,1.46%,0.31%,30.35%,60.00%,13,1,0.67%,14.29%,"₹ 25,987.00",13
