,,Programme=[Retail],Distributor View=[Manufacturing],View By=[ASIN],Countries=[IN],Businesses=[CAMBIUM RETAIL PRIVATE LIMITED - PC - MH - CRPL;Cambium Retail - Autio Array - Amazon Now;Cambium Retail Private Limited - Master - PC - MH;Cambium Retail Pvt. Lt. - Mumbai - cb;Cambium Retail Pvt. Ltd.-MH],Locale=[en_IN],Currency=[INR],Reporting Range=[Custom],Viewing Range=[01/08/25 - 31/08/25],Report Updated=[04/08/26]
SKU,Model,ASIN,Product Title,Brand,Store Code,Ordered Revenue,Ordered Units,Shipped Revenue,Shipped COGS,Shipped Units,Customer Returns
FBA77113,K1,B01ISNU3X4,"TONOR Dynamic Karaoke Microphone for Singing with 4.5m XLR Cable, Metal Handheld Mic Compatible with Karaoke Machine/Speaker/Amp/Mixer for Karaoke Singing, Speech, Wedding, Stage and Outdoor Activity",TONOR,IN,278231.79,196,0,0,201,26
FBA79115,T10,B0C8JDHLX9,"TONOR T10 Microphone Boom Arm, Adjustable Microfono Stand Mic Arm with Extra-Large Pop Filter for HyperX Quadcast Blue Yeti Shure SM7B Rode Razer Seiren Mini SoloCast Elgato Wave, Recording Equipment",TONOR,IN,63098.44,44,0,0,42,2
FBA77111,TC30,B08CVP2HXP,"TONOR USB Microphone, Condenser Computer PC Mic with Tripod Stand, Metal,Pop Filter, Shock Mount for Gaming,Streaming,Podcasting,YouTube, Voice Over,Skype, Twitch,Compatible with Laptop Desktop, TC30",TONOR,IN,54885.55,25,0,0,26,4
FBA77101,TC-777,B07WLWN2ZT,"TONOR USB Gaming Microphone, Computer Condenser PC Mic with Tripod Stand & Pop for Streaming, Podcasting, Vocal Recording, Compatible with iMac PC Laptop Desktop Windows Computer, TC-777",TONOR,IN,49365.25,21,0,0,22,4
FBA77105,T30,B089FVQD3Z,"Microphone Stand Extension Arm, TONOR Studio Suspension Scissor Boom Arm with Pop Filter, 3/8"" to 5/8"" Adapter, Mic Clip, Upgraded Heavy Duty Clamp for Blue Yeti Snowball Ice and Other Mics(T30)",TONOR,IN,43306.3,18,0,0,19,1
FBK77102,G11,B07GVGMW59,"TONOR G11 Conference USB Microphone, Omnidirectional Condenser PC Mic for Video Conference, Recording, Skype, Online Class, Court Reporter, Plug & Play Compatible with Mac OS X Windows PC Computer",TONOR,IN,39425.42,19,0,0,16,
FBA79116,TC-777 PRO,B0BYHHSLPC,"TONOR TC777 Pro Gaming USB Microphone for PC, RGB Condenser Computer Mic with Tripod Stand, Quick Mute, Gain Control, for Gaming, Streaming, Podcasting, Recording, Cardioid Mic Kit for Laptop/PS4/PS5",TONOR,IN,37546.63,15,0,0,15,3
FBA79113,TC310,B0BTCXQQ6M,"TONOR Gaming Mic, USB Microphone for PC Computer, Cardioid Condenser Mic with Adjustable RGB Modes & Brightness, Quick Mute, Gain Control, for Streaming, Podcasting, Recording, PS4/5 Desktop TC310",TONOR,IN,37189.85,16,0,0,16,3
FBA77110,TM20,B08NDB5NWP,"TONOR USB Conference Microphone, 360 Omnidirectional PC Computer Condenser Mic with Mute Button for Online Meeting/Class, Zoom Call, Skype Chatting, Plug & Play (TM20,Red)",TONOR,IN,34050.82,13,0,0,14,2
FBA77117,S20,B078WNW4YW,"TONOR Wireless Microphone Isolation Shield, Mic Sound Absorbing Foam Reflector for Any Condenser Recording Equipment Studio (Black)",TONOR,IN,28773.68,13,0,0,13,
FBA79111,TD510,B0BRKFP94K,"TONOR TD510 Dynamic Microphone, USB/XLR PC Microphone for Podcast, Recording, Live Streaming & Gaming, XLR Cardioid Studio Mic Music Voice-Over with Quick Mute, Headphone Output, Volume Control",TONOR,IN,25229.67,6,0,0,6,1
FBA79697,TD310,B0CQX4K9P5,"TONOR USB Dynamic Microphone for Podcast Gaming Mic with RGB for Recording, Live Streaming, YouTube, Singing, Studio, Tiktok Microfono with Quick Mute& Stand Compatible with PC/Cellphone TypeC",TONOR,IN,22362.72,12,0,0,6,2
FBA77114,TC-2030,B07TSN2H9D,"TONOR Cardioid Condenser Microphone, USB Computer Mic Kit with 24mm Diaphragm/Spider Shock Mount for Podcasting, Gaming, Streaming, YouTube, Voice Over, Studio/Home Recording, TC-2030",TONOR,IN,11692.38,3,0,0,3,3
