SKU,(Child) ASIN,(Parent) ASIN,Brand,Model,Units Ordered,Ordered Product Sales,Sessions,Page Views,Buy Box Percentage,Seller Account,Month,WindowStart,WindowEnd
FBA75673,B0B4DPX2J2,B0B4DPX2J2,Audio Array,AM-C1,13,27359.32,67924,92172,0.99,AUDIOARRAY,2026-06,2026-06-01,2026-06-30
FBA75676,B0B4DS678Q,B0B4DS678Q,Audio Array,AM-C4,2,3218.64,719,946,23.82,AUDIOARRAY,2026-06,2026-06-01,2026-06-30
FBA75674,B0B4G19R58,B0B4G19R58,Audio Array,AM-C2,6,19027.19,917,1378,20.51,AUDIOARRAY,2026-06,2026-06-01,2026-06-30
FBA75692,B0B4G1HPL5,B0B4G1HPL5,Audio Array,AM-C11,0,0.0,440,581,4.72,AUDIOARRAY,2026-06,2026-06-01,2026-06-30
FBA75680,B0B4G1PXWV,B0B4G1PXWV,Audio Array,AM-C6,3,5082.2,234,308,47.77,AUDIOARRAY,2026-06,2026-06-01,2026-06-30
FBA75689,B0B4G59Y8W,B0B4G59Y8W,Audio Array,AM-W13,4,5590.68,322,456,37.59,AUDIOARRAY,2026-06,2026-06-01,2026-06-30
FBA75691,B0B4G5JG4P,B0B4G5JG4P,Audio Array,AM-W14,18,94900.0,1404,2144,34.44,AUDIOARRAY,2026-06,2026-06-01,2026-06-30
FBA75688,B0B4G763WS,B0B4G763WS,Audio Array,AM-W12,1,3388.98,756,1009,7.66,AUDIOARRAY,2026-06,2026-06-01,2026-06-30
FBA75684,B0B4G7VWXD,B0B4G7VWXD,Audio Array,AA-04,9,11518.64,950,1325,13.17,AUDIOARRAY,2026-06,2026-06-01,2026-06-30
FBA75678,B0B4G8PH2P,B0B4G8PH2P,Audio Array,AA-01,1,1821.19,774,916,16.36,AUDIOARRAY,2026-06,2026-06-01,2026-06-30
FBA75675,B0B4G8ZB64,B0B4G8ZB64,Audio Array,AM-C3,0,0.0,789,1159,0.4,AUDIOARRAY,2026-06,2026-06-01,2026-06-30
FBA75683,B0B4G94VP3,B0B4G94VP3,Audio Array,AA-03,2,854.24,690,873,8.24,AUDIOARRAY,2026-06,2026-06-01,2026-06-30
FBA75679,B0B4JRQP22,B0B4JRQP22,Audio Array,AA-02,2,4235.59,9635,10858,8.11,AUDIOARRAY,2026-06,2026-06-01,2026-06-30
FBA75690,B0B4K87PR4,B0B4K87PR4,Audio Array,AM-C10,6,20333.9,1959,2365,16.43,AUDIOARRAY,2026-06,2026-06-01,2026-06-30
FBA75677,B0B4KC7VBM,B0B4KC7VBM,Audio Array,AM-C5,3,4150.85,2626,3297,3.46,AUDIOARRAY,2026-06,2026-06-01,2026-06-30
FBA76414,B0BLJVJ2GN,B0BLJVJ2GN,Audio Array,AA-05,16,8341.53,4341,5844,11.01,AUDIOARRAY,2026-06,2026-06-01,2026-06-30
FBA76716,B0BLK8DNPD,B0BLK8DNPD,Audio Array,AM-C13,0,0.0,28,32,100.0,AUDIOARRAY,2026-06,2026-06-01,2026-06-30
FBA76730,B0BLKB6FRR,B0BLKB6FRR,Audio Array,AM-C27,0,0.0,31,44,100.0,AUDIOARRAY,2026-06,2026-06-01,2026-06-30
FBA76742,B0BLKBJ5HN,B0BLKBJ5HN,Audio Array,AM-K1,5,39402.54,506,698,99.83,AUDIOARRAY,2026-06,2026-06-01,2026-06-30
FBA76720,B0BLKCWZQD,B0BLKCWZQD,Audio Array,AM-C17,3,422.88,24,31,96.55,AUDIOARRAY,2026-06,2026-06-01,2026-06-30
FBA76862,B0BPLWW72Y,B0BPLWW72Y,Audio Array,AM-C28,34,45497.46,4378,5586,13.51,AUDIOARRAY,2026-06,2026-06-01,2026-06-30
FBA76864,B0BPLZ5CGV,B0BPLZ5CGV,Audio Array,AI-04 Red,14,57818.66,48489,64709,2.37,AUDIOARRAY,2026-06,2026-06-01,2026-06-30
FBA76863,B0BPM2T7BQ,B0BPM2T7BQ,Audio Array,AI-03,9,30415.64,5613,7314,20.76,AUDIOARRAY,2026-06,2026-06-01,2026-06-30
FBA77011,B0BPMN89NG,B0BPMN89NG,Audio Array,AM-C29,0,0.0,78,107,98.98,AUDIOARRAY,2026-06,2026-06-01,2026-06-30
FBA76597,B0BQ7H7418,B0BQ7H7418,Audio Array,AA-06,12,13210.17,1462,2028,22.97,AUDIOARRAY,2026-06,2026-06-01,2026-06-30
FBA78203,B0C4YTNJG7,B0C4YTNJG7,Audio Array,AM-C30,0,0.0,81,99,35.79,AUDIOARRAY,2026-06,2026-06-01,2026-06-30
FBA78205,B0C539RBGL,B0C539RBGL,Audio Array,AM-C32,3,5082.2,108,160,100.0,AUDIOARRAY,2026-06,2026-06-01,2026-06-30
FBA78420,B0C5957W3P,B0C5957W3P,Audio Array,AM-C33,0,0.0,42,47,100.0,AUDIOARRAY,2026-06,2026-06-01,2026-06-30
FBA78423,B0C598Q6PT,B0C598Q6PT,Audio Array,AM-C36,0,0.0,18,26,43.48,AUDIOARRAY,2026-06,2026-06-01,2026-06-30
FBA78925,B0CBC7QMNV,B0CBC7QMNV,Audio Array,AM-C11X,0,0.0,550,690,2.51,AUDIOARRAY,2026-06,2026-06-01,2026-06-30
FBA78960,B0CBCB82MT,B0CBCB82MT,Audio Array,AM-C39,5,5380.14,1481,1913,4.21,AUDIOARRAY,2026-06,2026-06-01,2026-06-30
FBA78973,B0CF5R3V95,B0CF5R3V95,Audio Array,AA-19,5,16309.32,3482,4928,7.61,AUDIOARRAY,2026-06,2026-06-01,2026-06-30
FBA78974,B0CF5RRTDJ,B0CF5RRTDJ,Audio Array,AA-20,1,1694.07,583,761,32.42,AUDIOARRAY,2026-06,2026-06-01,2026-06-30
FBA78976,B0CF5SHL15,B0CF5SHL15,Audio Array,AA-22,5,15843.22,2835,3422,12.92,AUDIOARRAY,2026-06,2026-06-01,2026-06-30
FBA78975,B0CF5TCQKL,B0CF5TCQKL,Audio Array,AA-21,14,42109.45,6996,9355,9.94,AUDIOARRAY,2026-06,2026-06-01,2026-06-30
FBA79009,B0CH4PMR8K,B0CH4PMR8K,Audio Array,AM-C41,7,9282.33,861,1203,7.66,AUDIOARRAY,2026-06,2026-06-01,2026-06-30
FBA79016,B0CH4R1V6S,B0CH4R1V6S,Audio Array,AM-C3a,0,0.0,1006,1325,2.42,AUDIOARRAY,2026-06,2026-06-01,2026-06-30
FBA79011,B0CH4RNWJX,B0CH4RNWJX,Audio Array,AM-C43,0,0.0,4100,5950,0.15,AUDIOARRAY,2026-06,2026-06-01,2026-06-30
