date,asin,Spend,adGroupName,ams_orders,campaignId,14 Day Total Units (#),Impressions,raw_sku,adGroupId,14 Day Total Sales (₹),Clicks,campaignName,sku,model,brand,category_l0,category_l1,category_l2
2026-06-14,B01ISNU3X4,0.0,VIEWS REM || 4 STAR || TONOR,0,349719208790496,0,0,B01ISNU3X4,382841462163329,0.0,0,SD || CONV || VIEWS REM || 4 STAR || TONOR,FBA77113,K1,Tonor,Dynamic Microphone,Hand held Mic,
2026-06-16,B01ISNU3X4,0.0,VIEWS REM || SIM PRO || TONOR,0,349719208790496,0,0,B01ISNU3X4,309744513011528,0.0,0,SD || CONV || VIEWS REM || 4 STAR || TONOR,FBA77113,K1,Tonor,Dynamic Microphone,Hand held Mic,
