amazon-order-id	merchant-order-id	purchase-date	last-updated-date	order-status	fulfillment-channel	sales-channel	order-channel	url	ship-service-level	product-name	sku	asin	item-status	quantity	currency	item-price	item-tax	shipping-price	shipping-tax	gift-wrap-price	gift-wrap-tax	item-promotion-discount	ship-promotion-discount	ship-city	ship-state	ship-postal-code	ship-country	promotion-ids	is-business-order	purchase-order-number	price-designation	fulfilled-by	is-iba 
403-8073800-8858727	403-8073800-8858727	2025-12-27T16:24:32+00:00	2025-12-28T04:24:12+00:00	Shipped	Amazon	Amazon.in			Expedited	NexLev LED Phototherapy comb | Electric Scalp Massager | Red Light for Regrowth | Blue Light for Anti Dandruff | Hairfall Control | Rechargeable TypeC	FBA79440	B0DCGHKRXX	Shipped	1	INR	1999.0						39.98		BENGALURU	KARNATAKA	560024	IN	PLM-44130194-fe6b-4023-be96-bcab5bb15b10	false				false
402-0784125-1114708	402-0784125-1114708	2025-12-27T16:08:58+00:00	2025-12-28T07:30:22+00:00	Shipped	Amazon	Amazon.in			Expedited	NexLev LED Phototherapy comb | Electric Scalp Massager | Red Light for Regrowth | Blue Light for Anti Dandruff | Hairfall Control | Rechargeable TypeC	FBA79440	B0DCGHKRXX	Shipped	1	INR	1999.0		40.0		30.0			40.0	KANPUR	UTTAR PRADESH	208002	IN		false				false
406-2612431-1489156	406-2612431-1489156	2025-12-27T16:04:09+00:00	2025-12-29T18:54:10+00:00	Shipped	Amazon	Amazon.in			Expedited	NexLev Ionic 3 in 1 Hot Air Brush|1.5 Inch Barrel |Volumizer Blow Dryer & Styler|Ceramic Tourmaline Coated for Heat Protection|1200W|Dual Bristle for	FBA79493	B0DQCWRG3H	Shipped	1	INR	1999.0		40.0				39.98	40.0	Chennai	TAMIL NADU	600042	IN	PLM-44130194-fe6b-4023-be96-bcab5bb15b10	false				false
408-9409793-9948365	408-9409793-9948365	2025-12-27T15:48:35+00:00	2025-12-28T22:50:24+00:00	Shipped	Amazon	Amazon.in			Expedited	NexLev Ionic Hot Air Brush | 3 in 1 Blow Dryer, Straightener, Volumizer & Styler | 360° Airflow Vents | Ceramic Tourmaline Coated Brushing Head | Tan	FBA79271	B0D83Q7L8W	Shipped	1	INR	1248.0		40.0					40.0	VANDIPERIYAR	KERALA	685533	IN		false				false
406-0809293-2964327	406-0809293-2964327	2025-12-27T15:46:29+00:00	2025-12-27T15:50:45+00:00	Cancelled	Amazon	Amazon.in			Expedited	NexLev Ionic 3 in 1 Hot Air Brush|1.5 Inch Barrel |Volumizer Blow Dryer & Styler|Ceramic Tourmaline Coated for Heat Protection|1200W|Dual Bristle for	FBA79493	B0DQCWRG3H	Cancelled	0										NEW DELHI	DELHI	110044	IN		false				false
405-6235710-7070728	405-6235710-7070728	2025-12-27T14:51:49+00:00	2025-12-27T18:48:06+00:00	Shipped	Amazon	Amazon.in			Expedited	nexlev Mattress, Sofa & Carpet Vacuum Cleaner | for Dust Mites, Allergens & Pet Hair | 4 Step Cleansing with Double Beat, UV Light, Dehumidification &	FBA79263	B0CYSLCRQS	Shipped	1	INR	2949.0								BENGALURU	KARNATAKA	560083	IN		false				false
406-6520637-7212337	406-6520637-7212337	2025-12-27T14:36:58+00:00	2025-12-27T15:52:12+00:00	Shipped	Amazon	Amazon.in			Expedited	NexLev Lint Remover | For Woolen Sweaters Shirts Socks Jackets Suede Leggings | Pill, Rue & Burr Remover | 30 Min Use |Type C |Defuzzer | Lint Brush f	FBA79279	B0D8445KJN	Shipped	1	INR	857.0								NEW DELHI	DELHI	110017	IN		false				false
406-3252125-6127502	406-3252125-6127502	2025-12-27T14:33:20+00:00	2025-12-27T14:34:43+00:00	Cancelled	Amazon	Amazon.in			Expedited	NexLev Lint Remover | For Woolen Sweaters Shirts Socks Jackets Suede Leggings | Pill, Rue & Burr Remover | 30 Min Use |Type C |Defuzzer | Lint Brush f	FBA79279	B0D8445KJN	Cancelled	0										GURUGRAM	HARYANA	122002	IN		false				false
403-3067242-9753930	403-3067242-9753930	2025-12-27T14:29:03+00:00	2025-12-27T22:55:04+00:00	Shipped	Amazon	Amazon.in			Expedited	NexLev Ionic 3 in 1 Hot Air Brush|1.5 Inch Barrel |Volumizer Blow Dryer & Styler|Ceramic Tourmaline Coated for Heat Protection|1200W|Dual Bristle for	FBA79493	B0DQCWRG3H	Shipped	1	INR	1999.0		59.0					59.0	ACHHALDA	UTTAR PRADESH	206241	IN		false				false
171-4536130-6789942	171-4536130-6789942	2025-12-27T14:28:58+00:00	2025-12-27T17:51:58+00:00	Shipped	Amazon	Amazon.in			Expedited	Nexlev Portable Sewing Machine| 2 Speed Settings| Cordless| Battery operated| USB Type C cord for Plug-in| Quick Fix DIY|Portable & Compact| for all F	FBA79349	B0D9KDQCCM	Shipped	1	INR	999.0		40.0					40.0	BARI	RAJASTHAN	328021	IN		false				false
405-4297052-6600328	405-4297052-6600328	2025-12-27T14:25:18+00:00	2025-12-27T18:42:49+00:00	Cancelled	Amazon	Amazon.in			Expedited	NexLev Ionic 3 in 1 Hot Air Brush|1.5 Inch Barrel |Volumizer Blow Dryer & Styler|Ceramic Tourmaline Coated for Heat Protection|1200W|Dual Bristle for	FBA79493	B0DQCWRG3H	Cancelled	0										NAREGAL	KARNATAKA	582119	IN		false				false
408-0648469-1145940	408-0648469-1145940	2025-12-27T14:17:17+00:00	2025-12-27T18:27:34+00:00	Cancelled	Amazon	Amazon.in			Expedited	NexLev Ionic 3 in 1 Hot Air Brush|1.5 Inch Barrel |Volumizer Blow Dryer & Styler|Ceramic Tourmaline Coated for Heat Protection|1200W|Dual Bristle for	FBA79493	B0DQCWRG3H	Cancelled	0										HOSAPETE	KARNATAKA	583201	IN	PLM-44130194-fe6b-4023-be96-bcab5bb15b10	false				false
406-3621942-0079514	406-3621942-0079514	2025-12-27T14:17:03+00:00	2025-12-27T17:09:08+00:00	Shipped	Amazon	Amazon.in			Expedited	NexLev Professional Air Purifier for 650 sq ft Area| 8500 Hrs Filter Life|True HEPA 13 Filter |Captures 99.99% Virus and PM 2.5 Particle|For Home & Of	FBA79683	B0DVC9PRSD	Shipped	1	INR	13490.0								INDORE	MADHYA PRADESH	452016	IN		false				false
171-0123711-0925970	171-0123711-0925970	2025-12-27T14:15:20+00:00	2025-12-28T18:18:13+00:00	Shipped	Amazon	Amazon.in			Expedited	NexLev Cordless Electric Heating Pad| Period Cramp & Back Pain Relief Massager | 9 modes| Menstrual Cramp Relief|Type C| Crampfree Periods | Portable	FBA79464	B0DFCDKMWR	Shipped	1	INR	1249.0		40.0					40.0	TILHAR	UTTAR PRADESH	242307	IN		false				false
408-5467310-0405961	408-5467310-0405961	2025-12-27T13:51:48+00:00	2025-12-28T03:26:05+00:00	Shipped	Amazon	Amazon.in			Expedited	NexLev Lint Remover | for Woolen Sweaters Shirts Socks Jackets Suede Leggings Curtains & Carpets |Fabric Brush | Pill, Rue & Burr Remover | Battery Po	FBA79819	B0FT8R24QM	Shipped	1	INR	336.0								PATIALA	PUNJAB	147001	IN		false				false
402-1612242-3159551	402-1612242-3159551	2025-12-27T13:46:21+00:00	2025-12-27T19:08:05+00:00	Shipped	Amazon	Amazon.in			Expedited	NexLev Foldable Garment Steamer for Home & Travel | Convenient Vertical Steaming | 1200W | 120 ml | Lightweight & Compact | 30s Fast Heating | Iron fo	FBA79268	B0D383WQPB	Shipped	1	INR	1799.0				30.0				Chennai	TAMIL NADU	600127	IN		false				false
403-4807505-9469920	403-4807505-9469920	2025-12-27T13:38:23+00:00	2025-12-27T22:06:03+00:00	Shipped	Amazon	Amazon.in			Expedited	NexLev Handheld Garment Steamer | 1500 Watts | 300 ML| Standing & Horizontal Iron Press | Damage Free Steaming for all Cloth Types | 25s Quick Heat |U	FBA78980	B0CDPMX152	Shipped	1	INR	2048.0						40.96		TIRUPATTUR  tirupattur district	TAMIL NADU	635602	IN	PLM-44130194-fe6b-4023-be96-bcab5bb15b10	false				false
408-7422823-2907552	408-7422823-2907552	2025-12-27T13:33:42+00:00	2025-12-27T17:39:05+00:00	Shipped	Amazon	Amazon.in			Expedited	Nexlev Portable Sewing Machine| 2 Speed Settings| Cordless| Battery operated| USB Type C cord for Plug-in| Quick Fix DIY|Portable & Compact| for all F	FBA79349	B0D9KDQCCM	Shipped	1	INR	999.0		40.0					40.0	SELU	MAHARASHTRA	431503	IN		false				false
406-8061047-0530719	406-8061047-0530719	2025-12-27T13:20:50+00:00	2025-12-28T13:38:04+00:00	Shipped	Amazon	Amazon.in			Expedited	NexLev 2 in 1 Handheld & Stick Vacuum Cleaner | 17500 PA Suction | Dry Vacuuming for Home & Office | Washable HEPA Filter | 4 Adjustable Heads | Bagle	FBA79452	B0DCGHVN81	Shipped	1	INR	1994.0		40.0					40.0	NALLAJERLA	ANDHRA PRADESH	534112	IN		false				false
