brand,asin,week,Spend,Clicks,Impressions,attributed_sales,ams_orders,gmv,sessions,units,buy_box_pct,conversion_pct,acos,roas,tacos,cac,attributed_sales_pct,organic_sales_pct,category_l0,category_l1,category_l2,SKU,Model,(Parent) ASIN,Title,Sessions - Total - B2B,Session Percentage - Total,Session Percentage - Total - B2B,Page Views - Total,Page Views - Total - B2B,Page Views Percentage - Total,Page Views Percentage - Total - B2B,Featured Offer Percentage - B2B,units_ordered,Units Ordered - B2B,Unit Session Percentage - B2B,ordered_product_sales,Ordered Product Sales - B2B,Total Order Items,Total Order Items - B2B,ad_channel,Spend_ads,Clicks_ads,Impressions_ads,attributed_sales_ads,ams_orders_ads,brand_ads,ad_type,campaign_name
Nexlev,B0D383WQPB,4,15075.17,796.0,277153.0,31087.31,22.0,54049.0,2361.0,,0.6678,,0.48493002450195916,2.0621531962823636,0.2789167237136672,685.235,0.5751690133027438,0.42483098669725616,,,,FBA79268,GS-05,B0D383WQPB,NexLev Foldable Garment Steamer for Home & Travel | Convenient Vertical Steaming | 1200W | 120 ml | Lightweight & Compact | 30s Fast Heating | Iron for all Cloth Types | 2 M cord | Anti Spill | GS-05,27.0,0.0157,0.0122,3216.0,36.0,0.0167,0.0123,0.7857,32.0,0.0,0.0,54049.0,0.0,32.0,0.0,SP_SD,15075.17,796.0,277153.0,31087.31,22.0,Nexlev,SP_SD,
Nexlev,B0DVC7VJP1,4,19239.19,1026.0,186406.0,86501.68999999999,18.0,134808.0,3548.0,,0.8693,,0.22241403607259005,4.4961191193600145,0.1427154916622159,1068.8438888888888,0.6416658506913535,0.3583341493086465,,,,FBA79679,ST-01,B0DVC7VJP1,"NexLev Stand Mixer |5.5L SS Bowl | 1500W |10 Speeds | Pulse Function |Planetary Rotation | Whisk, Beater & Dough Hook|100% Copper Motor | For Roti & Cookie Dough, Cake Making, Whip Cream & more |ST-01",42.0,0.0236,0.019,4706.0,61.0,0.0244,0.0208,0.6563,25.0,1.0,0.0238,134808.0,5589.0,25.0,1.0,SP_SD,19239.19,1026.0,186406.0,86501.68999999999,18.0,Nexlev,SP_SD,
Nexlev,B0D845B2DG,4,5690.49,308.0,106073.0,21227.08,21.0,30724.0,649.0,,0.8026,,0.2680769093064142,3.730272788459342,0.18521318838692877,270.9757142857143,0.6908957167035543,0.3091042832964457,,,,FBA79280,LR-02,B0D845B2DG,"NexLev Lint Remover | for Woolen Sweaters Shirts Socks Jackets Suede Leggings Curtains & Carpets | Pill, Rue & Burr Remover | 120 Min Use |TypeC | Lint Brush for Coat| SS Blade | Safety Lock | LR-02",26.0,0.0043,0.0118,985.0,34.0,0.0051,0.0116,0.7273,24.0,0.0,0.0,30724.0,0.0,24.0,0.0,SP_SD,5690.49,308.0,106073.0,21227.08,21.0,Nexlev,SP_SD,
Nexlev,B0DFD123P5,4,12580.92,1356.0,246013.0,9928.8,9.0,32278.0,1930.0,,0.945,,1.2671138506163888,0.7891950668154634,0.38976764359625754,1397.88,0.30760270153045416,0.6923972984695459,,,,FBA79489,KE-02,B0DFD123P5,"Nexlev MultiPurpose Electric Food Kettle|1.5 L Ceramic Pot | 600W| Boil, Steam, Fry, Saute| Double Layered Body| 2 Temperature Settings| Multi Cooker for Water, Egg, Tea, Soup, Noodles, Rice| KE-02",35.0,0.0129,0.0159,2855.0,69.0,0.0148,0.0235,0.95,23.0,0.0,0.0,32278.0,0.0,23.0,0.0,SP_SD,12580.92,1356.0,246013.0,9928.8,9.0,Nexlev,SP_SD,
Nexlev,B0DCGHKRXX,4,5743.69,485.0,81477.0,12039.82,8.0,38799.0,3158.0,,0.9065,,0.47705779654513103,2.0961820711075982,0.14803706281089718,717.96125,0.31031263692363203,0.689687363076368,,,,FBA79440,LE-02,B0DCGHKRXX,NexLev LED Phototherapy comb | Electric Scalp Massager | Red Light for Regrowth | Blue Light for Anti Dandruff | Hairfall Control | Rechargeable TypeC | Targeted Laser Treatment Machine |3 Modes |LE-02,10.0,0.021,0.0045,4175.0,11.0,0.0216,0.0037,0.875,21.0,0.0,0.0,38799.0,0.0,21.0,0.0,SP_SD,5743.69,485.0,81477.0,12039.82,8.0,Nexlev,SP_SD,
Nexlev,B0DQ8W1RBV,4,4315.18,257.0,52527.0,6241.530000000001,5.0,26224.0,1212.0,,0.9357,,0.6913657388492885,1.4464124323898424,0.16455079316656498,863.0360000000001,0.23800831299572914,0.7619916870042709,,,,FBK79271,V-01 RG,B0DQ8W1RBV,"NexLev Ionic Hot Air Brush for Woman | 3 in 1 Hair Dryer, Straightener, Volumizer & Styler | 360° Airflow Vents | Ceramic Coated Brushing Head | Tangle Free Bristle |3 Speed & 2 Heat Settings | V-01RG",5.0,0.0081,0.0023,1676.0,6.0,0.0087,0.002,0.0,20.0,0.0,0.0,26224.0,0.0,20.0,0.0,SP_SD,4315.18,257.0,52527.0,6241.530000000001,5.0,Nexlev,SP_SD,
Nexlev,B0D2P7WLJB,4,739.85,88.0,5911.0,1679.65,7.0,5331.0,421.0,,0.8915,,0.440478671151728,2.270257484625262,0.13878259238416807,105.69285714285715,0.3150722190958545,0.6849277809041455,,,,FBA79374,ET-02-GN_N,B0D2P7WLJB,"NexLev Smart Electric Toothbrush for Adults |2-Min Timer with Quadpacer |2 Replaceable Heads | AAA Battery |3 Modes (Daily, Normal & Sesitive) |Upto 60 Days | Travel Case | Soft Bristles |ET-02 Green",7.0,0.0028,0.0032,549.0,8.0,0.0028,0.0027,1.0,19.0,0.0,0.0,5331.0,0.0,18.0,0.0,SP_SD,739.85,88.0,5911.0,1679.65,7.0,Nexlev,SP_SD,
Nexlev,B0DKJXRXKM,4,7641.33,559.0,87852.0,12822.04,10.0,22035.0,659.0,,0.8439,,0.5959527501084071,1.6779853768911959,0.34678148400272296,764.133,0.5818942591331973,0.41810574086680274,,,,FBA79570,BR-01,B0DKJXRXKM,NexLev Blackhead & Whitehead Remover Tool | Rechargeable |1Hr Use| Acne & Pimple Pore Cleaner | 6 Heads | Electric Derma Suction Machine | Hydra Facial Cleanser Device for Face |For Men & Women |BR-01,16.0,0.0044,0.0072,883.0,21.0,0.0046,0.0072,0.8,17.0,0.0,0.0,22035.0,0.0,17.0,0.0,SP_SD,7641.33,559.0,87852.0,12822.04,10.0,Nexlev,SP_SD,
Nexlev,B0D9KFZYG8,4,5586.63,308.0,86295.0,8130.48,6.0,22482.0,1297.0,,0.8195,,0.6871217935472445,1.4553460673071241,0.24849346143581533,931.105,0.36164398185214836,0.6383560181478516,,,,FBA79404,FS-01,B0D9KFZYG8,"NexLev Steamer For Cold & Cough| Face Steam,Inhaler & Vaporizer | Perfect for Facial & Aromatherapy | Nano Ionic Steam | Uv Sterilization | Aroma Diffuser|30 Sec Heating|Avoid Burns & Spillage | FS-01",9.0,0.0086,0.0041,1591.0,11.0,0.0082,0.0037,0.8,14.0,1.0,0.1111,22482.0,1599.0,14.0,1.0,SP_SD,5586.63,308.0,86295.0,8130.48,6.0,Nexlev,SP_SD,
Nexlev,B0FJG5PFGQ,4,3699.43,208.0,43051.0,4795.77,9.0,9242.0,274.0,,1.0,,0.7713943746259724,1.2963537626066721,0.4002845704392988,411.04777777777775,0.5189104090023805,0.4810895909976195,,,,FBA79673,ETC-07-WH,B0FJG5PFGQ,Nexlev Electric Toothbrush |40K Strokes/minute | 60 Days Battery Life| Type C| 6 Modes| 2 Min timer| 30 sec Quad Pacer | 4 Brush Heads With Cover| IPX7 Waterproof| For Adults|Sparkle Pro ETC-07 White,3.0,0.0018,0.0014,403.0,4.0,0.0021,0.0014,1.0,15.0,0.0,0.0,9242.0,0.0,14.0,0.0,SP_SD,3699.43,208.0,43051.0,4795.77,9.0,Nexlev,SP_SD,
