SKU,Model,(Parent) ASIN,(Child) ASIN,Title,Sessions - Total,Sessions - Total - B2B,Session Percentage - Total,Session Percentage - Total - B2B,Page Views - Total,Page Views - Total - B2B,Page Views Percentage - Total,Page Views Percentage - Total - B2B,Featured Offer Percentage,Featured Offer Percentage - B2B,Units Ordered,Units Ordered - B2B,Unit Session Percentage,Unit Session Percentage - B2B,Ordered Product Sales,Ordered Product Sales - B2B,Total Order Items,Total Order Items - B2B
FBA79813,AH-50,B0FG88HVQ8,B0FG88HVQ8,"Audio Array AH-50 Professional DJ Headphone | 50mm Drivers | 32Ω | 20Hz-20kHz | Dual Detachable Cables With Mic & Controls | Buddy Share Technology | 105 dB SPL | One Ear Listening | Monitoring,Mixing","12,691",203,3.81%,2.56%,"18,208",285,3.95%,2.60%,18.97%,24.32%,72,4,0.57%,1.97%,"₹ 1,19,671.19","₹ 8,296.00",67,4
FBA76414,AA-05,B0BLJVJ2GN,B0BLJVJ2GN,"Audio Array AA-05 Suspension Boom Scissor Microphone Arm Stand | Universal clamp with mic Holder & 3/8″ to 5/8″ Adapter for Shock mounts | Suitable for Stages, Studios, Broadcasting, TV Stations","2,555",81,0.77%,1.02%,"3,587",104,0.78%,0.95%,44.63%,46.48%,55,6,2.15%,7.41%,"₹ 34,656.78","₹ 4,494.00",50,5
FBA75673,AM-C1,B0B4DPX2J2,B0B4DPX2J2,"Audio Array AM-C1 USB Condenser Microphone Kit | for Podcasting, Online Meeting, Gaming, Singing & Live Streaming | Boom Arm, Pop Filter, Mic Cover, Spider Shock Mount, Tripod & 2.5M USB Cable","53,251","1,009",15.97%,12.74%,"75,602","1,481",16.41%,13.52%,4.01%,3.77%,36,1,0.07%,0.10%,"₹ 77,683.05","₹ 2,699.00",35,1
FBA79967,AM-W19,B0G2C2RCXN,B0G2C2RCXN,"Audio Array Wireless Lavalier Mic with AI Noise Cancellation for iPhone/Android, 32h Charging case and Plug-and-Play Setup for vlogging, Streaming, Meetings, and Video Recording","1,094",60,0.33%,0.76%,"1,572",92,0.34%,0.84%,98.28%,100.00%,30,3,2.74%,5.00%,"₹ 47,433.90","₹ 5,997.00",30,3
FBA79839,AH-45 BK,B0FQBXS6Y2,B0FQBXS6Y2,"Audio Array AH-45-BK Studio Monitoring & Live Recording Headphones | 20-20KHz, 32 Ω, 100dB SPL | 40mm Depp Bass Closed-Back Driver | 3m OFC Cable | 3.5mm + 6.3mm Adapter (Black)","3,727",57,1.12%,0.72%,"5,201",88,1.13%,0.80%,19.21%,28.81%,47,23,1.26%,40.35%,"₹ 56,370.58","₹ 31,796.45",26,2
FBA79961,AI-13,B0G53H49BS,B0G53H49BS,"Audio Array AI-13 2026 Edition 4-Channel Hybrid USB Summing Mixer 4 Analog+2 Digital, 48kHz/16-Bit, 2XLR Mic Inputs,TRS Stereo In, 48V Phantom, Hi-Z,2 Band EQ,Monitoring,Amp Out, USB-C Power","23,726",409,7.11%,5.16%,"32,670",582,7.09%,5.31%,14.82%,16.25%,26,2,0.11%,0.49%,"₹ 48,075.42","₹ 5,398.00",26,2
FBA79482,AM-S1,B0DXFPM4N2,B0DXFPM4N2,"Audio Array AM-S1 BT v5.3 |Professional 4"" Studio Monitor Speaker Pair| 60W Class D Amplification,Woven Composite Woofer,1"" Silk-Dome Tweeter,EQ Controls|Music/Monitor Mode, Aux, HDMI, USB C, TRS, RCA","25,046",475,7.51%,6.00%,"34,691",653,7.53%,5.96%,12.95%,11.06%,24,1,0.10%,0.21%,"₹ 1,63,286.44","₹ 8,849.00",24,1
FBA76862,AM-C28,B0BPLWW72Y,B0BPLWW72Y,Audio Array AM-C28 USB Plug & Play Conference Microphone | Omni Directional Pickup Upto 3M | Mic Mute Button | No Drivers Condenser USB Type-C | Ideal for Meetings & Video Calling (Not a Speaker),"3,181",229,0.95%,2.89%,"4,252",323,0.92%,2.95%,13.22%,9.84%,28,6,0.88%,2.62%,"₹ 35,482.20","₹ 9,294.00",21,4
FBA79972,M8,B0GCP1J2HC,B0GCP1J2HC,"Audio Array M8 Latest 2026 Edition 8-Channel Hybrid USB Summing Mixer (6 Analog + 2 Digital) for Recording & Live, 192kHz/24-Bit OTG, 99 DSP FX, 4 XLR Mic Inputs, Phantom Power, Hi-Z & Monitoring","7,751",142,2.32%,1.79%,"10,995",193,2.39%,1.76%,42.96%,48.48%,21,0,0.27%,0.00%,"₹ 1,38,686.44",₹ 0.00,21,0
FBA76864,AI-04 Red,B0BPLZ5CGV,B0BPLZ5CGV,Audio Array AI-04 2x2 Gen 3 Audio Interface | Premium Mic Pre-Amps | 48V Phantom Power Support | 24bit/192kHz High Fidelity Recording | XLR/MIC/LINE inputs | Plug & Play-No Drivers | Metal Body | Red,"35,463",755,10.63%,9.53%,"51,060","1,079",11.08%,9.85%,2.42%,37.96%,18,9,0.05%,1.19%,"₹ 68,714.41","₹ 42,441.00",17,8
FBA79903,AA-25M,B0FR5DLXH9,B0FR5DLXH9,"Audio Array AA-25 Metal Handheld Microphone Interview Adapter with Wind Shield for Wireless Lapel Microphones | Supports, Rode Go, DJI, Hollyland mics etc | Foam Cover with Built-in Cold Shoe Mount",654,24,0.20%,0.30%,844,32,0.18%,0.29%,99.87%,100.00%,15,0,2.29%,0.00%,"₹ 10,690.68",₹ 0.00,14,0
FBA80016,AM-W22 Duplicate,B0GKPXQ8G3,B0GKPXQ8G3,"Audio Array AM-W22_V2 | Latest 2026 Edition Wireless Microphone for Camera/iPhone/Android/iPad/Laptop, Lav Mic with Charging Case, AI Noise Reduction, 50H Battery, 230ft Range, for Recording, YouTube",905,42,0.27%,0.53%,"1,414",67,0.31%,0.61%,70.33%,95.92%,14,3,1.55%,7.14%,"₹ 40,538.98","₹ 10,247.00",14,3
FBA78973,AA-19,B0CF5R3V95,B0CF5R3V95,"Audio Array AA-19 2in1 High & Low Profile Mic Stand | 71cm reach | Premium Metal design with Built In Cable Management | Flexible Position adjustments | 2Kg Weight Capacity |5/8"" to 3/8"" Screw Adapter","4,414",159,1.32%,2.01%,"6,041",250,1.31%,2.28%,4.50%,4.09%,15,4,0.34%,2.52%,"₹ 49,563.56","₹ 15,596.00",12,2
FBA79005,AM-W45,B0CKHVHVQ1,B0CKHVHVQ1,"Audio Array AM-W45 Wireless Conference Microphone with Speaker | Bluetooth, USB & 4 Mics | 360° Pickup Upto 4M | Noise Reduction & Enhanced Voice | Portable Speakerphone for Video Calls/Zoom Meeting","3,812",432,1.14%,5.45%,"5,167",632,1.12%,5.77%,6.53%,7.57%,17,11,0.45%,2.55%,"₹ 73,128.14","₹ 55,697.21",12,6
FBA75684,AA-04,B0B4G7VWXD,B0B4G7VWXD,"Audio Array AA-04 Metal Spider Shock Mount for Condenser Microphone | Anti Vibration, Suspension, Isolation | 4 Size Bottom Screws & Extra Replacement Elastic Bands | Recommended For Rode, Samson, etc",544,13,0.16%,0.16%,810,21,0.18%,0.19%,20.82%,77.78%,13,4,2.39%,30.77%,"₹ 17,235.59","₹ 6,596.00",11,2
FBA79105,AI-12,B0CM6WH4ZT,B0CM6WH4ZT,"Audio Array AI-12 USB Bluetooth Soundcard | 1Ch Mixer interface | 2 mic inputs, 2 smartphone & PC/Mac outputs | Karaoke Recording, Mobile/PC Streaming, Live Broadcasting | Singing, Recording,Gaming","3,096",50,0.93%,0.63%,"4,263",62,0.93%,0.57%,22.00%,22.22%,11,0,0.36%,0.00%,"₹ 11,938.75",₹ 0.00,11,0
FBA79722,AM-W21,B0F2HYY7JF,B0F2HYY7JF,"Audio Array AM-W21 Dual Wireless Lapel Mic | TFT Card Recording, Noise Cancellation & Echo | Android, iOS, DSLR Camera, Laptops | 360° Pickup, Plug n Play, 60M Working Range, 48-Hour Battery Life",234,11,0.07%,0.14%,377,17,0.08%,0.16%,99.06%,100.00%,11,0,4.70%,0.00%,"₹ 22,280.51",₹ 0.00,11,0
FBA75675,AM-C3,B0B4G8ZB64,B0B4G8ZB64,"Audio Array AM-C3 XLR to TRS Dynamic Handheld Karaoke Microphone | Premium Metal Built with 3M Cable | Singing, Public Meetings, Studio Recording, Live Show, Party, Church, Wedding","1,386",32,0.42%,0.40%,"2,033",44,0.44%,0.40%,16.03%,23.81%,11,0,0.79%,0.00%,"₹ 7,661.02",₹ 0.00,10,0
FBA79838,AH-40 SL,B0FQBX8J17,B0FQBX8J17,"Audio Array AH-40-SL Wired Over-Ear Headphones | 40mm Drivers, 15-22KHz, 32Ω, 105dB SPL Sound, Studio Monitoring, Gaming, Live Music Headset with 3.5mm + 6.3mm Plug Compatibility","3,452",71,1.03%,0.90%,"4,819",93,1.05%,0.85%,12.67%,1.52%,15,6,0.43%,8.45%,"₹ 15,425.58","₹ 7,560.18",10,1
FBA75681,AM-C7,B0B4FZS38V,B0B4FZS38V,"Audio Array AM-C7 USB 2 in 1 Plug & Play Condenser Microphone Kit with Boom Arm | 3.5 mm No Latency Monitoring, Volume Control & Mute Button| for Conference, Gaming, Podcasting & Live Streaming",754,4,0.23%,0.05%,"1,082",5,0.23%,0.05%,100.00%,100.00%,9,0,1.19%,0.00%,"₹ 17,111.02",₹ 0.00,9,0
FBA75679,AA-02,B0B4JRQP22,B0B4JRQP22,"Audio Array AA-02 3-Panel Curved Isolation Shield with Insulation, Absorption & Reflection Filter | 3/8"" and 5/8"" Universal Mic Mount for Recording Studio, Podcasts, Singing & Broadcasting","1,496",45,0.45%,0.57%,"1,995",59,0.43%,0.54%,19.45%,11.76%,10,0,0.67%,0.00%,"₹ 19,144.92",₹ 0.00,9,0
FBA79107,AM-W17,B0CM9P5CCK,B0CM9P5CCK,"Audio Array AM-W17 Dual Wireless Lapel Mic|in-Built ANC, Plug N Play,Long Battery Life, Ultra-Low Latency,Upto 30M Range|Compatible with iPhone & Android|Vlogging, Streaming, Teaching,YouTube, Black",700,18,0.21%,0.23%,935,26,0.20%,0.24%,58.83%,93.33%,9,0,1.29%,0.00%,"₹ 11,222.03",₹ 0.00,9,0
FBA79694,AA-26,B0DT6T6N6B,B0DT6T6N6B,"Audio Array AA-26 Tabletop Metal Microphone Stand | Extendable height up to 22cm | Studio Sound Recording, Streaming, Podcasting, Singing | Stylish Sturdy Metal Design to last long, flat base","2,357",106,0.71%,1.34%,"3,309",148,0.72%,1.35%,12.34%,4.04%,11,0,0.47%,0.00%,"₹ 5,762.71",₹ 0.00,9,0
FBA79845,UB-02 (AM-S1 + AA-21),B0FN7B3KWS,B0FN7B3KWS,"Audio Array Studio Monitor Bundle with 60W Powered Speakers & Adjustable Metal Stands | Bluetooth, HDMI ARC, USB-C, RCA Inputs | Professional Studio Monitors for Home Studio, Streaming & Gaming-UB-02","2,217",53,0.66%,0.67%,"2,546",56,0.55%,0.51%,92.73%,86.11%,9,0,0.41%,0.00%,"₹ 68,807.63",₹ 0.00,9,0
FBA79841,AH-60 BL,B0FQBTRM28,B0FQBTRM28,"Audio Array AH-60-BL, 60Ω, Professional Monitoring Headphones | 53mm Drivers | 10Hz–30KHz | 105dB SPL | Closed-Back, DJ & Studio | 3m Cable with 3.5mm & 6.3mm Plugs (Blue)","1,313",32,0.39%,0.40%,"1,959",38,0.43%,0.35%,21.87%,15.38%,10,0,0.76%,0.00%,"₹ 16,584.75",₹ 0.00,9,0
FBA79103,AI-10,B0CM6NTWBP,B0CM6NTWBP,"Audio Array AI-10 Professional Live Soundcard|1Ch Mixer |Bluetooth | 3 Condenser Mic Inputs, 2 mobilephones & PC/Mac Outputs | +48V phantom power, 4 Voice Modes, Denoise, built-in FX | Gaming, Karaoke","8,231",164,2.47%,2.07%,"12,302",219,2.67%,2.00%,8.05%,4.58%,8,0,0.10%,0.00%,"₹ 17,792.37",₹ 0.00,8,0
FBK79708,SB-01,B0FJS7JZ4V,B0FJS7JZ4V,"Audio Array SB-01 25W | 2.0 Sound Bar Speaker | BT v5.3 AUX, USB, TF Card, TWS Connectivity | Inbuilt FM Radio | Build in Mics | Dynamic LED Lights","1,098",15,0.33%,0.19%,"1,472",25,0.32%,0.23%,99.85%,100.00%,8,0,0.73%,0.00%,"₹ 7,450.85",₹ 0.00,8,0
FBA75674,AM-C2,B0B4G19R58,B0B4G19R58,"Audio Array AM-C2 XLR Condenser Microphone Kit | Boom Arm, 2M Cable, Pop Filter & Mic Cover | Compatible with Audio Interface, Mixer & preamp | Recording, Podcasting, Streaming, Home Studio (Black)","3,047",53,0.91%,0.67%,"4,281",68,0.93%,0.62%,11.52%,10.26%,7,0,0.23%,0.00%,"₹ 22,780.73",₹ 0.00,7,0
FBA75689,AM-W13,B0B4G59Y8W,B0B4G59Y8W,"Audio Array AM-W13 UHF Wireless Premium Metal Microphone | 4+ Hours Receiver Battery Backup | Range up to 60m | Karaoke Singing, Wedding, DJ | Compatible with PA System, Amplifier, Mixer, Party Box",915,33,0.27%,0.42%,"1,244",47,0.27%,0.43%,41.31%,37.04%,7,0,0.77%,0.00%,"₹ 12,960.17",₹ 0.00,7,0
FBA75677,AM-C5,B0B4KC7VBM,B0B4KC7VBM,"Audio Array AM-C5 USB Plug & Play Conference Mic for Mac OS & Windows | Conference, Recording, Skype, Online Class with Range Upto 5M | One Touch Mute Button & Light Indicator (NOT A Speaker)","2,116",165,0.63%,2.08%,"2,803",229,0.61%,2.09%,14.78%,12.64%,7,0,0.33%,0.00%,"₹ 13,807.63",₹ 0.00,7,0
FBA78974,AA-20,B0CF5RRTDJ,B0CF5RRTDJ,"Audio Array AA-20 Microphone Arm Stand | 81cm Reach | Premium light weight & slick design | Flexible height & position adjustments | 1kg Weight Capacity | 5/8"" to 3/8"" Screw Adapter | Cable Ties",545,20,0.16%,0.25%,738,23,0.16%,0.21%,36.64%,21.43%,7,0,1.28%,0.00%,"₹ 10,672.88",₹ 0.00,7,0
