,,Programme=[Retail],Distributor View=[Manufacturing],View By=[ASIN],Countries=[IN],Businesses=[CAMBIUM RETAIL PRIVATE LIMITED - PC - MH - CRPL;Cambium Retail Pvt. Lt. - Mumbai - cb;Cambium Retail Pvt. Ltd.-MH],Locale=[en_IN],Currency=[INR],Reporting Range=[Custom],Viewing Range=[01/04/26 - 30/04/26],Report Updated=[03/05/26]
SKU,Model,ASIN,Product Title,Brand,Store Code,Ordered Revenue,Ordered Units,Shipped Revenue,Shipped COGS,Shipped Units,Customer Returns
FBA79612,WM1ML,B0DP2WC5VW,White Mulberry |DIY| Wall Mounted Monitor Stand Mount | Supports 15-32 Inch Screens| 9 Kg Screen Load | VESA 75X75 & 100X100 | Spring Assisted Wall Mounted Monitor Mount | Black - (Single Screen),White Mulberry,IN,"₹ 7,52,906.60",301,₹ 0.00,₹ 0.00,301,25
FBA79476,WM-GS1M-BK,B0DB5VG39T,White Mulberry Monitor Arm | Economical Gas Spring Metal Desk Mount | Single Screen 15-32 Inch 9kg VESA 75x75 & 100x100 | Full Motion Monitor Arm Desk Mount | Tilt Swivel Rotate Cable Management,White Mulberry,IN,"₹ 2,13,989.05",94,₹ 0.00,₹ 0.00,95,19
FBA79617,HDWF1ML,B0DP32F346,White Mulberry Monitor Arm | Wooden Metal Single Screen Desk Mount for 15-32 Inch Monitors | Monitor Arm Desk Mount | Gas Spring Adjustable Arms | 9Kg Capacity | VESA 75x75 & 100x100,White Mulberry,IN,"₹ 1,17,219.57",45,₹ 0.00,₹ 0.00,45,7
FBA79479,WM-HA2M-BK,B0DB5YTQZV,White Mulberry Dual Monitor Arm | Height Adjustable Monitor Arm Desk Mount | Steel Dual Screen Mount for 17-32 Inch Monitors 10kg Load VESA 75x75 100x100 | Adjustable Ergonomic Desk Setup,White Mulberry,IN,"₹ 99,229.56",59,₹ 0.00,₹ 0.00,60,7
FBA79477,WM-GS2M-BK,B0DB5VVPSB,White Mulberry Dual Monitor Arm | Monitor Arm Desk Mount for 15-32 Inch Screens | Dual Gas Spring Monitor Stand | 9Kg Capacity | VESA 75x75 & 100x100 | Adjustable Metal Desk Mount for Dual Screens,White Mulberry,IN,"₹ 61,577.14",16,₹ 0.00,₹ 0.00,16,3
FBA79613,MS1ML,B0DP2VVRND,White Mulberry Monitor Stand for Table | Freestanding Height Adjustable Moniter Stand Black Monitor Mount for 17-32 Inch Screens |10kg Load | VESA 75x75/100x100 |,White Mulberry,IN,"₹ 32,187.32",19,₹ 0.00,₹ 0.00,20,8
FBA79478,WM-HA1M-BK,B0DB5W4TCP,White Mulberry Monitor Arm | Height Adjustable Monitor Arm Desk Mount for 15–32 Inch Screen | 10kg Load Capacity | VESA 75x75 & 100x100 | Single Monitor Stand,White Mulberry,IN,"₹ 25,678.72",19,₹ 0.00,₹ 0.00,15,5
FBA79616,HD1ML,B0DP3194QN,White Mulberry Monitor Arm | Mechanical Spring Desk Mount for 17–45 Inch Single Screen | 16Kg Capacity | VESA 75x75 & 100x100 | Adjustable Monitor Arm Desk Mount,White Mulberry,IN,"₹ 2,965.25",1,₹ 0.00,₹ 0.00,1,
