ASIN,Qty,OpenPOUnits,Aged90PlusUnits,UnsellableUnits,SellableCost,SnapshotDate
B07Y1C6GDS,599,0,113,15,1560101.66,2026-08-01
B09Q2ZZGH2,579,0,57,9,1351528.56,2026-08-01
B06XCKGLTP,516,0,2,9,883081.15,2026-08-01
B07JJ62B1B,429,0,429,9,869407.98,2026-08-01
B07JGQ9L5B,333,0,86,49,161792.1,2026-08-01
B09JG62KDJ,329,0,79,10,639258.3,2026-08-01
B07JHDKXK4,327,0,72,37,766121.25,2026-08-01
B08CF614NK,158,0,154,2,566740.17,2026-08-01
B09LCL456X,145,0,143,9,174267.85,2026-08-01
B08FW1Q676,145,0,144,11,456837.89,2026-08-01
B0002OOMW6,140,0,130,0,56822.49,2026-08-01
B09XKD3H6C,130,0,36,1,300794.41,2026-08-01
B084P1CXFD,128,0,86,4,1174104.75,2026-08-01
B09V12PT9H,76,0,0,1,150221.31,2026-08-01
B07RM4B5LJ,64,0,5,1,488848.62,2026-08-01
B0BMFQP2ZZ,56,38,0,4,203238.93,2026-08-01
B00LM7ZYJC,55,8,1,0,22349.77,2026-08-01
B09V14JDTF,54,1,0,1,106736.19,2026-08-01
B09L7ZXKKF,54,0,54,0,395842.63,2026-08-01
B000EEJBDE,50,40,0,0,17708.4,2026-08-01
B09BQQTLC8,48,0,0,1,29827.64,2026-08-01
B07RL6VG3H,44,0,0,2,330026.07,2026-08-01
B00HVUSRY8,37,0,0,0,32480.37,2026-08-01
B001D7UYBO,35,20,0,3,328010.91,2026-08-01
B00BSL5Z1E,35,0,0,0,614508.54,2026-08-01
B00MMKQOEM,34,1,26,0,549125.38,2026-08-01
B00JDJ89DE,34,2,0,0,42639.37,2026-08-01
B09GTMFRGB,33,0,33,2,115682.39,2026-08-01
B0BFBDT2D2,31,1,0,0,432701.18,2026-08-01
B0002DUS8E,29,28,1,0,11849.94,2026-08-01
B000EEL9G6,25,16,2,0,8962.36,2026-08-01
B00KQEXK2A,23,0,2,2,147135.12,2026-08-01
B09NZY68GM,21,0,5,0,44932.15,2026-08-01
B00T8L17N6,21,33,1,0,7665.91,2026-08-01
B001EM180O,18,0,17,0,341174.95,2026-08-01
B000XXO7B2,17,0,1,1,262160.71,2026-08-01
B003AYM8BW,16,0,16,0,11024.87,2026-08-01
B07JHMWKBF,15,0,0,6,3737.85,2026-08-01
B00X5TXLN6,14,0,0,0,83796.62,2026-08-01
B00B5LEAFE,14,3,0,0,5556.44,2026-08-01
B003B0CEVY,14,0,14,0,5782.46,2026-08-01
B00S5WRW6U,14,0,0,0,63733.03,2026-08-01
B07G4CCMYL,14,15,0,3,78210.18,2026-08-01
B017LUP20O,13,0,0,0,88797.01,2026-08-01
B07XD6H6P6,13,0,0,0,505727.99,2026-08-01
B0002J6I7S,12,0,12,0,21541.7,2026-08-01
B0064RVAUC,12,0,0,1,219833.37,2026-08-01
B07FYQP9ML,12,0,1,2,213691.88,2026-08-01
B00B3PB11I,12,0,12,0,45471.59,2026-08-01
B074SYXZV9,12,0,12,0,352287.83,2026-08-01
B083F7HJMX,11,0,0,0,4745.37,2026-08-01
B00BL70Y7U,11,0,0,0,188411.88,2026-08-01
B07X8Z1BRG,10,55,0,0,175059.73,2026-08-01
B00YAZHRZM,10,0,0,0,200325.82,2026-08-01
B081S9BCHF,10,0,0,0,228338.04,2026-08-01
B01N6448Q4,10,1,0,0,38936.98,2026-08-01
B003XEXGNS,10,0,0,0,61984.9,2026-08-01
B00JDIE0AG,10,0,0,0,11070.87,2026-08-01
B06XF4DM7Z,10,2,0,0,3880.31,2026-08-01
B06XF43R53,9,12,0,0,3494.48,2026-08-01
B003B01KV4,9,0,9,0,6201.49,2026-08-01
B0749GV5L3,9,0,0,0,243190.21,2026-08-01
B00OB47PF4,8,0,2,0,12019.41,2026-08-01
B00EGHMOZC,8,4,0,0,108802.59,2026-08-01
B08FRYTVSZ,8,0,0,0,11576.91,2026-08-01
B09NQBDGT3,8,7,0,1,75119.13,2026-08-01
B003ZVBO8I,7,0,5,0,7123.06,2026-08-01
B06XF3VK6Y,7,1,0,0,2716.21,2026-08-01
B00LM7ZV1I,7,0,7,0,2660.21,2026-08-01
B00O46Y8F4,7,0,1,0,10516.06,2026-08-01
B00KQPGRRE,7,0,7,0,88012.95,2026-08-01
B06Y25Y2LK,6,0,0,0,24511.94,2026-08-01
B07RM21D8X,6,0,4,0,56552.47,2026-08-01
B0030YEPKY,6,0,1,0,68964.45,2026-08-01
B0002DUS16,6,0,6,0,3108.25,2026-08-01
B003AMV7SO,5,2,0,0,2270.18,2026-08-01
B000FPAZS2,5,0,5,0,5080.4,2026-08-01
B005M02VNW,5,0,5,0,111518.81,2026-08-01
B0002F4WLG,5,0,5,0,90067.11,2026-08-01
B09NZNSYHN,5,0,1,0,15361.51,2026-08-01
B00LE6IE0C,5,0,5,0,40828.23,2026-08-01
B07BCN55VP,5,0,2,0,118759.38,2026-08-01
B073W8ZYPJ,5,0,5,0,8449.47,2026-08-01
B0002F7J5M,5,0,2,0,7971.63,2026-08-01
B0019ENBAW,5,0,5,0,5080.9,2026-08-01
B000979O0G,5,0,5,0,42738.38,2026-08-01
B0064RD6B8,5,0,5,0,6950.55,2026-08-01
B00MWRZ9NM,5,0,5,0,7516.74,2026-08-01
B09241VBTP,5,0,0,1,8560.83,2026-08-01
B00SKJJTBE,5,0,0,0,68405.4,2026-08-01
B018KIJGU8,5,0,3,0,29042.29,2026-08-01
B0002E3L00,4,0,4,0,4748.38,2026-08-01
B009X3PM08,4,0,4,1,35779.83,2026-08-01
B0002E2OSU,4,0,0,0,5024.4,2026-08-01
B018BPG6U8,4,0,0,1,9872.78,2026-08-01
B0002E1I4Q,4,0,0,0,2072.16,2026-08-01
B06XF3735J,4,0,0,0,1632.13,2026-08-01
B0002KZDGY,4,0,0,0,4368.35,2026-08-01
B0030Y6Z84,4,0,0,0,22222.36,2026-08-01
B0002E1I5U,4,0,4,0,2240.18,2026-08-01
B0BF9MN8R2,4,1,2,0,17628.51,2026-08-01
B0002E3L0K,4,0,4,0,5356.42,2026-08-01
B088NFWLZP,4,0,4,6,5768.46,2026-08-01
B09SG1PL9Z,4,0,4,0,14647.44,2026-08-01
B08D7SWGG5,4,0,4,0,30442.4,2026-08-01
B0718WYKR9,4,0,1,0,4464.6,2026-08-01
B000EENHAW,4,0,4,0,5468.43,2026-08-01
B00S2Z992A,4,0,4,0,35494.8,2026-08-01
B07N29RF9W,4,0,0,0,116477.2,2026-08-01
B07LFTTWGR,4,0,0,0,64965.13,2026-08-01
B00S9Z05R6,4,0,4,0,18165.43,2026-08-01
B002IJK0HY,4,1,3,0,1505.37,2026-08-01
B08PJRGZ98,4,2,0,0,44003.48,2026-08-01
B0002F7J5W,4,0,4,0,6344.5,2026-08-01
B083WMYP8H,4,1,0,0,66257.23,2026-08-01
B06XF31654,3,12,0,0,1164.09,2026-08-01
B0B4MYWWKG,3,0,3,0,45174.57,2026-08-01
B099DQVKV2,3,0,3,0,127294.06,2026-08-01
B00ZWJ39Q6,3,0,3,0,28430.25,2026-08-01
B003B03XB4,3,4,0,0,1239.1,2026-08-01
B07S5DC3T3,3,0,2,0,9644.64,2026-08-01
B002IJK0H4,3,15,3,0,938.23,2026-08-01
B07N6DW1TT,3,0,3,0,16701.2,2026-08-01
B07JN7JGBV,3,0,0,0,12111.96,2026-08-01
B00S2Z986W,3,0,3,0,37052.93,2026-08-01
B000EEJDJQ,3,0,3,0,42609.37,2026-08-01
B07D3N1VVH,3,0,0,0,13459.06,2026-08-01
B003B063G6,3,4,2,0,1430.11,2026-08-01
B0BF9PCGM8,3,4,0,0,8150.67,2026-08-01
B07QKWFTK1,3,0,3,0,33602.65,2026-08-01
B00097BMNI,3,0,0,0,28412.24,2026-08-01
B00YCJJ6WS,3,0,0,0,1314.1,2026-08-01
B008388XNW,3,6,0,0,51385.06,2026-08-01
B002LLLHDK,2,0,2,0,34554.73,2026-08-01
B07GRBHMZ5,2,0,0,0,22459.77,2026-08-01
B00HF9X2SQ,2,0,0,0,4878.39,2026-08-01
B00075EKDG,2,0,2,0,6478.51,2026-08-01
B00093ESSI,2,1,0,0,0.0,2026-08-01
B00IJDXYGC,2,0,0,0,28786.27,2026-08-01
B07MTHFNSH,2,0,2,0,214396.62,2026-08-01
B000WIT8BM,2,3,0,0,1056.08,2026-08-01
B011UCC3ZQ,2,0,2,0,81936.67,2026-08-01
B00EGHMPCY,2,0,0,0,32482.57,2026-08-01
B000UJHE2S,2,2,0,0,896.07,2026-08-01
