SKU,Model,(Parent) ASIN,(Child) ASIN,Title,Sessions - Total,Sessions - Total - B2B,Session Percentage - Total,Session Percentage - Total - B2B,Page Views - Total,Page Views - Total - B2B,Page Views Percentage - Total,Page Views Percentage - Total - B2B,Featured Offer Percentage,Featured Offer Percentage - B2B,units_ordered,Units Ordered - B2B,Unit Session Percentage,Unit Session Percentage - B2B,ordered_product_sales,Ordered Product Sales - B2B,Total Order Items,Total Order Items - B2B
FBA79812,PB-01,B0FS6TB7CP,B0FS6TB7CP,NexLev Portable Blender for Smoothies Milkshakes Crushing Ice Juices | 6 Leaf Stainless Steel Blade | 3000 mAh Battery | Type C | Mix Fruit Juicer Mini | 450ml | For Kitchen & Travel | PB-01,757,13,0.50%,0.59%,"1,066",16,0.55%,0.55%,81.02%,71.43%,11,0,1.45%,0.00%,"₹ 22,189.00",₹ 0.00,11,0
FBA78980,GS-02,B0CDPMX152,B0CDPMX152,NexLev Handheld Garment Steamer | 1500 Watts | 300 ML| Standing & Horizontal Iron Press | Damage Free Steaming for all Cloth Types | 25s Quick Heat |Upto 5 Clothes in One Fill | Travel Friendly |GS-02,"1,953",13,1.30%,0.59%,"2,616",27,1.36%,0.92%,65.00%,100.00%,10,1,0.51%,7.69%,"₹ 19,690.00","₹ 1,969.00",10,1
FBA79279,LR-01,B0D8445KJN,B0D8445KJN,"NexLev Lint Remover | For Woolen Sweaters Shirts Socks Jackets Suede Leggings | Pill, Rue & Burr Remover | 30 Min Use |Type C |Defuzzer | Lint Brush for Coat | 2 Modes | SS Blade | Safety Lock | LR-01",262,13,0.17%,0.59%,339,15,0.18%,0.51%,94.62%,100.00%,14,0,5.34%,0.00%,"₹ 11,726.00",₹ 0.00,10,0
FBA79681,HU-01,B0DVC968P1,B0DVC968P1,"NexLev Cool Mist Humidifier | 3.5L| For Office, Indoor Plants, Baby Nursery | Quiet Operation | Works 44Hrs on Low Setting | 360° Nozzle | Auto Shut-Off | Adjustable Knob | Leak Proof | HU-01",142,6,0.09%,0.27%,216,6,0.11%,0.20%,87.37%,33.33%,10,0,7.04%,0.00%,"₹ 14,017.00",₹ 0.00,10,0
FBA79262,SC-02,B0CYSMBCB8,B0CYSMBCB8,NexLev Steam Cleaner | For Complete Home Kitchen Bathroom Window Car & Office Cleaning | 9 Accessories | 450 ML | Window Pane Sink Grime Chimney Grease Water Stain Cleaner| 4 Meter Cord | 1000W |SC-02,223,10,0.15%,0.45%,324,15,0.17%,0.51%,98.88%,100.00%,7,1,3.14%,10.00%,"₹ 15,792.33","₹ 2,259.00",7,1
FBA79277,SC-03,B0D672NXC8,B0D672NXC8,"Nexlev SWIPE Steam Cleaner | 3.5 Bar Strong Steam|Multipurpose Steam Cleaner for Car, Kitchen, Bathroom, Floor, Window, Glass, Upholstery| 8 Accessories Kit|Safety Lock| Large 700ML Water Tank | SC-03",541,19,0.36%,0.86%,756,24,0.39%,0.82%,82.70%,100.00%,6,1,1.11%,5.26%,"₹ 39,714.00","₹ 6,619.00",6,1
FBA79350,EA-01,B0D67727VG,B0D67727VG,NexLev LED Therapy Oil Applicator | Reduce Dandruff | Improve Hair Growth | EMS for Scalp Improvement | Red & Blue Light | High Frequency Massage for Better Absorption | 10 ML | Waterproof | EA-01,972,25,0.65%,1.13%,"1,333",34,0.69%,1.16%,26.57%,46.67%,6,0,0.62%,0.00%,"₹ 6,234.00",₹ 0.00,6,0
FBA79811,MC-01,B0FSF1N457,B0FSF1N457,NexLev Mini Electric Chopper | 3D Stainless Steel Blade | Food Grade Bowl | for Mincing Garlic Ginger Onion Vegetable Meat Nuts | 250 ml | One Touch Operation | MC-01,"2,370",44,1.58%,1.99%,"2,807",58,1.45%,1.98%,80.22%,85.19%,6,0,0.25%,0.00%,"₹ 2,525.00",₹ 0.00,6,0
FBA79333,HM-02,B0D63DTKQB,B0D63DTKQB,NexLev 2 in 1 Scalp Massager & red Light Therapy |LED Massage Comb for Hair Growth | 96 Tangle Free Silicone Kneading Nodes | Hand Like Head Massage | 120 Min Runtime | Type C | Washable Heads | HM-02,241,5,0.16%,0.23%,345,8,0.18%,0.27%,100.00%,100.00%,5,0,2.07%,0.00%,"₹ 6,805.00",₹ 0.00,5,0
FBA79464,CM-01-BL,B0DFCDKMWR,B0DFCDKMWR,NexLev Cordless Electric Heating Pad| Period Cramp & Back Pain Relief Massager | 9 modes| Menstrual Cramp Relief|Type C| Crampfree Periods | Portable | Gift for Women| Strap upto 40 Inch |Blue CM-01,196,6,0.13%,0.27%,280,10,0.15%,0.34%,80.99%,33.33%,5,0,2.55%,0.00%,"₹ 6,135.00",₹ 0.00,5,0
FBA79271,V-01,B0D83Q7L8W,B0D83Q7L8W,"NexLev Ionic Hot Air Brush for Woman | 3 in 1 Hair Dryer, Straightener, Volumizer & Styler | 360° Airflow Vents | Ceramic Coated Brushing Head | Tangle Free Bristle |3 Speed & 2 Heat Settings | V-01",530,3,0.35%,0.14%,630,5,0.33%,0.17%,96.78%,100.00%,4,0,0.75%,0.00%,"₹ 5,086.00",₹ 0.00,4,0
FBA79573,EA-02,B0DKK15YNJ,B0DKK15YNJ,NexLev Oil Applicator Comb|Red Led Light Therapy |Boost Hair Growth| Reduce Dandruff | Relieve Stress |High Vibration Corded Electric Scalp/Head Massager | 6 ML Oil Tank | 2 Hr Run-Time| Type-C|EA-02,394,6,0.26%,0.27%,479,6,0.25%,0.20%,83.11%,66.67%,4,0,1.02%,0.00%,"₹ 9,696.00",₹ 0.00,4,0
FBA79589,SS-02,B0DNJP9T35,B0DNJP9T35,"NexLev Spin Scrubber|6 Scrubbing Heads| For Kitchen, Bathroom, Tub, Glass | Complete cleaning tool for Home, Office & Car| 90 min runtime | 2600 mAh | Cordless Type C | 2 Modes|Adjustable Handle|SS-02",321,5,0.21%,0.23%,437,5,0.23%,0.17%,80.81%,0.00%,3,0,0.93%,0.00%,"₹ 6,147.00",₹ 0.00,3,0
FBA79682,HU-02,B0DVC8NYY2,B0DVC8NYY2,"NexLev Cool Mist Humidifier | 2.2L| For Office, Indoor Plants, Baby Nursery | Quiet Operation | Works 30Hrs on Low Setting | 360° Nozzle | Auto Shut-Off | Adjustable Knob | Leak Proof | HU-02",150,2,0.10%,0.09%,219,3,0.11%,0.10%,93.56%,100.00%,3,0,2.00%,0.00%,"₹ 5,682.00",₹ 0.00,3,0
FBA79267,T-02,B0D2LD6BYJ,B0D2LD6BYJ,"NexLev 6-in-1 trimmer | Sensitive Bikini Trimmer for Women | Skin Safe with Rounded Tips & Foil Shaver| Hair Removal for Intimate Areas, Face, Arms, Legs & Body | 90 min Runtime |2H Quick Charge |T-02",103,1,0.07%,0.05%,144,1,0.07%,0.03%,53.85%,0.00%,2,0,1.94%,0.00%,"₹ 2,204.00",₹ 0.00,2,0
FBA79265,CR-01,B0D2LHNS9B,B0D2LHNS9B,"NexLev Foot Callus Remover | Electric Scrubber & Shaver for Dead, Hard & Cracked Skin | Professional Pedicure at Home | Waterproof | Type C | 3 Crystal Quartz Heads | For Men and Women| CR-01",95,2,0.06%,0.09%,130,2,0.07%,0.07%,97.22%,100.00%,2,0,2.11%,0.00%,"₹ 1,376.00",₹ 0.00,2,0
FBA79566,VC-05,B0DKJSCLBD,B0DKJSCLBD,"NexLev Cordless Wet & Dry Vacuum Cleaner|For Home Car & Office Use|3 Attachments |HEPA to capture dust | 4000 mAh Battery|Quick Cleaning of Desk, Coffee tea or Water Spill | Compact & Portable | VC-05",512,11,0.34%,0.50%,699,11,0.36%,0.37%,78.88%,100.00%,2,0,0.39%,0.00%,"₹ 4,118.00",₹ 0.00,2,0
FBA79492,V-02,B0DT6Y7KJM,B0DT6Y7KJM,"NexLev Ionic 4 in 1 Hot Air Brush + Straightener for Woman | 2 Step Styler Volumizer | Blow Dryer, Styler, Straightener & Waves | 360° Airflow | Tangle Free Bristle |Ceramic Coated Barrel |1200W |V-02",561,3,0.37%,0.14%,643,3,0.33%,0.10%,99.19%,0.00%,2,0,0.36%,0.00%,"₹ 3,898.00",₹ 0.00,2,0
FBA79607,LR-02 Set of 2 blades,B0F2N11VTN,B0F2N11VTN,NexLev Replacement Stainless Steel Blades (Set of 2) | Compatible with NexLev Lint Remover LR-02 | Sharp & Durable Blades for Effective Fabric Defuzzing | Easy to Replace | Smooth & Safe Performance,105,3,0.07%,0.14%,113,3,0.06%,0.10%,100.00%,100.00%,2,0,1.90%,0.00%,₹ 950.00,₹ 0.00,2,0
FBA78994,NP-01,B0CDQ98FDM,B0CDQ98FDM,"nexlev Travel Neck Pillow | Orthopedic Premium Memory Foam | for Airplane, Car, Train, Office use & Cervical Pain | Machine Washable | 360 Support | Carry Pouch for Storage | NP-01",10,0,0.01%,0.00%,13,0,0.01%,0.00%,100.00%,0.00%,1,0,10.00%,0.00%,₹ 582.00,₹ 0.00,1,0
FBA79381,ETR-06,B0D9KCNVNM,B0D9KCNVNM,Nexlev Oscillating Electric Toothbrush | 8000 Strokes/min | 25 Days Battery Life |Type C|3 modes| 2 Minute Timer |Quad Change Reminder| IPX7 Waterproof | For adults| 1 year warranty| SparklePro ETR-06,114,3,0.08%,0.14%,154,4,0.08%,0.14%,58.87%,100.00%,1,0,0.88%,0.00%,"₹ 1,199.00",₹ 0.00,1,0
FBA79480,VC-03,B0DDC3GVZW,B0DDC3GVZW,nexlev Cordless Electric Car Vacuum Cleaner VacuSafe| Seat-Belt Cutter| Window Breaker Hammer| LED Torch|4000 mAh| High Power Suction | Copper Motor| Type-C Emergency Car Escape Tool| Portable| VC-03,91,4,0.06%,0.18%,118,4,0.06%,0.14%,77.68%,66.67%,1,0,1.10%,0.00%,"₹ 1,828.00",₹ 0.00,1,0
FBA79473,TI-02,B0DJFH6RTL,B0DJFH6RTL,"NexLev Portable Tyre Inflator for Car, Bike, Cycle|150 PSI Pressure| 120 Watt Air Pump|12V Car Plug| Digital Display| Auto Shut-Off| Emergency LED Light| 3m Cord| 3 Air Nozzles| Compact| AER TI-02",56,0,0.04%,0.00%,72,0,0.04%,0.00%,88.41%,0.00%,1,0,1.79%,0.00%,"₹ 1,329.00",₹ 0.00,1,0
FBA79467,TM-01,B0DK9LYT4P,B0DK9LYT4P,NexLev Beard Trimmer| 90min Run Time| 40 Length Settings| 0.5mm Precision| Washable Stainless Steel Blades| Copper Motor| USB Type-C| IPX7 Waterproof| Travel Lock| 2 Beard Comb| 1 Year Warranty |TM-01,44,1,0.03%,0.05%,64,2,0.03%,0.07%,84.48%,50.00%,1,0,2.27%,0.00%,₹ 703.00,₹ 0.00,1,0
FBA79591,KM-01,B0DM66B2DW,B0DM66B2DW,"NexLev Knee Massager for Joint Pain Relief |Controlled Vibration & Heating for Arthritis, Knee, Shoulder or Elbow pain | 15 modes |2 Extension Belt |Graphene Heating pad for Consistent Heating | KM-01",250,3,0.17%,0.14%,347,5,0.18%,0.17%,80.66%,100.00%,1,0,0.40%,0.00%,₹ 0.00,₹ 0.00,1,0
FBA79596,MG-01,B0DMT19RWC,B0DMT19RWC,"NexLev Massage Gun |Full Body- Neck, Shoulders, Back, Arms & Feet Pain Relief|Handheld Deep Tissue Massager| 4 Heads| 99 Gears Levels| 3 Modes| 3800 RPM| 1800mAh Battery|Type-C Interface|MG-01",8,0,0.01%,0.00%,11,0,0.01%,0.00%,100.00%,0.00%,1,0,12.50%,0.00%,"₹ 1,619.00",₹ 0.00,1,0
FBA79598,BM-02,B0DNJJKBKG,B0DNJJKBKG,NexLev Neck & Back Massager | Deep Tissue Shiatsu Roller | Cervical Pain Relief | 3 Speeds | 8 Kneading Nodes | Quick Pain Relief | Auto Shut Off | 1 year Warranty | BM-02,53,0,0.04%,0.00%,67,0,0.03%,0.00%,1.67%,0.00%,1,0,1.89%,0.00%,₹ 0.00,₹ 0.00,1,0
FBA79599,VC-06,B0DRD8J8R5,B0DRD8J8R5,nexlev Handheld Vacuum Cleaner| 600 W | 17.5 Kpa Suction | 5 M Cord | Lightweight | Washable Hepa Filter and Dust Container| 4 Attachments | Compact Size | Home & Office Use| VC-06,189,1,0.13%,0.05%,210,1,0.11%,0.03%,100.00%,0.00%,1,0,0.53%,0.00%,"₹ 1,279.00",₹ 0.00,1,0
FBA79698,SS-01(New),B0DTK4FY1G,B0DTK4FY1G,"NexLev Spin Scrubber with Soap Spray | 6 heads| For Kitchen, Tub, Glass, Complete cleaning tool for Home, Office & Car| 90 min runtime | 4500 mAh | Cordless Type C | Adjustable Handle|SS-01, White",271,0,0.18%,0.00%,351,0,0.18%,0.00%,99.68%,0.00%,1,0,0.37%,0.00%,"₹ 2,254.00",₹ 0.00,1,0
FBA79699,SPM-01(New),B0DTYDTKN8,B0DTYDTKN8,NexLev Cordless Spin Mop|50 Min Runtime|2 Extra Mop Pads | Type C | For Home Kitchen & Office Use | Water Spray Function|Self Propelling|Mopping for All Floor Types|LED for Corners and Underbed|SPM-01,315,10,0.21%,0.45%,420,13,0.22%,0.44%,99.44%,100.00%,1,0,0.32%,0.00%,"₹ 3,899.00",₹ 0.00,1,0
FBA79692,AP-03,B0DVC58QPZ,B0DVC58QPZ,NexLev Smart Air Purifier | Home Room & Office Use upto 220 sq ft |True HEPA 13 Filter | Eliminate 99.99% Virus Dust Smoke Odor Pollen Allergens & Pollutants | Long Filter Life |3 Year Warranty |AP220,30,2,0.02%,0.09%,51,2,0.03%,0.07%,100.00%,100.00%,1,0,3.33%,0.00%,"₹ 4,140.00",₹ 0.00,1,0
FBA79683,AP-01,B0DVC9PRSD,B0DVC9PRSD,NexLev Professional Air Purifier for 650 sq ft Area| 8500 Hrs Filter Life|True HEPA 13 Filter |Captures 99.99% Virus and PM 2.5 Particle|For Home & Office|Remote Control & WiFi |Sleep & Auto Mode|A6,113,6,0.08%,0.27%,158,17,0.08%,0.58%,89.21%,100.00%,1,0,0.88%,0.00%,"₹ 12,625.00",₹ 0.00,1,0
FBA79677,NP-06,B0DVCBR11D,B0DVCBR11D,"nexlev Travel Neck Pillow | Orthopedic Premium Memory Foam | for Airplane, Car, Train, Office use & Cervical Pain | Machine Washable | 360 Support | Carry Pouch for Storage | NP-06",7,0,0.00%,0.00%,7,0,0.00%,0.00%,100.00%,0.00%,1,0,14.29%,0.00%,₹ 864.00,₹ 0.00,1,0
FBA79689,CFM-02,B0DVSZ2VVJ,B0DVSZ2VVJ,"NexLev Calf Massager Pro|Complete Feet Calf Knee and Thigh Massage|Hand like Massage with Air Compression and Heat Therapy|Pain Relief,Muscle Recovery & Enhanced Blood Circulation|3 Intensities|CFM-02",24,2,0.02%,0.09%,42,7,0.02%,0.24%,100.00%,100.00%,1,0,4.17%,0.00%,"₹ 5,699.00",₹ 0.00,1,0
FBA79707,ETC-08-BL,B0FJ1ZB4G9,B0FJ1ZB4G9,Nexlev Electric Toothbrush| 60 Days Battery Life | 40K strokes/minute| Type C| 5 Modes| 2 Min timer| 30 sec Quad Interval| 4 Brush Heads With Cover| IPX7 Waterproof| For Adults|Sparkle Pro ETC-04 Blue,55,1,0.04%,0.05%,68,1,0.04%,0.03%,100.00%,100.00%,1,0,1.82%,0.00%,₹ 739.00,₹ 0.00,1,0
FBA79809,KE-03,B0FJ8SFNRH,B0FJ8SFNRH,"NexLev Grand Electric Water Kettle | 1.8 L | 1500 Watts | Stainless Steel | For Home, Office | Auto Cut Off | For Boiling Water, making Tea & Coffee, Instant Noodles, Soup | Cool Touch Handle |KE-03",4,0,0.00%,0.00%,4,0,0.00%,0.00%,60.00%,0.00%,1,0,25.00%,0.00%,₹ 579.00,₹ 0.00,1,0
FBA79810,MF-01,B0FS7T8151,B0FS7T8151,NexLev Rechargeable Milk Frother & Coffee Whisker | 3 Speed | Stainless Steel Dual Spring Tech | Perfect for Coffee Lattes Milk Hot Chocolate Omlete & Cream | Handheld Beater for Foam |MF-01,41,0,0.03%,0.00%,45,0,0.02%,0.00%,100.00%,0.00%,1,0,2.44%,0.00%,₹ 529.00,₹ 0.00,1,0
