campaignId,campaignName,brand,asin,sku,model,category_l0,category_l1,category_l2,spend,impressions,clicks,attributed_sales,units_sold,ams_orders,method
257299764230108,Nexlev-B0DVC7VJP1-Stand Mixer- SBV- PT,Nexlev,B0DVC7VJP1,FBA79679,ST-01,Home & Kitchen,Kitchen Appliances,Stand Mixer,5312.79,52710,469,5253.39,1,1,L1_asin
263239862227193,Nexlev-B0DVC7VJP1-Stand Mixer- SBV- Phrase01,Nexlev,B0DVC7VJP1,FBA79679,ST-01,Home & Kitchen,Kitchen Appliances,Stand Mixer,5134.09,57921,416,5083.9,1,1,L1_asin
267695315677667,Nexlev-B0DVC7VJP1-Stand Mixer- SBV- PT02,Nexlev,B0DVC7VJP1,FBA79679,ST-01,Home & Kitchen,Kitchen Appliances,Stand Mixer,5578.18,46904,521,0.0,0,0,L1_asin
276334081853904,Nexlev - B0DVC7VJP1 - Stand Mixers - SB - PT,Nexlev,B0DVC7VJP1,FBA79679,ST-01,Home & Kitchen,Kitchen Appliances,Stand Mixer,8198.92,70876,670,17159.32,2,2,L1_asin
307956672795825,Nexlev-B0DKK15YNJ- Oil Applicator-SBV-KT-Exact/Phrase,Nexlev,B0DKK15YNJ,FBA79573,EA-02,HPC,Hair Care,Hair Oil Applicator,1129.195,1682,73,1190.0,0,0,L0_ads_api
307956672795825,Nexlev-B0DKK15YNJ- Oil Applicator-SBV-KT-Exact/Phrase,Nexlev,B0D67727VG,FBP79350,EA-01,HPC,Hair Care,Hair Oil Applicator,1129.195,1682,73,1190.0,0,0,L0_ads_api
369262096373955,Nexlev-Catch All-Steam Cleaner -SB-KT-Exact/Phrase,Nexlev,B0DNJS23HS,FBA79567,SC-04,Home & Kitchen,Cleaning & Vacumming,Steam cleaner,3733.4133,37978,406,35104.52,10,9,L0_ads_api
369262096373955,Nexlev-Catch All-Steam Cleaner -SB-KT-Exact/Phrase,Nexlev,B0CDPP45BM,FBA78981,SC-01,Home & Kitchen,Cleaning & Vacumming,Steam cleaner,3733.4133,37978,406,35104.52,10,9,L0_ads_api
369262096373955,Nexlev-Catch All-Steam Cleaner -SB-KT-Exact/Phrase,Nexlev,B0F43P6D23,FBA79652,SC-05,Home & Kitchen,Cleaning & Vacumming,Steam cleaner,3733.4133,37978,406,35104.52,10,9,L0_ads_api
479030960060920,Nexlev-B0DNJS23HS-Steam Cleaner - SBV-KT-Exact,Nexlev,B0DNJS23HS,FBA79567,SC-04,Home & Kitchen,Cleaning & Vacumming,Steam cleaner,14854.26,25398,746,39610.17,11,11,L0_ads_api
501739215232081,Nexlev - Steam Cleaner - SB - KT - Phrase/Exact,Nexlev,B0CDPP45BM,FBA78981,SC-01,Home & Kitchen,Cleaning & Vacumming,Steam cleaner,3471.2267,11858,105,2061.58,1,1,L0_ads_api
501739215232081,Nexlev - Steam Cleaner - SB - KT - Phrase/Exact,Nexlev,B0F43P6D23,FBA79652,SC-05,Home & Kitchen,Cleaning & Vacumming,Steam cleaner,3471.2267,11858,105,2061.58,1,1,L0_ads_api
501739215232081,Nexlev - Steam Cleaner - SB - KT - Phrase/Exact,Nexlev,B0DNJS23HS,FBA79567,SC-04,Home & Kitchen,Cleaning & Vacumming,Steam cleaner,3471.2267,11858,105,2061.58,1,1,L0_ads_api
