SKU,Model,(Parent) ASIN,(Child) ASIN,Title,Sessions - Total,Sessions - Total - B2B,Session Percentage - Total,Session Percentage - Total - B2B,Page Views - Total,Page Views - Total - B2B,Page Views Percentage - Total,Page Views Percentage - Total - B2B,Featured Offer Percentage,Featured Offer Percentage - B2B,units_ordered,Units Ordered - B2B,Unit Session Percentage,Unit Session Percentage - B2B,ordered_product_sales,Ordered Product Sales - B2B,Total Order Items,Total Order Items - B2B
FBA79347,ETC-05-PI,B0D842173P,B0D842173P,Nexlev Electric Toothbrush| 40000 vibrations/min|USB Type C| 5 Modes| 2 Min timer| 30 sec Quad Interval| 4 Replaceable Brushheads With Cover| IPX7 Waterproof| For Adults|Sparkle Pro ETC-05 Sunset Pink,12,0,0.01%,0.00%,16,0,0.01%,0.00%,28.57%,0.00%,0,0,0.00%,0.00%,₹ 0.00,₹ 0.00,0,0
FBA79279,LR-01,B0D8445KJN,B0D8445KJN,"NexLev Lint Remover | For Woolen Sweaters Shirts Socks Jackets Suede Leggings | Pill, Rue & Burr Remover | 30 Min Use |Type C |Defuzzer | Lint Brush for Coat | 2 Modes | SS Blade | Safety Lock | LR-01",196,1,0.09%,0.03%,246,1,0.09%,0.02%,34.38%,0.00%,0,0,0.00%,0.00%,₹ 0.00,₹ 0.00,0,0
FBA79280,LR-02,B0D845B2DG,B0D845B2DG,"NexLev Lint Remover | for Woolen Sweaters Shirts Socks Jackets Suede Leggings Curtains & Carpets | Pill, Rue & Burr Remover | 120 Min Use |TypeC | Lint Brush for Coat| SS Blade | Safety Lock | LR-02",453,15,0.21%,0.38%,658,22,0.23%,0.41%,0.53%,30.00%,0,0,0.00%,0.00%,₹ 0.00,₹ 0.00,0,0
FBA79278,HD-01,B0D86ZC9YT,B0D86ZC9YT,Nexlev Just Style Pro Hair Dryer |2100 W for Quick & Easy Blowdry | Double Heat Protection Technology | 3 Heat Settings & Cool Shot Function For Salon-Like Styling at Home (HD-01),127,2,0.06%,0.05%,145,4,0.05%,0.07%,0.00%,0.00%,0,0,0.00%,0.00%,₹ 0.00,₹ 0.00,0,0
FBA79381,ETR-06,B0D9KCNVNM,B0D9KCNVNM,Nexlev Oscillating Electric Toothbrush | 8000 vibrations/min | USB Type C Charging|3 modes| 2 Minute Timer |Quad Change Reminder| IPX7 Waterproof | For adults| 1 year warranty| |Sparkle Pro (ETR-06),76,2,0.04%,0.05%,100,2,0.04%,0.04%,2.33%,0.00%,0,0,0.00%,0.00%,₹ 0.00,₹ 0.00,0,0
FBA79405,HSB-03,B0D9KFP4MG,B0D9KFP4MG,NexLev Ionic Hair Straightener Brush |Frizz-Free Straightening upto 12 H |Ceramic Tourmaline Coated| 60mm Wide Brush | 130-210° |Keratin Bristles| Thermo Protect Technology |No Scalp Burn|1500W|HSB-03,697,7,0.33%,0.18%,927,9,0.33%,0.17%,0.37%,100.00%,0,0,0.00%,0.00%,₹ 0.00,₹ 0.00,0,0
FBA79440,LE-02,B0DCGHKRXX,B0DCGHKRXX,NexLev LED Phototherapy comb | Electric Scalp Massager | Red Light for Regrowth | Blue Light for Anti Dandruff | Hairfall Control | Rechargeable TypeC | Targeted Laser Treatment Machine |3 Modes |LE-02,"4,518",10,2.11%,0.26%,"5,669",12,2.02%,0.22%,0.15%,100.00%,0,0,0.00%,0.00%,₹ 0.00,₹ 0.00,0,0
FBA79469,LE-04,B0DCK4DR1B,B0DCK4DR1B,Nexlev Skin Lift Device | 7 Color LED | Face & Neck Skin Lifting| 3 Massage Modes| Face Sculpting Tool |Micro-currents to reduce Wrinkles| Hot Compress | Rechargeable| Type-C| 180 Min Use| Glow+ LE-04,115,2,0.05%,0.05%,150,2,0.05%,0.04%,3.05%,0.00%,0,0,0.00%,0.00%,₹ 0.00,₹ 0.00,0,0
FBA79480,VC-03,B0DDC3GVZW,B0DDC3GVZW,nexlev Cordless Electric Car Vacuum Cleaner VacuSafe| Seat-Belt Cutter| Window Breaker Hammer| LED Torch|4000 mAh| High Power Suction | Copper Motor| Type-C Emergency Car Escape Tool| Portable| VC-03,85,3,0.04%,0.08%,101,3,0.04%,0.06%,0.99%,50.00%,0,0,0.00%,0.00%,₹ 0.00,₹ 0.00,0,0
FBA79464,CM-01-BL,B0DFCDKMWR,B0DFCDKMWR,NexLev Cordless Electric Heating Pad| Period Cramp & Back Pain Relief Massager | 9 modes| Menstrual Cramp Relief|Type C| Crampfree Periods | Portable | Gift for Women| Strap upto 40 Inch |Blue CM-01,"1,113",29,0.52%,0.74%,"1,500",50,0.53%,0.93%,0.15%,10.53%,0,0,0.00%,0.00%,₹ 0.00,₹ 0.00,0,0
