Programme=[Retail],Distributor View=[Manufacturing],View By=[ASIN],Countries=[IN],Businesses=[CAMBIUM RETAIL PRIVATE LIMITED - PC - MH - CRPL;Cambium Retail Pvt. Lt. - Mumbai - cb;Cambium Retail Pvt. Ltd.-MH],Locale=[en_IN],Currency=[INR],Reporting Range=[Custom],Viewing Range=[01/03/26 - 31/03/26],Report Updated=[07/04/26],,
SKU,Model,ASIN,Product Title,Brand,Store Code,Ordered Revenue,Ordered Units,Shipped Revenue,Shipped COGS,Shipped Units,Customer Returns
FBA79612,WM1ML,B0DP2WC5VW,White Mulberry |DIY| Wall Mounted Monitor Stand Mount | Supports 15-32 Inch Screens| 9 Kg Screen Load | VESA 75X75 & 100X100 | Spring Assisted Wall Mounted Monitor Mount | Black - (Single Screen),White Mulberry,IN,"₹ 4,61,519.64",188,₹ 0.00,₹ 0.00,179,15
FBA79476,WM-GS1M-BK,B0DB5VG39T,White Mulberry |DIY| Economical Gas Spring Monitor Arm | Desk Mounted Monitor Stand for 15-32 Inch Monitors |9Kg Screen Capacity|VESA 75X75&100X100| Adjustable Metal Desk Monitor Mount-(Single Screen),White Mulberry,IN,"₹ 2,76,761.51",121,₹ 0.00,₹ 0.00,122,17
FBA79617,HDWF1ML,B0DP32F346,White Mulberry |DIY| Woodcraft - Premium Wooden Arm | Desk Mounted Monitor arm 15-32 Inch Monitor|9Kg Screen Capacity|Spring Assisted Premium Wooden Metal Desk Mount-(Single Screen),White Mulberry,IN,"₹ 73,535.69",28,₹ 0.00,₹ 0.00,27,7
FBA79479,WM-HA2M-BK,B0DB5YTQZV,White Mulberry |DIY| Height Adjustable Monitor Arm | Desk Mounted Monitor Stand for 17-32 Inch Monitor | 10Kg Screen Load | VESA 75X75 & 100X100 | Adjustable Metal Desk Mount - (Dual Screen),White Mulberry,IN,"₹ 66,068.62",39,₹ 0.00,₹ 0.00,40,3
FBA79477,WM-GS2M-BK,B0DB5VVPSB,White Mulberry |DIY| Economical Gas Spring Monitor Arm | Desk Mounted Monitor Stand for 15-32 Inch Monitors |9Kg Screen Capacity| VESA 75X75&100X100 | Adjustable Metal Desk Monitor Mount-(Dual Screen),White Mulberry,IN,"₹ 19,911.00",5,₹ 0.00,₹ 0.00,5,
FBA79478,WM-HA1M-BK,B0DB5W4TCP,White Mulberry |DIY| Height Adjustable Monitor Arm | Desk Mounted Stand for 15-32 Inch Monitor | 10Kg Screen Load | VESA 75X75 & 100X100 | Adjustable Metal Desk Monitor Mount - (Single Screen),White Mulberry,IN,"₹ 6,987.30",5,₹ 0.00,₹ 0.00,1,
FBA79613,MS1ML,B0DP2VVRND,White Mulberry |DIY| Height Adjustable Monitor Stand Mount | Supports 17-32 Inch Screens| 10 Kg Screen Load | VESA 75X75 & 100X100 | Freestanding Monitor Mount | Black - (Single Screen),White Mulberry,IN,"₹ 5,082.20",3,₹ 0.00,₹ 0.00,2,1
FBA79616,HD1ML,B0DP3194QN,White Mulberry |DIY| Heavy-Duty Mechanical Spring Monitor Arm | Desk Mounted Monitor Stand for 17-45 Inch Monitor |16Kg Screen Capacity|VESA 75X75&100X100|Adjustable Desk Mount-(Single Screen),White Mulberry,IN,"₹ 2,965.25",1,₹ 0.00,₹ 0.00,1,
