SKU,Model,(Parent) ASIN,(Child) ASIN,Title,Sessions - Total,Sessions - Total - B2B,Session Percentage - Total,Session Percentage - Total - B2B,Page Views - Total,Page Views - Total - B2B,Page Views Percentage - Total,Page Views Percentage - Total - B2B,Featured Offer Percentage,Featured Offer Percentage - B2B,Units Ordered,Units Ordered - B2B,Unit Session Percentage,Unit Session Percentage - B2B,Ordered Product Sales,Ordered Product Sales - B2B,Total Order Items,Total Order Items - B2B
FBA79813,AH-50,B0FG88HVQ8,B0FG88HVQ8,"Audio Array AH-50 Professional DJ Headphone | 50mm Drivers | 32Ω | 20Hz-20kHz | Dual Detachable Cables With Mic & Controls | Buddy Share Technology | 105 dB SPL | One Ear Listening | Monitoring,Mixing","10,228",150,2.86%,2.01%,"15,098",226,3.04%,2.18%,28.39%,31.43%,89,6,0.87%,4.00%,"₹ 1,48,927.97","₹ 11,994.00",89,6
FBA79482,AM-S1,B0DXFPM4N2,B0DXFPM4N2,"Audio Array AM-S1 BT v5.3 |Professional 4"" Studio Monitor Speaker Pair| 60W Class D Amplification,Woven Composite Woofer,1"" Silk-Dome Tweeter,EQ Controls|Music/Monitor Mode, Aux, HDMI, USB C, TRS, RCA","33,520",720,9.37%,9.64%,"47,617",969,9.60%,9.34%,12.90%,10.80%,48,0,0.14%,0.00%,"₹ 3,28,156.78",₹ 0.00,48,0
FBA79838,AH-40 SL,B0FQBX8J17,B0FQBX8J17,"Audio Array AH-40-SL Wired Over-Ear Headphones | 40mm Drivers, 15-22KHz, 32Ω, 105dB SPL Sound, Studio Monitoring, Gaming, Live Music Headset with 3.5mm + 6.3mm Plug Compatibility","2,611",58,0.73%,0.78%,"3,793",90,0.76%,0.87%,27.22%,19.64%,36,0,1.38%,0.00%,"₹ 35,721.19",₹ 0.00,36,0
FBA79903,AA-25M,B0FR5DLXH9,B0FR5DLXH9,"Audio Array AA-25 Metal Handheld Microphone Interview Adapter with Wind Shield for Wireless Lapel Microphones | Supports, Rode Go, DJI, Hollyland mics etc | Foam Cover with Built-in Cold Shoe Mount",643,20,0.18%,0.27%,936,25,0.19%,0.24%,100.00%,100.00%,35,0,5.44%,0.00%,"₹ 24,420.34",₹ 0.00,35,0
FBA75681,AM-C7,B0B4FZS38V,B0B4FZS38V,"Audio Array AM-C7 USB 2 in 1 Plug & Play Condenser Microphone Kit with Boom Arm | 3.5 mm No Latency Monitoring, Volume Control & Mute Button| for Conference, Gaming, Podcasting & Live Streaming","1,347",17,0.38%,0.23%,"2,001",20,0.40%,0.19%,99.39%,100.00%,26,0,1.93%,0.00%,"₹ 46,161.02",₹ 0.00,25,0
FBA77171,AC-6XL,B0CH4VCD6R,B0CH4VCD6R,"Audio Array AC-6XL Mic Cable 6.35mm Jack Male to XLR 3PIN Female Cord Wire | Microphone/Guitar Cable | Black, 1pc Pack (6 Meter/19.6 Feet)","1,396",40,0.39%,0.54%,"2,110",59,0.43%,0.57%,21.29%,29.03%,28,1,2.01%,2.50%,"₹ 13,193.22",₹ 565.00,25,1
FBA79105,AI-12,B0CM6WH4ZT,B0CM6WH4ZT,"Audio Array AI-12 USB Bluetooth Soundcard | 1Ch Mixer interface | 2 mic inputs, 2 smartphone & PC/Mac outputs | Karaoke Recording, Mobile/PC Streaming, Live Broadcasting | Singing, Recording,Gaming","3,135",52,0.88%,0.70%,"4,261",66,0.86%,0.64%,47.31%,41.86%,24,0,0.77%,0.00%,"₹ 22,500.09",₹ 0.00,24,0
FBK79708,SB-01,B0FJS7JZ4V,B0FJS7JZ4V,"Audio Array SB-01 25W | 2.0 Sound Bar Speaker | BT v5.3 AUX, USB, TF Card, TWS Connectivity | Inbuilt FM Radio | Build in Mics | Dynamic LED Lights","2,338",32,0.65%,0.43%,"3,031",43,0.61%,0.41%,100.00%,100.00%,23,0,0.98%,0.00%,"₹ 24,514.41",₹ 0.00,23,0
FBK79009,AM-C41,B0FLYHJ6DK,B0FLYHJ6DK,"Audio Array AM-C41 Plug & Play AI Noise Cancellation USB Condenser Microphone | Mute Button/Echo/Volume Knob | Kit with Tripod, Mic Cover | Gaming, Streaming, Podcast | Mac/PC/Laptop/Mobile","1,086",24,0.30%,0.32%,"1,658",30,0.33%,0.29%,100.00%,100.00%,23,1,2.12%,4.17%,"₹ 29,050.00","₹ 1,649.00",23,1
FBA79694,AA-26,B0DT6T6N6B,B0DT6T6N6B,"Audio Array AA-26 Tabletop Metal Microphone Stand | Extendable height up to 22cm | Studio Sound Recording, Streaming, Podcasting, Singing | Stylish Sturdy Metal Design to last long, flat base","4,612",198,1.29%,2.65%,"6,468",306,1.30%,2.95%,6.67%,18.88%,22,3,0.48%,1.52%,"₹ 9,000.00","₹ 1,563.00",22,3
