asin,week,brand,SKU,Model,(Parent) ASIN,Title,sessions,Sessions - Total - B2B,Session Percentage - Total,Session Percentage - Total - B2B,Page Views - Total,Page Views - Total - B2B,Page Views Percentage - Total,Page Views Percentage - Total - B2B,buy_box_pct,Featured Offer Percentage - B2B,units_ordered,Units Ordered - B2B,conversion_pct,Unit Session Percentage - B2B,ordered_product_sales,Ordered Product Sales - B2B,Total Order Items,Total Order Items - B2B,gmv,Spend,Clicks,Impressions,attributed_sales,ams_orders,ad_channel,acos,roas,tacos,cac,attributed_sales_pct,organic_sales_pct
B0D2LFMY48,19,Nexlev,FBA79272,HS-01,B0D2LFMY48,"Nexlev Hair Styling Straightener & Curler| 2 in 1 Hair Styler| 200°C in 30 Seconds| Long Ceramic Floating Plates| Rounded Body for Curls| Plate Lock| Portable HS-01, Hair Straightener Tong - Black",72,0,0.0004,0.0,110,0,0.0006,0.0,1.0,0.0,2,0,0.0556,0.0,1229.661016949153,0.0,2,0,0,0.0,0.0,0.0,0.0,0.0,,,,,,,
B0D2LHNS9B,19,Nexlev,FBA79265,CR-01,B0D2LHNS9B,"NexLev Foot Callus Remover Electric Scrubber & Shaver for Dead, Hard & Cracked Skin Professional Pedicure at Home Waterproof Type C 3 Crystal Quartz Heads for Men and Women CR-01",293,7,0.002,0.0031,422,8,0.0023,0.0027,1.0,1.0,25,0,0.0853,0.0,15283.05084745763,0.0,25,0,0,4355.0599999999995,179.0,30313.0,10984.74,18.0,SP_SD,0.3964645499119687,2.5222936078951843,,241.94777777777776,,
B0D2LJSQXZ,19,Nexlev,FBA79276,SM-01,B0D2LJSQXZ,NexLev Steam Mop | Chemical Free Mopping | Floor Cleaning + Carpet Steaming | 4 Extra Mop-Pads |400 ML | 1300W | Floor Disinfectant | For All surface Types | 4mtr long Cord | Wet & Dry Mopping | SM-01,2440,118,0.0163,0.04729999999999999,3238,186,0.0169,0.05649999999999999,0.9934,1.0,5,0,0.0041,0.0,15631.35593220339,0.0,5,0,0,4199.360000000001,320.0,56549.0,3117.8,1.0,SP_SD,1.346898454038104,0.742446468033224,,4199.360000000001,,
B0D2LKB4BJ,19,Nexlev,FBA79273,HS-02,B0D2LKB4BJ,"Nexlev Hair Styling Straightener & Curler| 2 in 1 Hair Styler| 200°C in 30 Seconds| Long Ceramic Floating Plates| Rounded Body for Curls| Plate lock| Portable |HS-02, Hair Straightener Tong - Purple",20,0,0.0001,0.0,24,0,0.0001,0.0,1.0,0.0,1,0,0.05,0.0,665.2542372881356,0.0,1,0,0,0.0,0.0,0.0,0.0,0.0,,,,,,,
B0D2P5TGWK,19,Nexlev,FBA79373,ET-01-BK,B0D2P5TGWK,"NexLev Smart Electric Toothbrush for Adults |2-Min Timer with Quadpacer |2 Replaceable Heads | AAA Battery |3 Modes (Daily, Normal & Sesitive) |Upto 60 Days | Travel Case | Soft Bristles |ET-01 Black",391,14,0.0026,0.0058,477,14,0.0026,0.0045,1.0099,1.0,13,0,0.0601,0.0,3154.237288135593,0.0,13,0,0,627.53,40.0,4213.0,472.88,2.0,SP_SD,1.3270385721536118,0.7535575988398961,,313.765,,
B0D2P7WLJB,19,Nexlev,FBA79374,ET-02-GN,B0D2P7WLJB,"NexLev Smart Electric Toothbrush for Adults |2-Min Timer with Quadpacer |2 Replaceable Heads | AAA Battery |3 Modes (Daily, Normal & Sesitive) |Upto 60 Days | Travel Case | Soft Bristles |ET-02 Green",2096,10,0.0141,0.004,2266,10,0.0119,0.0031,1.0,1.0,4,0,0.0038,0.0,944.0677966101696,0.0,4,0,0,111.1,8.0,475.0,242.38,1.0,SP_SD,0.4583711527353742,2.1816381638163818,,111.1,,
B0D383WQPB,19,Nexlev,FBA79268,GS-05,B0D383WQPB,NexLev Foldable Garment Steamer for Home & Travel | Convenient Vertical Steaming | 1200W | 120 ml | Lightweight & Compact | 30s Fast Heating | Iron for all Cloth Types | 2 M cord | Anti Spill | GS-05,2372,88,0.0158,0.0353,2976,128,0.0155,0.0389,1.0,1.0,20,3,0.0168,0.0682,27863.57627118644,5510.02,20,3,0,12191.789999999999,500.0,176166.0,14037.259999999998,9.0,SP_SD,0.8685306106747328,1.1513698972833357,,1354.6433333333332,,
B0D63FKYZ5,19,Nexlev,FBA79332,HM-01,B0D63FKYZ5,NexLev Scalp Massager for Stress Relief | Head Massager for Hair Growth | 96 Tangle Free Silicone Kneading Nodes | Hand Like Massage | 120 Min Runtime | Type C | Washable Heads | 3 Modes | HM-01,132,0,0.0009,0.0,176,0,0.0009,0.0,1.0,0.0,1,0,0.0152,0.0,842.3728813559322,0.0,1,0,0,0.0,0.0,0.0,0.0,0.0,,,,,,,
B0D672NXC8,19,Nexlev,FBA79277,SC-03,B0D672NXC8,"Nexlev SWIPE Steam Cleaner | 3.5 Bar Strong Steam|Multipurpose Steam Cleaner for Car, Kitchen, Bathroom, Floor, Window,Glass,Upholstery| 18 Accessories Kit|Safety Lock| Large 1200ML Water Tank | SC-03",2666,94,0.0178,0.03759999999999999,3912,126,0.0205,0.0383,0.9988000000000001,1.0,17,3,0.0128,0.0638,94761.90677966103,21280.05,17,3,0,14298.15,444.0,53913.0,64866.3,11.0,SP_SD,0.22042493559829987,4.536691809779587,,1299.831818181818,,
B0D67727VG,19,Nexlev,FBP79350,EA-01,B0D67727VG,NexLev LED Therapy Oil Applicator | Reduce Dandruff | Improve Hair Growth | EMS for Scalp Improvement | Red & Blue Light | High Frequency Massage for Better Absorption | 10 ML | Waterproof | EA-01,1028,18,0.0069,0.0072,1422,20,0.0075,0.0061,1.0,1.0,27,0,0.0525,0.0,23855.93220338983,0.0,27,0,0,1166.22,88.0,8806.0,5412.389999999999,4.0,SP_SD,0.21547227749663275,4.640968256418171,,291.555,,
B0D81DLSFT,19,Nexlev,FBA79348,HD-02,B0D81DLSFT,"Nexlev Hair Dryer For Women| Foldable| 1500 Watts| Cool Shot| 3 Heat & 2 Speed Settings| Overheat Protection| Concentrator Nozzle| Salon-Style Blow Dry| Just Style (Hd-02 Women), Black & Copper",75,1,0.0005,0.0004,98,4,0.0005,0.0013,1.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,,,,,,,
B0D83Q7L8W,19,Nexlev,FBA79271,V-01,B0D83Q7L8W,"NexLev Ionic Hot Air Brush | 3 in 1 Blow Dryer, Straightener & Styler | 360° Airflow Vents | Ceramic Tourmaline Coated Brushing Head | Tangle Free Bristle | 1200W | 3 Speed & 2 Heat Settings|V-01",460,6,0.0031,0.0024,550,6,0.0029,0.0018,1.0,1.0,1,0,0.0043,0.0,1123.728813559322,0.0,1,0,0,534.86,26.0,6922.0,0.0,0.0,SP_SD,,0.0,,,,
B0D842173P,19,Nexlev,FBK79347,ETC-05-PI,B0D842173P,Nexlev Electric Toothbrush| 40000 vibrations/min|USB Type C| 5 Modes| 2 Min timer| 30 sec Quad Interval| 4 Replaceable Brushheads With Cover| IPX7 Waterproof| For Adults|Sparkle Pro ETC-05 Sunset Pink,5,1,0.0,0.0004,6,1,0.0,0.0003,1.0,1.0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,,,,,,,
B0D8445KJN,19,Nexlev,FBA79279,LR-01,B0D8445KJN,"NexLev Rechargeable Lint Remover | for Woollen Sweaters Pill, Rue & Burr Remover | 60min Use Time | Type C |Defuzzer | Lint Brush for Coat | 2 Modes | SS Blade | Safety Lock | LR-01",160,12,0.0011,0.0048,238,18,0.0012,0.0054,1.0,1.0,4,1,0.05,0.1667,2862.21186440678,850.41,4,1,0,1647.65,42.0,4064.0,2134.25,3.0,SP_SD,0.7720042169380344,1.2953297120140805,,549.2166666666667,,
B0D845B2DG,19,Nexlev,FBA79280,LR-02,B0D845B2DG,NexLev Rechargeable Lint Remover | for Woollen Sweaters Shirts Coat Curtains & Carpets | Rue & Burr Remover | 180 Min Use | TypeC | SS Blade | 2000mAh | 3 Speed Modes | Safety Lock | LR-02,654,28,0.004399999999999999,0.0112,878,42,0.0046,0.0128,1.0,1.0,18,0,0.055,0.0,22649.15254237288,0.0,8,0,0,2750.9,170.0,47473.0,7399.9800000000005,6.0,SP_SD,0.3717442479574269,2.6900214475262643,,458.48333333333335,,
B0D86Y2V7V,19,Nexlev,FBA79461,HD-02,B0D86Y2V7V,Nexlev Just Style Hair Dryer For Men | Lightweight Foldable Hair Dryer | Overheat Protection Technology | 1500W Powerful Motor for Quick & Easy Blowdry | 3 Heat Settings & Cool Shot Function | Concentrator Nozzle (HD-02 Men),5,0,0.0,0.0,5,0,0.0,0.0,1.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,,,,,,,
B0D86ZC9YT,19,Nexlev,FBA79278,HD-01,B0D86ZC9YT,Nexlev Just Style Pro Hair Dryer |2100 W for Quick & Easy Blowdry | Double Heat Protection Technology | 3 Heat Settings & Cool Shot Function For Salon-Like Styling at Home (HD-01),27,2,0.0002,0.0009,55,2,0.0003,0.0007,1.0,1.0,1,0,0.037,0.0,1203.389830508475,0.0,1,0,0,0.0,0.0,0.0,0.0,0.0,,,,,,,
B0D9KCNVNM,19,Nexlev,FBA79381,ETR-06,B0D9KCNVNM,Nexlev Oscillating Electric Toothbrush | 8000 Strokes/min | 25 Days Battery Life |Type C|3 modes| 2 Minute Timer |Quad Change Reminder| IPX7 Waterproof | For adults| 1 year warranty| SparklePro ETR-06,40,6,0.0003,0.0026,53,7,0.0003,0.0024,0.7609,1.0,2,0,0.05,0.0,2059.322033898305,0.0,2,0,0,0.0,0.0,0.0,0.0,0.0,SP_SD,,,,,,
B0D9KDQCCM,19,Nexlev,FBA79349,SW-01,B0D9KDQCCM,Nexlev Portable Sewing Machine| 2 Speed Settings| Cordless| Battery operated| USB Type C cord for Plug-in| Quick Fix DIY|Portable & Compact| for all Fabrics| 1 Year Warranty| White,3177,48,0.0196,0.0168,4749,75,0.0225,0.0196,1.0,1.0,33,0,0.0312,0.0,26658.47457627119,0.0,33,0,0,0.0,0.0,0.0,0.0,0.0,,,,,,,
B0D9KFP4MG,19,Nexlev,FBA79405,HSB-03,B0D9KFP4MG,NexLev Ionic Hair Straightener Brush for Woman|Frizz-Free Straightening upto 12H| Ceramic Plates |60mm Wide Brush |130-210° |Keratin Bristles| Thermo Protect Technology|No Scalp Burn|1500W|HSB-03,2338,16,0.0156,0.006399999999999999,2762,22,0.0144,0.0067,1.0,1.0,3,0,0.0026,0.0,4955.084745762712,0.0,3,0,0,1657.84,93.0,30742.0,3303.39,2.0,SP_SD,0.501860210268845,1.9925867393717127,,828.92,,
