ASIN,Qty,OpenPOUnits,Aged90PlusUnits,UnsellableUnits,SellableCost,SnapshotDate
B07JGQ9L5B,1537,0,83,31,765920.62,2026-08-14
B07JHDKXK4,500,0,178,35,1181417.49,2026-08-14
B07Y1C6GDS,492,16,98,14,1281293.05,2026-08-14
B09Q2ZZGH2,462,12,29,10,1079999.81,2026-08-14
B07JJ62B1B,385,0,385,9,782473.89,2026-08-14
B06XCKGLTP,336,29,2,4,575023.44,2026-08-14
B09JG62KDJ,259,28,45,10,505891.68,2026-08-14
B07JHMWKBF,167,0,1,7,43697.02,2026-08-14
B08CF614NK,152,0,148,3,545254.91,2026-08-14
B084P1CXFD,140,0,85,6,1297752.51,2026-08-14
B09LCL456X,131,0,129,10,157262.8,2026-08-14
B08FW1Q676,125,0,125,11,393816.81,2026-08-14
B0002OOMW6,112,0,100,0,45397.59,2026-08-14
B09XKD3H6C,111,21,62,1,257485.59,2026-08-14
B000EEJBDE,75,0,0,0,27324.96,2026-08-14
B09V12PT9H,62,0,0,2,122548.96,2026-08-14
B00LM7ZYJC,60,87,1,0,24384.93,2026-08-14
B07RM4B5LJ,59,0,4,0,449583.51,2026-08-14
B001D7UYBO,55,20,0,3,515445.72,2026-08-14
B09L7ZXKKF,53,0,53,0,388512.21,2026-08-14
B09V14JDTF,43,4,0,1,84993.63,2026-08-14
B07RL6VG3H,40,0,0,5,300023.7,2026-08-14
B0BMFQP2ZZ,39,150,0,1,141541.4,2026-08-14
B00T8L17N6,35,5,0,2,12898.42,2026-08-14
B00BSL5Z1E,35,0,0,0,614508.54,2026-08-14
B00JDJ89DE,33,9,3,0,41385.27,2026-08-14
B00JDJNZ6K,30,48,0,0,10032.79,2026-08-14
B09GTMFRGB,27,0,27,2,94649.23,2026-08-14
B00MMKQOEM,26,1,23,1,416043.86,2026-08-14
B0BFBDT2D2,26,1,3,0,362910.67,2026-08-14
B07G4CCMYL,26,15,9,2,145247.47,2026-08-14
B09NZY68GM,21,0,5,0,44932.15,2026-08-14
B081S9BCHF,20,0,0,0,456676.07,2026-08-14
B06XF43R53,20,1,0,0,7768.86,2026-08-14
B000EEL9G6,20,13,2,0,7297.28,2026-08-14
B00HVUSRY8,19,0,0,0,16679.52,2026-08-14
B000P5LVSK,18,31,0,0,10944.86,2026-08-14
B000XXO7B2,17,0,13,0,262160.71,2026-08-14
B003AYM8BW,16,0,16,0,11024.87,2026-08-14
B00KQEXK2A,15,10,0,3,96353.51,2026-08-14
B015R0IQGW,15,26,0,12,80271.34,2026-08-14
B001EM180O,14,0,13,0,265776.99,2026-08-14
B000EENF4U,14,19,0,1,5152.41,2026-08-14
