,,Programme=[Retail],Distributor View=[Manufacturing],View By=[ASIN],Countries=[IN],Businesses=[CAMBIUM RETAIL PRIVATE LIMITED - PC - MH - CRPL;Cambium Retail Pvt. Lt. - Mumbai - cb;Cambium Retail Pvt. Ltd.-MH],Locale=[en_IN],Currency=[INR],Reporting Range=[Custom],Viewing Range=[01/04/26 - 30/04/26],Report Updated=[03/05/26]
SKU,Model,ASIN,Product Title,Brand,Store Code,Ordered Revenue,Ordered Units,Shipped Revenue,Shipped COGS,Shipped Units,Customer Returns
FBA79612,WM1ML,B0DP2WC5VW,White Mulberry |DIY| Wall Mounted Monitor Stand Mount | Supports 15-32 Inch Screens| 9 Kg Screen Load | VESA 75X75 & 100X100 | Spring Assisted Wall Mounted Monitor Mount | Black - (Single Screen),White Mulberry,IN,"₹ 5,52,563.50",225,₹ 0.00,₹ 0.00,225,30
FBA79476,WM-GS1M-BK,B0DB5VG39T,White Mulberry |DIY| Economical Gas Spring Monitor Arm | Desk Mounted Monitor Stand for 15-32 Inch Monitors |9Kg Screen Capacity|VESA 75X75&100X100| Adjustable Metal Desk Monitor Mount-(Single Screen),White Mulberry,IN,"₹ 2,01,982.76",87,₹ 0.00,₹ 0.00,86,18
FBA79479,WM-HA2M-BK,B0DB5YTQZV,White Mulberry |DIY| Height Adjustable Monitor Arm | Desk Mounted Monitor Stand for 17-32 Inch Monitor | 10Kg Screen Load | VESA 75X75 & 100X100 | Adjustable Metal Desk Mount - (Dual Screen),White Mulberry,IN,"₹ 1,25,360.79",74,₹ 0.00,₹ 0.00,73,8
FBA79477,WM-GS2M-BK,B0DB5VVPSB,White Mulberry |DIY| Economical Gas Spring Monitor Arm | Desk Mounted Monitor Stand for 15-32 Inch Monitors |9Kg Screen Capacity| VESA 75X75&100X100 | Adjustable Metal Desk Monitor Mount-(Dual Screen),White Mulberry,IN,"₹ 47,786.40",12,₹ 0.00,₹ 0.00,11,1
FBA79617,HDWF1ML,B0DP32F346,White Mulberry |DIY| Woodcraft - Premium Wooden Arm | Desk Mounted Monitor arm 15-32 Inch Monitor|9Kg Screen Capacity|Spring Assisted Premium Wooden Metal Desk Mount-(Single Screen),White Mulberry,IN,"₹ 47,272.91",18,₹ 0.00,₹ 0.00,19,1
FBA79478,WM-HA1M-BK,B0DB5W4TCP,White Mulberry |DIY| Height Adjustable Monitor Arm | Desk Mounted Stand for 15-32 Inch Monitor | 10Kg Screen Load | VESA 75X75 & 100X100 | Adjustable Metal Desk Monitor Mount - (Single Screen),White Mulberry,IN,"₹ 23,129.49",17,₹ 0.00,₹ 0.00,19,1
FBA79613,MS1ML,B0DP2VVRND,White Mulberry |DIY| Height Adjustable Monitor Stand Mount | Supports 17-32 Inch Screens| 10 Kg Screen Load | VESA 75X75 & 100X100 | Freestanding Monitor Mount | Black - (Single Screen),White Mulberry,IN,"₹ 6,776.27",4,₹ 0.00,₹ 0.00,4,
FBA79616,HD1ML,B0DP3194QN,White Mulberry |DIY| Heavy-Duty Mechanical Spring Monitor Arm | Desk Mounted Monitor Stand for 17-45 Inch Monitor |16Kg Screen Capacity|VESA 75X75&100X100|Adjustable Desk Mount-(Single Screen),White Mulberry,IN,"₹ 2,965.25",1,₹ 0.00,₹ 0.00,1,1
