kind,entity_id,campaign_id,ad_group_id,field,from_value,to_value
budget_changed,192429211487117,192429211487117,,budget.amount,200.0,500.0
budget_changed,223237988116670,223237988116670,,budget.amount,900.0,1200.0
budget_changed,551718651462342,551718651462342,,budget.amount,550.0,750.0
budget_changed,216525085180689,216525085180689,,budget.amount,750.0,900.0
budget_changed,208099093682412,208099093682412,,budget.amount,500.0,700.0
budget_changed,353406111190773,353406111190773,,budget.amount,900.0,1200.0
budget_changed,276845342414618,276845342414618,,budget.amount,1100.0,1400.0
budget_changed,61584851208016,61584851208016,,budget.amount,1500.0,1800.0
