kind,entity_id,campaign_id,ad_group_id,field,from_value,to_value,keyword_text,match_type,snapshot_current,target_expression
added,222695652218637,480653599582489,427971112754223,*,,row_created,,,"{'adGroupId': '427971112754223', 'bid': 1.0, 'campaignId': '480653599582489', 'expression': [{'type': 'ASIN_SAME_AS', 'value': 'B0D1Y817DP'}], 'expressionType': 'MANUAL', 'resolvedExpression': [{'type': 'ASIN_SAME_AS', 'value': 'B0D1Y817DP'}], 'state': 'PAUSED', 'targetId': '222695652218637'}",ASIN_SAME_AS=B0D1Y817DP
added,155110299849517,432450109401510,303632014655988,*,,row_created,,,"{'adGroupId': '303632014655988', 'bid': 15.99, 'campaignId': '432450109401510', 'expression': [{'type': 'ASIN_SAME_AS', 'value': 'B0CLKMRGLL'}], 'expressionType': 'MANUAL', 'resolvedExpression': [{'type': 'ASIN_SAME_AS', 'value': 'B0CLKMRGLL'}], 'state': 'PAUSED', 'targetId': '155110299849517'}",ASIN_SAME_AS=B0CLKMRGLL
added,12901185896446,280613588006013,79432497118037,*,,row_created,,,"{'adGroupId': '79432497118037', 'campaignId': '280613588006013', 'expression': [{'type': 'ASIN_CATEGORY_SAME_AS', 'value': '4654389031'}], 'expressionType': 'MANUAL', 'resolvedExpression': [{'type': 'ASIN_CATEGORY_SAME_AS', 'value': 'Condenser'}], 'state': 'ENABLED', 'targetId': '12901185896446'}",ASIN_CATEGORY_SAME_AS=4654389031
added,198780174449550,146409039505917,171905360638440,*,,row_created,,,"{'adGroupId': '171905360638440', 'campaignId': '146409039505917', 'expression': [{'type': 'ASIN_SAME_AS', 'value': 'B08HH3FTYT'}], 'expressionType': 'MANUAL', 'resolvedExpression': [{'type': 'ASIN_SAME_AS', 'value': 'B08HH3FTYT'}], 'state': 'ENABLED', 'targetId': '198780174449550'}",ASIN_SAME_AS=B08HH3FTYT
added,210186825200286,441760761201815,419864827660597,*,,row_created,,,"{'adGroupId': '419864827660597', 'bid': 15.99, 'campaignId': '441760761201815', 'expression': [{'type': 'ASIN_SAME_AS', 'value': 'B0CJCDD6VF'}], 'expressionType': 'MANUAL', 'resolvedExpression': [{'type': 'ASIN_SAME_AS', 'value': 'B0CJCDD6VF'}], 'state': 'PAUSED', 'targetId': '210186825200286'}",ASIN_SAME_AS=B0CJCDD6VF
added,230299775857074,347428527156994,392879233670795,*,,row_created,,,"{'adGroupId': '392879233670795', 'bid': 3.0, 'campaignId': '347428527156994', 'expression': [{'type': 'ASIN_SAME_AS', 'value': 'B094QQ14PT'}], 'expressionType': 'MANUAL', 'resolvedExpression': [{'type': 'ASIN_SAME_AS', 'value': 'B094QQ14PT'}], 'state': 'ENABLED', 'targetId': '230299775857074'}",ASIN_SAME_AS=B094QQ14PT
added,140782750941138,53012709699794,33054254741744,*,,row_created,,,"{'adGroupId': '33054254741744', 'bid': 5.36, 'campaignId': '53012709699794', 'expression': [{'type': 'ASIN_EXPANDED_FROM', 'value': 'B0006H92QK'}], 'expressionType': 'MANUAL', 'resolvedExpression': [{'type': 'ASIN_EXPANDED_FROM', 'value': 'B0006H92QK'}], 'state': 'ENABLED', 'targetId': '140782750941138'}",ASIN_EXPANDED_FROM=B0006H92QK
added,207726298236075,436118399654402,427367899465844,*,,row_created,,,"{'adGroupId': '427367899465844', 'bid': 15.99, 'campaignId': '436118399654402', 'expression': [{'type': 'ASIN_SAME_AS', 'value': 'B09N7K577J'}], 'expressionType': 'MANUAL', 'resolvedExpression': [{'type': 'ASIN_SAME_AS', 'value': 'B09N7K577J'}], 'state': 'PAUSED', 'targetId': '207726298236075'}",ASIN_SAME_AS=B09N7K577J
added,23660921170928,350554320839507,301131224881736,*,,row_created,,,"{'adGroupId': '301131224881736', 'bid': 6.69, 'campaignId': '350554320839507', 'expression': [{'type': 'ASIN_SAME_AS', 'value': 'B0F59DT9MD'}], 'expressionType': 'MANUAL', 'resolvedExpression': [{'type': 'ASIN_SAME_AS', 'value': 'B0F59DT9MD'}], 'state': 'PAUSED', 'targetId': '23660921170928'}",ASIN_SAME_AS=B0F59DT9MD
added,124854891441051,248764226916923,40660713258022,*,,row_created,,,"{'adGroupId': '40660713258022', 'bid': 4.0, 'campaignId': '248764226916923', 'expression': [{'type': 'ASIN_EXPANDED_FROM', 'value': 'B000EOPQ7E'}], 'expressionType': 'MANUAL', 'resolvedExpression': [{'type': 'ASIN_EXPANDED_FROM', 'value': 'B000EOPQ7E'}], 'state': 'ENABLED', 'targetId': '124854891441051'}",ASIN_EXPANDED_FROM=B000EOPQ7E
added,32147082931136,309912156507253,485240956951886,*,,row_created,,,"{'adGroupId': '485240956951886', 'campaignId': '309912156507253', 'expression': [{'type': 'ASIN_SAME_AS', 'value': 'B0B8DMF47G'}], 'expressionType': 'MANUAL', 'resolvedExpression': [{'type': 'ASIN_SAME_AS', 'value': 'B0B8DMF47G'}], 'state': 'PAUSED', 'targetId': '32147082931136'}",ASIN_SAME_AS=B0B8DMF47G
added,152505464007097,461163749661726,498779170152876,*,,row_created,,,"{'adGroupId': '498779170152876', 'bid': 6.23, 'campaignId': '461163749661726', 'expression': [{'type': 'ASIN_SAME_AS', 'value': 'B0C8NQLYZP'}], 'expressionType': 'MANUAL', 'resolvedExpression': [{'type': 'ASIN_SAME_AS', 'value': 'B0C8NQLYZP'}], 'state': 'ENABLED', 'targetId': '152505464007097'}",ASIN_SAME_AS=B0C8NQLYZP
added,248429451113265,467799866536322,485505561302604,*,,row_created,,,"{'adGroupId': '485505561302604', 'bid': 7.83, 'campaignId': '467799866536322', 'expression': [{'type': 'ASIN_SAME_AS', 'value': 'B091DJKKV2'}], 'expressionType': 'MANUAL', 'resolvedExpression': [{'type': 'ASIN_SAME_AS', 'value': 'B091DJKKV2'}], 'state': 'ENABLED', 'targetId': '248429451113265'}",ASIN_SAME_AS=B091DJKKV2
added,195188302839414,283581033611943,327706937445724,*,,row_created,,,"{'adGroupId': '327706937445724', 'bid': 15.99, 'campaignId': '283581033611943', 'expression': [{'type': 'ASIN_SAME_AS', 'value': 'B08P4LTX7Z'}], 'expressionType': 'MANUAL', 'resolvedExpression': [{'type': 'ASIN_SAME_AS', 'value': 'B08P4LTX7Z'}], 'state': 'PAUSED', 'targetId': '195188302839414'}",ASIN_SAME_AS=B08P4LTX7Z
added,225390065080997,405976405056697,456605447838116,*,,row_created,,,"{'adGroupId': '456605447838116', 'bid': 2.24, 'campaignId': '405976405056697', 'expression': [{'type': 'QUERY_HIGH_REL_MATCHES'}], 'expressionType': 'AUTO', 'resolvedExpression': [{'type': 'QUERY_HIGH_REL_MATCHES'}], 'state': 'ENABLED', 'targetId': '225390065080997'}",QUERY_HIGH_REL_MATCHES=None
added,241270631444251,225668819222991,185492075547869,*,,row_created,,,"{'adGroupId': '185492075547869', 'bid': 2.08, 'campaignId': '225668819222991', 'expression': [{'type': 'ASIN_SAME_AS', 'value': 'B0BNJ3P892'}], 'expressionType': 'MANUAL', 'resolvedExpression': [{'type': 'ASIN_SAME_AS', 'value': 'B0BNJ3P892'}], 'state': 'PAUSED', 'targetId': '241270631444251'}",ASIN_SAME_AS=B0BNJ3P892
added,195628561540366,532137237523579,542447743481174,*,,row_created,,,"{'adGroupId': '542447743481174', 'bid': 8.74, 'campaignId': '532137237523579', 'expression': [{'type': 'ASIN_SAME_AS', 'value': 'B08NVGVZ7V'}], 'expressionType': 'MANUAL', 'resolvedExpression': [{'type': 'ASIN_SAME_AS', 'value': 'B08NVGVZ7V'}], 'state': 'ENABLED', 'targetId': '195628561540366'}",ASIN_SAME_AS=B08NVGVZ7V
added,203812751142857,424344537828827,417665028439013,*,,row_created,,,"{'adGroupId': '417665028439013', 'bid': 15.99, 'campaignId': '424344537828827', 'expression': [{'type': 'ASIN_SAME_AS', 'value': 'B0B3MZY4CY'}], 'expressionType': 'MANUAL', 'resolvedExpression': [{'type': 'ASIN_SAME_AS', 'value': 'B0B3MZY4CY'}], 'state': 'PAUSED', 'targetId': '203812751142857'}",ASIN_SAME_AS=B0B3MZY4CY
added,135389437622387,304131972433658,512437038445790,*,,row_created,,,"{'adGroupId': '512437038445790', 'campaignId': '304131972433658', 'expression': [{'type': 'ASIN_SAME_AS', 'value': 'B09DP68XDR'}], 'expressionType': 'MANUAL', 'resolvedExpression': [{'type': 'ASIN_SAME_AS', 'value': 'B09DP68XDR'}], 'state': 'ENABLED', 'targetId': '135389437622387'}",ASIN_SAME_AS=B09DP68XDR
added,190326464385943,388228545428693,332257791620212,*,,row_created,,,"{'adGroupId': '332257791620212', 'bid': 15.99, 'campaignId': '388228545428693', 'expression': [{'type': 'ASIN_SAME_AS', 'value': 'B09M7T99K8'}], 'expressionType': 'MANUAL', 'resolvedExpression': [{'type': 'ASIN_SAME_AS', 'value': 'B09M7T99K8'}], 'state': 'PAUSED', 'targetId': '190326464385943'}",ASIN_SAME_AS=B09M7T99K8
added,19409728662070,426690415042119,382163366831756,*,,row_created,,,"{'adGroupId': '382163366831756', 'bid': 7.81, 'campaignId': '426690415042119', 'expression': [{'type': 'ASIN_SAME_AS', 'value': 'B08PZN5VHV'}], 'expressionType': 'MANUAL', 'resolvedExpression': [{'type': 'ASIN_SAME_AS', 'value': 'B08PZN5VHV'}], 'state': 'ENABLED', 'targetId': '19409728662070'}",ASIN_SAME_AS=B08PZN5VHV
added,9681649356916,248764226916923,40660713258022,*,,row_created,,,"{'adGroupId': '40660713258022', 'bid': 4.0, 'campaignId': '248764226916923', 'expression': [{'type': 'ASIN_SAME_AS', 'value': 'B09BCF1H47'}], 'expressionType': 'MANUAL', 'resolvedExpression': [{'type': 'ASIN_SAME_AS', 'value': 'B09BCF1H47'}], 'state': 'ENABLED', 'targetId': '9681649356916'}",ASIN_SAME_AS=B09BCF1H47
added,196608411611045,30647329184941,81530918982715,*,,row_created,,,"{'adGroupId': '81530918982715', 'campaignId': '30647329184941', 'expression': [{'type': 'ASIN_EXPANDED_FROM', 'value': 'B0BX31RF92'}], 'expressionType': 'MANUAL', 'resolvedExpression': [{'type': 'ASIN_EXPANDED_FROM', 'value': 'B0BX31RF92'}], 'state': 'ENABLED', 'targetId': '196608411611045'}",ASIN_EXPANDED_FROM=B0BX31RF92
added,42793113425763,312623018601695,448954552529197,*,,row_created,,,"{'adGroupId': '448954552529197', 'bid': 7.12, 'campaignId': '312623018601695', 'expression': [{'type': 'ASIN_SAME_AS', 'value': 'B09XQNZDGY'}], 'expressionType': 'MANUAL', 'resolvedExpression': [{'type': 'ASIN_SAME_AS', 'value': 'B09XQNZDGY'}], 'state': 'ENABLED', 'targetId': '42793113425763'}",ASIN_SAME_AS=B09XQNZDGY
added,48659579778903,441760761201815,419864827660597,*,,row_created,,,"{'adGroupId': '419864827660597', 'bid': 2.14, 'campaignId': '441760761201815', 'expression': [{'type': 'ASIN_SAME_AS', 'value': 'B0B5XGZC1Z'}], 'expressionType': 'MANUAL', 'resolvedExpression': [{'type': 'ASIN_SAME_AS', 'value': 'B0B5XGZC1Z'}], 'state': 'PAUSED', 'targetId': '48659579778903'}",ASIN_SAME_AS=B0B5XGZC1Z
added,82710851780038,304131972433658,512437038445790,*,,row_created,,,"{'adGroupId': '512437038445790', 'campaignId': '304131972433658', 'expression': [{'type': 'ASIN_SAME_AS', 'value': 'B09FKNG6Y3'}], 'expressionType': 'MANUAL', 'resolvedExpression': [{'type': 'ASIN_SAME_AS', 'value': 'B09FKNG6Y3'}], 'state': 'ENABLED', 'targetId': '82710851780038'}",ASIN_SAME_AS=B09FKNG6Y3
added,260485527442905,314957492914641,422138493011596,*,,row_created,,,"{'adGroupId': '422138493011596', 'bid': 5.45, 'campaignId': '314957492914641', 'expression': [{'type': 'ASIN_SAME_AS', 'value': 'B014PYGYRE'}], 'expressionType': 'MANUAL', 'resolvedExpression': [{'type': 'ASIN_SAME_AS', 'value': 'B014PYGYRE'}], 'state': 'ENABLED', 'targetId': '260485527442905'}",ASIN_SAME_AS=B014PYGYRE
added,44175980610761,513028148653242,471785459686389,*,,row_created,,,"{'adGroupId': '471785459686389', 'bid': 5.54, 'campaignId': '513028148653242', 'expression': [{'type': 'ASIN_SAME_AS', 'value': 'B0BKZ8K3F9'}], 'expressionType': 'MANUAL', 'resolvedExpression': [{'type': 'ASIN_SAME_AS', 'value': 'B0BKZ8K3F9'}], 'state': 'PAUSED', 'targetId': '44175980610761'}",ASIN_SAME_AS=B0BKZ8K3F9
added,25713931384784,459559480979309,310036530116873,*,,row_created,,,"{'adGroupId': '310036530116873', 'bid': 2.12, 'campaignId': '459559480979309', 'expression': [{'type': 'ASIN_SAME_AS', 'value': 'B09XTXVGLS'}], 'expressionType': 'MANUAL', 'resolvedExpression': [{'type': 'ASIN_SAME_AS', 'value': 'B09XTXVGLS'}], 'state': 'PAUSED', 'targetId': '25713931384784'}",ASIN_SAME_AS=B09XTXVGLS
added,136900831114148,358635546029429,450699383858945,*,,row_created,,,"{'adGroupId': '450699383858945', 'bid': 5.0, 'campaignId': '358635546029429', 'expression': [{'type': 'ASIN_EXPANDED_FROM', 'value': 'B0002D080C'}], 'expressionType': 'MANUAL', 'resolvedExpression': [{'type': 'ASIN_EXPANDED_FROM', 'value': 'B0002D080C'}], 'state': 'ENABLED', 'targetId': '136900831114148'}",ASIN_EXPANDED_FROM=B0002D080C
added,44054086096443,413113887651790,484826510006145,*,,row_created,,,"{'adGroupId': '484826510006145', 'bid': 7.28, 'campaignId': '413113887651790', 'expression': [{'type': 'ASIN_SAME_AS', 'value': 'B09H4KG7MT'}], 'expressionType': 'MANUAL', 'resolvedExpression': [{'type': 'ASIN_SAME_AS', 'value': 'B09H4KG7MT'}], 'state': 'ENABLED', 'targetId': '44054086096443'}",ASIN_SAME_AS=B09H4KG7MT
added,131801585493066,189567640256829,173878849146769,*,,row_created,,,"{'adGroupId': '173878849146769', 'bid': 6.25, 'campaignId': '189567640256829', 'expression': [{'type': 'ASIN_EXPANDED_FROM', 'value': 'B00HYBEFVS'}], 'expressionType': 'MANUAL', 'resolvedExpression': [{'type': 'ASIN_EXPANDED_FROM', 'value': 'B00HYBEFVS'}], 'state': 'ENABLED', 'targetId': '131801585493066'}",ASIN_EXPANDED_FROM=B00HYBEFVS
added,198971710955068,443090137443408,326302534438731,*,,row_created,,,"{'adGroupId': '326302534438731', 'bid': 6.28, 'campaignId': '443090137443408', 'expression': [{'type': 'ASIN_CATEGORY_SAME_AS', 'value': '4654389031'}], 'expressionType': 'MANUAL', 'resolvedExpression': [{'type': 'ASIN_CATEGORY_SAME_AS', 'value': 'Condenser'}], 'state': 'ENABLED', 'targetId': '198971710955068'}",ASIN_CATEGORY_SAME_AS=4654389031
