kind,entity_id,campaign_id,ad_group_id,field,from_value,to_value,keyword_text,match_type,target_expression
bid_changed,67779420720556,150072117686547,73887027586542,bid,4.61,6.99,desk mounted monitor arm,BROAD,
bid_changed,260318009115400,81500597155329,251546343555628,bid,19.45,18.88,+monitor +arm +desk +mount,BROAD,
bid_changed,199851406118478,150072117686547,73887027586542,bid,3.41,3.82,white mulberry desk mount,BROAD,
bid_changed,277058757220686,208099093682412,274561465186222,bid,17.95,17.1,dual monitor stand,PHRASE,
bid_changed,66380474639047,216525085180689,257525001130683,bid,17.94,17.42,+monitor +wall +mount,BROAD,
bid_changed,4362914731162,223237988116670,178807782580434,bid,4.37,4.36,monitor arm vesa mount,BROAD,
bid_changed,117048767372520,136790952441955,88515593118125,bid,17.11,15.89,+monitor +table +stand,BROAD,
bid_changed,52909194611163,223237988116670,178807782580434,bid,7.23,3.47,single monitor stand,BROAD,
bid_changed,55925991262684,61584851208016,164857694048391,bid,19.36,18.59,+dual +monitor +stand,BROAD,
bid_changed,6122386089962,374346625385100,465495590956309,bid,13.42,13.03,tv stand wall,EXACT,
bid_changed,250066997199220,136790952441955,88515593118125,bid,17.18,15.89,+monitor +mount +for +table,BROAD,
bid_changed,16828306131482,208099093682412,274561465186222,bid,17.89,17.1,dual monitor stand for table,PHRASE,
bid_changed,15527537824007,223237988116670,178807782580434,bid,9.09,3.86,desk monitor stand,BROAD,
bid_changed,158481586486181,223237988116670,178807782580434,bid,2.51,6.96,monitor arm desk mount,BROAD,
bid_changed,230001155707091,150072117686547,73887027586542,bid,3.17,6.11,17 32 inch monitor arm,BROAD,
bid_changed,232414272163037,223237988116670,178807782580434,bid,4.05,8.61,monitor table mount,BROAD,
bid_changed,250937926951772,81757772192880,258400441859741,bid,19.45,18.88,,,ASIN_SAME_AS=B0BZPRFH9F
bid_changed,82901884286762,216525085180689,150715258657286,bid,18.39,17.0,,,ASIN_SAME_AS=B0GRHW6JVL
bid_changed,161970403095277,353406111190773,348167676045587,bid,12.03,11.68,,,ASIN_SAME_AS=B0DZCM8ZR8
bid_changed,82031602419028,276845342414618,219181757644726,bid,18.26,17.39,,,ASIN_SAME_AS=B0DB5VVPSB
bid_changed,195245070552620,351358093777691,331174861715873,bid,16.27,15.8,,,QUERY_HIGH_REL_MATCHES=None
bid_changed,242813844633087,318979632187767,320679984977381,bid,19.57,19.0,,,ASIN_CATEGORY_SAME_AS=1388960031
bid_changed,7338928776322,366899319331204,335699046583289,bid,31.87,30.94,,,ASIN_SAME_AS=B07Z7ZGHD5
bid_changed,227877726281528,276845342414618,219181757644726,bid,19.17,17.39,,,ASIN_SAME_AS=B0DB5VG39T
bid_changed,242948760893555,333944346920350,445621266644991,bid,17.27,17.23,,,ASIN_CATEGORY_SAME_AS=26929827031
bid_changed,1506106598841,276845342414618,219181757644726,bid,18.26,17.39,,,ASIN_SAME_AS=B0DB5W4TCP
bid_changed,149730838873638,276845342414618,219181757644726,bid,18.26,17.39,,,ASIN_SAME_AS=B0DB5YTQZV
bid_changed,153939382960213,276845342414618,219181757644726,bid,18.26,17.39,,,ASIN_SAME_AS=B0DP32F346
bid_changed,115476030203436,366899319331204,335699046583289,bid,46.56,45.2,,,ASIN_SAME_AS=B0C3M5MTRX
bid_changed,221412391151590,216525085180689,150715258657286,bid,18.39,17.0,,,ASIN_SAME_AS=B0DMF6THBC
bid_changed,28280920674478,216525085180689,150715258657286,bid,18.39,17.0,,,ASIN_SAME_AS=B0DCVRKB5H
bid_changed,16596609198099,216525085180689,150715258657286,bid,17.09,16.59,,,ASIN_SAME_AS=B07YKZ7VTS
bid_changed,33356438790792,136790952441955,117662759113156,bid,11.36,10.5,,,ASIN_SAME_AS=B0FYXQ4L5H
bid_changed,38713632052266,307155910002298,49505403675587,bid,29.22,29.17,,,ASIN_SAME_AS=B076B3Q8JR
bid_changed,241639955221061,211511163794657,136912329250535,bid,19.99,19.41,,,ASIN_SAME_AS=B07Z7ZGHD5
bid_changed,231492021765340,353406111190773,348167676045587,bid,12.48,12.12,,,ASIN_SAME_AS=B0CX5CK21R
bid_changed,68375429949005,136790952441955,117662759113156,bid,11.36,10.5,,,ASIN_SAME_AS=B0BZPRFH9F
bid_changed,75097598502617,136790952441955,117662759113156,bid,11.36,10.5,,,ASIN_SAME_AS=B07DHK5DHN
