profile_id,profile_label,prev_snapshot,curr_snapshot,total,bid_changed,state_changed,budget_changed,added,removed
1122755254933937,Nexlev (vendor),2026-07-03T12:29:59Z,2026-07-03T15:07:13Z,5,0,0,5,0,0
3563790765020958,White Mulberry (vendor),2026-07-03T12:22:45Z,2026-07-03T14:59:57Z,0,0,0,0,0,0
3633693611482083,AudioArray (vendor),2026-07-03T12:28:20Z,2026-07-03T15:05:33Z,0,0,0,0,0,0
866679611348308,Cambium Retail Private Limited (seller),2026-07-03T12:22:32Z,2026-07-03T14:59:44Z,0,0,0,0,0,0
