kind,entity_id,campaign_id,ad_group_id,field,from_value,to_value,snapshot_current,keyword_text,match_type
added,139618186098474,1772038670719,92117800066434,*,,row_created,"{'adGroupId': '92117800066434', 'bid': 5.0, 'campaignId': '1772038670719', 'keywordId': '139618186098474', 'keywordText': 'steamer for car cleaning', 'matchType': 'EXACT', 'state': 'ENABLED'}",steamer for car cleaning,EXACT
added,157601025879057,1772038670719,92117800066434,*,,row_created,"{'adGroupId': '92117800066434', 'bid': 48.38, 'campaignId': '1772038670719', 'keywordId': '157601025879057', 'keywordText': 'nextlev steam cleaner for home', 'matchType': 'EXACT', 'state': 'ENABLED'}",nextlev steam cleaner for home,EXACT
added,9452415945744,138614414001343,251972187155371,*,,row_created,"{'adGroupId': '251972187155371', 'bid': 7.05, 'campaignId': '138614414001343', 'keywordId': '9452415945744', 'keywordText': 'steel bartan set', 'matchType': 'EXACT', 'state': 'ENABLED'}",steel bartan set,EXACT
added,200934527704918,1772038670719,92117800066434,*,,row_created,"{'adGroupId': '92117800066434', 'bid': 8.0, 'campaignId': '1772038670719', 'keywordId': '200934527704918', 'keywordText': 'kitchen steam cleaner', 'matchType': 'PHRASE', 'state': 'ENABLED'}",kitchen steam cleaner,PHRASE
added,121696876505259,1772038670719,92117800066434,*,,row_created,"{'adGroupId': '92117800066434', 'bid': 45.32, 'campaignId': '1772038670719', 'keywordId': '121696876505259', 'keywordText': 'steam cleaner home cleaning', 'matchType': 'PHRASE', 'state': 'ENABLED'}",steam cleaner home cleaning,PHRASE
added,268992595531343,1772038670719,92117800066434,*,,row_created,"{'adGroupId': '92117800066434', 'bid': 38.3, 'campaignId': '1772038670719', 'keywordId': '268992595531343', 'keywordText': 'shine steam cleaner', 'matchType': 'PHRASE', 'state': 'ENABLED'}",shine steam cleaner,PHRASE
added,195757002721457,1772038670719,92117800066434,*,,row_created,"{'adGroupId': '92117800066434', 'bid': 40.7, 'campaignId': '1772038670719', 'keywordId': '195757002721457', 'keywordText': 'steam cleaner', 'matchType': 'PHRASE', 'state': 'ENABLED'}",steam cleaner,PHRASE
added,218073595680656,1772038670719,92117800066434,*,,row_created,"{'adGroupId': '92117800066434', 'bid': 20.32, 'campaignId': '1772038670719', 'keywordId': '218073595680656', 'keywordText': 'steam cleaner machine', 'matchType': 'EXACT', 'state': 'ENABLED'}",steam cleaner machine,EXACT
added,204710004105336,1772038670719,92117800066434,*,,row_created,"{'adGroupId': '92117800066434', 'bid': 39.6, 'campaignId': '1772038670719', 'keywordId': '204710004105336', 'keywordText': 'steam cleaner for home', 'matchType': 'EXACT', 'state': 'ENABLED'}",steam cleaner for home,EXACT
added,208433565688928,1772038670719,92117800066434,*,,row_created,"{'adGroupId': '92117800066434', 'bid': 41.56, 'campaignId': '1772038670719', 'keywordId': '208433565688928', 'keywordText': 'nexlev steam cleaner', 'matchType': 'EXACT', 'state': 'ENABLED'}",nexlev steam cleaner,EXACT
