profile_id,profile_label,prev_snapshot,curr_snapshot,total,bid_changed,state_changed,budget_changed,added,removed
1122755254933937,Nexlev (vendor),2026-07-06T13:07:30Z,2026-07-06T16:43:23Z,4,0,0,4,0,0
3563790765020958,White Mulberry (vendor),2026-07-06T13:00:15Z,2026-07-06T16:32:46Z,48,33,0,15,0,0
3633693611482083,AudioArray (vendor),2026-07-06T13:05:50Z,2026-07-06T16:40:57Z,9,0,0,9,0,0
866679611348308,Cambium Retail Private Limited (seller),2026-07-06T13:00:02Z,2026-07-06T16:32:28Z,17,11,0,6,0,0
