kind,entity_id,campaign_id,ad_group_id,field,from_value,to_value
budget_changed,318979632187767,318979632187767,,budget.amount,250.0,450.0
budget_changed,263824201128569,263824201128569,,budget.amount,400.0,600.0
budget_changed,223237988116670,223237988116670,,budget.amount,700.0,850.0
budget_changed,188942187849480,188942187849480,,budget.amount,250.0,450.0
budget_changed,61584851208016,61584851208016,,budget.amount,1200.0,4200.0
budget_changed,276845342414618,276845342414618,,budget.amount,700.0,900.0
budget_changed,42955749839308,42955749839308,,budget.amount,400.0,600.0
budget_changed,216525085180689,216525085180689,,budget.amount,1000.0,3000.0
budget_changed,374346625385100,374346625385100,,budget.amount,350.0,550.0
budget_changed,351358093777691,351358093777691,,budget.amount,300.0,900.0
budget_changed,332134320889851,332134320889851,,budget.amount,1200.0,1400.0
budget_changed,346981797802055,346981797802055,,budget.amount,250.0,450.0
