kind,entity_id,campaign_id,ad_group_id,field,from_value,to_value
budget_changed,42955749839308,42955749839308,,budget.amount,700.0,500.0
budget_changed,82610433731110,82610433731110,,budget.amount,350.0,250.0
budget_changed,353406111190773,353406111190773,,budget.amount,1200.0,400.0
budget_changed,81757772192880,81757772192880,,budget.amount,400.0,350.0
budget_changed,374346625385100,374346625385100,,budget.amount,800.0,250.0
budget_changed,276845342414618,276845342414618,,budget.amount,1400.0,300.0
budget_changed,208099093682412,208099093682412,,budget.amount,700.0,250.0
budget_changed,551718651462342,551718651462342,,budget.amount,750.0,300.0
budget_changed,223237988116670,223237988116670,,budget.amount,1200.0,300.0
budget_changed,346981797802055,346981797802055,,budget.amount,750.0,250.0
budget_changed,216525085180689,216525085180689,,budget.amount,900.0,400.0
budget_changed,366899319331204,366899319331204,,budget.amount,1600.0,650.0
budget_changed,351358093777691,351358093777691,,budget.amount,700.0,300.0
budget_changed,332134320889851,332134320889851,,budget.amount,500.0,250.0
budget_changed,333944346920350,333944346920350,,budget.amount,900.0,450.0
budget_changed,227265944527550,227265944527550,,budget.amount,400.0,300.0
budget_changed,211511163794657,211511163794657,,budget.amount,550.0,250.0
budget_changed,192429211487117,192429211487117,,budget.amount,500.0,200.0
budget_changed,61584851208016,61584851208016,,budget.amount,1800.0,400.0
