kind,entity_id,campaign_id,ad_group_id,field,from_value,to_value,keyword_text,match_type,target_expression
budget_changed,412742150516518,412742150516518,,budget.amount,350.0,400.0,,,
budget_changed,112671401667830,112671401667830,,budget.amount,200.0,250.0,,,
budget_changed,187467568019980,187467568019980,,budget.amount,500.0,600.0,,,
budget_changed,41018142655949,41018142655949,,budget.amount,350.0,450.0,,,
budget_changed,524663751193808,524663751193808,,budget.amount,250.0,300.0,,,
budget_changed,91257507585543,91257507585543,,budget.amount,450.0,500.0,,,
bid_changed,91817410018776,537241969626380,403091191432997,bid,37.29,37.34,l shaped computer table,EXACT,
bid_changed,259244245714900,165926011483591,39650872491346,bid,12.53,12.91,+l +shaped +table,BROAD,
state_changed,203891414251398,537241969626380,403091191432997,state,ENABLED,PAUSED,l shape table,EXACT,
bid_changed,120067433852487,264075379186899,280028453561394,bid,17.46,17.52,electric table,EXACT,
state_changed,241576959619071,524663751193808,337201421286163,state,ENABLED,PAUSED,wooden desk,BROAD,
bid_changed,189237838981731,107389291114184,19776824829539,bid,19.31,19.89,l shaped computer table,PHRASE,
bid_changed,245353381944401,123946954384986,159655993543964,bid,16.92,17.77,gaming pc table for desktop,PHRASE,
bid_changed,267003204689449,275080209531414,222164671888696,bid,42.78,44.06,gaming desk l shaped,PHRASE,
bid_changed,23878883907140,112671401667830,8104856647790,bid,19.79,20.78,+l +shape +study +table +for +home,BROAD,
bid_changed,244773176927079,91257507585543,272185303250084,bid,17.16,17.22,+table +for +work +at +home,BROAD,
bid_changed,33698672975737,262398489862684,71345441658351,bid,22.71,22.75,gaming desk table,PHRASE,
state_changed,259318221395447,524663751193808,337201421286163,state,ENABLED,PAUSED,home office furniture,BROAD,
bid_changed,161396687253495,136223121722055,178249845638833,bid,20.75,21.58,+corner +computer +table +for +home,BROAD,
bid_changed,44317570170744,319658247499276,342077107178497,bid,18.47,19.39,gaming desk table,PHRASE,
bid_changed,198945547189519,112671401667830,8104856647790,bid,19.74,20.73,+l +shaped +office +table,BROAD,
state_changed,243133901723961,524663751193808,337201421286163,state,ENABLED,PAUSED,diy assembly desk,BROAD,
state_changed,239156515599285,524663751193808,337201421286163,state,ENABLED,PAUSED,l shape corner desk,BROAD,
state_changed,185040764574347,524663751193808,337201421286163,state,ENABLED,PAUSED,engineered wood desk,BROAD,
bid_changed,214784444497031,107389291114184,19776824829539,bid,20.97,21.6,l shaped office table,PHRASE,
state_changed,207879116570317,524663751193808,337201421286163,state,ENABLED,PAUSED,sturdy steel leg desk,BROAD,
state_changed,236472810165490,524663751193808,337201421286163,state,ENABLED,PAUSED,carbon fibre desk,BROAD,
bid_changed,88547921344598,165926011483591,39650872491346,bid,14.2,14.63,+l +shape +table,BROAD,
bid_changed,26128944434767,123946954384986,159655993543964,bid,16.92,17.77,computer table for gaming pc,PHRASE,
state_changed,262998260529274,524663751193808,337201421286163,state,ENABLED,PAUSED,monitor raising shelf,BROAD,
bid_changed,78053264353982,107389291114184,19776824829539,bid,20.97,21.6,l shaped work desk,PHRASE,
bid_changed,218543650225343,275080209531414,222164671888696,bid,37.67,38.8,l shaped gaming table,PHRASE,
state_changed,216756837691500,524663751193808,337201421286163,state,ENABLED,PAUSED,office work from home desk,BROAD,
state_changed,235302579771219,524663751193808,337201421286163,state,ENABLED,PAUSED,gaming desk,BROAD,
state_changed,177840199502604,524663751193808,337201421286163,state,ENABLED,PAUSED,ergonomic desk,BROAD,
bid_changed,268207964424391,275080209531414,222164671888696,bid,39.55,40.74,l shaped gaming desk,PHRASE,
bid_changed,166921519974417,121906419773510,107933770890360,bid,13.15,13.54,,,ASIN_SAME_AS=B0GZL6JF9L
bid_changed,76549317965005,187467568019980,237874663709045,bid,27.49,27.54,,,ASIN_SAME_AS=B0873158GG
bid_changed,42530473004465,426994415684787,379878346221662,bid,22.69,23.82,,,ASIN_SAME_AS=B0FL29N9NF
bid_changed,136438666870520,426994415684787,379878346221662,bid,22.86,24.0,,,ASIN_SAME_AS=B0D94FRM2N
bid_changed,25036900246385,121906419773510,107933770890360,bid,13.42,13.82,,,ASIN_SAME_AS=B0FXS7J2MR
bid_changed,15521723203829,412742150516518,312798478472879,bid,9.72,9.75,,,ASIN_CATEGORY_SAME_AS=3591683031; ASIN_PRICE_BETWEEN=4000-15000
bid_changed,258047387925445,121906419773510,107933770890360,bid,13.81,14.22,,,ASIN_SAME_AS=B0FB9CYTPJ
