kind,entity_id,campaign_id,ad_group_id,field,from_value,to_value,snapshot_current,keyword_text,match_type,target_expression
added,125947512887543,125947512887543,,*,,row_created,"{'budget': {'budget': 200.0, 'budgetType': 'DAILY'}, 'campaignId': '125947512887543', 'dynamicBidding': {'placementBidding': [], 'strategy': 'LEGACY_FOR_SALES'}, 'marketplaceBudgetAllocation': 'MANUAL', 'name': 'White Mulberry-B0FN4HDM6Z-Premium Full Motion-AT-SP-129', 'offAmazonSettings': {}, 'startDate': '2026-07-03', 'state': 'ENABLED', 'tags': {}, 'targetingType': 'AUTO'}",,,
added,47325474688101,47325474688101,,*,,row_created,"{'budget': {'budget': 200.0, 'budgetType': 'DAILY'}, 'campaignId': '47325474688101', 'dynamicBidding': {'placementBidding': [], 'strategy': 'LEGACY_FOR_SALES'}, 'marketplaceBudgetAllocation': 'MANUAL', 'name': 'WB-Tilt TV Wall Mount-B0FN4GQ9HT-BM-SP-130', 'offAmazonSettings': {}, 'startDate': '2026-07-03', 'state': 'ENABLED', 'tags': {}, 'targetingType': 'MANUAL'}",,,
budget_changed,227265944527550,227265944527550,,budget.amount,300.0,400.0,,,,
budget_changed,216525085180689,216525085180689,,budget.amount,400.0,500.0,,,,
budget_changed,45620690102134,45620690102134,,budget.amount,250.0,350.0,,,,
budget_changed,353406111190773,353406111190773,,budget.amount,400.0,500.0,,,,
budget_changed,366899319331204,366899319331204,,budget.amount,700.0,800.0,,,,
budget_changed,81757772192880,81757772192880,,budget.amount,350.0,400.0,,,,
budget_changed,208099093682412,208099093682412,,budget.amount,250.0,350.0,,,,
budget_changed,333944346920350,333944346920350,,budget.amount,450.0,500.0,,,,
added,3587617743918,47325474688101,3587617743918,*,,row_created,"{'adGroupId': '3587617743918', 'campaignId': '47325474688101', 'defaultBid': 14.15, 'name': 'WB-Tilt TV Wall Mount-B0FN4GQ9HT-BM-SP-130', 'state': 'ENABLED'}",,,
added,434858289427151,125947512887543,434858289427151,*,,row_created,"{'adGroupId': '434858289427151', 'campaignId': '125947512887543', 'defaultBid': 5.6, 'name': 'White Mulberry-B0FN4HDM6Z-Premium Full Motion-AT-SP-129', 'state': 'ENABLED'}",,,
added,267106240683110,47325474688101,3587617743918,*,,row_created,"{'adGroupId': '3587617743918', 'bid': 5.6, 'campaignId': '47325474688101', 'keywordId': '267106240683110', 'keywordText': '+tv +wall +mount', 'matchType': 'BROAD', 'state': 'ENABLED'}",+tv +wall +mount,BROAD,
added,207409026395713,47325474688101,3587617743918,*,,row_created,"{'adGroupId': '3587617743918', 'bid': 5.6, 'campaignId': '47325474688101', 'keywordId': '207409026395713', 'keywordText': '+tv +stand +wall', 'matchType': 'BROAD', 'state': 'ENABLED'}",+tv +stand +wall,BROAD,
