kind,entity_id,campaign_id,ad_group_id,field,from_value,to_value
budget_changed,275080209531414,275080209531414,,budget.amount,900.0,350.0
budget_changed,112671401667830,112671401667830,,budget.amount,900.0,250.0
budget_changed,537241969626380,537241969626380,,budget.amount,650.0,500.0
budget_changed,127788110712070,127788110712070,,budget.amount,720.0,250.0
budget_changed,262398489862684,262398489862684,,budget.amount,300.0,500.0
budget_changed,122486618578318,122486618578318,,budget.amount,750.0,250.0
budget_changed,84335100495107,84335100495107,,budget.amount,920.0,250.0
budget_changed,122200237335741,122200237335741,,budget.amount,1300.0,250.0
budget_changed,319658247499276,319658247499276,,budget.amount,1200.0,500.0
budget_changed,41018142655949,41018142655949,,budget.amount,1000.0,450.0
budget_changed,187467568019980,187467568019980,,budget.amount,1000.0,600.0
