kind,entity_id,campaign_id,ad_group_id,field,from_value,to_value,keyword_text,match_type,target_expression
state_changed,230842544268186,230842544268186,,state,ENABLED,PAUSED,,,
state_changed,261445723849981,261445723849981,,state,ENABLED,PAUSED,,,
budget_changed,131612057885446,131612057885446,,budget.amount,1000.0,1600.0,,,
budget_changed,195648207446909,195648207446909,,budget.amount,700.0,1100.0,,,
bid_changed,237850049504210,72880169056653,44616039784435,bid,11.86,12.98,portable blender juicer,PHRASE,
bid_changed,262505125929729,191378516874578,92750093994895,bid,4.0,5.77,scalp oil applicator,EXACT,
bid_changed,175409339996907,226888820553741,279377070489598,bid,11.89,12.89,air compression leg massager for pain relief,PHRASE,
bid_changed,127164078710521,136101433379467,220923298184405,bid,23.64,24.67,stand mixer for baking,PHRASE,
bid_changed,134832499948598,226888820553741,279377070489598,bid,11.89,12.89,leg compression massager,PHRASE,
bid_changed,138478231894545,174578235062534,7205273127417,bid,27.23,28.05,stand mixer dough maker,PHRASE,
bid_changed,109957735506620,174578235062534,7205273127417,bid,27.92,28.76,dough maker machine for home,PHRASE,
bid_changed,38488914681603,98575647693233,252926364723458,bid,20.0,22.0,dough maker machine,PHRASE,
bid_changed,105722857286533,174578235062534,7205273127417,bid,19.43,20.01,atta dough maker,PHRASE,
bid_changed,76176074858662,250616391592575,252831494437537,bid,16.97,17.89,+room +air +purifier +for +home,BROAD,
bid_changed,45267504792296,250616391592575,252831494437537,bid,16.97,17.89,+air +purifier +with +humidifier,BROAD,
bid_changed,205757193145734,250616391592575,252831494437537,bid,16.97,17.89,+air +purifier +for +pet +hair,BROAD,
bid_changed,135884850016544,188809688823378,279637888178746,bid,13.89,15.23,nexlev steamers,PHRASE,
bid_changed,261864726598732,98575647693233,252926364723458,bid,20.0,22.0,atta kneader dough maker,PHRASE,
bid_changed,177268438867937,191378516874578,92750093994895,bid,4.0,5.86,hair oil applicator,EXACT,
bid_changed,232495321560651,69639059931303,133290703815156,bid,13.12,14.98,steam cleaning machine,PHRASE,
bid_changed,50614721041189,72880169056653,44616039784435,bid,11.86,12.98,portable juicer bottle blender,PHRASE,
bid_changed,89149055621066,250616391592575,252831494437537,bid,16.97,17.89,+top +5 +air +purifier +in +india,BROAD,
bid_changed,111179186313848,250616391592575,252831494437537,bid,16.97,17.89,+air +purifier +filter,BROAD,
bid_changed,172820018114026,136101433379467,220923298184405,bid,23.64,24.67,stand mixer for baking,EXACT,
bid_changed,156217516052059,191378516874578,92750093994895,bid,4.0,6.92,oil applicator for hair,EXACT,
bid_changed,281115062325728,98575647693233,252926364723458,bid,20.0,22.0,atta maker,PHRASE,
bid_changed,258429701285661,136101433379467,220923298184405,bid,23.64,24.67,stand mixer,EXACT,
bid_changed,273641649345957,72880169056653,44616039784435,bid,11.86,12.98,cordless blender portable,PHRASE,
bid_changed,21619330383524,214815667581043,262791110825489,bid,10.12,12.0,portable blender for smoothie and juices,EXACT,
bid_changed,81209167765494,174578235062534,7205273127417,bid,19.43,20.01,ata maker machine,PHRASE,
bid_changed,61888286566254,226888820553741,279377070489598,bid,11.89,12.89,leg massager for pain relief portable,PHRASE,
bid_changed,230776309294066,136101433379467,220923298184405,bid,23.64,24.67,stand mixer,PHRASE,
bid_changed,34888370201940,69639059931303,133290703815156,bid,13.12,14.98,steam mop,PHRASE,
bid_changed,280043706820317,98575647693233,252926364723458,bid,20.0,22.0,dough kneader machine,PHRASE,
bid_changed,55207173434098,72880169056653,44616039784435,bid,11.86,12.98,best portable blender,PHRASE,
bid_changed,46797887112615,69639059931303,133290703815156,bid,13.12,14.98,steam mop floor cleaner,PHRASE,
bid_changed,158864483099138,188809688823378,279637888178746,bid,13.89,15.23,nexlev steamer for home,PHRASE,
bid_changed,265093242136479,226888820553741,279377070489598,bid,11.89,12.89,leg massager for varicose veins,PHRASE,
bid_changed,94836848502626,188809688823378,279637888178746,bid,13.89,15.23,nexlev mop steamer,PHRASE,
bid_changed,131031187771302,280034022628160,348166413823591,bid,6.5,7.0,,,ASIN_SUBSTITUTE_RELATED=None
bid_changed,253299499312265,60291017830505,497699376089255,bid,6.5,7.12,,,ASIN_SUBSTITUTE_RELATED=None
bid_changed,98776279030288,100428905729004,324011366978463,bid,6.5,7.0,,,QUERY_BROAD_REL_MATCHES=None
bid_changed,32607601901694,212487671332104,58306342237923,bid,13.89,14.12,,,ASIN_SAME_AS=B0CN6R1L7J
bid_changed,126937618141349,208614789580156,232646343442246,bid,10.23,12.12,,,ASIN_SAME_AS=B0GQSWCXGZ
bid_changed,77142077194380,280034022628160,348166413823591,bid,6.5,7.0,,,QUERY_BROAD_REL_MATCHES=None
bid_changed,42372894015978,158700120093585,60845117740334,bid,11.2,12.23,,,ASIN_SAME_AS=B0CCJKP8Q4
bid_changed,79194256945433,100428905729004,324011366978463,bid,6.5,7.0,,,QUERY_HIGH_REL_MATCHES=None
bid_changed,144320454558802,273700399135577,271110966859581,bid,12.0,14.0,,,ASIN_SAME_AS=B0GTV7P6V9
bid_changed,254141528229699,132591863125668,166173954714714,bid,13.53,14.34,,,ASIN_SAME_AS=B08L46ZKKZ
bid_changed,136359337518464,60291017830505,497699376089255,bid,6.5,7.12,,,QUERY_HIGH_REL_MATCHES=None
bid_changed,208743005513984,280034022628160,348166413823591,bid,6.5,7.0,,,ASIN_ACCESSORY_RELATED=None
bid_changed,158551865253605,280034022628160,348166413823591,bid,6.5,7.0,,,QUERY_HIGH_REL_MATCHES=None
bid_changed,168348392509131,132591863125668,166173954714714,bid,15.0,15.9,,,ASIN_SAME_AS=B0FNQS4RRD
bid_changed,262652554394070,208614789580156,232646343442246,bid,10.23,12.12,,,ASIN_SAME_AS=B0DKTRRFF3
bid_changed,89826667421191,273700399135577,271110966859581,bid,12.0,14.0,,,ASIN_SAME_AS=B0DFY8ZPCL
bid_changed,142854357255891,158700120093585,60845117740334,bid,11.2,12.23,,,ASIN_SAME_AS=B0BY8MX7Q1
bid_changed,201739196263267,100428905729004,324011366978463,bid,6.5,7.0,,,ASIN_ACCESSORY_RELATED=None
bid_changed,138454177852320,60291017830505,497699376089255,bid,6.5,7.12,,,ASIN_ACCESSORY_RELATED=None
bid_changed,66110656674532,228298401795064,53132138655169,bid,17.89,18.46,,,ASIN_SAME_AS=B0DCFLJF49
bid_changed,102320153844683,100428905729004,324011366978463,bid,6.5,7.0,,,ASIN_SUBSTITUTE_RELATED=None
bid_changed,221128475011630,212487671332104,58306342237923,bid,13.89,14.12,,,ASIN_SAME_AS=B0FTZ3VTB4
bid_changed,156590796215443,158700120093585,60845117740334,bid,11.2,12.23,,,ASIN_SAME_AS=B09VFKR4C1
bid_changed,73761400959110,273700399135577,271110966859581,bid,12.0,14.0,,,ASIN_SAME_AS=B0FKN8W7TW
bid_changed,244243275580195,212487671332104,58306342237923,bid,13.89,14.12,,,ASIN_SAME_AS=B0FL81Z8WJ
bid_changed,27801639789992,60291017830505,497699376089255,bid,6.5,7.12,,,QUERY_BROAD_REL_MATCHES=None
bid_changed,276416882842745,81195380249257,177723530289820,bid,14.12,15.12,,,ASIN_CATEGORY_SAME_AS=1380585031
