kind,entity_id,campaign_id,ad_group_id,field,from_value,to_value,snapshot_current,keyword_text,match_type
state_changed,470348118544023,470348118544023,,state,ENABLED,PAUSED,,,
added,277853749643886,91921004502575,196526248841961,*,,row_created,"{'adGroupId': '196526248841961', 'bid': 5.59, 'campaignId': '91921004502575', 'keywordId': '277853749643886', 'keywordText': 'usb microphone', 'matchType': 'PHRASE', 'state': 'ENABLED'}",usb microphone,PHRASE
added,255910566475668,430643105605045,534303358247325,*,,row_created,"{'adGroupId': '534303358247325', 'campaignId': '430643105605045', 'keywordId': '255910566475668', 'keywordText': 'microphone for recording', 'matchType': 'EXACT', 'state': 'ENABLED'}",microphone for recording,EXACT
added,79204462435165,365616655569604,504689930167379,*,,row_created,"{'adGroupId': '504689930167379', 'bid': 5.15, 'campaignId': '365616655569604', 'keywordId': '79204462435165', 'keywordText': 'best condenser mic for singing', 'matchType': 'EXACT', 'state': 'PAUSED'}",best condenser mic for singing,EXACT
added,248442700245706,553304502395224,475159915809457,*,,row_created,"{'adGroupId': '475159915809457', 'bid': 2.22, 'campaignId': '553304502395224', 'keywordId': '248442700245706', 'keywordText': 'karaoke system', 'matchType': 'PHRASE', 'state': 'PAUSED'}",karaoke system,PHRASE
added,144497475710885,186921084245167,109827793274618,*,,row_created,"{'adGroupId': '109827793274618', 'bid': 4.86, 'campaignId': '186921084245167', 'keywordId': '144497475710885', 'keywordText': 'audio mixer', 'matchType': 'EXACT', 'state': 'ENABLED'}",audio mixer,EXACT
added,94357391287815,348590886055410,504740369644039,*,,row_created,"{'adGroupId': '504740369644039', 'bid': 6.82, 'campaignId': '348590886055410', 'keywordId': '94357391287815', 'keywordText': 'mic wireless bluetooth', 'matchType': 'PHRASE', 'state': 'PAUSED'}",mic wireless bluetooth,PHRASE
added,100009215476414,494241274719810,344973304900003,*,,row_created,"{'adGroupId': '344973304900003', 'bid': 3.37, 'campaignId': '494241274719810', 'keywordId': '100009215476414', 'keywordText': 'age-r booster pro', 'matchType': 'PHRASE', 'state': 'ENABLED'}",age-r booster pro,PHRASE
added,95392114288551,398494794413187,339674365489571,*,,row_created,"{'adGroupId': '339674365489571', 'bid': 5.54, 'campaignId': '398494794413187', 'keywordId': '95392114288551', 'keywordText': 'troys xlr condenser mic with boom arm', 'matchType': 'PHRASE', 'state': 'ENABLED'}",troys xlr condenser mic with boom arm,PHRASE
added,258860848646272,367035027560338,374198250963915,*,,row_created,"{'adGroupId': '374198250963915', 'bid': 2.22, 'campaignId': '367035027560338', 'keywordId': '258860848646272', 'keywordText': 'audio-technica audio technica mic', 'matchType': 'EXACT', 'state': 'PAUSED'}",audio-technica audio technica mic,EXACT
added,177687897952693,48719241450319,252896654302560,*,,row_created,"{'adGroupId': '252896654302560', 'bid': 4.4, 'campaignId': '48719241450319', 'keywordId': '177687897952693', 'keywordText': 'microphone for recording', 'matchType': 'EXACT', 'state': 'ENABLED'}",microphone for recording,EXACT
added,50754750942561,290662743107506,536834941277820,*,,row_created,"{'adGroupId': '536834941277820', 'bid': 22.03, 'campaignId': '290662743107506', 'keywordId': '50754750942561', 'keywordText': 'karaoke microphone', 'matchType': 'PHRASE', 'state': 'ENABLED'}",karaoke microphone,PHRASE
added,228734243783690,374904584816355,398260508120004,*,,row_created,"{'adGroupId': '398260508120004', 'bid': 5.54, 'campaignId': '374904584816355', 'keywordId': '228734243783690', 'keywordText': 'xlr condenser mic kit stand', 'matchType': 'EXACT', 'state': 'ENABLED'}",xlr condenser mic kit stand,EXACT
added,279579540742249,442866102427292,502401494458545,*,,row_created,"{'adGroupId': '502401494458545', 'bid': 2.09, 'campaignId': '442866102427292', 'keywordId': '279579540742249', 'keywordText': 'vocal shield for home studio', 'matchType': 'PHRASE', 'state': 'ENABLED'}",vocal shield for home studio,PHRASE
added,172694725136578,479707878229717,325349841053961,*,,row_created,"{'adGroupId': '325349841053961', 'bid': 6.95, 'campaignId': '479707878229717', 'keywordId': '172694725136578', 'keywordText': 'body massager machine for pain relief', 'matchType': 'EXACT', 'state': 'ENABLED'}",body massager machine for pain relief,EXACT
added,153759760161661,406275714829941,467460618436421,*,,row_created,"{'adGroupId': '467460618436421', 'bid': 6.86, 'campaignId': '406275714829941', 'keywordId': '153759760161661', 'keywordText': 'microphone with stand', 'matchType': 'EXACT', 'state': 'ENABLED'}",microphone with stand,EXACT
