kind,entity_id,campaign_id,ad_group_id,field,from_value,to_value
budget_changed,20557174629775,20557174629775,,budget.amount,400.0,700.0
budget_changed,78495635228839,78495635228839,,budget.amount,400.0,700.0
budget_changed,465834265761091,465834265761091,,budget.amount,4000.0,5000.0
budget_changed,314912537806505,314912537806505,,budget.amount,450.0,650.0
budget_changed,489228562508004,489228562508004,,budget.amount,300.0,600.0
budget_changed,80804581756508,80804581756508,,budget.amount,2800.0,3300.0
budget_changed,206544671571201,206544671571201,,budget.amount,4000.0,4500.0
budget_changed,112758008627475,112758008627475,,budget.amount,500.0,900.0
budget_changed,103696758155703,103696758155703,,budget.amount,700.0,1000.0
budget_changed,541108197666561,541108197666561,,budget.amount,1400.0,1600.0
